Date,mediantransactionvalue90rsiUSD
2016/01/01,35.841
2016/01/02,35.753
2016/01/03,35.741
2016/01/04,35.704
2016/01/05,35.151
2016/01/06,35.151
2016/01/07,35.151
2016/01/08,36.052
2016/01/09,36.059
2016/01/10,36.21
2016/01/11,36.183
2016/01/12,36.421
2016/01/13,35.702
2016/01/14,36.764
2016/01/15,37.147
2016/01/16,37.086
2016/01/17,37.09
2016/01/18,37.045
2016/01/19,36.647
2016/01/20,37.986
2016/01/21,37.88
2016/01/22,37.608
2016/01/23,38.339
2016/01/24,38.64
2016/01/25,38.385
2016/01/26,38.756
2016/01/27,37.729
2016/01/28,39.145
2016/01/29,39.253
2016/01/30,39.457
2016/01/31,39.436
2016/02/01,39.248
2016/02/02,39.213
2016/02/03,39.589
2016/02/04,39.571
2016/02/05,39.516
2016/02/06,38.009
2016/02/07,40.642
2016/02/08,41.097
2016/02/09,41.475
2016/02/10,42.865
2016/02/11,42.57
2016/02/12,44.164
2016/02/13,43.075
2016/02/14,43.127
2016/02/15,43.477
2016/02/16,43.08
2016/02/17,42.417
2016/02/18,42.627
2016/02/19,42.893
2016/02/20,42.946
2016/02/21,43.088
2016/02/22,43.519
2016/02/23,44.056
2016/02/24,44.043
2016/02/25,44.461
2016/02/26,44.082
2016/02/27,44.484
2016/02/28,44.949
2016/02/29,44.859
2016/03/01,45.277
2016/03/02,46.165
2016/03/03,47.243
2016/03/04,47.087
2016/03/05,49.753
2016/03/06,48.471
2016/03/07,48.148
2016/03/08,47.509
2016/03/09,48.143
2016/03/10,49.981
2016/03/11,48.393
2016/03/12,50.357
2016/03/13,50.816
2016/03/14,50.661
2016/03/15,49.825
2016/03/16,50.281
2016/03/17,49.066
2016/03/18,48.194
2016/03/19,47.933
2016/03/20,47.822
2016/03/21,48.408
2016/03/22,48.76
2016/03/23,48.96
2016/03/24,48.462
2016/03/25,47.985
2016/03/26,48.083
2016/03/27,48.328
2016/03/28,48.519
2016/03/29,48.821
2016/03/30,48.971
2016/03/31,48.968
2016/04/01,48.786
2016/04/02,48.758
2016/04/03,48.805
2016/04/04,48.563
2016/04/05,48.02
2016/04/06,48.14
2016/04/07,47.95
2016/04/08,47.54
2016/04/09,47.444
2016/04/10,46.788
2016/04/11,46.667
2016/04/12,46.182
2016/04/13,46.07
2016/04/14,46.591
2016/04/15,46.521
2016/04/16,46.6
2016/04/17,46.124
2016/04/18,47.267
2016/04/19,47.234
2016/04/20,46.922
2016/04/21,46.739
2016/04/22,46.525
2016/04/23,46.519
2016/04/24,46.613
2016/04/25,46.336
2016/04/26,46.028
2016/04/27,46.278
2016/04/28,46.125
2016/04/29,46.118
2016/04/30,46.755
2016/05/01,47.195
2016/05/02,47.961
2016/05/03,48.03
2016/05/04,47.898
2016/05/05,47.893
2016/05/06,47.955
2016/05/07,47.772
2016/05/08,47.678
2016/05/09,47.806
2016/05/10,47.743
2016/05/11,48.026
2016/05/12,48.454
2016/05/13,49.042
2016/05/14,48.653
2016/05/15,48.444
2016/05/16,48.829
2016/05/17,49.974
2016/05/18,51.043
2016/05/19,51.762
2016/05/20,52.162
2016/05/21,51.392
2016/05/22,51.792
2016/05/23,51.975
2016/05/24,51.001
2016/05/25,50.3
2016/05/26,45.686
2016/05/27,49.606
2016/05/28,42.997
2016/05/29,47.115
2016/05/30,50.353
2016/05/31,50.777
2016/06/01,51.172
2016/06/02,51.141
2016/06/03,51.038
2016/06/04,48.716
2016/06/05,51.01
2016/06/06,51.071
2016/06/07,47.543
2016/06/08,51.264
2016/06/09,51.221
2016/06/10,50.669
2016/06/11,50.942
2016/06/12,49.674
2016/06/13,52.18
2016/06/14,52.328
2016/06/15,52.959
2016/06/16,53.495
2016/06/17,47.054
2016/06/18,48.244
2016/06/19,49.012
2016/06/20,48.442
2016/06/21,49.973
2016/06/22,50.873
2016/06/23,50.389
2016/06/24,48.071
2016/06/25,50.81
2016/06/26,48.528
2016/06/27,50.656
2016/06/28,50.384
2016/06/29,47.301
2016/06/30,46.458
2016/07/01,50.1
2016/07/02,50.058
2016/07/03,50.015
2016/07/04,49.91
2016/07/05,49.564
2016/07/06,49.604
2016/07/07,49.429
2016/07/08,48.824
2016/07/09,49.705
2016/07/10,49.717
2016/07/11,49.62
2016/07/12,49.428
2016/07/13,49.587
2016/07/14,48.338
2016/07/15,50.094
2016/07/16,48.549
2016/07/17,49.918
2016/07/18,49.928
2016/07/19,50.028
2016/07/20,47.287
2016/07/21,49.495
2016/07/22,50.597
2016/07/23,50.625
2016/07/24,50.622
2016/07/25,50.57
2016/07/26,50.466
2016/07/27,50.312
2016/07/28,50.369
2016/07/29,49.807
2016/07/30,49.976
2016/07/31,50.188
2016/08/01,50.004
2016/08/02,49.614
2016/08/03,47.637
2016/08/04,49.776
2016/08/05,49.841
2016/08/06,49.769
2016/08/07,49.831
2016/08/08,49.848
2016/08/09,50.072
2016/08/10,49.84
2016/08/11,49.384
2016/08/12,48.609
2016/08/13,48.773
2016/08/14,50.042
2016/08/15,49.45
2016/08/16,47.932
2016/08/17,48.232
2016/08/18,48.155
2016/08/19,48.661
2016/08/20,49.073
2016/08/21,49.015
2016/08/22,48.697
2016/08/23,48.274
2016/08/24,48.035
2016/08/25,47.77
2016/08/26,47.93
2016/08/27,48.019
2016/08/28,49.78
2016/08/29,47.865
2016/08/30,48.16
2016/08/31,49.196
2016/09/01,50.527
2016/09/02,47.682
2016/09/03,49.469
2016/09/04,48.62
2016/09/05,50.098
2016/09/06,48.352
2016/09/07,47.83
2016/09/08,47.934
2016/09/09,47.914
2016/09/10,49.563
2016/09/11,50.525
2016/09/12,49.314
2016/09/13,50.537
2016/09/14,48.182
2016/09/15,48.12
2016/09/16,48.199
2016/09/17,49.182
2016/09/18,50.093
2016/09/19,50.823
2016/09/20,51.016
2016/09/21,51.049
2016/09/22,48.09
2016/09/23,50.86
2016/09/24,50.779
2016/09/25,50.803
2016/09/26,50.744
2016/09/27,50.781
2016/09/28,50.836
2016/09/29,50.844
2016/09/30,50.844
2016/10/01,48.833
2016/10/02,50.77
2016/10/03,50.787
