Date,price90wmaUSD
2016/01/01,0.883
2016/01/02,0.886
2016/01/03,0.889
2016/01/04,0.892
2016/01/05,0.895
2016/01/06,0.898
2016/01/07,0.901
2016/01/08,0.904
2016/01/09,0.909
2016/01/10,0.914
2016/01/11,0.918
2016/01/12,0.925
2016/01/13,0.93
2016/01/14,0.936
2016/01/15,0.944
2016/01/16,0.951
2016/01/17,0.958
2016/01/18,0.97
2016/01/19,0.979
2016/01/20,0.991
2016/01/21,1.004
2016/01/22,1.016
2016/01/23,1.033
2016/01/24,1.059
2016/01/25,1.088
2016/01/26,1.122
2016/01/27,1.152
2016/01/28,1.184
2016/01/29,1.216
2016/01/30,1.248
2016/01/31,1.276
2016/02/01,1.3
2016/02/02,1.325
2016/02/03,1.353
2016/02/04,1.383
2016/02/05,1.413
2016/02/06,1.442
2016/02/07,1.475
2016/02/08,1.516
2016/02/09,1.565
2016/02/10,1.633
2016/02/11,1.713
2016/02/12,1.813
2016/02/13,1.891
2016/02/14,1.966
2016/02/15,2.053
2016/02/16,2.126
2016/02/17,2.181
2016/02/18,2.234
2016/02/19,2.296
2016/02/20,2.356
2016/02/21,2.415
2016/02/22,2.488
2016/02/23,2.573
2016/02/24,2.659
2016/02/25,2.754
2016/02/26,2.842
2016/02/27,2.933
2016/02/28,3.028
2016/02/29,3.122
2016/03/01,3.221
2016/03/02,3.345
2016/03/03,3.496
2016/03/04,3.645
2016/03/05,3.833
2016/03/06,4.018
2016/03/07,4.184
2016/03/08,4.331
2016/03/09,4.497
2016/03/10,4.684
2016/03/11,4.857
2016/03/12,5.067
2016/03/13,5.305
2016/03/14,5.521
2016/03/15,5.718
2016/03/16,5.923
2016/03/17,6.089
2016/03/18,6.222
2016/03/19,6.361
2016/03/20,6.49
2016/03/21,6.633
2016/03/22,6.788
2016/03/23,6.945
2016/03/24,7.089
2016/03/25,7.218
2016/03/26,7.345
2016/03/27,7.466
2016/03/28,7.597
2016/03/29,7.732
2016/03/30,7.871
2016/03/31,8.006
2016/04/01,8.134
2016/04/02,8.258
2016/04/03,8.379
2016/04/04,8.493
2016/04/05,8.592
2016/04/06,8.686
2016/04/07,8.773
2016/04/08,8.846
2016/04/09,8.912
2016/04/10,8.954
2016/04/11,8.991
2016/04/12,9.012
2016/04/13,9.031
2016/04/14,9.06
2016/04/15,9.087
2016/04/16,9.111
2016/04/17,9.154
2016/04/18,9.192
2016/04/19,9.227
2016/04/20,9.25
2016/04/21,9.269
2016/04/22,9.276
2016/04/23,9.281
2016/04/24,9.289
2016/04/25,9.287
2016/04/26,9.274
2016/04/27,9.265
2016/04/28,9.251
2016/04/29,9.237
2016/04/30,9.239
2016/05/01,9.25
2016/05/02,9.278
2016/05/03,9.305
2016/05/04,9.329
2016/05/05,9.352
2016/05/06,9.375
2016/05/07,9.389
2016/05/08,9.4
2016/05/09,9.413
2016/05/10,9.423
2016/05/11,9.439
2016/05/12,9.463
2016/05/13,9.496
2016/05/14,9.52
2016/05/15,9.541
2016/05/16,9.569
2016/05/17,9.622
2016/05/18,9.701
2016/05/19,9.799
2016/05/20,9.903
2016/05/21,9.99
2016/05/22,10.083
2016/05/23,10.175
2016/05/24,10.241
2016/05/25,10.293
2016/05/26,10.343
2016/05/27,10.367
2016/05/28,10.391
2016/05/29,10.429
2016/05/30,10.475
2016/05/31,10.537
2016/06/01,10.611
2016/06/02,10.683
2016/06/03,10.75
2016/06/04,10.816
2016/06/05,10.883
2016/06/06,10.952
2016/06/07,11.024
2016/06/08,11.105
2016/06/09,11.184
2016/06/10,11.254
2016/06/11,11.319
2016/06/12,11.403
2016/06/13,11.528
2016/06/14,11.688
2016/06/15,11.849
2016/06/16,12.034
2016/06/17,12.17
2016/06/18,12.206
2016/06/19,12.227
2016/06/20,12.237
2016/06/21,12.252
2016/06/22,12.316
2016/06/23,12.354
2016/06/24,12.409
2016/06/25,12.471
2016/06/26,12.526
2016/06/27,12.58
2016/06/28,12.616
2016/06/29,12.631
2016/06/30,12.652
2016/07/01,12.667
2016/07/02,12.678
2016/07/03,12.686
2016/07/04,12.687
2016/07/05,12.664
2016/07/06,12.643
2016/07/07,12.611
2016/07/08,12.587
2016/07/09,12.575
2016/07/10,12.56
2016/07/11,12.537
2016/07/12,12.513
2016/07/13,12.487
2016/07/14,12.474
2016/07/15,12.478
2016/07/16,12.479
2016/07/17,12.469
2016/07/18,12.459
2016/07/19,12.447
2016/07/20,12.452
2016/07/21,12.464
2016/07/22,12.498
2016/07/23,12.552
2016/07/24,12.581
2016/07/25,12.607
2016/07/26,12.621
2016/07/27,12.63
2016/07/28,12.64
2016/07/29,12.647
2016/07/30,12.652
2016/07/31,12.646
2016/08/01,12.626
2016/08/02,12.575
2016/08/03,12.511
2016/08/04,12.472
2016/08/05,12.437
2016/08/06,12.397
2016/08/07,12.361
2016/08/08,12.325
2016/08/09,12.305
2016/08/10,12.296
2016/08/11,12.278
2016/08/12,12.26
2016/08/13,12.238
2016/08/14,12.211
2016/08/15,12.178
2016/08/16,12.144
2016/08/17,12.107
2016/08/18,12.068
