Date,hashrate30var
2016/01/01,6.0267158506602E+20
2016/01/02,5.8252274527212E+20
2016/01/03,5.4415326161885E+20
2016/01/04,5.3453720207944E+20
2016/01/05,4.7430065888748E+20
2016/01/06,3.9545996062505E+20
2016/01/07,2.4653335805254E+20
2016/01/08,1.8395688870467E+20
2016/01/09,1.4450530804304E+20
2016/01/10,1.1987795788828E+20
2016/01/11,1.0998849959711E+20
2016/01/12,1.0443221878762E+20
2016/01/13,1.0962487406256E+20
2016/01/14,1.0414004897204E+20
2016/01/15,1.2009727397643E+20
2016/01/16,1.4660500186962E+20
2016/01/17,1.6317549785878E+20
2016/01/18,2.3236906171259E+20
2016/01/19,2.7232951540602E+20
2016/01/20,3.1224969758156E+20
2016/01/21,3.4302728954455E+20
2016/01/22,4.5858334066021E+20
2016/01/23,5.5221645685676E+20
2016/01/24,8.3481134696684E+20
2016/01/25,9.4055311089592E+20
2016/01/26,1.3252427074355E+21
2016/01/27,1.6112291218659E+21
2016/01/28,1.7966428204994E+21
2016/01/29,2.0336099765696E+21
2016/01/30,2.2465736672866E+21
2016/01/31,2.2614830395372E+21
2016/02/01,2.4085073266987E+21
2016/02/02,2.4322244786129E+21
2016/02/03,2.6542072366592E+21
2016/02/04,2.8373438632508E+21
2016/02/05,3.0118697593064E+21
2016/02/06,2.8927543823478E+21
2016/02/07,2.9378698198534E+21
2016/02/08,3.1097346093011E+21
2016/02/09,3.0083858962949E+21
2016/02/10,3.0761472900939E+21
2016/02/11,3.1437754127218E+21
2016/02/12,2.8861758309713E+21
2016/02/13,2.9869496454888E+21
2016/02/14,3.1463415402225E+21
2016/02/15,3.4040246457126E+21
2016/02/16,3.4738906453373E+21
2016/02/17,3.4724474739926E+21
2016/02/18,3.2649560154789E+21
2016/02/19,3.2455037857545E+21
2016/02/20,3.1345926459878E+21
2016/02/21,3.1733505491168E+21
2016/02/22,3.3725595077483E+21
2016/02/23,3.7540175037793E+21
2016/02/24,3.8619541767768E+21
2016/02/25,4.2205001177891E+21
2016/02/26,4.6694968978574E+21
2016/02/27,5.0790024308381E+21
2016/02/28,5.6574784081584E+21
2016/02/29,5.8318242758391E+21
2016/03/01,5.839249342071E+21
2016/03/02,6.3146335227935E+21
2016/03/03,6.5559463967901E+21
2016/03/04,7.2933617514934E+21
2016/03/05,8.4271102847914E+21
2016/03/06,9.4399702216066E+21
2016/03/07,1.0094916340692E+22
2016/03/08,1.0825627866103E+22
2016/03/09,1.1855083146762E+22
2016/03/10,1.2983332039388E+22
2016/03/11,1.4395474043575E+22
2016/03/12,1.6899680991841E+22
2016/03/13,2.0217532009218E+22
2016/03/14,2.2461921399257E+22
2016/03/15,2.5323022521196E+22
2016/03/16,2.8422226394862E+22
2016/03/17,3.1921753222554E+22
2016/03/18,3.4036953315599E+22
2016/03/19,3.6543518797759E+22
2016/03/20,3.9689160847273E+22
2016/03/21,4.1454620993442E+22
2016/03/22,4.3366194037632E+22
2016/03/23,4.347094459941E+22
2016/03/24,4.5361582279358E+22
2016/03/25,4.7945303363968E+22
2016/03/26,5.0813828724083E+22
2016/03/27,5.3566039106845E+22
2016/03/28,5.4539805222487E+22
2016/03/29,5.6396938538561E+22
2016/03/30,5.7296156872449E+22
2016/03/31,5.8674385045832E+22
2016/04/01,6.0082439654854E+22
2016/04/02,5.882313306962E+22
2016/04/03,5.9430208282702E+22
2016/04/04,6.2207795878963E+22
2016/04/05,6.3735074926466E+22
2016/04/06,6.3198330806968E+22
2016/04/07,5.965649259866E+22
2016/04/08,5.9212825862236E+22
2016/04/09,5.804335016307E+22
