Date,sentbyaddress
2016/11/14,7635
2016/11/15,8371
2016/11/16,7837
2016/11/17,7807
2016/11/18,8083
2016/11/19,7433
2016/11/20,7764
2016/11/21,7980
2016/11/22,21813
2016/11/23,30063
2016/11/24,5263
2016/11/25,22868
2016/11/26,5799
2016/11/27,6104
2016/11/28,7463
2016/11/29,6915
2016/11/30,7147
2016/12/01,6727
2016/12/02,7390
2016/12/03,9250
2016/12/04,9378
2016/12/05,7684
2016/12/06,9746
2016/12/07,6604
2016/12/08,6817
2016/12/09,8540
2016/12/10,7015
2016/12/11,7686
2016/12/12,7752
2016/12/13,7100
2016/12/14,8898
2016/12/15,9998
2016/12/16,7796
2016/12/17,7685
2016/12/18,7441
2016/12/19,8044
2016/12/20,8535
2016/12/21,8839
2016/12/22,8766
2016/12/23,7693
2016/12/24,7159
2016/12/25,6388
2016/12/26,6498
2016/12/27,7156
2016/12/28,7699
2016/12/29,8536
2016/12/30,7878
2016/12/31,8545
2017/01/01,6511
2017/01/02,7688
2017/01/03,8512
2017/01/04,10889
2017/01/05,10244
2017/01/06,10350
2017/01/07,8745
2017/01/08,7912
2017/01/09,10006
2017/01/10,8381
2017/01/11,9143
2017/01/12,9360
2017/01/13,8588
2017/01/14,7887
2017/01/15,7294
2017/01/16,9257
2017/01/17,8454
2017/01/18,7951
2017/01/19,8829
2017/01/20,9280
2017/01/21,8307
2017/01/22,7853
2017/01/23,8372
2017/01/24,8517
2017/01/25,7811
2017/01/26,8284
2017/01/27,7909
2017/01/28,7763
2017/01/29,7392
2017/01/30,8414
2017/01/31,8260
2017/02/01,8375
2017/02/02,8833
2017/02/03,8164
2017/02/04,8986
2017/02/05,9134
2017/02/06,9152
2017/02/07,8813
2017/02/08,9030
2017/02/09,8973
2017/02/10,10069
2017/02/11,8362
2017/02/12,9018
2017/02/13,11165
2017/02/14,11010
2017/02/15,10848
2017/02/16,9865
2017/02/17,9838
2017/02/18,10723
2017/02/19,9117
2017/02/20,10281
2017/02/21,9856
2017/02/22,9709
2017/02/23,9504
2017/02/24,10657
2017/02/25,10034
2017/02/26,10191
2017/02/27,11217
2017/02/28,13620
2017/03/01,14269
2017/03/02,21546
2017/03/03,16118
2017/03/04,14069
2017/03/05,13730
2017/03/06,13793
2017/03/07,12556
2017/03/08,12871
2017/03/09,14958
2017/03/10,16030
2017/03/11,14851
2017/03/12,16979
2017/03/13,23209
2017/03/14,19439
2017/03/15,20112
2017/03/16,29444
2017/03/17,28826
2017/03/18,23897
2017/03/19,20170
2017/03/20,20419
2017/03/21,20609
2017/03/22,18964
2017/03/23,18984
2017/03/24,23576
2017/03/25,21673
2017/03/26,18709
2017/03/27,21781
2017/03/28,20434
2017/03/29,20753
2017/03/30,25204
2017/03/31,30937
2017/04/01,20449
2017/04/02,23267
2017/04/03,29661
2017/04/04,22527
2017/04/05,23591
2017/04/06,26864
2017/04/07,19736
2017/04/08,17676
2017/04/09,16166
2017/04/10,19423
2017/04/11,18808
2017/04/12,20161
2017/04/13,21678
2017/04/14,19803
2017/04/15,18411
2017/04/16,15288
2017/04/17,16721
2017/04/18,19892
2017/04/19,20316
2017/04/20,21016
2017/04/21,18218
2017/04/22,17112
2017/04/23,17448
2017/04/24,20726
2017/04/25,19908
2017/04/26,20665
2017/04/27,29736
2017/04/28,26253
2017/04/29,22754
2017/04/30,25037
2017/05/01,28430
2017/05/02,28032
2017/05/03,23952
2017/05/04,30710
2017/05/05,30332
2017/05/06,25424
2017/05/07,29273
2017/05/08,36709
2017/05/09,32256
2017/05/10,29323
2017/05/11,31967
2017/05/12,29061
2017/05/13,24739
2017/05/14,26087
2017/05/15,32247
2017/05/16,32063
2017/05/17,39035
2017/05/18,37851
2017/05/19,48426
2017/05/20,35710
2017/05/21,37460
2017/05/22,45948
2017/05/23,48510
2017/05/24,50560
2017/05/25,49905
2017/05/26,47245
2017/05/27,38766
2017/05/28,37142
2017/05/29,41825
2017/05/30,50693
2017/05/31,67708
2017/06/01,62824
2017/06/02,49256
2017/06/03,48993
2017/06/04,48682
2017/06/05,56116
2017/06/06,55596
2017/06/07,54607
2017/06/08,49390
2017/06/09,60241
2017/06/10,59854
2017/06/11,68811
2017/06/12,94846
2017/06/13,85554
2017/06/14,75601
2017/06/15,78059
2017/06/16,68726
2017/06/17,69795
2017/06/18,72037
2017/06/19,78328
2017/06/20,92064
2017/06/21,90089
2017/06/22,89360
2017/06/23,82559
2017/06/24,77939
2017/06/25,68879
2017/06/26,102449
2017/06/27,82094
2017/06/28,0
2017/06/29,77162
2017/06/30,75721
2017/07/01,72178
2017/07/02,70247
2017/07/03,87207
2017/07/04,86377
2017/07/05,75556
2017/07/06,72799
2017/07/07,91070
2017/07/08,63489
2017/07/09,60670
2017/07/10,82854
2017/07/11,79359
2017/07/12,76878
2017/07/13,64635
2017/07/14,62948
2017/07/15,63100
2017/07/16,61232
2017/07/17,66678
2017/07/18,71930
2017/07/19,74626
2017/07/20,70092
2017/07/21,61959
2017/07/22,53556
2017/07/23,86303
2017/07/24,67537
2017/07/25,63230
2017/07/26,58899
2017/07/27,62728
2017/07/28,63849
2017/07/29,52403
2017/07/30,52838
2017/07/31,79658
2017/08/01,60164
2017/08/02,64945
2017/08/03,64518
2017/08/04,71796
2017/08/05,74476
2017/08/06,69967
2017/08/07,79241
2017/08/08,90294
2017/08/09,83024
2017/08/10,96726
2017/08/11,97324
2017/08/12,91122
2017/08/13,83222
2017/08/14,109739
2017/08/15,110943
2017/08/16,111148
2017/08/17,112519
2017/08/18,121847
2017/08/19,94861
2017/08/20,85369
2017/08/21,107023
2017/08/22,99008
2017/08/23,106001
2017/08/24,91010
2017/08/25,99520
2017/08/26,74622
2017/08/27,79514
2017/08/28,93867
2017/08/29,109274
2017/08/30,110221
2017/08/31,117304
2017/09/01,110887
2017/09/02,90131
2017/09/03,79133
2017/09/04,131747
2017/09/05,122120
2017/09/06,127322
2017/09/07,116155
2017/09/08,114649
2017/09/09,101916
2017/09/10,80432
2017/09/11,102914
2017/09/12,125664
2017/09/13,108807
2017/09/14,123989
2017/09/15,132991
2017/09/16,90924
2017/09/17,68603
2017/09/18,99542
2017/09/19,98521
2017/09/20,94595
2017/09/21,87011
2017/09/22,73201
2017/09/23,76864
2017/09/24,82678
2017/09/25,90409
2017/09/26,83226
2017/09/27,83120
2017/09/28,94611
2017/09/29,94935
2017/09/30,84594
2017/10/01,73202
2017/10/02,84804
2017/10/03,88539
2017/10/04,81396
2017/10/05,87219
2017/10/06,82348
2017/10/07,80277
2017/10/08,81155
2017/10/09,85010
2017/10/10,102440
2017/10/11,105055
2017/10/12,100929
2017/10/13,117016
2017/10/14,93163
2017/10/15,84389
2017/10/16,85490
2017/10/17,128391
2017/10/18,102853
2017/10/19,92370
2017/10/20,110607
2017/10/21,104675
2017/10/22,134249
2017/10/23,107199
2017/10/24,107759
2017/10/25,95840
2017/10/26,95611
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,132250
2017/11/02,147281
2017/11/03,115377
2017/11/04,93122
2017/11/05,91437
2017/11/06,107385
2017/11/07,109020
2017/11/08,120057
2017/11/09,122768
2017/11/10,113268
2017/11/11,100902
2017/11/12,117244
2017/11/13,110816
2017/11/14,126232
2017/11/15,143215
2017/11/16,125820
2017/11/17,137719
2017/11/18,114398
2017/11/19,118899
2017/11/20,128400
2017/11/21,140724
2017/11/22,142280
2017/11/23,138218
2017/11/24,135032
2017/11/25,134514
2017/11/26,138700
2017/11/27,170477
2017/11/28,173676
2017/11/29,189342
2017/11/30,171516
2017/12/01,147037
2017/12/02,155188
