Date,fee_to_reward14rocUSD
2016/01/01,-50.311
2016/01/02,-34.017
2016/01/03,-45.985
2016/01/04,-47.521
2016/01/05,-0.579
2016/01/06,-18.443
2016/01/07,39.078
2016/01/08,-7.026
2016/01/09,20.234
2016/01/10,-69.215
2016/01/11,-29.667
2016/01/12,-20.123
2016/01/13,-20.013
2016/01/14,6.932
2016/01/15,44.685
2016/01/16,21.454
2016/01/17,-8.48
2016/01/18,50.416
2016/01/19,-35.871
2016/01/20,-69.797
2016/01/21,-67.236
2016/01/22,27.573
2016/01/23,-52.158
2016/01/24,-9.376
2016/01/25,65.024
2016/01/26,41.631
2016/01/27,-3.28
2016/01/28,56.5
2016/01/29,64.578
2016/01/30,55.433
2016/01/31,103.707
2016/02/01,3.53
2016/02/02,-17.057
2016/02/03,41.182
2016/02/04,56.079
2016/02/05,19.446
2016/02/06,592.583
2016/02/07,101.715
2016/02/08,-13.762
2016/02/09,30.086
2016/02/10,1.317
2016/02/11,9.969
2016/02/12,-12.859
2016/02/13,0.638
2016/02/14,-19.376
2016/02/15,-2.816
2016/02/16,11.028
2016/02/17,54.287
2016/02/18,-8.265
2016/02/19,-2.785
2016/02/20,-78.517
2016/02/21,-40.582
2016/02/22,-10.511
2016/02/23,93.142
2016/02/24,-11.371
2016/02/25,-31.357
2016/02/26,52.345
2016/02/27,-19.145
2016/02/28,4.513
2016/02/29,11.104
2016/03/01,1.113
2016/03/02,-8.197
2016/03/03,20.695
2016/03/04,-4.955
2016/03/05,26.932
2016/03/06,41.465
2016/03/07,-3.789
2016/03/08,-65.587
2016/03/09,-47.888
2016/03/10,-34.229
2016/03/11,-60.913
2016/03/12,-14.123
2016/03/13,-13.852
2016/03/14,-18.445
2016/03/15,-38.866
2016/03/16,-46.756
2016/03/17,-27.029
2016/03/18,-32.43
2016/03/19,7.684
2016/03/20,-23.237
2016/03/21,-10.405
2016/03/22,-31.897
2016/03/23,3.148
2016/03/24,66.783
2016/03/25,71.366
2016/03/26,17.852
2016/03/27,-35.282
2016/03/28,-20.05
2016/03/29,-1.286
2016/03/30,46.146
2016/03/31,-18.328
2016/04/01,-13.238
2016/04/02,-57.408
2016/04/03,-49.768
2016/04/04,-24.795
2016/04/05,9.295
2016/04/06,-33.188
2016/04/07,-46.349
2016/04/08,-37.568
2016/04/09,-40.495
2016/04/10,0.482
2016/04/11,-28.24
2016/04/12,-3.851
2016/04/13,-6.74
2016/04/14,24.688
2016/04/15,-3.279
2016/04/16,-5.952
2016/04/17,65.015
2016/04/18,-18.64
2016/04/19,-32.198
2016/04/20,7.918
2016/04/21,39.501
2016/04/22,-17.01
2016/04/23,-4.802
2016/04/24,16.399
2016/04/25,22.13
2016/04/26,-5.255
2016/04/27,-37.877
2016/04/28,-28.265
2016/04/29,0.915
2016/04/30,83.154
2016/05/01,26.437
2016/05/02,36
2016/05/03,38.04
2016/05/04,15.839
2016/05/05,1.397
2016/05/06,68.644
2016/05/07,23.969
2016/05/08,26.981
2016/05/09,12.075
2016/05/10,25.73
2016/05/11,56.808
2016/05/12,69.519
2016/05/13,79.217
2016/05/14,10.475
2016/05/15,-16.901
2016/05/16,1.819
2016/05/17,4.51
2016/05/18,24.758
2016/05/19,7.191
2016/05/20,7.502
2016/05/21,47.065
2016/05/22,-0.698
2016/05/23,11.829
2016/05/24,2.672
2016/05/25,0.167
2016/05/26,-8.272
2016/05/27,-11.453
2016/05/28,103.795
2016/05/29,23.913
2016/05/30,14.157
2016/05/31,12.704
2016/06/01,-9.845
2016/06/02,-22.437
2016/06/03,-33.614
2016/06/04,-32.167
2016/06/05,-15.21
2016/06/06,-13.175
2016/06/07,134.064
2016/06/08,-12.506
2016/06/09,-18.77
2016/06/10,-20.582
2016/06/11,-62.494
2016/06/12,-25.176
2016/06/13,15.232
2016/06/14,20.806
2016/06/15,-1.583
2016/06/16,58.681
2016/06/17,737.476
2016/06/18,901.072
2016/06/19,113.541
2016/06/20,102.235
2016/06/21,7.711
2016/06/22,77.398
2016/06/23,11.617
2016/06/24,31.316
2016/06/25,6.022
2016/06/26,-6.107
2016/06/27,-24.44
2016/06/28,-16.276
2016/06/29,85.239
2016/06/30,112.97
2016/07/01,-78.896
2016/07/02,-89.938
2016/07/03,-40.763
2016/07/04,-48.45
2016/07/05,-57.539
2016/07/06,-41.261
2016/07/07,-16.62
2016/07/08,0.342
2016/07/09,65.729
2016/07/10,1.993
2016/07/11,3.066
2016/07/12,2.764
2016/07/13,-56.364
2016/07/14,-62.651
2016/07/15,-34.094
2016/07/16,-2.839
2016/07/17,-35.21
2016/07/18,-5.544
2016/07/19,-4.179
2016/07/20,155.182
2016/07/21,24.368
2016/07/22,-3.853
2016/07/23,-31.367
2016/07/24,36.545
2016/07/25,37.894
2016/07/26,43.356
2016/07/27,49.62
2016/07/28,90.054
2016/07/29,55.695
2016/07/30,27.204
2016/07/31,51.259
2016/08/01,22.116
2016/08/02,18.216
2016/08/03,-55.576
2016/08/04,-5.283
2016/08/05,-22.681
2016/08/06,-18.918
2016/08/07,-27.661
2016/08/08,35.555
2016/08/09,-34.847
2016/08/10,-10.463
2016/08/11,-48.49
2016/08/12,-34.415
2016/08/13,-17.215
2016/08/14,-19.51
2016/08/15,-12.803
2016/08/16,-10.167
2016/08/17,-14.027
2016/08/18,10.59
2016/08/19,2.493
2016/08/20,-0.48
2016/08/21,2.693
2016/08/22,-44.701
2016/08/23,130.978
2016/08/24,-10.645
2016/08/25,1.417
2016/08/26,5.917
2016/08/27,12.478
2016/08/28,5.764
2016/08/29,9.194
2016/08/30,3.849
2016/08/31,4.125
2016/09/01,-8.48
2016/09/02,48.677
2016/09/03,4.911
2016/09/04,74.573
2016/09/05,-3.943
2016/09/06,-52.56
2016/09/07,14.294
2016/09/08,26.888
2016/09/09,31.122
2016/09/10,-2.474
2016/09/11,9.835
2016/09/12,17.761
2016/09/13,-5.861
2016/09/14,19.337
2016/09/15,12.145
2016/09/16,4.343
2016/09/17,26.619
2016/09/18,-35.238
2016/09/19,-11.107
2016/09/20,-4.74
2016/09/21,-11.733
2016/09/22,45.344
2016/09/23,7.691
2016/09/24,138.408
2016/09/25,114.448
2016/09/26,218.98
2016/09/27,176.452
2016/09/28,86.888
2016/09/29,13.302
2016/09/30,-12.763
2016/10/01,130.999
2016/10/02,135.381
2016/10/03,146.488
2016/10/04,160.263
2016/10/05,96.3
2016/10/06,-20.561
2016/10/07,-2.875
2016/10/08,-26.942
2016/10/09,-7.164
2016/10/10,-53.233
2016/10/11,-54.818
2016/10/12,-37.931
2016/10/13,139.017
2016/10/14,76.191
2016/10/15,-16.176
2016/10/16,-15.162
2016/10/17,11.289
2016/10/18,8.58
2016/10/19,45.627
2016/10/20,4.819
2016/10/21,-4.869
2016/10/22,-42.009
2016/10/23,-52.216
2016/10/24,-7.06
2016/10/25,14.093
2016/10/26,-15.017
2016/10/27,-65.172
2016/10/28,-48.45
2016/10/29,-50.653
2016/10/30,-52.316
2016/10/31,-52.015
2016/11/01,-52.59
2016/11/02,-65.007
2016/11/03,-39.023
2016/11/04,-45.615
2016/11/05,-10.261
2016/11/06,-12.73
2016/11/07,-42.085
2016/11/08,-28.491
2016/11/09,2.446
2016/11/10,6.698
2016/11/11,17.009
2016/11/12,-8.242
2016/11/13,9.994
2016/11/14,15.209
2016/11/15,-12.609
2016/11/16,18.061
2016/11/17,3.845
2016/11/18,48.595
2016/11/19,10.253
2016/11/20,36.853
2016/11/21,27.156
2016/11/22,25.575
