Date,hashrate
2016/08/07,4057566463839
2016/08/08,4136885718543
2016/08/09,4353321145857
2016/08/10,4442388028996
2016/08/11,4539975826097
2016/08/12,4528215404511
2016/08/13,4479007633116
2016/08/14,4489678502019
2016/08/15,4511128562479
2016/08/16,4622474361691
2016/08/17,4616770688048
2016/08/18,4716782171136
2016/08/19,4666174949021
2016/08/20,4808963420746
2016/08/21,4859174821378
2016/08/22,4890827822999
2016/08/23,4979463377275
2016/08/24,4968598031878
2016/08/25,5076635939694
2016/08/26,5242074400511
2016/08/27,5240906111792
2016/08/28,5174788189237
2016/08/29,5109615112202
2016/08/30,5105237416201
2016/08/31,5212281330355
2016/09/01,5264592356650
2016/09/02,5339215306304
2016/09/03,5064148018535
2016/09/04,4926821438165
2016/09/05,5115919825049
2016/09/06,5066067359084
2016/09/07,5191916302042
2016/09/08,5135603106466
2016/09/09,5165513697069
2016/09/10,5212562052532
2016/09/11,5414214307149
2016/09/12,5397753845864
2016/09/13,5368991270296
2016/09/14,5550815463191
2016/09/15,5538613239828
2016/09/16,5504613845325
2016/09/17,5705668907509
2016/09/18,5038401364910
2016/09/19,5154735261225
2016/09/20,5747673908171
2016/09/21,5918559502963
2016/09/22,5407052047400
2016/09/23,5966677050154
2016/09/24,5986874545945
2016/09/25,6210908011922
2016/09/26,5860603209924
2016/09/27,6183216760227
2016/09/28,6242795375692
2016/09/29,6382146651150
2016/09/30,6211431586203
2016/10/01,6429507249084
2016/10/02,6609471605187
2016/10/03,6475198340174
2016/10/04,6617234595975
2016/10/05,6578741272468
2016/10/06,6633222989212
2016/10/07,6419073464507
2016/10/08,6690447174344
2016/10/09,6812695135426
2016/10/10,6855611030795
2016/10/11,6936505421897
2016/10/12,6697249894525
2016/10/13,6954090469601
2016/10/14,7223457825489
2016/10/15,7301581737604
2016/10/16,7491259106460
2016/10/17,7123331984755
2016/10/18,7389812047545
2016/10/19,7384622520342
2016/10/20,7641027798448
2016/10/21,7757501088671
2016/10/22,7767737651432
2016/10/23,7558216010463
2016/10/24,7712454634484
2016/10/25,7817568737950
2016/10/26,7897002715176
2016/10/27,7754708478185
2016/10/28,7447345107079
2016/10/29,5934101483043
2016/10/30,5767185826259
2016/10/31,6170146292986
2016/11/01,5264344460861
2016/11/02,4743955573511
2016/11/03,4528247898556
2016/11/04,4164223377819
2016/11/05,3926610001662
2016/11/06,3870623424145
2016/11/07,4600510545734
2016/11/08,5126400228977
2016/11/09,5000551438007
2016/11/10,4596658342083
2016/11/11,4470953656485
2016/11/12,4556290367110
2016/11/13,4936709823390
2016/11/14,5122431700696
2016/11/15,5155448643602
2016/11/16,5050248888061
2016/11/17,4837876540772
2016/11/18,5192955809769
2016/11/19,5480853319418
2016/11/20,5988916058367
2016/11/21,6324216351917
2016/11/22,5955185513094
2016/11/23,5901229126833
2016/11/24,5290842718223
2016/11/25,5298406734969
2016/11/26,5361820116963
2016/11/27,5348315574625
2016/11/28,5543472225129
2016/11/29,5451866153863
2016/11/30,5209584283120
2016/12/01,5268317373670
2016/12/02,5341342479592
2016/12/03,5613994404618
2016/12/04,5551353977925
2016/12/05,5410063894432
2016/12/06,5366883343469
2016/12/07,5497013104241
2016/12/08,5783461856585
2016/12/09,5914498236056
2016/12/10,6040528556964
2016/12/11,6205280528794
2016/12/12,5974147134604
2016/12/13,6168933997548
2016/12/14,6132463114477
2016/12/15,6097211968301
2016/12/16,6289786272862
2016/12/17,6369426664620
2016/12/18,6595238075294
2016/12/19,6587402137653
2016/12/20,6748577273753
2016/12/21,6697088680121
2016/12/22,6475574731777
2016/12/23,6022843642180
2016/12/24,5671700772749
2016/12/25,5939614677772
2016/12/26,6147497385530
2016/12/27,5944281884058
2016/12/28,5906054665049
2016/12/29,5885490261280
2016/12/30,5892064520235
2016/12/31,5957323400156
2017/01/01,5962954525922
2017/01/02,5980211427913
2017/01/03,5984178836632
2017/01/04,6603631484689
2017/01/05,6749130445039
2017/01/06,6783053065833
2017/01/07,7025644445007
2017/01/08,7052193421394
2017/01/09,7280987777442
2017/01/10,7282948747267
2017/01/11,7356760661755
2017/01/12,7432161814724
2017/01/13,7568450607947
2017/01/14,7587787876489
2017/01/15,7741465213588
2017/01/16,7734976409405
2017/01/17,7657616507291
2017/01/18,7593546802973
2017/01/19,8111084485563
2017/01/20,7838909666799
2017/01/21,8044098901852
2017/01/22,8084044428462
2017/01/23,8232968691545
2017/01/24,8124636572855
2017/01/25,8145156577091
2017/01/26,8367276354162
2017/01/27,8243101735427
2017/01/28,8278939903902
2017/01/29,8116559422024
2017/01/30,8343037780448
2017/01/31,8338932534519
2017/02/01,8225635341901
2017/02/02,8407666756899
2017/02/03,8271396566721
2017/02/04,8428021808832
2017/02/05,8774812257046
2017/02/06,8875580182846
2017/02/07,8865609825593
2017/02/08,8983095244664
2017/02/09,8945633844956
2017/02/10,9217779993315
2017/02/11,9274787676125
2017/02/12,9392533947270
2017/02/13,9522655901119
2017/02/14,9632194825209
2017/02/15,9670953372908
2017/02/16,9633921231401
2017/02/17,9813753369307
2017/02/18,9910632573280
2017/02/19,10076262978739
2017/02/20,10118135044858
2017/02/21,10346070101240
2017/02/22,10222183307433
2017/02/23,10250363193032
2017/02/24,10300750497953
2017/02/25,10612939587663
2017/02/26,11038763955106
2017/02/27,11078623264907
2017/02/28,11579003227419
2017/03/01,11192778816831
2017/03/02,11370841358481
2017/03/03,11790130545656
2017/03/04,11641557927748
2017/03/05,12169536312718
2017/03/06,12201281755910
2017/03/07,12126214131965
2017/03/08,12565722668665
2017/03/09,12593048536828
2017/03/10,12622672673823
2017/03/11,12870787395445
2017/03/12,12911525663913
2017/03/13,13436176110758
2017/03/14,13253974171555
2017/03/15,13629941371841
2017/03/16,13792475423742
2017/03/17,14519820538547
2017/03/18,14696883239651
2017/03/19,13914394691333
2017/03/20,14862975859188
2017/03/21,14561766877646
2017/03/22,14911469979000
2017/03/23,15425886961445
2017/03/24,15334129933486
2017/03/25,15438555150946
2017/03/26,16222645176266
2017/03/27,16892212352617
2017/03/28,16458794418227
2017/03/29,17141183652411
2017/03/30,17183397785954
2017/03/31,17642576203344
2017/04/01,17341834914855
2017/04/02,17320601567507
2017/04/03,16563173217425
2017/04/04,17592069988088
2017/04/05,18094393499611
2017/04/06,17966797013807
2017/04/07,18252581031231
2017/04/08,18343845646431
2017/04/09,18006639650478
2017/04/10,18072135432281
2017/04/11,18670212999138
2017/04/12,18558538230555
2017/04/13,18202235778270
2017/04/14,19836962402149
2017/04/15,19258952698128
2017/04/16,19594368968029
2017/04/17,19889026965111
2017/04/18,20298692148239
2017/04/19,20079153889145
2017/04/20,20288754675160
2017/04/21,20804783410412
2017/04/22,20900639480556
2017/04/23,21389227083454
2017/04/24,20668784361415
2017/04/25,21580963790187
2017/04/26,21293433595605
2017/04/27,21615736970064
2017/04/28,22953067545661
2017/04/29,23466987418261
2017/04/30,22938986695269
2017/05/01,23204421241332
2017/05/02,23246153355565
2017/05/03,23613726543062
2017/05/04,23268341687478
2017/05/05,24464896023967
2017/05/06,24414531910224
2017/05/07,24861102254737
2017/05/08,24481903267426
2017/05/09,25605313998653
2017/05/10,25350224219782
2017/05/11,25795186438819
2017/05/12,26695341935412
2017/05/13,26051389681105
2017/05/14,26883364411734
2017/05/15,27814805765594
2017/05/16,28229905680239
2017/05/17,26763741801487
2017/05/18,27739997833515
2017/05/19,28818324304260
2017/05/20,29607032640269
2017/05/21,30499285609706
2017/05/22,31381775201643
2017/05/23,30235255599301
2017/05/24,30980176158629
2017/05/25,31136245767636
2017/05/26,31203740130239
2017/05/27,32146815826109
2017/05/28,31939185482570
2017/05/29,34018541222590
2017/05/30,36264049064390
2017/05/31,35306634737651
2017/06/01,37248785117661
