Date,difficulty90std
2016/01/01,1865246092964
2016/01/02,1849453311313
2016/01/03,1837718071861
2016/01/04,1824937210232
2016/01/05,1799829104505
2016/01/06,1774791232949
2016/01/07,1750003115370
2016/01/08,1721250137623
2016/01/09,1697358658671
2016/01/10,1670117538691
2016/01/11,1660540110177
2016/01/12,1655471439630
2016/01/13,1628121088229
2016/01/14,1584117474304
2016/01/15,1554264554985
2016/01/16,1526423149740
2016/01/17,1486731454181
2016/01/18,1452191444234
2016/01/19,1418926616173
2016/01/20,1364036086596
2016/01/21,1321721411173
2016/01/22,1318022531245
2016/01/23,1336778752827
2016/01/24,1352866975006
2016/01/25,1376712834476
2016/01/26,1429620417595
2016/01/27,1498871540752
2016/01/28,1549454155197
2016/01/29,1630629560130
2016/01/30,1704528753287
2016/01/31,1760541837007
2016/02/01,1815958971322
2016/02/02,1863343186352
2016/02/03,1913138109938
2016/02/04,1972863144629
2016/02/05,2030173891912
2016/02/06,2071171452186
2016/02/07,2118545991297
2016/02/08,2187660010681
2016/02/09,2234638026201
2016/02/10,2300309727049
2016/02/11,2381784983312
2016/02/12,2435432826622
2016/02/13,2518250997811
2016/02/14,2618660904651
2016/02/15,2731941874442
2016/02/16,2831576473018
2016/02/17,2928279628529
2016/02/18,2983290775100
2016/02/19,3047729141373
2016/02/20,3112949472484
2016/02/21,3180391202517
2016/02/22,3268540922856
2016/02/23,3364636335602
2016/02/24,3443478905404
2016/02/25,3512050299744
2016/02/26,3604792442908
2016/02/27,3717627708031
2016/02/28,3832079779771
2016/02/29,3950306384314
2016/03/01,4033060460457
2016/03/02,4129421531576
2016/03/03,4256029773995
2016/03/04,4410425852095
2016/03/05,4564547299001
2016/03/06,4752839533527
2016/03/07,4911126127207
2016/03/08,5068726285800
2016/03/09,5245407176098
2016/03/10,5422197470935
2016/03/11,5623284033230
2016/03/12,5876369455180
2016/03/13,6141788835124
2016/03/14,6384519003295
2016/03/15,6481958082318
2016/03/16,6583703489943
2016/03/17,6689441738024
