Date,activeaddresses30ema
2016/01/01,3216
2016/01/02,3235
2016/01/03,3256
2016/01/04,3283
2016/01/05,3307
2016/01/06,3341
2016/01/07,3387
2016/01/08,3419
2016/01/09,3445
2016/01/10,3483
2016/01/11,3534
2016/01/12,3588
2016/01/13,3619
2016/01/14,3642
2016/01/15,3690
2016/01/16,3703
2016/01/17,3706
2016/01/18,3746
2016/01/19,3768
2016/01/20,3830
2016/01/21,3851
2016/01/22,3883
2016/01/23,3944
2016/01/24,4030
2016/01/25,4135
2016/01/26,4259
2016/01/27,4344
2016/01/28,4457
2016/01/29,4551
2016/01/30,4640
2016/01/31,4733
2016/02/01,4802
2016/02/02,4864
2016/02/03,4931
2016/02/04,4976
2016/02/05,5066
2016/02/06,5090
2016/02/07,5128
2016/02/08,5197
2016/02/09,5285
2016/02/10,5461
2016/02/11,5763
2016/02/12,5945
2016/02/13,6090
2016/02/14,6172
2016/02/15,6267
2016/02/16,6356
2016/02/17,6452
2016/02/18,6526
2016/02/19,6601
2016/02/20,6642
2016/02/21,6745
2016/02/22,6840
2016/02/23,6932
2016/02/24,7013
2016/02/25,7134
2016/02/26,7197
2016/02/27,7263
2016/02/28,7359
2016/02/29,7486
2016/03/01,7659
2016/03/02,7885
2016/03/03,8141
2016/03/04,8370
2016/03/05,8702
2016/03/06,8980
2016/03/07,9092
2016/03/08,9310
2016/03/09,9489
2016/03/10,9727
2016/03/11,9893
2016/03/12,10135
2016/03/13,10347
2016/03/14,10587
2016/03/15,10798
2016/03/16,10980
2016/03/17,11172
2016/03/18,11434
2016/03/19,11582
2016/03/20,11734
2016/03/21,11870
2016/03/22,11994
2016/03/23,12165
2016/03/24,12279
2016/03/25,12404
2016/03/26,12490
2016/03/27,12642
2016/03/28,12795
2016/03/29,13048
2016/03/30,13345
2016/03/31,13491
2016/04/01,13599
2016/04/02,13683
2016/04/03,13791
2016/04/04,13944
2016/04/05,14125
2016/04/06,14229
2016/04/07,14403
2016/04/08,14457
2016/04/09,14588
2016/04/10,14745
2016/04/11,14841
2016/04/12,14970
2016/04/13,15134
2016/04/14,15250
2016/04/15,15320
2016/04/16,15387
2016/04/17,15501
2016/04/18,15611
2016/04/19,15706
2016/04/20,15820
2016/04/21,15916
2016/04/22,15992
2016/04/23,16054
2016/04/24,16154
2016/04/25,16241
2016/04/26,16336
2016/04/27,16426
2016/04/28,16481
2016/04/29,16700
2016/04/30,17297
2016/05/01,17504
2016/05/02,17909
2016/05/03,18085
2016/05/04,18212
2016/05/05,18352
2016/05/06,18475
2016/05/07,18554
2016/05/08,18755
2016/05/09,18984
2016/05/10,19142
2016/05/11,19441
2016/05/12,19734
2016/05/13,20153
2016/05/14,20390
2016/05/15,20540
2016/05/16,20585
2016/05/17,20763
2016/05/18,21120
2016/05/19,21381
2016/05/20,21543
2016/05/21,21636
2016/05/22,21603
2016/05/23,21848
2016/05/24,21990
2016/05/25,22156
2016/05/26,22740
2016/05/27,23095
2016/05/28,24092
2016/05/29,24184
2016/05/30,24161
2016/05/31,24209
2016/06/01,24170
2016/06/02,24110
2016/06/03,24035
2016/06/04,23913
2016/06/05,23809
2016/06/06,23784
2016/06/07,23757
2016/06/08,23765
2016/06/09,23723
2016/06/10,23724
2016/06/11,23478
2016/06/12,23557
2016/06/13,23869
2016/06/14,24175
2016/06/15,24271
2016/06/16,24275
2016/06/17,24964
2016/06/18,25461
2016/06/19,25687
2016/06/20,25794
2016/06/21,25900
2016/06/22,26161
2016/06/23,26124
2016/06/24,26097
2016/06/25,25922
2016/06/26,25994
2016/06/27,25894
2016/06/28,25953
2016/06/29,25929
2016/06/30,25879
2016/07/01,25797
2016/07/02,25746
2016/07/03,25674
2016/07/04,25682
2016/07/05,25680
2016/07/06,25637
2016/07/07,25605
2016/07/08,25616
2016/07/09,25569
2016/07/10,25526
2016/07/11,25473
2016/07/12,25473
2016/07/13,25280
2016/07/14,25320
2016/07/15,25319
2016/07/16,25258
2016/07/17,24985
2016/07/18,24883
2016/07/19,25241
2016/07/20,25614
2016/07/21,25806
2016/07/22,26160
2016/07/23,26321
2016/07/24,26952
2016/07/25,27343
2016/07/26,28238
2016/07/27,28845
2016/07/28,29140
2016/07/29,29195
2016/07/30,29078
2016/07/31,29080
2016/08/01,29095
2016/08/02,29049
2016/08/03,29090
2016/08/04,29112
2016/08/05,29001
2016/08/06,28819
2016/08/07,28683
2016/08/08,28592
2016/08/09,28692
2016/08/10,28642
2016/08/11,28771
2016/08/12,28637
2016/08/13,28455
2016/08/14,28311
2016/08/15,28233
2016/08/16,28340
2016/08/17,28256
2016/08/18,28156
2016/08/19,28091
2016/08/20,28021
2016/08/21,27969
2016/08/22,27879
2016/08/23,27960
2016/08/24,27899
2016/08/25,27986
2016/08/26,27953
2016/08/27,27941
2016/08/28,27910
2016/08/29,27963
2016/08/30,27941
2016/08/31,28059
2016/09/01,28196
2016/09/02,28288
2016/09/03,28246
2016/09/04,28195
2016/09/05,28150
2016/09/06,28150
2016/09/07,28044
2016/09/08,28213
2016/09/09,28178
2016/09/10,28111
2016/09/11,28106
2016/09/12,28134
2016/09/13,28119
2016/09/14,28106
2016/09/15,28136
2016/09/16,28216
2016/09/17,28257
2016/09/18,28137
2016/09/19,28094
2016/09/20,28577
2016/09/21,28600
2016/09/22,28305
2016/09/23,28106
2016/09/24,27941
2016/09/25,27751
2016/09/26,27558
2016/09/27,27370
2016/09/28,27268
2016/09/29,27170
2016/09/30,27044
2016/10/01,27006
2016/10/02,27067
2016/10/03,26983
2016/10/04,26576
2016/10/05,26264
2016/10/06,25967
2016/10/07,26002
2016/10/08,25938
2016/10/09,26060
2016/10/10,26237
2016/10/11,26126
2016/10/12,25434
2016/10/13,24555
2016/10/14,24393
2016/10/15,23910
2016/10/16,23680
2016/10/17,23660
2016/10/18,23993
2016/10/19,23687
2016/10/20,24001
2016/10/21,24684
2016/10/22,24722
2016/10/23,24681
2016/10/24,24758
