Date,sentbyaddress3std
2016/01/01,204.954
2016/01/02,143.781
2016/01/03,77.786
2016/01/04,9.933
2016/01/05,11.431
2016/01/06,44.342
2016/01/07,79.235
2016/01/08,67.613
2016/01/09,67.012
2016/01/10,169.737
2016/01/11,165.524
2016/01/12,134.861
2016/01/13,184.875
2016/01/14,237.152
2016/01/15,209.255
2016/01/16,346.496
2016/01/17,460.771
2016/01/18,189.465
2016/01/19,189.437
2016/01/20,416.699
2016/01/21,461.979
2016/01/22,439.68
2016/01/23,291.849
2016/01/24,419.4
2016/01/25,289.717
2016/01/26,194.383
2016/01/27,220.698
2016/01/28,249.978
2016/01/29,60.89
2016/01/30,82.208
2016/01/31,91.277
2016/02/01,89.626
2016/02/02,73.011
2016/02/03,43.492
2016/02/04,29.454
2016/02/05,45.617
2016/02/06,79.437
2016/02/07,157.585
2016/02/08,301.394
2016/02/09,275.25
2016/02/10,827.453
2016/02/11,806.458
2016/02/12,104.439
2016/02/13,269.523
2016/02/14,538.646
2016/02/15,353.336
2016/02/16,98.919
2016/02/17,57.139
2016/02/18,41.708
2016/02/19,60.141
2016/02/20,165.271
2016/02/21,832.853
2016/02/22,768.343
2016/02/23,431.161
2016/02/24,123.494
2016/02/25,336.931
2016/02/26,335.432
2016/02/27,245.809
2016/02/28,360.211
2016/02/29,783.551
2016/03/01,760.45
2016/03/02,396.246
2016/03/03,411.272
2016/03/04,319.488
2016/03/05,873.34
2016/03/06,746.72
2016/03/07,1059
2016/03/08,826.421
2016/03/09,720.172
2016/03/10,456.692
2016/03/11,426.416
2016/03/12,297.807
2016/03/13,123.4
2016/03/14,71.746
2016/03/15,164.765
2016/03/16,408.266
2016/03/17,386.662
2016/03/18,662.923
2016/03/19,758.086
2016/03/20,811.765
2016/03/21,561.356
2016/03/22,527.111
2016/03/23,519.878
2016/03/24,120.691
2016/03/25,258.261
2016/03/26,286.637
2016/03/27,488.183
2016/03/28,599.843
2016/03/29,1228
2016/03/30,1228
2016/03/31,1149
2016/04/01,1324
2016/04/02,409.886
2016/04/03,258.881
2016/04/04,566.11
2016/04/05,604.889
2016/04/06,38.401
2016/04/07,144.785
2016/04/08,236.311
2016/04/09,240.274
2016/04/10,613.643
2016/04/11,521.629
2016/04/12,505.522
2016/04/13,519.207
2016/04/14,356.181
2016/04/15,660.776
2016/04/16,446.713
2016/04/17,508.211
2016/04/18,520.956
2016/04/19,156.94
2016/04/20,118.798
2016/04/21,97.666
2016/04/22,89.149
2016/04/23,146.555
2016/04/24,155.618
2016/04/25,321.502
2016/04/26,290.592
2016/04/27,86.023
2016/04/28,239.946
2016/04/29,2205
2016/04/30,2595
2016/05/01,902.363
2016/05/02,1011
2016/05/03,864.581
2016/05/04,959.6
2016/05/05,403.79
2016/05/06,81.492
2016/05/07,290.5
2016/05/08,381.549
2016/05/09,639.992
2016/05/10,375.493
2016/05/11,1156
2016/05/12,1180
2016/05/13,1559
2016/05/14,1350
2016/05/15,2067
2016/05/16,1337
2016/05/17,518.882
2016/05/18,1012
2016/05/19,731.541
2016/05/20,469.261
2016/05/21,1177
2016/05/22,1373
2016/05/23,1751
2016/05/24,1835
2016/05/25,551.669
2016/05/26,6627
2016/05/27,6066
2016/05/28,5243
2016/05/29,6224
2016/05/30,6875
2016/05/31,378.947
2016/06/01,617.472
2016/06/02,1042
2016/06/03,472.424
2016/06/04,593.838
2016/06/05,610
2016/06/06,475.179
2016/06/07,663.334
2016/06/08,272.358
2016/06/09,393.724
2016/06/10,329.951
2016/06/11,737.682
2016/06/12,992.679
2016/06/13,2457
2016/06/14,1801
2016/06/15,1166
2016/06/16,1081
2016/06/17,4700
2016/06/18,3798
2016/06/19,3526
2016/06/20,3064
2016/06/21,652.422
2016/06/22,1162
2016/06/23,1601
2016/06/24,2048
2016/06/25,856.431
2016/06/26,685.299
2016/06/27,178.036
2016/06/28,1147
2016/06/29,934.347
2016/06/30,890.268
2016/07/01,703.197
2016/07/02,219.022
2016/07/03,147.931
2016/07/04,465.397
2016/07/05,579.345
2016/07/06,254.796
2016/07/07,312.283
2016/07/08,43.543
2016/07/09,266.995
2016/07/10,562.699
2016/07/11,372.17
2016/07/12,364.55
2016/07/13,193.096
2016/07/14,459.22
2016/07/15,482.362
2016/07/16,1135
2016/07/17,1414
2016/07/18,793.741
2016/07/19,10116
2016/07/20,8496
2016/07/21,6965
2016/07/22,921.89
2016/07/23,929.017
2016/07/24,4175
2016/07/25,3968
2016/07/26,4695
2016/07/27,4763
2016/07/28,4275
2016/07/29,2790
2016/07/30,2973
2016/07/31,1302
2016/08/01,1299
2016/08/02,2460
2016/08/03,2116
2016/08/04,2252
2016/08/05,1502
2016/08/06,1378
2016/08/07,224.94
2016/08/08,859.219
2016/08/09,1434
2016/08/10,928.727
2016/08/11,1270
2016/08/12,1839
2016/08/13,2459
2016/08/14,609.618
2016/08/15,648.437
2016/08/16,990.908
2016/08/17,926.414
2016/08/18,960.792
2016/08/19,45.088
2016/08/20,302.739
2016/08/21,270.754
2016/08/22,686.693
2016/08/23,1496
2016/08/24,1463
2016/08/25,958.421
2016/08/26,906.443
2016/08/27,671.828
2016/08/28,476.771
2016/08/29,701.27
2016/08/30,689.582
2016/08/31,606.703
2016/09/01,1409
2016/09/02,845.002
2016/09/03,1591
2016/09/04,1229
2016/09/05,176.381
2016/09/06,144.481
2016/09/07,213.256
2016/09/08,1610
2016/09/09,1558
2016/09/10,1760
2016/09/11,361.612
2016/09/12,494.412
2016/09/13,163.677
2016/09/14,195.716
2016/09/15,224.394
2016/09/16,782.204
2016/09/17,767.709
2016/09/18,1557
2016/09/19,1568
2016/09/20,5245
2016/09/21,4991
2016/09/22,4523
2016/09/23,3536
2016/09/24,708.358
2016/09/25,317.978
2016/09/26,242.885
2016/09/27,174.144
2016/09/28,169.068
2016/09/29,1023
2016/09/30,1180
2016/10/01,1526
2016/10/02,1673
2016/10/03,1542
2016/10/04,2763
2016/10/05,1906
2016/10/06,799.251
2016/10/07,1847
2016/10/08,1445
2016/10/09,1083
2016/10/10,940.838
2016/10/11,1215
2016/10/12,4434
2016/10/13,4740
2016/10/14,3586
2016/10/15,3602
2016/10/16,1353
2016/10/17,1636
2016/10/18,3534
2016/10/19,3982
2016/10/20,4305
2016/10/21,4474
