Date,activeaddresses7sma
2016/11/14,23137
2016/11/15,23151
2016/11/16,22819
2016/11/17,22842
2016/11/18,22632
2016/11/19,22502
2016/11/20,22202
2016/11/21,22295
2016/11/22,24122
2016/11/23,27551
2016/11/24,27298
2016/11/25,28794
2016/11/26,28394
2016/11/27,28092
2016/11/28,28047
2016/11/29,25770
2016/11/30,22342
2016/12/01,22362
2016/12/02,20829
2016/12/03,21417
2016/12/04,21643
2016/12/05,21595
2016/12/06,22307
2016/12/07,22122
2016/12/08,22222
2016/12/09,22186
2016/12/10,21829
2016/12/11,21716
2016/12/12,21800
2016/12/13,21097
2016/12/14,21409
2016/12/15,21835
2016/12/16,21852
2016/12/17,21903
2016/12/18,21639
2016/12/19,21824
2016/12/20,22323
2016/12/21,22399
2016/12/22,23237
2016/12/23,23400
2016/12/24,23437
2016/12/25,23408
2016/12/26,22781
2016/12/27,22247
2016/12/28,21949
2016/12/29,20862
2016/12/30,20555
2016/12/31,20724
2017/01/01,20733
2017/01/02,21025
2017/01/03,21189
2017/01/04,21976
2017/01/05,22687
2017/01/06,23207
2017/01/07,23351
2017/01/08,23745
2017/01/09,24255
2017/01/10,24506
2017/01/11,24123
2017/01/12,23710
2017/01/13,23338
2017/01/14,23034
2017/01/15,22980
2017/01/16,22911
2017/01/17,23054
2017/01/18,22853
2017/01/19,22714
2017/01/20,22986
2017/01/21,23189
2017/01/22,23322
2017/01/23,23108
2017/01/24,23107
2017/01/25,23057
2017/01/26,22946
2017/01/27,22647
2017/01/28,22508
2017/01/29,22330
2017/01/30,22331
2017/01/31,22081
2017/02/01,22201
2017/02/02,22335
2017/02/03,22391
2017/02/04,22707
2017/02/05,23159
2017/02/06,23305
2017/02/07,23505
2017/02/08,23689
2017/02/09,23828
2017/02/10,24213
2017/02/11,24022
2017/02/12,23904
2017/02/13,24436
2017/02/14,25025
2017/02/15,25574
2017/02/16,25918
2017/02/17,26059
2017/02/18,26739
2017/02/19,26977
2017/02/20,26937
2017/02/21,26790
2017/02/22,26536
2017/02/23,26421
2017/02/24,26833
2017/02/25,26826
2017/02/26,27121
2017/02/27,27450
2017/02/28,28519
2017/03/01,29756
2017/03/02,32303
2017/03/03,33637
2017/03/04,34708
2017/03/05,35552
2017/03/06,36361
2017/03/07,36082
2017/03/08,35782
2017/03/09,34823
2017/03/10,34516
2017/03/11,34898
2017/03/12,35951
2017/03/13,38553
2017/03/14,40524
2017/03/15,42721
2017/03/16,47179
2017/03/17,51544
2017/03/18,54066
2017/03/19,55147
2017/03/20,54577
2017/03/21,55093
2017/03/22,54849
2017/03/23,51726
2017/03/24,49989
2017/03/25,49375
2017/03/26,48980
2017/03/27,49133
2017/03/28,49005
2017/03/29,49555
2017/03/30,51572
2017/03/31,53401
2017/04/01,52869
2017/04/02,54125
2017/04/03,56186
2017/04/04,56838
2017/04/05,57269
2017/04/06,57621
2017/04/07,55001
2017/04/08,54482
2017/04/09,52713
2017/04/10,50057
2017/04/11,48885
2017/04/12,48194
2017/04/13,46511
2017/04/14,46500
2017/04/15,46831
2017/04/16,46538
2017/04/17,46059
2017/04/18,46856
2017/04/19,47192
2017/04/20,47672
2017/04/21,47180
2017/04/22,46954
2017/04/23,47810
2017/04/24,48977
2017/04/25,48843
2017/04/26,49735
2017/04/27,51955
2017/04/28,54354
2017/04/29,56338
2017/04/30,58540
2017/05/01,61456
2017/05/02,64102
2017/05/03,64689
2017/05/04,65713
2017/05/05,67536
2017/05/06,68302
2017/05/07,69858
2017/05/08,71513
2017/05/09,72795
2017/05/10,74566
2017/05/11,74893
2017/05/12,74189
2017/05/13,73982
2017/05/14,73259
2017/05/15,72487
2017/05/16,72486
2017/05/17,72194
2017/05/18,73731
2017/05/19,79272
2017/05/20,81803
2017/05/21,85212
2017/05/22,90259
2017/05/23,96618
2017/05/24,103661
2017/05/25,108012
2017/05/26,108506
2017/05/27,110795
2017/05/28,111133
2017/05/29,109339
2017/05/30,107806
2017/05/31,107995
2017/06/01,110545
2017/06/02,111132
2017/06/03,114046
2017/06/04,117476
2017/06/05,121152
2017/06/06,125003
2017/06/07,126526
2017/06/08,124640
2017/06/09,128461
2017/06/10,133212
2017/06/11,140463
2017/06/12,152679
2017/06/13,161726
2017/06/14,168700
2017/06/15,177778
2017/06/16,181296
2017/06/17,183436
2017/06/18,183760
2017/06/19,180890
2017/06/20,179427
2017/06/21,175920
2017/06/22,178478
2017/06/23,183430
