Date,median_transaction_fee3rsiUSD
2016/01/01,39.413
2016/01/02,39.611
2016/01/03,40.28
2016/01/04,39.9
2016/01/05,85.916
2016/01/06,79.444
2016/01/07,80.335
2016/01/08,25.368
2016/01/09,35.607
2016/01/10,31.273
2016/01/11,30.427
2016/01/12,40.496
2016/01/13,86.916
2016/01/14,39.663
2016/01/15,42.025
2016/01/16,42.036
2016/01/17,41.825
2016/01/18,63.87
2016/01/19,59.736
2016/01/20,45.616
2016/01/21,51.383
2016/01/22,72.609
2016/01/23,61.608
2016/01/24,81.94
2016/01/25,90.033
2016/01/26,93.421
2016/01/27,93.589
2016/01/28,94.51
2016/01/29,43.745
2016/01/30,39.475
2016/01/31,28.514
2016/02/01,18.862
2016/02/02,22.394
2016/02/03,57.912
2016/02/04,69.624
2016/02/05,67.016
2016/02/06,98.774
2016/02/07,41.311
2016/02/08,45.694
2016/02/09,50.891
2016/02/10,62.857
2016/02/11,70.072
2016/02/12,79.959
2016/02/13,54.46
2016/02/14,51.935
2016/02/15,66.297
2016/02/16,45.013
2016/02/17,33.233
2016/02/18,24.753
2016/02/19,48.4
2016/02/20,45.721
2016/02/21,45.069
2016/02/22,78.175
2016/02/23,90.141
2016/02/24,72.308
2016/02/25,81.269
2016/02/26,62.449
2016/02/27,70.747
2016/02/28,77.76
2016/02/29,74.746
2016/03/01,85.671
2016/03/02,95.836
2016/03/03,98.008
2016/03/04,98.023
2016/03/05,99.277
2016/03/06,97.788
2016/03/07,61.808
2016/03/08,40.727
2016/03/09,64.665
2016/03/10,13.753
2016/03/11,13.189
2016/03/12,28.127
2016/03/13,40.233
2016/03/14,34.844
2016/03/15,29.694
2016/03/16,39.152
2016/03/17,24.086
2016/03/18,16.123
2016/03/19,26.583
2016/03/20,22.591
2016/03/21,46.405
2016/03/22,61.37
2016/03/23,66.784
2016/03/24,47.982
2016/03/25,30.624
2016/03/26,54.649
2016/03/27,34.034
2016/03/28,53.3
2016/03/29,64.538
2016/03/30,71.371
2016/03/31,67.777
2016/04/01,54.31
2016/04/02,41.437
2016/04/03,45.894
2016/04/04,26.952
2016/04/05,25.269
2016/04/06,6.899
2016/04/07,5.156
2016/04/08,2.669
2016/04/09,1.929
2016/04/10,0.763
2016/04/11,0.675
2016/04/12,0.387
2016/04/13,0.367
2016/04/14,45.591
2016/04/15,42.739
2016/04/16,39.855
2016/04/17,81.916
2016/04/18,68.259
2016/04/19,65.945
2016/04/20,34.976
2016/04/21,29.315
2016/04/22,15.257
2016/04/23,16.547
2016/04/24,40.264
2016/04/25,20.802
2016/04/26,10.935
2016/04/27,37.466
2016/04/28,29.227
2016/04/29,33.847
2016/04/30,78.359
2016/05/01,86.212
2016/05/02,93.245
2016/05/03,93.552
2016/05/04,84.223
2016/05/05,84.502
2016/05/06,88.282
2016/05/07,43.527
2016/05/08,40.514
2016/05/09,58.29
2016/05/10,44.177
2016/05/11,75.299
2016/05/12,87.902
2016/05/13,93.114
2016/05/14,60.036
2016/05/15,55.461
2016/05/16,73.873
2016/05/17,91.652
2016/05/18,95.916
2016/05/19,97.41
2016/05/20,97.911
2016/05/21,65.132
2016/05/22,73.213
2016/05/23,73.395
2016/05/24,32.345
2016/05/25,21.889
2016/05/26,23.914
2016/05/27,10.276
2016/05/28,63.804
2016/05/29,41.157
2016/05/30,49.768
2016/05/31,65.764
2016/06/01,74.838
2016/06/02,71.886
2016/06/03,61.549
2016/06/04,60.856
2016/06/05,66.569
2016/06/06,73.469
2016/06/07,90.894
2016/06/08,81.47
2016/06/09,69.172
2016/06/10,39.285
2016/06/11,26.105
2016/06/12,73.213
2016/06/13,91.343
2016/06/14,95.275
2016/06/15,95.582
2016/06/16,97.396
2016/06/17,98.021
2016/06/18,24.497
2016/06/19,14.524
2016/06/20,13.385
2016/06/21,36.444
2016/06/22,53.14
2016/06/23,37.746
2016/06/24,52.531
2016/06/25,58.082
2016/06/26,51.016
2016/06/27,48.89
2016/06/28,26.988
2016/06/29,21.172
2016/06/30,85.717
2016/07/01,35.6
2016/07/02,34.767
2016/07/03,33.643
2016/07/04,30.071
2016/07/05,19.599
2016/07/06,23.761
2016/07/07,17.429
2016/07/08,36.116
2016/07/09,56.079
2016/07/10,51.781
2016/07/11,37.555
2016/07/12,35.583
2016/07/13,30.7
2016/07/14,73.002
2016/07/15,87.876
2016/07/16,77.294
2016/07/17,47.394
2016/07/18,50.802
2016/07/19,46.164
2016/07/20,89.445
2016/07/21,61.848
2016/07/22,78.24
2016/07/23,86.129
2016/07/24,54.838
2016/07/25,51.849
2016/07/26,37.678
2016/07/27,46.617
2016/07/28,67.138
2016/07/29,34.862
2016/07/30,33.926
2016/07/31,21.759
2016/08/01,13.304
2016/08/02,5.565
2016/08/03,5.214
2016/08/04,38.806
2016/08/05,48.853
2016/08/06,38.888
2016/08/07,51.716
2016/08/08,55.151
2016/08/09,82.161
2016/08/10,89.151
2016/08/11,64.524
2016/08/12,64.727
2016/08/13,48.201
2016/08/14,33.292
2016/08/15,20.61
2016/08/16,22.589
2016/08/17,14.154
2016/08/18,55.383
2016/08/19,24.933
2016/08/20,50.007
2016/08/21,52.557
2016/08/22,61.599
2016/08/23,89.981
2016/08/24,39.185
2016/08/25,43.817
2016/08/26,49.629
2016/08/27,44.905
2016/08/28,34.891
2016/08/29,50.36
2016/08/30,42.141
2016/08/31,63.982
2016/09/01,88.765
2016/09/02,94.701
2016/09/03,46.216
2016/09/04,72.843
2016/09/05,39.588
2016/09/06,37.813
2016/09/07,60.656
2016/09/08,56.368
2016/09/09,49.645
2016/09/10,31.116
2016/09/11,41.756
2016/09/12,45.823
2016/09/13,49.783
2016/09/14,80.972
2016/09/15,83.98
2016/09/16,86.955
2016/09/17,48.047
2016/09/18,58.683
2016/09/19,68.297
2016/09/20,87.979
2016/09/21,89.501
2016/09/22,95.727
2016/09/23,99.612
2016/09/24,79.685
2016/09/25,89.904
2016/09/26,91.545
2016/09/27,59.399
2016/09/28,31.57
2016/09/29,26.761
2016/09/30,27.324
2016/10/01,65.246
2016/10/02,54.98
2016/10/03,39.046
2016/10/04,73.895
2016/10/05,28.349
2016/10/06,27.233
2016/10/07,24.113
2016/10/08,22.558
2016/10/09,39.169
2016/10/10,30.815
2016/10/11,35.394
2016/10/12,44.432
2016/10/13,98.244
2016/10/14,49.564
2016/10/15,61.988
2016/10/16,48.22
2016/10/17,45.764
2016/10/18,41.966
2016/10/19,24.847
2016/10/20,21.449
2016/10/21,21.416
2016/10/22,21.41
2016/10/23,19.524
2016/10/24,27.362
2016/10/25,24.264
2016/10/26,24.13
2016/10/27,22.787
2016/10/28,20.074
2016/10/29,12.067
2016/10/30,6.474
2016/10/31,55.273
2016/11/01,43.513
2016/11/02,28.307
2016/11/03,32.842
2016/11/04,23.445
2016/11/05,56.674
2016/11/06,39.202
2016/11/07,43.581
2016/11/08,48.125
2016/11/09,22.68
2016/11/10,59.16
2016/11/11,39.539
2016/11/12,46.274
2016/11/13,56.384
2016/11/14,65.747
2016/11/15,38.032
2016/11/16,49.947
2016/11/17,31.275
2016/11/18,20.426
2016/11/19,35.429
2016/11/20,18.709
