Date,sentinusd14smaUSD
2016/01/01,202221
2016/01/02,205264
2016/01/03,217716
2016/01/04,213265
2016/01/05,270114
2016/01/06,279332
2016/01/07,296410
2016/01/08,306018
2016/01/09,313052
2016/01/10,319141
2016/01/11,330114
2016/01/12,395849
2016/01/13,416178
2016/01/14,416692
2016/01/15,476874
2016/01/16,509632
2016/01/17,516395
2016/01/18,735744
2016/01/19,785209
2016/01/20,829803
2016/01/21,858881
2016/01/22,944701
2016/01/23,1071024
2016/01/24,1354052
2016/01/25,1667468
2016/01/26,1850893
2016/01/27,2025427
2016/01/28,2162264
2016/01/29,2233135
2016/01/30,2360772
2016/01/31,2514762
2016/02/01,2379948
2016/02/02,2357252
2016/02/03,2402020
2016/02/04,2407802
2016/02/05,2412068
2016/02/06,2311688
2016/02/07,2190153
2016/02/08,2165533
2016/02/09,2289770
2016/02/10,2684631
2016/02/11,3154316
2016/02/12,3886931
2016/02/13,4169207
2016/02/14,4304102
2016/02/15,4495008
2016/02/16,4847778
2016/02/17,4960880
2016/02/18,5225856
2016/02/19,5280617
2016/02/20,5616744
2016/02/21,5595299
2016/02/22,5564007
2016/02/23,5802303
2016/02/24,6068407
2016/02/25,5848376
2016/02/26,6676854
2016/02/27,7181913
2016/02/28,7219073
2016/02/29,7259212
2016/03/01,7435864
2016/03/02,9267017
2016/03/03,10328215
2016/03/04,11168823
2016/03/05,13069495
2016/03/06,14198643
2016/03/07,14994458
2016/03/08,15837509
2016/03/09,15816880
2016/03/10,16115688
2016/03/11,15145476
2016/03/12,15587828
2016/03/13,17257987
2016/03/14,18501067
2016/03/15,19048925
2016/03/16,18050818
2016/03/17,18110302
2016/03/18,18828631
2016/03/19,17147878
2016/03/20,16273843
2016/03/21,15881511
2016/03/22,14977491
2016/03/23,14613613
2016/03/24,14677761
2016/03/25,14359117
2016/03/26,13209276
2016/03/27,12075737
2016/03/28,11140491
2016/03/29,11031579
2016/03/30,11129042
2016/03/31,10437714
2016/04/01,9037330
2016/04/02,8747129
2016/04/03,8520339
2016/04/04,8175124
2016/04/05,8134419
2016/04/06,8094640
2016/04/07,7855078
2016/04/08,7816127
2016/04/09,8455034
2016/04/10,8286721
2016/04/11,8030334
2016/04/12,7576114
2016/04/13,7058051
2016/04/14,6868681
2016/04/15,6903168
2016/04/16,6851722
2016/04/17,7217168
2016/04/18,7276711
2016/04/19,7012955
2016/04/20,6981334
2016/04/21,6730456
2016/04/22,6773114
2016/04/23,6455788
2016/04/24,5947912
2016/04/25,5966993
2016/04/26,5961828
2016/04/27,5753089
2016/04/28,5601004
2016/04/29,5573200
2016/04/30,6914383
2016/05/01,7468043
2016/05/02,8367028
2016/05/03,9073288
2016/05/04,9409093
2016/05/05,9876741
2016/05/06,10861863
2016/05/07,11294828
2016/05/08,12019952
2016/05/09,12990033
2016/05/10,13759842
2016/05/11,15447447
2016/05/12,17397743
2016/05/13,23209905
2016/05/14,25918639
2016/05/15,25903243
2016/05/16,25709299
2016/05/17,25847217
2016/05/18,26784976
2016/05/19,28678259
2016/05/20,29579548
2016/05/21,29537471
2016/05/22,29267770
2016/05/23,29158217
2016/05/24,29417727
2016/05/25,28826444
2016/05/26,27602401
2016/05/27,23578656
2016/05/28,21064736
2016/05/29,20847615
2016/05/30,20629223
2016/05/31,20488786
2016/06/01,19582802
2016/06/02,17428869
2016/06/03,15722082
2016/06/04,15204311
2016/06/05,14975776
2016/06/06,14193159
2016/06/07,13559273
2016/06/08,14262600
2016/06/09,13598261
2016/06/10,12384341
2016/06/11,11111593
2016/06/12,11398804
2016/06/13,11898395
2016/06/14,12765888
2016/06/15,13185988
2016/06/16,14753481
2016/06/17,19348760
2016/06/18,23623669
2016/06/19,24755658
2016/06/20,26469151
2016/06/21,26992537
2016/06/22,26859284
2016/06/23,28034959
2016/06/24,28247874
2016/06/25,29000676
2016/06/26,28466593
2016/06/27,27713085
2016/06/28,27335677
