Date,price
2016/09/11,11.881
2016/09/12,11.78
2016/09/13,11.997
2016/09/14,11.933
2016/09/15,12.01
2016/09/16,12.209
2016/09/17,12.616
2016/09/18,12.777
2016/09/19,12.887
2016/09/20,13.683
2016/09/21,13.799
2016/09/22,13.125
2016/09/23,13.304
2016/09/24,13.024
2016/09/25,12.986
2016/09/26,12.901
2016/09/27,13.044
2016/09/28,13.258
2016/09/29,13.13
2016/09/30,13.165
2016/10/01,13.122
2016/10/02,13.176
2016/10/03,13.245
2016/10/04,13.366
2016/10/05,13.204
2016/10/06,12.876
2016/10/07,12.688
2016/10/08,12.264
2016/10/09,12.2
2016/10/10,11.817
2016/10/11,11.93
2016/10/12,11.818
2016/10/13,11.925
2016/10/14,11.93
2016/10/15,11.854
2016/10/16,11.937
2016/10/17,11.897
2016/10/18,12.449
2016/10/19,12.249
2016/10/20,12.077
2016/10/21,12.056
2016/10/22,12.053
2016/10/23,11.985
2016/10/24,11.943
2016/10/25,11.517
2016/10/26,11.503
2016/10/27,11.404
2016/10/28,11.243
2016/10/29,10.646
2016/10/30,10.635
2016/10/31,11.137
2016/11/01,10.67
2016/11/02,10.876
2016/11/03,10.898
2016/11/04,10.953
2016/11/05,11.046
2016/11/06,10.979
2016/11/07,10.874
2016/11/08,10.823
2016/11/09,10.592
2016/11/10,10.553
2016/11/11,10.385
2016/11/12,10.105
2016/11/13,10.066
2016/11/14,10.01
2016/11/15,10.049
2016/11/16,10.145
2016/11/17,9.966
2016/11/18,9.673
2016/11/19,9.607
2016/11/20,9.563
2016/11/21,9.56
2016/11/22,9.873
2016/11/23,9.81
2016/11/24,9.479
2016/11/25,9.372
2016/11/26,9.33
2016/11/27,9.068
2016/11/28,8.787
2016/11/29,8.207
2016/11/30,8.401
2016/12/01,8.433
2016/12/02,7.949
2016/12/03,7.867
2016/12/04,7.658
2016/12/05,7.221
2016/12/06,6.825
2016/12/07,7.739
2016/12/08,8.474
2016/12/09,8.348
2016/12/10,8.276
2016/12/11,8.172
2016/12/12,8.323
2016/12/13,8.376
2016/12/14,8.336
2016/12/15,7.954
2016/12/16,7.812
2016/12/17,7.626
2016/12/18,7.817
2016/12/19,7.712
2016/12/20,7.603
2016/12/21,7.725
2016/12/22,7.6
2016/12/23,7.324
2016/12/24,7.237
2016/12/25,7.192
2016/12/26,7.21
2016/12/27,7.16
2016/12/28,7.182
2016/12/29,8.096
2016/12/30,8.225
2016/12/31,7.995
2017/01/01,8.233
2017/01/02,8.182
2017/01/03,8.811
2017/01/04,10.44
2017/01/05,10.479
2017/01/06,10.007
2017/01/07,9.776
2017/01/08,9.985
2017/01/09,10.424
2017/01/10,10.397
2017/01/11,10.035
2017/01/12,9.503
2017/01/13,9.582
2017/01/14,9.608
2017/01/15,9.729
2017/01/16,9.605
2017/01/17,9.975
2017/01/18,10.177
2017/01/19,10.232
2017/01/20,10.511
2017/01/21,10.711
2017/01/22,10.772
2017/01/23,10.693
2017/01/24,10.597
2017/01/25,10.478
2017/01/26,10.496
2017/01/27,10.451
2017/01/28,10.475
2017/01/29,10.44
2017/01/30,10.46
2017/01/31,10.56
2017/02/01,10.624
2017/02/02,10.621
2017/02/03,10.728
2017/02/04,11.214
2017/02/05,11.177
2017/02/06,11.208
2017/02/07,11.358
2017/02/08,11.313
2017/02/09,11.084
2017/02/10,10.999
2017/02/11,11.288
2017/02/12,11.298
2017/02/13,11.231
2017/02/14,12.257
2017/02/15,12.789
2017/02/16,12.714
2017/02/17,12.718
2017/02/18,12.712
2017/02/19,12.735
2017/02/20,12.71
2017/02/21,12.566
2017/02/22,12.637
2017/02/23,12.746
2017/02/24,13.024
2017/02/25,13.314
2017/02/26,13.725
2017/02/27,14.657
2017/02/28,15.678
2017/03/01,15.89
2017/03/02,18.073
2017/03/03,19.721
2017/03/04,19.398
2017/03/05,18.832
2017/03/06,19.484
2017/03/07,19.115
2017/03/08,17.912
2017/03/09,17.263
2017/03/10,18.161
2017/03/11,19.773
2017/03/12,22.283
2017/03/13,27.152
2017/03/14,28.396
2017/03/15,30.212
2017/03/16,40.318
2017/03/17,45.932
2017/03/18,39.064
2017/03/19,39.469
2017/03/20,43.414
2017/03/21,42.941
2017/03/22,41.289
2017/03/23,41.699
2017/03/24,46.144
2017/03/25,50.562
2017/03/26,50.466
2017/03/27,50.511
2017/03/28,49.857
2017/03/29,52.247
2017/03/30,52.798
2017/03/31,50.224
2017/04/01,50.256
2017/04/02,49.819
2017/04/03,45.616
2017/04/04,43.534
2017/04/05,45.921
2017/04/06,44.224
2017/04/07,42.999
2017/04/08,44.484
2017/04/09,43.766
2017/04/10,43.354
2017/04/11,43.8
2017/04/12,44.199
2017/04/13,48.586
2017/04/14,48.027
2017/04/15,47.995
2017/04/16,48.559
2017/04/17,48.276
2017/04/18,49.473
2017/04/19,50.411
2017/04/20,48.983
2017/04/21,49.334
2017/04/22,48.866
2017/04/23,48.801
2017/04/24,50.136
2017/04/25,50.137
2017/04/26,51.977
2017/04/27,57.64
2017/04/28,66.334
2017/04/29,70.021
2017/04/30,72.247
2017/05/01,78.897
2017/05/02,76.749
2017/05/03,77.385
2017/05/04,84.993
2017/05/05,92.211
2017/05/06,90.749
2017/05/07,92.593
2017/05/08,88.45
2017/05/09,83.588
2017/05/10,86.842
2017/05/11,86.94
2017/05/12,87.982
2017/05/13,85.658
2017/05/14,87.899
2017/05/15,89.637
2017/05/16,88.194
2017/05/17,85.836
2017/05/18,92.083
2017/05/19,111.3
2017/05/20,124.438
2017/05/21,133.08
2017/05/22,163.005
2017/05/23,163.463
2017/05/24,186.704
2017/05/25,194.029
2017/05/26,177.24
2017/05/27,148.878
2017/05/28,167.728
2017/05/29,176.76
2017/05/30,207.344
2017/05/31,226.281
2017/06/01,224.264
2017/06/02,222.605
2017/06/03,221.016
2017/06/04,238.548
2017/06/05,245.873
2017/06/06,256.441
2017/06/07,259.82
2017/06/08,255.877
2017/06/09,266.196
2017/06/10,298.642
2017/06/11,339.133
2017/06/12,367.485
2017/06/13,384.953
2017/06/14,373.107
2017/06/15,325.675
2017/06/16,348.502
2017/06/17,358.053
2017/06/18,362.975
2017/06/19,357.939
2017/06/20,360.756
2017/06/21,332.819
2017/06/22,323.786
2017/06/23,327.726
2017/06/24,320.166
2017/06/25,297.108
2017/06/26,260.585
2017/06/27,244.551
2017/06/28,289.259
2017/06/29,305.994
2017/06/30,291.897
2017/07/01,268.082
2017/07/02,266.799
2017/07/03,278.421
2017/07/04,276.149
2017/07/05,263.184
2017/07/06,265.506
2017/07/07,254.173
2017/07/08,241.009
2017/07/09,243.604
2017/07/10,226.428
2017/07/11,195.887
2017/07/12,203.527
2017/07/13,209.053
2017/07/14,196.448
2017/07/15,184.275
2017/07/16,156.388
2017/07/17,171.39
2017/07/18,200.76
2017/07/19,221.246
2017/07/20,216.874
2017/07/21,223.04
2017/07/22,223.716
2017/07/23,227.295
2017/07/24,225.737
2017/07/25,210.8
2017/07/26,200.432
2017/07/27,202.141
2017/07/28,197.203
2017/07/29,187.808
2017/07/30,198.66
2017/07/31,196.409
2017/08/01,216.975
2017/08/02,221.54
2017/08/03,222.453
2017/08/04,223.299
2017/08/05,237.997
2017/08/06,260.854
2017/08/07,266.048
2017/08/08,280.817
2017/08/09,299.059
2017/08/10,301.217
2017/08/11,301.33
2017/08/12,313.325
2017/08/13,295.784
2017/08/14,300.658
2017/08/15,288.391
2017/08/16,293.728
2017/08/17,304.164
2017/08/18,299.851
2017/08/19,292.068
2017/08/20,293.178
2017/08/21,319.922
2017/08/22,312.319
2017/08/23,319.28
2017/08/24,321.612
2017/08/25,331.815
2017/08/26,330.182
2017/08/27,336.901
2017/08/28,343.939
2017/08/29,361.687
2017/08/30,380.551
2017/08/31,386.127
2017/09/01,392.888
2017/09/02,361.118
2017/09/03,351.383
2017/09/04,318.052
2017/09/05,303.38
2017/09/06,333.811
2017/09/07,333.382
2017/09/08,321.587
2017/09/09,303.933
2017/09/10,295.313
2017/09/11,298.442
2017/09/12,303.992
2017/09/13,277.277
