Date,difficulty90var
2016/06/05,6.8482144147279E+25
2016/06/06,6.9115281941039E+25
2016/06/07,6.9975382061398E+25
2016/06/08,7.0560042129734E+25
2016/06/09,7.194731088324E+25
2016/06/10,7.2939843305996E+25
2016/06/11,7.3868562730951E+25
2016/06/12,7.4779005662178E+25
2016/06/13,7.5351619690221E+25
2016/06/14,7.5927597838705E+25
2016/06/15,7.6376692893776E+25
2016/06/16,7.6651165729147E+25
2016/06/17,7.6370154451401E+25
2016/06/18,7.5380663233265E+25
2016/06/19,7.5240401623133E+25
2016/06/20,7.5565493595358E+25
2016/06/21,7.4959517730003E+25
2016/06/22,7.482102353729E+25
2016/06/23,7.5695370769446E+25
2016/06/24,7.6246951717897E+25
2016/06/25,7.6981341380839E+25
2016/06/26,7.7563736173816E+25
2016/06/27,7.8682281134274E+25
2016/06/28,7.9846649405051E+25
2016/06/29,8.0755540593458E+25
2016/06/30,8.1402301743541E+25
2016/07/01,8.1819997004913E+25
2016/07/02,8.2757513900052E+25
2016/07/03,8.4193988524133E+25
2016/07/04,8.5395885514612E+25
2016/07/05,8.6721440557482E+25
2016/07/06,8.6909977484708E+25
2016/07/07,8.7597073294204E+25
2016/07/08,8.8330993291937E+25
2016/07/09,8.8407035003708E+25
2016/07/10,8.89499076406E+25
2016/07/11,8.9213711719792E+25
2016/07/12,8.9794739275721E+25
2016/07/13,9.0263487173417E+25
2016/07/14,9.0733572832004E+25
2016/07/15,9.0770675286326E+25
2016/07/16,9.0319300227456E+25
2016/07/17,9.0423919686467E+25
2016/07/18,9.0528393682328E+25
2016/07/19,9.0661299126298E+25
2016/07/20,9.0349480384992E+25
2016/07/21,8.9701173501786E+25
2016/07/22,8.9179461705236E+25
2016/07/23,8.8725472231005E+25
2016/07/24,8.840552944282E+25
2016/07/25,8.7077327224297E+25
2016/07/26,8.5300280504582E+25
2016/07/27,8.2778104448957E+25
2016/07/28,8.0921441192894E+25
2016/07/29,7.919592823136E+25
2016/07/30,7.7535870041011E+25
2016/07/31,7.5002559644175E+25
2016/08/01,7.2996830824562E+25
2016/08/02,7.0603536146473E+25
2016/08/03,6.8019065118907E+25
2016/08/04,6.54778027164E+25
2016/08/05,6.2994415332002E+25
2016/08/06,6.0528243398744E+25
2016/08/07,5.8161798248444E+25
2016/08/08,5.6089846144943E+25
2016/08/09,5.3865717086395E+25
2016/08/10,5.1771160493803E+25
2016/08/11,5.0518996296566E+25
2016/08/12,4.912557694264E+25
2016/08/13,4.7620280912964E+25
2016/08/14,4.6113872337879E+25
2016/08/15,4.4109755194037E+25
2016/08/16,4.2833679535322E+25
2016/08/17,4.1895502838242E+25
2016/08/18,4.0924813847411E+25
2016/08/19,4.027834347637E+25
2016/08/20,3.9556438670361E+25
2016/08/21,3.8705872932216E+25
2016/08/22,3.8249727007713E+25
2016/08/23,3.7955658770746E+25
2016/08/24,3.7710529696705E+25
2016/08/25,3.7754356106885E+25
2016/08/26,3.8733473108773E+25
2016/08/27,3.9449867929466E+25
2016/08/28,3.9880538770199E+25
2016/08/29,4.0020877121299E+25
2016/08/30,3.9565267430233E+25
2016/08/31,3.9447799571125E+25
2016/09/01,4.0200788163367E+25
