Date,sentbyaddress90std
2016/01/01,485.841
2016/01/02,490.395
2016/01/03,494.283
2016/01/04,499
2016/01/05,502.516
2016/01/06,506.746
2016/01/07,512.51
2016/01/08,511.684
2016/01/09,513.288
2016/01/10,520.807
2016/01/11,529.308
2016/01/12,546.849
2016/01/13,549.757
2016/01/14,550.498
2016/01/15,560.457
2016/01/16,552.73
2016/01/17,543.895
2016/01/18,538.536
2016/01/19,531.36
2016/01/20,540.612
2016/01/21,535.398
2016/01/22,527.358
2016/01/23,529.21
2016/01/24,544.379
2016/01/25,569.211
2016/01/26,600.415
2016/01/27,615.357
2016/01/28,630.353
2016/01/29,640.493
2016/01/30,647.716
2016/01/31,661.17
2016/02/01,671.441
2016/02/02,679.062
2016/02/03,687.401
2016/02/04,693.374
2016/02/05,699.466
2016/02/06,702.272
2016/02/07,713.472
2016/02/08,730.549
2016/02/09,754.454
2016/02/10,832.528
2016/02/11,911.799
2016/02/12,976.385
2016/02/13,1019
2016/02/14,1038
2016/02/15,1061
2016/02/16,1082
2016/02/17,1099
2016/02/18,1111
2016/02/19,1120
2016/02/20,1122
2016/02/21,1170
2016/02/22,1191
2016/02/23,1207
2016/02/24,1219
2016/02/25,1244
2016/02/26,1253
2016/02/27,1266
2016/02/28,1289
2016/02/29,1345
2016/03/01,1415
2016/03/02,1491
2016/03/03,1583
2016/03/04,1668
2016/03/05,1824
2016/03/06,1932
2016/03/07,1975
2016/03/08,2064
2016/03/09,2119
2016/03/10,2201
2016/03/11,2268
2016/03/12,2323
2016/03/13,2374
2016/03/14,2421
2016/03/15,2458
2016/03/16,2483
2016/03/17,2521
2016/03/18,2571
2016/03/19,2583
2016/03/20,2598
2016/03/21,2630
2016/03/22,2638
2016/03/23,2647
2016/03/24,2648
2016/03/25,2646
2016/03/26,2637
2016/03/27,2645
2016/03/28,2652
2016/03/29,2702
2016/03/30,2759
2016/03/31,2760
2016/04/01,2756
2016/04/02,2744
2016/04/03,2732
2016/04/04,2731
2016/04/05,2730
2016/04/06,2728
2016/04/07,2718
2016/04/08,2705
2016/04/09,2701
2016/04/10,2708
2016/04/11,2700
2016/04/12,2691
2016/04/13,2688
2016/04/14,2679
2016/04/15,2648
2016/04/16,2609
2016/04/17,2586
2016/04/18,2555
2016/04/19,2537
2016/04/20,2501
2016/04/21,2463
2016/04/22,2436
2016/04/23,2412
2016/04/24,2392
2016/04/25,2380
2016/04/26,2359
2016/04/27,2335
2016/04/28,2301
2016/04/29,2363
2016/04/30,2456
2016/05/01,2475
2016/05/02,2543
2016/05/03,2565
2016/05/04,2558
2016/05/05,2553
2016/05/06,2540
2016/05/07,2518
2016/05/08,2518
2016/05/09,2534
2016/05/10,2577
2016/05/11,2683
2016/05/12,2787
2016/05/13,2986
2016/05/14,3066
2016/05/15,3080
2016/05/16,3080
2016/05/17,3099
2016/05/18,3143
2016/05/19,3190
2016/05/20,3197
2016/05/21,3202
2016/05/22,3169
2016/05/23,3202
2016/05/24,3206
2016/05/25,3212
2016/05/26,3756
2016/05/27,3811
2016/05/28,4305
2016/05/29,4315
2016/05/30,4325
2016/05/31,4348
2016/06/01,4356
2016/06/02,4354
2016/06/03,4363
2016/06/04,4360
2016/06/05,4344
2016/06/06,4345
2016/06/07,4344
2016/06/08,4349
2016/06/09,4344
2016/06/10,4340
2016/06/11,4328
2016/06/12,4326
2016/06/13,4362
2016/06/14,4394
2016/06/15,4397
2016/06/16,4422
2016/06/17,4644
2016/06/18,4764
2016/06/19,4781
