Date,transactionfees3trxUSD
2016/01/01,-5.202
2016/01/02,-5.921
2016/01/03,-5.18
2016/01/04,-3.301
2016/01/05,6.035
2016/01/06,11.411
2016/01/07,7.186
2016/01/08,0.897
2016/01/09,2.666
2016/01/10,0.758
2016/01/11,-1.94
2016/01/12,-1.902
2016/01/13,3.445
2016/01/14,1.955
2016/01/15,0.385
2016/01/16,-1.585
2016/01/17,-4.47
2016/01/18,-0.232
2016/01/19,4.002
2016/01/20,1.076
2016/01/21,-0.196
2016/01/22,1.632
2016/01/23,-0.072
2016/01/24,3.71
2016/01/25,11.304
2016/01/26,14.72
2016/01/27,17.196
2016/01/28,11.69
2016/01/29,6.073
2016/01/30,3.57
2016/01/31,1.383
2016/02/01,-1.146
2016/02/02,-3.387
2016/02/03,-3.946
2016/02/04,-1.113
2016/02/05,2.579
2016/02/06,33.539
2016/02/07,20.29
2016/02/08,6.882
2016/02/09,4.716
2016/02/10,8.766
2016/02/11,4.649
2016/02/12,1.468
2016/02/13,-1.788
2016/02/14,-4.573
2016/02/15,-3.656
2016/02/16,-2.899
2016/02/17,-3.229
2016/02/18,-5.094
2016/02/19,-2.939
2016/02/20,-3.59
2016/02/21,-3.703
2016/02/22,-0.339
2016/02/23,32.217
2016/02/24,20.735
2016/02/25,5.494
2016/02/26,1.9
2016/02/27,-3.651
2016/02/28,-5.892
2016/02/29,-5.658
2016/03/01,-4.415
2016/03/02,-0.115
2016/03/03,2.416
2016/03/04,2.838
2016/03/05,3.425
2016/03/06,4.462
2016/03/07,2.757
2016/03/08,1.101
2016/03/09,-1.757
2016/03/10,-4.758
2016/03/11,-6.238
2016/03/12,-4.115
2016/03/13,0.074
2016/03/14,2.513
2016/03/15,0.217
2016/03/16,-0.403
2016/03/17,-0.99
2016/03/18,-3.511
2016/03/19,0.511
2016/03/20,0.892
2016/03/21,0.162
2016/03/22,-2.284
2016/03/23,-0.169
2016/03/24,2.2
2016/03/25,2.03
2016/03/26,-0.22
2016/03/27,-5.408
2016/03/28,-5.9
2016/03/29,-5.659
2016/03/30,0.186
2016/03/31,0.203
2016/04/01,-1.454
2016/04/02,-4.177
2016/04/03,-5.472
2016/04/04,-3.88
2016/04/05,-2.451
2016/04/06,-2.474
2016/04/07,-2.697
2016/04/08,-1.982
2016/04/09,-3.391
2016/04/10,-5.471
2016/04/11,-6.144
2016/04/12,-5.721
2016/04/13,-0.753
2016/04/14,3.648
2016/04/15,0.935
2016/04/16,-3.076
2016/04/17,-0.383
2016/04/18,-1.175
2016/04/19,-2.192
2016/04/20,-0.538
2016/04/21,2.221
2016/04/22,-0.221
2016/04/23,-2.635
2016/04/24,-2.539
2016/04/25,-2.19
2016/04/26,-2.588
2016/04/27,-3.23
2016/04/28,-2.528
2016/04/29,-2.189
2016/04/30,1.008
2016/05/01,8.49
2016/05/02,6.697
2016/05/03,5.188
2016/05/04,4.042
2016/05/05,4.42
2016/05/06,5.191
2016/05/07,1.335
2016/05/08,-0.471
2016/05/09,-1.546
2016/05/10,-1.991
2016/05/11,0.212
2016/05/12,4.079
2016/05/13,6.758
2016/05/14,4.026
2016/05/15,0.836
2016/05/16,-0.295
2016/05/17,0.264
2016/05/18,3.251
2016/05/19,5.225
2016/05/20,7.699
2016/05/21,6.416
2016/05/22,3.604
2016/05/23,0.542
2016/05/24,-2.088
2016/05/25,-3.076
2016/05/26,-3.162
2016/05/27,-2.561
2016/05/28,4.002
2016/05/29,3.493
2016/05/30,0.763
2016/05/31,-0.821
2016/06/01,-0.196
2016/06/02,-1.155
2016/06/03,-2.177
2016/06/04,-2.296
2016/06/05,-2.156
2016/06/06,-1.036
2016/06/07,15.419
2016/06/08,8.118
