Date,transactions14ema
2016/11/15,42029
2016/11/16,41983
2016/11/17,41817
2016/11/18,42079
2016/11/19,41707
2016/11/20,41763
2016/11/21,41893
2016/11/22,43452
2016/11/23,46230
2016/11/24,44981
2016/11/25,46727
2016/11/26,45937
2016/11/27,45739
2016/11/28,46092
2016/11/29,46218
2016/11/30,45279
2016/12/01,44191
2016/12/02,43851
2016/12/03,43519
2016/12/04,43002
2016/12/05,42817
2016/12/06,43535
2016/12/07,43298
2016/12/08,42803
2016/12/09,42622
2016/12/10,42347
2016/12/11,41923
2016/12/12,41499
2016/12/13,41921
2016/12/14,42637
2016/12/15,43099
2016/12/16,43213
2016/12/17,42710
2016/12/18,41901
2016/12/19,42394
2016/12/20,42640
2016/12/21,43727
2016/12/22,45253
2016/12/23,45138
2016/12/24,44154
2016/12/25,43147
2016/12/26,42003
2016/12/27,42052
2016/12/28,42230
2016/12/29,42805
2016/12/30,43039
2016/12/31,42797
2017/01/01,42254
2017/01/02,41907
2017/01/03,42438
2017/01/04,43536
2017/01/05,44344
2017/01/06,44272
2017/01/07,44185
2017/01/08,43991
2017/01/09,44284
2017/01/10,44803
2017/01/11,44859
2017/01/12,45623
2017/01/13,46317
2017/01/14,45748
2017/01/15,45214
2017/01/16,45236
2017/01/17,45427
2017/01/18,45369
2017/01/19,45137
2017/01/20,45222
2017/01/21,44966
2017/01/22,45295
2017/01/23,45399
2017/01/24,46068
2017/01/25,46093
2017/01/26,46195
2017/01/27,46259
2017/01/28,46117
2017/01/29,45636
2017/01/30,45600
2017/01/31,45340
2017/02/01,45233
2017/02/02,45030
2017/02/03,44730
2017/02/04,44821
2017/02/05,45050
2017/02/06,45351
2017/02/07,46220
2017/02/08,46869
2017/02/09,47003
2017/02/10,47699
2017/02/11,47547
2017/02/12,47250
2017/02/13,48415
2017/02/14,49733
2017/02/15,50478
2017/02/16,50371
2017/02/17,50242
2017/02/18,50129
2017/02/19,49876
2017/02/20,49913
2017/02/21,51049
2017/02/22,50959
2017/02/23,50511
2017/02/24,50987
2017/02/25,51288
2017/02/26,51345
2017/02/27,51518
2017/02/28,52686
2017/03/01,53631
2017/03/02,55917
2017/03/03,57034
2017/03/04,57264
2017/03/05,57233
2017/03/06,57204
2017/03/07,57922
2017/03/08,57584
2017/03/09,58475
2017/03/10,59362
2017/03/11,60087
2017/03/12,60962
2017/03/13,63729
2017/03/14,65519
2017/03/15,67611
2017/03/16,73256
2017/03/17,77707
2017/03/18,79335
2017/03/19,80037
2017/03/20,80067
2017/03/21,80631
2017/03/22,80390
2017/03/23,80662
2017/03/24,81611
2017/03/25,81982
2017/03/26,81656
2017/03/27,83375
2017/03/28,83504
2017/03/29,84779
2017/03/30,86303
2017/03/31,88543
2017/04/01,87480
2017/04/02,87676
2017/04/03,89349
2017/04/04,88939
2017/04/05,88735
2017/04/06,89594
2017/04/07,90028
2017/04/08,87643
2017/04/09,85899
2017/04/10,84510
2017/04/11,83361
2017/04/12,82959
2017/04/13,83115
2017/04/14,82853
2017/04/15,81782
2017/04/16,80296
2017/04/17,79262
2017/04/18,79801
2017/04/19,80592
2017/04/20,81240
2017/04/21,81245
2017/04/22,80218
2017/04/23,79798
2017/04/24,79896
2017/04/25,81648
2017/04/26,82713
2017/04/27,85618
2017/04/28,88361
2017/04/29,88757
2017/04/30,89617
2017/05/01,92628
2017/05/02,94992
2017/05/03,95304
2017/05/04,97914
2017/05/05,99327
2017/05/06,98752
2017/05/07,99802
2017/05/08,102163
2017/05/09,103599
2017/05/10,104409
2017/05/11,106113
2017/05/12,106264
2017/05/13,105606
2017/05/14,105038
2017/05/15,107405
2017/05/16,108597
2017/05/17,112802
2017/05/18,116083
2017/05/19,122148
2017/05/20,123316
2017/05/21,126834
2017/05/22,133423
2017/05/23,140583
2017/05/24,146811
2017/05/25,151638
2017/05/26,154062
2017/05/27,153447
2017/05/28,153690
2017/05/29,154338
2017/05/30,159575
2017/05/31,166848
2017/06/01,171157
2017/06/02,174324
2017/06/03,174500
2017/06/04,175251
2017/06/05,177259
2017/06/06,180360
2017/06/07,183936
2017/06/08,184438
2017/06/09,188624
2017/06/10,191922
2017/06/11,198397
2017/06/12,211003
2017/06/13,220210
2017/06/14,224227
2017/06/15,229212
2017/06/16,231718
2017/06/17,233092
2017/06/18,234807
2017/06/19,241661
2017/06/20,250561
2017/06/21,246658
2017/06/22,251667
2017/06/23,254913
2017/06/24,254334
2017/06/25,251241
2017/06/26,259981
2017/06/27,259049
2017/06/28,261075
2017/06/29,261437
2017/06/30,260266
2017/07/01,257625
2017/07/02,256424
2017/07/03,262505
2017/07/04,265033
2017/07/05,265910
2017/07/06,264961
2017/07/07,269018
2017/07/08,266234
2017/07/09,260762
2017/07/10,266344
2017/07/11,269722
2017/07/12,271603
2017/07/13,270155
2017/07/14,267385
2017/07/15,262662
2017/07/16,260859
2017/07/17,259207
2017/07/18,260787
2017/07/19,262032
2017/07/20,260436
2017/07/21,256719
2017/07/22,249900
2017/07/23,251312
2017/07/24,252883
2017/07/25,251555
2017/07/26,247741
2017/07/27,244767
2017/07/28,244997
2017/07/29,238834
2017/07/30,234539
2017/07/31,236612
2017/08/01,234208
2017/08/02,233790
2017/08/03,234129
2017/08/04,237200
2017/08/05,240426
2017/08/06,243720
2017/08/07,248713
2017/08/08,258067
2017/08/09,261033
2017/08/10,271327
2017/08/11,282708
2017/08/12,290167
2017/08/13,295879
2017/08/14,311103
2017/08/15,324722
2017/08/16,336576
2017/08/17,348767
2017/08/18,361379
2017/08/19,363517
2017/08/20,356372
2017/08/21,361239
2017/08/22,361704
2017/08/23,363439
2017/08/24,361975
2017/08/25,360728
2017/08/26,353467
2017/08/27,349561
2017/08/28,351443
2017/08/29,357204
2017/08/30,362939
2017/08/31,365803
2017/09/01,369163
2017/09/02,364180
2017/09/03,355960
2017/09/04,367511
2017/09/05,377786
2017/09/06,393598
2017/09/07,400898
2017/09/08,409267
2017/09/09,405852
2017/09/10,395089
2017/09/11,391128
2017/09/12,392964
2017/09/13,389326
2017/09/14,388116
2017/09/15,395270
2017/09/16,392402
2017/09/17,378684
2017/09/18,376561
2017/09/19,371387
2017/09/20,365200
2017/09/21,358783
2017/09/22,347141
2017/09/23,335537
2017/09/24,328256
2017/09/25,325370
2017/09/26,322797
2017/09/27,320964
2017/09/28,322063
2017/09/29,322655
2017/09/30,319074
2017/10/01,314380
2017/10/02,313276
2017/10/03,315226
2017/10/04,314171
2017/10/05,314256
2017/10/06,315006
2017/10/07,311817
2017/10/08,309819
2017/10/09,312266
2017/10/10,317244
2017/10/11,320853
2017/10/12,326527
2017/10/13,333542
2017/10/14,333359
2017/10/15,332767
2017/10/16,342838
2017/10/17,364541
2017/10/18,378662
2017/10/19,394065
2017/10/20,414434
2017/10/21,420897
2017/10/22,422843
2017/10/23,428886
2017/10/24,437340
2017/10/25,440417
2017/10/26,443882
2017/10/27,384698
2017/10/28,333405
2017/10/29,288951
2017/10/30,250424
2017/10/31,217034
2017/11/01,257750
2017/11/02,294523
2017/11/03,320406
2017/11/04,330853
2017/11/05,342352
2017/11/06,364927
2017/11/07,378993
2017/11/08,392515
2017/11/09,402470
2017/11/10,409797
2017/11/11,407741
2017/11/12,411293
2017/11/13,415544
2017/11/14,423603
2017/11/15,439193
2017/11/16,446165
2017/11/17,454488
2017/11/18,455180
2017/11/19,456431
2017/11/20,466259
2017/11/21,473964
2017/11/22,483634
2017/11/23,490759
2017/11/24,495384
2017/11/25,504151
2017/11/26,509262
2017/11/27,522520
2017/11/28,538049
2017/11/29,554786
2017/11/30,568209
2017/12/01,575477
2017/12/02,582452
2017/12/03,597299
2017/12/04,611237
2017/12/05,622151
2017/12/06,644763
2017/12/07,646671
2017/12/08,662636
2017/12/09,668581
2017/12/10,674980
2017/12/11,695503
2017/12/12,719081
2017/12/13,744488
2017/12/14,770897
2017/12/15,788690
2017/12/16,803513
2017/12/17,813254
2017/12/18,836023
2017/12/19,870184
2017/12/20,885640
2017/12/21,910577
2017/12/22,936303
2017/12/23,933980
2017/12/24,910547
2017/12/25,889456
2017/12/26,879330
2017/12/27,883786
2017/12/28,892548
2017/12/29,918901
2017/12/30,947935
2017/12/31,947801
2018/01/01,942620
2018/01/02,970795
2018/01/03,1006427
2018/01/04,1052222
2018/01/05,1081469
2018/01/06,1100796
2018/01/07,1107719
2018/01/08,1122086
2018/01/09,1139973
2018/01/10,1145002
2018/01/11,1148863
2018/01/12,1144849
2018/01/13,1149445
2018/01/14,1140398
2018/01/15,1149201
2018/01/16,1166366
2018/01/17,1181128
2018/01/18,1184336
2018/01/19,1165525
2018/01/20,1141387
2018/01/21,1123406
2018/01/22,1103340
2018/01/23,1080027
2018/01/24,1057846
2018/01/25,1021935
2018/01/26,1012801
2018/01/27,988679
2018/01/28,975403
2018/01/29,970262
2018/01/30,961771
2018/01/31,950506
2018/02/01,958273
2018/02/02,961292
2018/02/03,941718
2018/02/04,922938
2018/02/05,916647
2018/02/06,912857
2018/02/07,900293
2018/02/08,871100
2018/02/09,860261
2018/02/10,858678
2018/02/11,847320
2018/02/12,844880
