Date,transactionvalueUSD
2016/10/19,337.619
2016/10/20,202.025
2016/10/21,129.394
2016/10/22,160.139
2016/10/23,146.703
2016/10/24,148.118
2016/10/25,267.435
2016/10/26,237.333
2016/10/27,238.153
2016/10/28,417.273
2016/10/29,497.171
2016/10/30,654.879
2016/10/31,307.354
2016/11/01,629.221
2016/11/02,1077
2016/11/03,2562
2016/11/04,403.061
2016/11/05,253.42
2016/11/06,164.38
2016/11/07,166.324
2016/11/08,176.003
2016/11/09,532.458
2016/11/10,268.484
2016/11/11,952.341
2016/11/12,307.309
2016/11/13,291.924
2016/11/14,121.916
2016/11/15,229.404
2016/11/16,263.292
2016/11/17,786.204
2016/11/18,238.982
2016/11/19,210.525
2016/11/20,145.219
2016/11/21,148.006
2016/11/22,477.062
2016/11/23,371.99
2016/11/24,215.997
2016/11/25,245.377
2016/11/26,160.874
2016/11/27,145.392
2016/11/28,144.74
2016/11/29,229.997
2016/11/30,254.43
2016/12/01,236.689
2016/12/02,632.879
2016/12/03,918.134
2016/12/04,326.906
2016/12/05,632.574
2016/12/06,886.558
2016/12/07,453.009
2016/12/08,536.303
2016/12/09,509.012
2016/12/10,288.277
2016/12/11,406.27
2016/12/12,228.734
2016/12/13,207.727
2016/12/14,186.236
2016/12/15,366.103
2016/12/16,252.338
2016/12/17,600.552
2016/12/18,461.348
2016/12/19,233.849
2016/12/20,239.27
2016/12/21,316.193
2016/12/22,459.405
2016/12/23,1032
2016/12/24,451.068
2016/12/25,208.252
2016/12/26,173.387
2016/12/27,239.386
2016/12/28,480.251
2016/12/29,798.526
2016/12/30,605.893
2016/12/31,1234
2017/01/01,386.626
2017/01/02,589.583
2017/01/03,973.094
2017/01/04,1620
2017/01/05,1708
2017/01/06,1695
2017/01/07,986.595
2017/01/08,584.796
2017/01/09,996.16
2017/01/10,990.588
2017/01/11,1024
2017/01/12,855.015
2017/01/13,470.43
2017/01/14,214.286
2017/01/15,136.361
2017/01/16,170.313
2017/01/17,332.893
2017/01/18,197.436
2017/01/19,235.112
2017/01/20,619.681
2017/01/21,233.975
2017/01/22,222.53
2017/01/23,204.775
2017/01/24,165.903
2017/01/25,214.611
2017/01/26,239.553
2017/01/27,229.537
2017/01/28,139.218
2017/01/29,213.998
2017/01/30,160.632
2017/01/31,309.278
2017/02/01,302.842
2017/02/02,298.939
2017/02/03,411.022
2017/02/04,436.906
2017/02/05,178.978
2017/02/06,325.586
2017/02/07,279.469
2017/02/08,264.543
2017/02/09,309.709
2017/02/10,346.311
2017/02/11,226.223
2017/02/12,301.96
2017/02/13,242.606
2017/02/14,733.817
2017/02/15,970.113
2017/02/16,611.275
2017/02/17,665.733
2017/02/18,613.109
2017/02/19,619.206
2017/02/20,621.493
2017/02/21,815.459
2017/02/22,676.205
2017/02/23,696.245
2017/02/24,1233
2017/02/25,797.653
2017/02/26,1021
2017/02/27,2543
2017/02/28,2943
2017/03/01,3135
2017/03/02,4424
2017/03/03,5054
2017/03/04,3528
2017/03/05,3025
2017/03/06,5234
2017/03/07,3167
2017/03/08,3640
2017/03/09,3995
2017/03/10,3768
2017/03/11,4856
2017/03/12,8068
2017/03/13,6260
2017/03/14,2900
2017/03/15,2924
2017/03/16,11586
2017/03/17,6931
2017/03/18,10231
2017/03/19,2433
2017/03/20,3568
2017/03/21,6691
2017/03/22,5988
2017/03/23,5867
2017/03/24,8386
2017/03/25,7254
2017/03/26,6098
2017/03/27,5884
2017/03/28,6509
2017/03/29,7453
2017/03/30,9473
2017/03/31,7149
2017/04/01,6018
2017/04/02,8501
2017/04/03,7746
2017/04/04,4257
2017/04/05,6401
2017/04/06,8038
2017/04/07,2381
2017/04/08,4171
2017/04/09,3984
2017/04/10,4944
2017/04/11,4929
2017/04/12,4375
2017/04/13,3393
2017/04/14,4230
2017/04/15,2283
2017/04/16,1237
2017/04/17,1596
2017/04/18,5065
2017/04/19,5698
2017/04/20,6313
2017/04/21,4707
2017/04/22,4617
2017/04/23,4433
2017/04/24,5333
2017/04/25,4235
2017/04/26,6477
2017/04/27,8420
2017/04/28,9072
2017/04/29,10757
2017/04/30,12244
2017/05/01,17177
2017/05/02,14107
2017/05/03,17937
2017/05/04,16961
2017/05/05,19787
2017/05/06,14810
2017/05/07,17264
2017/05/08,14662
2017/05/09,14448
2017/05/10,14773
2017/05/11,16948
2017/05/12,14870
2017/05/13,11337
2017/05/14,10878
2017/05/15,12390
2017/05/16,16487
2017/05/17,8729
2017/05/18,6343
2017/05/19,10381
2017/05/20,9195
2017/05/21,11434
2017/05/22,24288
2017/05/23,14124
2017/05/24,15571
2017/05/25,15487
2017/05/26,17206
2017/05/27,12010
2017/05/28,10693
2017/05/29,11633
2017/05/30,12834
2017/05/31,24343
2017/06/01,18668
2017/06/02,18622
2017/06/03,19436
2017/06/04,18283
2017/06/05,22077
2017/06/06,25988
2017/06/07,22481
2017/06/08,21150
2017/06/09,19786
2017/06/10,15709
2017/06/11,17174
2017/06/12,32847
2017/06/13,29424
2017/06/14,19839
2017/06/15,25846
2017/06/16,25663
2017/06/17,15178
2017/06/18,13992
2017/06/19,13875
2017/06/20,16951
2017/06/21,8684
2017/06/22,9612
2017/06/23,12067
2017/06/24,14477
2017/06/25,5223
2017/06/26,8712
2017/06/27,11285
2017/06/28,11128
2017/06/29,12954
2017/06/30,11510
2017/07/01,10076
2017/07/02,7597
2017/07/03,22757
2017/07/04,19767
2017/07/05,6830
2017/07/06,8551
2017/07/07,7846
2017/07/08,7281
2017/07/09,3713
2017/07/10,7989
2017/07/11,8633
2017/07/12,9217
2017/07/13,17397
2017/07/14,19768
2017/07/15,19490
2017/07/16,16051
2017/07/17,15817
2017/07/18,19646
2017/07/19,19116
2017/07/20,17858
2017/07/21,20150
2017/07/22,4977
2017/07/23,6062
2017/07/24,17928
2017/07/25,20097
2017/07/26,17035
2017/07/27,18893
2017/07/28,19556
2017/07/29,20923
2017/07/30,13664
2017/07/31,6869
2017/08/01,9473
2017/08/02,8589
2017/08/03,7127
2017/08/04,6768
2017/08/05,8299
2017/08/06,8523
2017/08/07,9259
2017/08/08,9644
2017/08/09,11851
2017/08/10,20648
2017/08/11,39280
2017/08/12,25629
2017/08/13,26991
2017/08/14,17734
2017/08/15,13494
2017/08/16,10947
2017/08/17,10768
2017/08/18,10586
2017/08/19,9096
2017/08/20,9542
2017/08/21,10112
2017/08/22,9721
2017/08/23,11102
2017/08/24,10819
2017/08/25,9729
2017/08/26,5773
2017/08/27,20335
2017/08/28,26562
2017/08/29,19234
2017/08/30,33883
2017/08/31,16601
2017/09/01,15577
2017/09/02,14887
2017/09/03,12261
2017/09/04,11638
2017/09/05,10753
2017/09/06,10856
2017/09/07,8490
2017/09/08,9139
2017/09/09,15571
2017/09/10,15402
2017/09/11,12158
2017/09/12,11322
2017/09/13,7313
2017/09/14,9969
2017/09/15,9521
2017/09/16,6866
2017/09/17,10375
2017/09/18,14625
2017/09/19,12543
2017/09/20,8439
2017/09/21,8067
2017/09/22,8109
2017/09/23,7881
2017/09/24,6640
2017/09/25,7866
2017/09/26,8145
2017/09/27,8670
2017/09/28,8882
2017/09/29,7329
2017/09/30,6506
2017/10/01,4741
2017/10/02,6877
2017/10/03,20120
2017/10/04,14235
2017/10/05,8743
2017/10/06,8817
2017/10/07,7938
2017/10/08,8909
2017/10/09,9474
2017/10/10,9461
2017/10/11,8592
2017/10/12,9141
2017/10/13,11949
2017/10/14,10295
2017/10/15,9289
2017/10/16,6164
2017/10/17,7121
2017/10/18,9444
2017/10/19,7741
2017/10/20,6368
2017/10/21,6711
2017/10/22,6289
2017/10/23,7802
2017/10/24,7733
2017/10/25,6532
2017/10/26,6189
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,7964
2017/11/02,8381
2017/11/03,7606
2017/11/04,6345
2017/11/05,5669
2017/11/06,5622
2017/11/07,5019
2017/11/08,7095
2017/11/09,12558
2017/11/10,9190
2017/11/11,9758
2017/11/12,12242
2017/11/13,7972
2017/11/14,7519
2017/11/15,10331
2017/11/16,10242
2017/11/17,10083
2017/11/18,9293
2017/11/19,9679
2017/11/20,11439
2017/11/21,11416
2017/11/22,11175
2017/11/23,11975
2017/11/24,11288
2017/11/25,13450
2017/11/26,13222
2017/11/27,15423
2017/11/28,17855
2017/11/29,19602
2017/11/30,17113
2017/12/01,15180
2017/12/02,16564
2017/12/03,14311
2017/12/04,13610
2017/12/05,6560
2017/12/06,7912
2017/12/07,7054
2017/12/08,5318
2017/12/09,4460
2017/12/10,3986
2017/12/11,3691
2017/12/12,8359
2017/12/13,7785
2017/12/14,9154
2017/12/15,7482
2017/12/16,6400
2017/12/17,6601
2017/12/18,6481
2017/12/19,8498
2017/12/20,10538
2017/12/21,9994
2017/12/22,8886
2017/12/23,7555
2017/12/24,6491
2017/12/25,5971
2017/12/26,8113
2017/12/27,8345
2017/12/28,9420
2017/12/29,9953
2017/12/30,10121
2017/12/31,6898
2018/01/01,6819
2018/01/02,10312
2018/01/03,10026
2018/01/04,14266
2018/01/05,14287
2018/01/06,12528
2018/01/07,11537
2018/01/08,14385
2018/01/09,15633
2018/01/10,19506
2018/01/11,16489
2018/01/12,13834
2018/01/13,11005
2018/01/14,31046
2018/01/15,12945
2018/01/16,13569
2018/01/17,11980
2018/01/18,11963
2018/01/19,9200
2018/01/20,8920
2018/01/21,8051
2018/01/22,9454
2018/01/23,9140
2018/01/24,9579
2018/01/25,5577
2018/01/26,10966
2018/01/27,8354
2018/01/28,9790
2018/01/29,10128
2018/01/30,10687
2018/01/31,10310
2018/02/01,9134
2018/02/02,10556
2018/02/03,7328
2018/02/04,5764
2018/02/05,6394
2018/02/06,6818
2018/02/07,6866
2018/02/08,4368
2018/02/09,5432
2018/02/10,5939
2018/02/11,4266
2018/02/12,4819
2018/02/13,7321
2018/02/14,5801
2018/02/15,6601
2018/02/16,5774
2018/02/17,5244
2018/02/18,5199
2018/02/19,4425
2018/02/20,4719
2018/02/21,4452
2018/02/22,6186
2018/02/23,3644
2018/02/24,3352
2018/02/25,2290
2018/02/26,2882
2018/02/27,1964
2018/02/28,1898
2018/03/01,2159
2018/03/02,1809
2018/03/03,1334
2018/03/04,1433
2018/03/05,1812
2018/03/06,2290
2018/03/07,1987
2018/03/08,1797
2018/03/09,1920
2018/03/10,1400
2018/03/11,1257
2018/03/12,1580
2018/03/13,2715
2018/03/14,1902
2018/03/15,1732
2018/03/16,1293
2018/03/17,1220
2018/03/18,2130
2018/03/19,1787
2018/03/20,1573
2018/03/21,1453
2018/03/22,1372
2018/03/23,1565
2018/03/24,1051
2018/03/25,984.965
2018/03/26,1559
2018/03/27,1974
2018/03/28,1919
2018/03/29,1831
2018/03/30,1414
2018/03/31,1035
2018/04/01,890.443
2018/04/02,928.532
2018/04/03,1042
2018/04/04,979.229
2018/04/05,705.659
2018/04/06,757.761
2018/04/07,633.052
2018/04/08,828.995
2018/04/09,1034
2018/04/10,893.723
2018/04/11,1024
2018/04/12,1474
2018/04/13,1538
2018/04/14,795.363
2018/04/15,982.722
2018/04/16,1078
2018/04/17,998.505
2018/04/18,1281
2018/04/19,1212
2018/04/20,1530
2018/04/21,1377
2018/04/22,1048
2018/04/23,2464
2018/04/24,2297
2018/04/25,2034
2018/04/26,1613
2018/04/27,1833
2018/04/28,1568
2018/04/29,1502
2018/04/30,1767
2018/05/01,1737
2018/05/02,2302
2018/05/03,2509
2018/05/04,2025
2018/05/05,1782
2018/05/06,1752
2018/05/07,2783
2018/05/08,1932
2018/05/09,1988
2018/05/10,1896
2018/05/11,1861
2018/05/12,1367
2018/05/13,1095
2018/05/14,1948
2018/05/15,1834
2018/05/16,1457
2018/05/17,1431
2018/05/18,1357
2018/05/19,1002
2018/05/20,1163
2018/05/21,1463
2018/05/22,1834
2018/05/23,2022
2018/05/24,1535
2018/05/25,1351
2018/05/26,1041
2018/05/27,1466
2018/05/28,1715
2018/05/29,1499
2018/05/30,1498
2018/05/31,1564
2018/06/01,1885
2018/06/02,997.815
2018/06/03,847.076
2018/06/04,1516
2018/06/05,1580
2018/06/06,1801
2018/06/07,1686
2018/06/08,1944
2018/06/09,937.892
2018/06/10,1303
2018/06/11,1496
2018/06/12,2016
2018/06/13,2475
2018/06/14,2624
2018/06/15,2357
2018/06/16,1252
2018/06/17,914.834
2018/06/18,1149
2018/06/19,1314
2018/06/20,1366
2018/06/21,1321
2018/06/22,1531
2018/06/23,898.088
2018/06/24,1338
2018/06/25,1319
2018/06/26,1195
2018/06/27,1090
2018/06/28,1055
2018/06/29,1233
2018/06/30,884.074
2018/07/01,730.729
2018/07/02,1339
2018/07/03,1487
2018/07/04,1623
2018/07/05,1473
2018/07/06,1628
2018/07/07,1083
2018/07/08,980.159
2018/07/09,1292
2018/07/10,1242
2018/07/11,971.389
2018/07/12,1002
2018/07/13,965.231
2018/07/14,792.784
2018/07/15,775.372
2018/07/16,1141
2018/07/17,1228
2018/07/18,1357
2018/07/19,1070
2018/07/20,1208
2018/07/21,806.705
2018/07/22,711.803
2018/07/23,991.138
2018/07/24,1031
2018/07/25,920.126
2018/07/26,814.532
2018/07/27,801.112
2018/07/28,529.209
2018/07/29,500.413
2018/07/30,945.933
2018/07/31,1682
2018/08/01,843.376
2018/08/02,855.659
2018/08/03,721.376
2018/08/04,548.677
2018/08/05,516.614
2018/08/06,716.997
2018/08/07,875.212
2018/08/08,1338
2018/08/09,1076
2018/08/10,1062
2018/08/11,805.036
2018/08/12,507.952
2018/08/13,1110
2018/08/14,1202
2018/08/15,1033
2018/08/16,623.461
2018/08/17,922.65
2018/08/18,537.162
2018/08/19,389.9
2018/08/20,639.561
2018/08/21,675.131
2018/08/22,822.103
2018/08/23,668.923
2018/08/24,664.704
2018/08/25,523.033
2018/08/26,468.365
2018/08/27,692.038
2018/08/28,682.686
2018/08/29,837.057
2018/08/30,681.904
2018/08/31,733.185
2018/09/01,518.224
2018/09/02,435.776
2018/09/03,824.95
2018/09/04,1430
2018/09/05,1047
2018/09/06,1169
2018/09/07,984.496
2018/09/08,827.416
2018/09/09,761.612
2018/09/10,863.23
2018/09/11,852.205
2018/09/12,1167
2018/09/13,831.949
2018/09/14,885.168
2018/09/15,656.398
2018/09/16,579.521
2018/09/17,748.178
2018/09/18,738.988
2018/09/19,639.97
2018/09/20,800.083
2018/09/21,1230
2018/09/22,803.665
2018/09/23,720.145
2018/09/24,930.07
2018/09/25,777.404
2018/09/26,804.101
2018/09/27,723.437
2018/09/28,764.152
2018/09/29,745.03
2018/09/30,656.321
2018/10/01,606.87
2018/10/02,511.843
2018/10/03,630.475
2018/10/04,639.833
2018/10/05,555.664
2018/10/06,410.174
2018/10/07,439.784
2018/10/08,682.787
2018/10/09,605.291
2018/10/10,650.042
2018/10/11,1096
2018/10/12,705.41
2018/10/13,439.385
2018/10/14,454.398
2018/10/15,1249
2018/10/16,823.594
2018/10/17,699.485
2018/10/18,863.433
2018/10/19,568.196
2018/10/20,554.841
2018/10/21,804.034
2018/10/22,568.268
2018/10/23,627.388
2018/10/24,631.316
2018/10/25,834.974
2018/10/26,637.273
2018/10/27,406.154
2018/10/28,406.873
2018/10/29,648.197
2018/10/30,539.26
2018/10/31,586.886
2018/11/01,545.999
2018/11/02,689.512
2018/11/03,434.098
2018/11/04,609.942
2018/11/05,846.809
2018/11/06,666.832
2018/11/07,829.412
2018/11/08,670.056
2018/11/09,640.118
2018/11/10,482.428
2018/11/11,449.423
2018/11/12,692.603
2018/11/13,645.957
2018/11/14,1015
2018/11/15,1005
2018/11/16,724.532
2018/11/17,483.503
2018/11/18,694.338
2018/11/19,1246
2018/11/20,1263
2018/11/21,888.028
2018/11/22,619.997
2018/11/23,672.17
2018/11/24,562.52
2018/11/25,828.522
2018/11/26,694.906
2018/11/27,539.35
2018/11/28,635.859
2018/11/29,778.893
2018/11/30,3351
2018/12/01,3436
2018/12/02,338.509
2018/12/03,465.875
2018/12/04,445.586
2018/12/05,520.624
2018/12/06,645.985
2018/12/07,752.211
2018/12/08,448.448
2018/12/09,439.528
2018/12/10,418.799
2018/12/11,431.902
2018/12/12,397.618
2018/12/13,475.308
2018/12/14,410.419
2018/12/15,279.621
2018/12/16,299.921
2018/12/17,548.295
2018/12/18,555.045
2018/12/19,759.269
2018/12/20,799.898
2018/12/21,849.82
2018/12/22,476.498
2018/12/23,710.015
2018/12/24,940.433
2018/12/25,587.706
2018/12/26,504.346
2018/12/27,645.526
2018/12/28,650.18
2018/12/29,967.492
2018/12/30,488.612
2018/12/31,551.248
2019/01/01,507.074
2019/01/02,695.225
2019/01/03,637.634
2019/01/04,1064
2019/01/05,1300
2019/01/06,769.185
2019/01/07,738.447
2019/01/08,639.873
2019/01/09,597.885
2019/01/10,741.309
2019/01/11,913.834
2019/01/12,415.885
2019/01/13,450.796
2019/01/14,731.517
2019/01/15,562.858
2019/01/16,640.375
2019/01/17,508.913
2019/01/18,399.404
2019/01/19,334.821
2019/01/20,388.501
2019/01/21,369.929
2019/01/22,358.042
2019/01/23,438.677
2019/01/24,533.736
2019/01/25,454.022
2019/01/26,324.336
2019/01/27,439.539
2019/01/28,610.195
2019/01/29,424.608
2019/01/30,458.283
2019/01/31,492.284
2019/02/01,417.927
2019/02/02,290.808
2019/02/03,331.12
2019/02/04,264.497
2019/02/05,254.646
2019/02/06,424.134
2019/02/07,353.463
2019/02/08,502.839
2019/02/09,330.47
2019/02/10,451.07
2019/02/11,539.502
2019/02/12,424.27
2019/02/13,450.5
2019/02/14,429.105
2019/02/15,413.219
2019/02/16,292.177
2019/02/17,494.551
2019/02/18,829.957
2019/02/19,765.61
2019/02/20,613.645
2019/02/21,574.776
2019/02/22,586.789
2019/02/23,485.644
2019/02/24,822.071
2019/02/25,900.977
2019/02/26,465.594
2019/02/27,740.611
2019/02/28,596.155
2019/03/01,463.047
2019/03/02,377.302
2019/03/03,459.125
2019/03/04,514.251
2019/03/05,512.924
2019/03/06,523.601
2019/03/07,513.061
2019/03/08,585.921
2019/03/09,449.761
2019/03/10,483.027
2019/03/11,616.519
2019/03/12,558.906
2019/03/13,477.183
2019/03/14,526.464
2019/03/15,534.502
2019/03/16,539.993
2019/03/17,492.593
2019/03/18,627.226
2019/03/19,413.697
2019/03/20,635.03
2019/03/21,555.749
2019/03/22,450.661
2019/03/23,625.29
2019/03/24,443.086
2019/03/25,598.974
2019/03/26,543.262
2019/03/27,506.344
2019/03/28,509.137
2019/03/29,568.289
2019/03/30,540.097
2019/03/31,474.313
2019/04/01,506.343
2019/04/02,830.588
2019/04/03,947.489
2019/04/04,693.248
2019/04/05,706.955
2019/04/06,553.3
2019/04/07,709.001
2019/04/08,1023
2019/04/09,903.066
2019/04/10,757.781
2019/04/11,677.068
2019/04/12,594.1
2019/04/13,414.197
2019/04/14,514.259
2019/04/15,677.565
2019/04/16,552.253
2019/04/17,544.891
2019/04/18,651.302
2019/04/19,575.248
2019/04/20,475.531
2019/04/21,541.159
2019/04/22,571.578
2019/04/23,654.109
2019/04/24,864.5
2019/04/25,757.864
2019/04/26,1063
2019/04/27,535.854
2019/04/28,620.866
2019/04/29,763.208
2019/04/30,665.146
2019/05/01,599.75
2019/05/02,540.26
2019/05/03,626.689
2019/05/04,522.493
2019/05/05,478.417
2019/05/06,709.1
2019/05/07,909.403
2019/05/08,773.83
2019/05/09,671.518
2019/05/10,670.767
2019/05/11,1133
2019/05/12,769.755
2019/05/13,1014
2019/05/14,879.464
2019/05/15,1205
2019/05/16,2028
2019/05/17,1358
2019/05/18,739.908
2019/05/19,802.994
2019/05/20,914.608
2019/05/21,883.545
2019/05/22,837.38
2019/05/23,876.943
2019/05/24,685.187
2019/05/25,557.534
2019/05/26,803.98
2019/05/27,931.728
2019/05/28,760.3
2019/05/29,1090
2019/05/30,1128
2019/05/31,1033
2019/06/01,523.96
2019/06/02,478.728
2019/06/03,850.123
2019/06/04,902.489
2019/06/05,1045
2019/06/06,603.685
2019/06/07,670.795
2019/06/08,314.231
2019/06/09,600.255
2019/06/10,619.465
2019/06/11,575.403
2019/06/12,713.02
2019/06/13,941.724
2019/06/14,846.016
2019/06/15,1024
2019/06/16,889.572
2019/06/17,673.256
2019/06/18,906.802
2019/06/19,904.449
2019/06/20,639.749
2019/06/21,1120
2019/06/22,1141
2019/06/23,863.343
2019/06/24,960.223
2019/06/25,962.902
2019/06/26,1474
2019/06/27,1413
2019/06/28,814.081
2019/06/29,1069
2019/06/30,879.522
2019/07/01,749.242
2019/07/02,733.897
2019/07/03,807.993
2019/07/04,688.517
2019/07/05,553.969
2019/07/06,440.965
2019/07/07,722.347
2019/07/08,672.881
2019/07/09,1717
2019/07/10,1015
2019/07/11,1045
2019/07/12,699.403
2019/07/13,475.494
2019/07/14,900.619
2019/07/15,927.574
2019/07/16,556.922
2019/07/17,722.869
2019/07/18,782.908
2019/07/19,534.357
2019/07/20,538.506
2019/07/21,478.704
2019/07/22,566.594
2019/07/23,552.419
2019/07/24,361.073
2019/07/25,385.216
2019/07/26,864.317
2019/07/27,425.5
2019/07/28,355.274
2019/07/29,534.185
2019/07/30,503.282
2019/07/31,524.796
2019/08/01,712.547
2019/08/02,544.844
2019/08/03,357.172
2019/08/04,376.097
2019/08/05,909.695
2019/08/06,714.038
2019/08/07,542.484
2019/08/08,694.221
2019/08/09,552.616
2019/08/10,453.61
2019/08/11,431.534
2019/08/12,452.018
2019/08/13,493.256
2019/08/14,625.112
