Date,sentbyaddress90trx
2016/10/02,0.382
2016/10/03,0.377
2016/10/04,0.372
2016/10/05,0.367
2016/10/06,0.361
2016/10/07,0.356
2016/10/08,0.35
2016/10/09,0.345
2016/10/10,0.34
2016/10/11,0.335
2016/10/12,0.33
2016/10/13,0.324
2016/10/14,0.318
2016/10/15,0.312
2016/10/16,0.305
2016/10/17,0.299
2016/10/18,0.293
2016/10/19,0.287
2016/10/20,0.282
2016/10/21,0.277
2016/10/22,0.272
2016/10/23,0.267
2016/10/24,0.263
2016/10/25,0.258
2016/10/26,0.254
2016/10/27,0.249
2016/10/28,0.245
2016/10/29,0.241
2016/10/30,0.237
2016/10/31,0.233
2016/11/01,0.229
2016/11/02,0.226
2016/11/03,0.222
2016/11/04,0.218
2016/11/05,0.215
2016/11/06,0.211
2016/11/07,0.207
2016/11/08,0.203
2016/11/09,0.199
2016/11/10,0.195
2016/11/11,0.191
2016/11/12,0.187
2016/11/13,0.183
2016/11/14,0.179
2016/11/15,0.175
2016/11/16,0.171
2016/11/17,0.167
2016/11/18,0.163
2016/11/19,0.159
2016/11/20,0.155
2016/11/21,0.151
2016/11/22,0.149
2016/11/23,0.149
2016/11/24,0.149
2016/11/25,0.15
2016/11/26,0.151
2016/11/27,0.151
2016/11/28,0.15
2016/11/29,0.15
2016/11/30,0.149
2016/12/01,0.147
2016/12/02,0.146
2016/12/03,0.144
2016/12/04,0.142
2016/12/05,0.141
2016/12/06,0.139
2016/12/07,0.137
2016/12/08,0.134
2016/12/09,0.132
2016/12/10,0.129
2016/12/11,0.126
2016/12/12,0.123
2016/12/13,0.12
2016/12/14,0.117
2016/12/15,0.114
2016/12/16,0.112
2016/12/17,0.109
2016/12/18,0.105
2016/12/19,0.102
2016/12/20,0.099
2016/12/21,0.096
2016/12/22,0.093
2016/12/23,0.09
2016/12/24,0.087
2016/12/25,0.084
2016/12/26,0.08
2016/12/27,0.077
2016/12/28,0.073
2016/12/29,0.07
2016/12/30,0.066
2016/12/31,0.063
2017/01/01,0.059
2017/01/02,0.056
2017/01/03,0.053
2017/01/04,0.05
2017/01/05,0.047
2017/01/06,0.045
2017/01/07,0.042
2017/01/08,0.04
2017/01/09,0.038
2017/01/10,0.036
2017/01/11,0.034
2017/01/12,0.032
2017/01/13,0.031
2017/01/14,0.029
2017/01/15,0.027
2017/01/16,0.025
2017/01/17,0.023
2017/01/18,0.022
2017/01/19,0.02
2017/01/20,0.019
2017/01/21,0.017
2017/01/22,0.016
2017/01/23,0.014
2017/01/24,0.013
2017/01/25,0.011
2017/01/26,0.01
2017/01/27,0.008
2017/01/28,0.006
2017/01/29,0.005
2017/01/30,0.003
2017/01/31,0.002
2017/02/01,0
2017/02/02,-0.001
2017/02/03,-0.003
2017/02/04,-0.004
2017/02/05,-0.005
2017/02/06,-0.006
2017/02/07,-0.007
2017/02/08,-0.008
2017/02/09,-0.009
2017/02/10,-0.01
2017/02/11,-0.01
2017/02/12,-0.011
2017/02/13,-0.011
2017/02/14,-0.011
2017/02/15,-0.01
2017/02/16,-0.01
2017/02/17,-0.009
2017/02/18,-0.009
2017/02/19,-0.008
2017/02/20,-0.007
2017/02/21,-0.006
2017/02/22,-0.005
2017/02/23,-0.004
2017/02/24,-0.003
2017/02/25,-0.001
2017/02/26,0
2017/02/27,0.002
2017/02/28,0.004
2017/03/01,0.006
2017/03/02,0.01
2017/03/03,0.015
2017/03/04,0.02
2017/03/05,0.025
2017/03/06,0.03
2017/03/07,0.035
2017/03/08,0.041
2017/03/09,0.047
2017/03/10,0.053
2017/03/11,0.059
2017/03/12,0.066
2017/03/13,0.074
2017/03/14,0.083
2017/03/15,0.092
2017/03/16,0.103
2017/03/17,0.116
2017/03/18,0.129
2017/03/19,0.143
2017/03/20,0.156
2017/03/21,0.17
2017/03/22,0.184
2017/03/23,0.198
2017/03/24,0.212
2017/03/25,0.227
2017/03/26,0.241
2017/03/27,0.255
2017/03/28,0.27
2017/03/29,0.284
2017/03/30,0.298
2017/03/31,0.314
2017/04/01,0.329
2017/04/02,0.344
2017/04/03,0.36
2017/04/04,0.375
2017/04/05,0.391
2017/04/06,0.406
2017/04/07,0.421
2017/04/08,0.435
2017/04/09,0.448
2017/04/10,0.46
2017/04/11,0.472
2017/04/12,0.483
2017/04/13,0.493
2017/04/14,0.503
2017/04/15,0.513
2017/04/16,0.521
2017/04/17,0.528
2017/04/18,0.535
2017/04/19,0.542
2017/04/20,0.548
2017/04/21,0.554
2017/04/22,0.558
2017/04/23,0.563
2017/04/24,0.567
2017/04/25,0.57
2017/04/26,0.574
2017/04/27,0.578
2017/04/28,0.582
2017/04/29,0.586
2017/04/30,0.59
2017/05/01,0.595
2017/05/02,0.6
2017/05/03,0.604
2017/05/04,0.609
2017/05/05,0.615
2017/05/06,0.62
2017/05/07,0.625
2017/05/08,0.631
2017/05/09,0.638
2017/05/10,0.645
2017/05/11,0.651
2017/05/12,0.658
2017/05/13,0.664
2017/05/14,0.67
2017/05/15,0.675
2017/05/16,0.681
2017/05/17,0.688
2017/05/18,0.695
2017/05/19,0.703
2017/05/20,0.712
2017/05/21,0.72
2017/05/22,0.73
2017/05/23,0.74
2017/05/24,0.751
2017/05/25,0.763
2017/05/26,0.776
2017/05/27,0.788
2017/05/28,0.799
2017/05/29,0.811
2017/05/30,0.822
2017/05/31,0.836
2017/06/01,0.851
2017/06/02,0.865
2017/06/03,0.879
2017/06/04,0.893
2017/06/05,0.908
2017/06/06,0.922
2017/06/07,0.936
2017/06/08,0.95
2017/06/09,0.964
2017/06/10,0.978
2017/06/11,0.992
2017/06/12,1.009
2017/06/13,1.027
2017/06/14,1.046
2017/06/15,1.065
2017/06/16,1.084
2017/06/17,1.103
2017/06/18,1.121
2017/06/19,1.139
2017/06/20,1.157
2017/06/21,1.177
2017/06/22,1.196
2017/06/23,1.215
2017/06/24,1.234
2017/06/25,1.251
2017/06/26,1.268
2017/06/27,1.285
2017/06/28,1.296
2017/06/29,1.307
2017/06/30,1.316
2017/07/01,1.325
2017/07/02,1.333
2017/07/03,1.34
2017/07/04,1.348
2017/07/05,1.354
2017/07/06,1.359
2017/07/07,1.365
2017/07/08,1.368
2017/07/09,1.371
2017/07/10,1.372
2017/07/11,1.374
2017/07/12,1.374
2017/07/13,1.373
2017/07/14,1.371
2017/07/15,1.368
2017/07/16,1.364
2017/07/17,1.359
2017/07/18,1.353
2017/07/19,1.347
2017/07/20,1.34
2017/07/21,1.333
2017/07/22,1.324
2017/07/23,1.316
2017/07/24,1.307
2017/07/25,1.297
2017/07/26,1.287
2017/07/27,1.276
2017/07/28,1.265
2017/07/29,1.253
2017/07/30,1.241
2017/07/31,1.228
2017/08/01,1.216
2017/08/02,1.203
2017/08/03,1.19
2017/08/04,1.177
2017/08/05,1.164
2017/08/06,1.152
2017/08/07,1.14
2017/08/08,1.128
2017/08/09,1.117
2017/08/10,1.107
2017/08/11,1.098
2017/08/12,1.089
2017/08/13,1.08
2017/08/14,1.073
2017/08/15,1.066
2017/08/16,1.06
2017/08/17,1.055
2017/08/18,1.051
2017/08/19,1.047
2017/08/20,1.043
2017/08/21,1.039
2017/08/22,1.035
2017/08/23,1.031
2017/08/24,1.028
2017/08/25,1.024
2017/08/26,1.019
2017/08/27,1.014
2017/08/28,1.009
2017/08/29,1.005
2017/08/30,1
2017/08/31,0.996
2017/09/01,0.993
2017/09/02,0.989
2017/09/03,0.984
2017/09/04,0.98
2017/09/05,0.977
2017/09/06,0.974
2017/09/07,0.971
2017/09/08,0.968
2017/09/09,0.966
2017/09/10,0.962
2017/09/11,0.958
2017/09/12,0.955
2017/09/13,0.951
2017/09/14,0.948
2017/09/15,0.945
2017/09/16,0.942
2017/09/17,0.937
2017/09/18,0.933
2017/09/19,0.928
2017/09/20,0.922
2017/09/21,0.916
