Date,mediantransactionvalue30momUSD
2016/01/01,-0.17
2016/01/02,-0.426
2016/01/03,-0.291
2016/01/04,-0.403
2016/01/05,-1.187
2016/01/06,-1.74
2016/01/07,-1.631
2016/01/08,-0.595
2016/01/09,-0.396
2016/01/10,-0.113
2016/01/11,-0.12
2016/01/12,-0.299
2016/01/13,0
2016/01/14,1.264
2016/01/15,0.705
2016/01/16,0.208
2016/01/17,0.367
2016/01/18,0.237
2016/01/19,-0.246
2016/01/20,1.742
2016/01/21,2.096
2016/01/22,1.566
2016/01/23,2.235
2016/01/24,1.759
2016/01/25,1.4
2016/01/26,2.743
2016/01/27,-0.072
2016/01/28,1.604
2016/01/29,2.617
2016/01/30,1.603
2016/01/31,1.277
2016/02/01,1.133
2016/02/02,1.098
2016/02/03,1.619
2016/02/04,2.824
2016/02/05,2.727
2016/02/06,0
2016/02/07,2.048
2016/02/08,2.604
2016/02/09,2.892
2016/02/10,4.711
2016/02/11,3.92
2016/02/12,7.511
2016/02/13,4.368
2016/02/14,3.974
2016/02/15,4.56
2016/02/16,3.871
2016/02/17,2.804
2016/02/18,3.87
2016/02/19,2.637
2016/02/20,2.909
2016/02/21,3.619
2016/02/22,3.305
2016/02/23,3.637
2016/02/24,4.096
2016/02/25,4.192
2016/02/26,5.54
2016/02/27,4.354
2016/02/28,4.814
2016/02/29,4.428
2016/03/01,4.995
2016/03/02,6.476
2016/03/03,7.958
2016/03/04,7.286
2016/03/05,11.003
2016/03/06,9.187
2016/03/07,11.423
2016/03/08,7.302
2016/03/09,7.633
2016/03/10,9.858
2016/03/11,5.629
2016/03/12,9.175
2016/03/13,7.826
2016/03/14,9.463
2016/03/15,8.084
2016/03/16,8.342
2016/03/17,7.085
2016/03/18,6.804
2016/03/19,6.096
2016/03/20,5.568
2016/03/21,6.396
2016/03/22,6.757
2016/03/23,6.515
2016/03/24,5.026
2016/03/25,4.272
2016/03/26,3.888
2016/03/27,4.858
2016/03/28,4.632
2016/03/29,4.489
2016/03/30,4.851
2016/03/31,4.318
2016/04/01,2.904
2016/04/02,1.443
2016/04/03,1.742
2016/04/04,-2.301
2016/04/05,-1.199
2016/04/06,-0.541
2016/04/07,0.162
2016/04/08,-1.341
2016/04/09,-4.178
2016/04/10,-2.688
2016/04/11,-5.907
2016/04/12,-7.371
2016/04/13,-7.298
2016/04/14,-5.318
2016/04/15,-6.141
2016/04/16,-4.099
2016/04/17,-3.355
2016/04/18,-1.464
2016/04/19,-1.328
2016/04/20,-2.669
2016/04/21,-3.472
2016/04/22,-4.086
2016/04/23,-3.294
2016/04/24,-2.403
2016/04/25,-2.938
2016/04/26,-3.732
2016/04/27,-3.717
2016/04/28,-4.377
2016/04/29,-4.608
2016/04/30,-3.859
2016/05/01,-3.063
2016/05/02,-2.104
2016/05/03,-2.089
2016/05/04,-1.899
2016/05/05,-1.096
2016/05/06,-1.19
2016/05/07,-1.139
2016/05/08,-0.649
2016/05/09,-0.362
2016/05/10,0.538
2016/05/11,1.035
2016/05/12,2.24
2016/05/13,3.072
2016/05/14,1.942
2016/05/15,1.799
2016/05/16,2.126
2016/05/17,4.117
2016/05/18,3.913
2016/05/19,4.824
2016/05/20,5.757
2016/05/21,5.149
2016/05/22,5.937
2016/05/23,6.167
2016/05/24,4.952
2016/05/25,4.531
2016/05/26,-0.916
2016/05/27,3.713
2016/05/28,-6.455
2016/05/29,-0.447
2016/05/30,4.164
2016/05/31,4.389
2016/06/01,4.17
2016/06/02,4.035
2016/06/03,4.033
2016/06/04,0.023
2016/06/05,4.04
2016/06/06,4.383
2016/06/07,-2.145
2016/06/08,4.973
2016/06/09,4.964
2016/06/10,3.557
2016/06/11,3.636
2016/06/12,0.432
2016/06/13,6.185
2016/06/14,6.758
2016/06/15,7.728
2016/06/16,7.636
2016/06/17,-7.924
2016/06/18,-6.086
2016/06/19,-4.779
2016/06/20,-5.315
2016/06/21,-2.146
2016/06/22,-0.137
2016/06/23,-0.215
2016/06/24,-5.304
2016/06/25,7.632
2016/06/26,-3.521
2016/06/27,12.768
2016/06/28,6.009
2016/06/29,-8.51
2016/06/30,-11.943
2016/07/01,-1.758
2016/07/02,-1.837
2016/07/03,-1.802
2016/07/04,1.89
2016/07/05,-3.269
2016/07/06,-3.263
2016/07/07,2.847
2016/07/08,-6.276
2016/07/09,-3.557
2016/07/10,-2.431
2016/07/11,-3.281
2016/07/12,-1.315
2016/07/13,-6.143
2016/07/14,-10.242
2016/07/15,-6.429
2016/07/16,-12.458
2016/07/17,6.08
2016/07/18,3.41
2016/07/19,1.928
2016/07/20,-5.596
2016/07/21,-2.203
2016/07/22,-0.724
2016/07/23,0.55
2016/07/24,6.436
2016/07/25,-0.793
2016/07/26,5.1
2016/07/27,-1.305
2016/07/28,-0.362
2016/07/29,7.013
2016/07/30,10.236
2016/07/31,0.024
2016/08/01,-0.42
2016/08/02,-1.501
2016/08/03,-7.588
2016/08/04,0.26
2016/08/05,0.353
2016/08/06,0.652
2016/08/07,2.711
2016/08/08,0.133
2016/08/09,0.807
2016/08/10,0.37
2016/08/11,-0.492
2016/08/12,-3.432
2016/08/13,0.841
2016/08/14,-0.44
2016/08/15,2.504
2016/08/16,-6.694
2016/08/17,-5.797
2016/08/18,-6.363
2016/08/19,4.119
2016/08/20,-1.651
2016/08/21,-5.545
2016/08/22,-6.659
2016/08/23,-8.003
2016/08/24,-8.602
2016/08/25,-9.12
2016/08/26,-8.156
2016/08/27,-8.08
2016/08/28,-1.034
2016/08/29,-7.708
2016/08/30,-7.479
2016/08/31,-3.704
2016/09/01,1.775
2016/09/02,-1.409
2016/09/03,-2.226
2016/09/04,-5.452
2016/09/05,-0.076
2016/09/06,-6.655
2016/09/07,-8.686
2016/09/08,-9.034
2016/09/09,-8.38
2016/09/10,-1.14
2016/09/11,4.856
2016/09/12,-0.126
2016/09/13,0.517
2016/09/14,-6.772
2016/09/15,-2.052
2016/09/16,-2.688
2016/09/17,1.261
2016/09/18,3.217
2016/09/19,4.817
2016/09/20,5.766
2016/09/21,6.915
2016/09/22,-3.476
2016/09/23,8.587
2016/09/24,9.104
2016/09/25,8.737
2016/09/26,8.241
2016/09/27,3.135
2016/09/28,9.499
2016/09/29,8.631
2016/09/30,5.432
2016/10/01,-6.845
2016/10/02,10.639
2016/10/03,4.749
2016/10/04,-5.482
2016/10/05,-0.617
2016/10/06,2.289
2016/10/07,10.426
2016/10/08,9.638
2016/10/09,9.762
2016/10/10,3.488
2016/10/11,0.068
2016/10/12,2.343
2016/10/13,-10.803
2016/10/14,9.116
