Date,hashrate14roc
2016/01/01,-4.724
2016/01/02,-3.787
2016/01/03,2.202
2016/01/04,1.852
2016/01/05,-2.847
2016/01/06,-0.149
2016/01/07,-2.459
2016/01/08,2.133
2016/01/09,4.212
2016/01/10,-1.374
2016/01/11,3.026
2016/01/12,-0.203
2016/01/13,-0.746
2016/01/14,2.032
2016/01/15,7.805
2016/01/16,8.717
2016/01/17,4.31
2016/01/18,9.276
2016/01/19,6.562
2016/01/20,6.509
2016/01/21,11.007
2016/01/22,10.89
2016/01/23,10.359
2016/01/24,20.952
2016/01/25,11.211
2016/01/26,24.394
2016/01/27,25.075
2016/01/28,17.792
2016/01/29,18.144
2016/01/30,16.497
2016/01/31,13.789
2016/02/01,14.834
2016/02/02,10.9
2016/02/03,18.477
2016/02/04,18.846
2016/02/05,14.4
2016/02/06,10.796
2016/02/07,6.56
2016/02/08,15.812
2016/02/09,3.9
2016/02/10,8.207
2016/02/11,14.607
2016/02/12,7.586
2016/02/13,14.528
2016/02/14,19.887
2016/02/15,17
2016/02/16,21.739
2016/02/17,10.517
2016/02/18,8.17
2016/02/19,13.769
2016/02/20,18.645
2016/02/21,16.659
2016/02/22,16.762
2016/02/23,21.471
2016/02/24,17.9
2016/02/25,14.491
2016/02/26,22.304
2016/02/27,17.09
2016/02/28,18.124
2016/02/29,11.482
2016/03/01,14.047
2016/03/02,21.953
2016/03/03,27.476
2016/03/04,23.659
2016/03/05,28.709
2016/03/06,28.174
2016/03/07,23.998
2016/03/08,24.808
2016/03/09,27.684
2016/03/10,31.369
2016/03/11,30.689
2016/03/12,35.552
2016/03/13,40.976
2016/03/14,40.701
2016/03/15,43.852
2016/03/16,40.793
2016/03/17,43.024
2016/03/18,37.852
2016/03/19,37.826
2016/03/20,39.99
2016/03/21,36.454
2016/03/22,38.314
2016/03/23,28.525
2016/03/24,33.871
2016/03/25,36.626
2016/03/26,33.313
2016/03/27,27.168
2016/03/28,29.006
2016/03/29,28.97
2016/03/30,29.492
2016/03/31,29.209
2016/04/01,32.105
2016/04/02,21.643
2016/04/03,25.806
2016/04/04,33.591
2016/04/05,30.819
2016/04/06,36.36
2016/04/07,20.427
2016/04/08,25.334
2016/04/09,20.948
2016/04/10,24.07
2016/04/11,22.6
2016/04/12,15.543
2016/04/13,18.411
2016/04/14,15.338
2016/04/15,18.569
2016/04/16,24.559
2016/04/17,14.976
2016/04/18,16.531
2016/04/19,15.918
2016/04/20,19.812
2016/04/21,26.293
2016/04/22,12.469
2016/04/23,18.073
2016/04/24,12.028
2016/04/25,21.614
2016/04/26,20.583
2016/04/27,15.588
2016/04/28,17.523
2016/04/29,15.234
2016/04/30,18.138
2016/05/01,20.03
2016/05/02,9.458
2016/05/03,15.588
2016/05/04,11.921
2016/05/05,11.333
2016/05/06,15.297
2016/05/07,10.04
2016/05/08,13.789
2016/05/09,9.26
2016/05/10,15.074
2016/05/11,9.948
2016/05/12,10.123
2016/05/13,15.058
2016/05/14,8.948
2016/05/15,10.667
2016/05/16,14.224
2016/05/17,8.045
2016/05/18,13.876
2016/05/19,16.1
2016/05/20,18.028
2016/05/21,19.5
2016/05/22,16.827
2016/05/23,16.342
2016/05/24,15.635
2016/05/25,21.335
2016/05/26,19.717
2016/05/27,12.851
2016/05/28,17.494
2016/05/29,17.469
2016/05/30,17.425
2016/05/31,16.182
2016/06/01,9.574
2016/06/02,9.501
2016/06/03,13.033
2016/06/04,11.612
2016/06/05,9.643
2016/06/06,12.928
2016/06/07,11.877
2016/06/08,11.254
2016/06/09,15.134
2016/06/10,7.819
2016/06/11,9.309
2016/06/12,9.322
2016/06/13,13.742
2016/06/14,16.203
2016/06/15,17.307
2016/06/16,14.717
2016/06/17,12.99
2016/06/18,10.783
2016/06/19,15.87
2016/06/20,10.799
2016/06/21,8.361
2016/06/22,12.528
2016/06/23,9.723
2016/06/24,16.478
2016/06/25,11.681
2016/06/26,14.22
2016/06/27,12.11
2016/06/28,12.442
2016/06/29,10.67
2016/06/30,11.329
2016/07/01,9.789
2016/07/02,12.839
2016/07/03,12.7
2016/07/04,13.612
2016/07/05,15.414
2016/07/06,10.808
2016/07/07,8.204
2016/07/08,8.977
2016/07/09,9.684
2016/07/10,7.224
2016/07/11,6.959
2016/07/12,5.649
2016/07/13,9.774
2016/07/14,8.055
2016/07/15,3.959
2016/07/16,4.272
2016/07/17,2.343
2016/07/18,5.47
2016/07/19,4.154
2016/07/20,2.047
2016/07/21,6.481
2016/07/22,2.035
2016/07/23,6.078
2016/07/24,2.55
2016/07/25,-2.292
2016/07/26,-6.882
2016/07/27,-12.011
2016/07/28,-5.38
2016/07/29,-6.004
2016/07/30,-8.348
2016/07/31,-7.312
