Date,size
2016/11/14,1576
2016/11/15,1577
2016/11/16,1481
2016/11/17,1476
2016/11/18,1514
2016/11/19,1375
2016/11/20,1473
2016/11/21,1537
2016/11/22,1708
2016/11/23,1950
2016/11/24,1424
2016/11/25,1767
2016/11/26,1501
2016/11/27,1703
2016/11/28,1731
2016/11/29,1692
2016/11/30,2209
2016/12/01,1407
2016/12/02,1462
2016/12/03,1404
2016/12/04,1403
2016/12/05,1491
2016/12/06,1615
2016/12/07,1523
2016/12/08,1416
2016/12/09,1502
2016/12/10,1428
2016/12/11,1681
2016/12/12,1477
2016/12/13,1538
2016/12/14,1835
2016/12/15,1582
2016/12/16,1506
2016/12/17,1418
2016/12/18,1345
2016/12/19,1616
2016/12/20,1536
2016/12/21,1769
2016/12/22,1762
2016/12/23,1522
2016/12/24,1361
2016/12/25,1317
2016/12/26,1294
2016/12/27,1558
2016/12/28,1531
2016/12/29,1678
2016/12/30,1623
2016/12/31,1544
2017/01/01,1390
2017/01/02,1458
2017/01/03,1627
2017/01/04,1717
2017/01/05,1676
2017/01/06,1593
2017/01/07,1570
2017/01/08,1557
2017/01/09,1595
2017/01/10,1686
2017/01/11,1591
2017/01/12,1697
2017/01/13,1729
2017/01/14,1499
2017/01/15,1498
2017/01/16,1575
2017/01/17,1642
2017/01/18,1583
2017/01/19,1552
2017/01/20,1609
2017/01/21,1504
2017/01/22,1616
2017/01/23,1612
2017/01/24,1754
2017/01/25,1644
2017/01/26,1673
2017/01/27,1658
2017/01/28,1628
2017/01/29,1523
2017/01/30,1579
2017/01/31,1539
2017/02/01,1607
2017/02/02,1578
2017/02/03,1568
2017/02/04,1560
2017/02/05,1614
2017/02/06,1606
2017/02/07,1827
2017/02/08,1764
2017/02/09,1630
2017/02/10,1735
2017/02/11,1594
2017/02/12,1571
2017/02/13,1823
2017/02/14,1914
2017/02/15,1818
2017/02/16,1661
2017/02/17,1661
2017/02/18,1773
2017/02/19,1635
2017/02/20,1696
2017/02/21,1989
2017/02/22,1790
2017/02/23,1667
2017/02/24,1778
2017/02/25,1761
2017/02/26,1713
2017/02/27,1819
2017/02/28,1935
2017/03/01,2235
2017/03/02,2209
2017/03/03,2084
2017/03/04,1860
2017/03/05,1821
2017/03/06,1808
2017/03/07,1963
2017/03/08,1800
2017/03/09,2403
2017/03/10,2190
2017/03/11,2014
2017/03/12,2043
2017/03/13,2452
2017/03/14,2433
2017/03/15,2456
2017/03/16,3071
2017/03/17,2880
2017/03/18,2513
2017/03/19,2396
2017/03/20,2316
2017/03/21,2507
2017/03/22,2368
2017/03/23,2513
2017/03/24,2557
2017/03/25,2428
2017/03/26,2375
2017/03/27,2896
2017/03/28,2543
2017/03/29,2744
2017/03/30,2853
2017/03/31,2949
2017/04/01,2403
2017/04/02,2669
2017/04/03,2788
2017/04/04,2518
2017/04/05,2558
2017/04/06,2799
2017/04/07,2776
2017/04/08,2249
2017/04/09,2358
2017/04/10,2460
2017/04/11,2377
2017/04/12,2697
2017/04/13,2589
2017/04/14,2451
2017/04/15,2348
2017/04/16,2220
2017/04/17,2309
2017/04/18,2603
2017/04/19,2664
2017/04/20,2581
2017/04/21,2691
2017/04/22,2429
2017/04/23,2393
2017/04/24,2553
2017/04/25,2803
2017/04/26,2724
2017/04/27,3095
2017/04/28,3178
2017/04/29,2793
2017/04/30,3064
2017/05/01,3544
2017/05/02,3461
2017/05/03,3028
2017/05/04,3351
2017/05/05,3171
2017/05/06,2934
2017/05/07,3322
2017/05/08,3409
2017/05/09,3376
2017/05/10,3227
2017/05/11,3352
2017/05/12,3154
2017/05/13,3065
2017/05/14,3140
2017/05/15,3831
2017/05/16,3644
2017/05/17,4305
2017/05/18,4245
2017/05/19,4801
2017/05/20,4179
2017/05/21,4586
2017/05/22,5328
2017/05/23,6627
2017/05/24,6666
2017/05/25,5952
2017/05/26,5559
2017/05/27,5127
2017/05/28,5379
2017/05/29,4922
2017/05/30,7069
2017/05/31,6843
2017/06/01,6541
2017/06/02,7542
2017/06/03,6636
2017/06/04,6458
2017/06/05,6439
2017/06/06,7374
2017/06/07,7388
2017/06/08,6932
2017/06/09,7482
2017/06/10,6592
2017/06/11,8658
2017/06/12,9451
2017/06/13,8807
2017/06/14,7942
2017/06/15,8192
2017/06/16,8034
2017/06/17,7958
2017/06/18,7931
2017/06/19,8956
2017/06/20,9258
2017/06/21,6195
2017/06/22,8691
2017/06/23,9123
2017/06/24,8935
2017/06/25,8979
2017/06/26,9544
2017/06/27,7911
2017/06/28,10005
2017/06/29,9460
2017/06/30,8800
2017/07/01,8106
2017/07/02,8503
2017/07/03,10143
2017/07/04,10132
2017/07/05,10094
2017/07/06,8830
2017/07/07,9709
2017/07/08,8884
2017/07/09,6980
2017/07/10,10586
2017/07/11,10484
2017/07/12,10735
2017/07/13,10676
2017/07/14,10040
2017/07/15,8747
2017/07/16,9225
2017/07/17,9814
2017/07/18,11286
2017/07/19,10282
2017/07/20,9370
2017/07/21,8661
