Date,sentbyaddress7mom
2016/01/01,102
2016/01/02,120
2016/01/03,173
2016/01/04,11
2016/01/05,74
2016/01/06,208
2016/01/07,16
2016/01/08,110
2016/01/09,65
2016/01/10,224
2016/01/11,244
2016/01/12,367
2016/01/13,95
2016/01/14,-1
2016/01/15,322
2016/01/16,-139
2016/01/17,-409
2016/01/18,-208
2016/01/19,-451
2016/01/20,264
2016/01/21,-182
2016/01/22,-369
2016/01/23,333
2016/01/24,679
2016/01/25,561
2016/01/26,803
2016/01/27,44
2016/01/28,545
2016/01/29,422
2016/01/30,114
2016/01/31,-12
2016/02/01,-163
2016/02/02,-339
2016/02/03,-53
2016/02/04,-99
2016/02/05,25
2016/02/06,-43
2016/02/07,42
2016/02/08,255
2016/02/09,468
2016/02/10,1238
2016/02/11,1399
2016/02/12,1258
2016/02/13,1122
2016/02/14,511
2016/02/15,447
2016/02/16,270
2016/02/17,-567
2016/02/18,-664
2016/02/19,-651
2016/02/20,-545
2016/02/21,813
2016/02/22,269
2016/02/23,238
2016/02/24,188
2016/02/25,557
2016/02/26,340
2016/02/27,542
2016/02/28,-59
2016/02/29,981
2016/03/01,1335
2016/03/02,1608
2016/03/03,1535
2016/03/04,1853
2016/03/05,2690
2016/03/06,1954
2016/03/07,475
2016/03/08,1050
2016/03/09,443
2016/03/10,641
2016/03/11,338
2016/03/12,-644
2016/03/13,-328
2016/03/14,554
2016/03/15,-508
2016/03/16,-387
2016/03/17,-445
2016/03/18,175
2016/03/19,-674
2016/03/20,-462
2016/03/21,46
2016/03/22,-366
2016/03/23,41
2016/03/24,-569
2016/03/25,-1084
2016/03/26,-346
2016/03/27,107
2016/03/28,-318
2016/03/29,1527
2016/03/30,1528
2016/03/31,411
2016/04/01,332
2016/04/02,260
2016/04/03,-363
2016/04/04,162
2016/04/05,-1048
2016/04/06,-1180
2016/04/07,-48
2016/04/08,43
2016/04/09,590
2016/04/10,1081
2016/04/11,-155
2016/04/12,66
2016/04/13,473
2016/04/14,218
2016/04/15,-47
2016/04/16,-430
2016/04/17,-304
2016/04/18,258
2016/04/19,-138
2016/04/20,-388
2016/04/21,-51
2016/04/22,481
2016/04/23,392
2016/04/24,-38
2016/04/25,259
2016/04/26,496
2016/04/27,332
2016/04/28,152
2016/04/29,2488
2016/04/30,3202
2016/05/01,1949
2016/05/02,2744
2016/05/03,1935
2016/05/04,1517
2016/05/05,1827
2016/05/06,-608
2016/05/07,-1457
2016/05/08,105
2016/05/09,-609
2016/05/10,217
2016/05/11,1841
2016/05/12,1924
2016/05/13,3479
2016/05/14,2546
2016/05/15,804
2016/05/16,245
2016/05/17,752
2016/05/18,202
2016/05/19,300
2016/05/20,-1839
2016/05/21,-1451
2016/05/22,-989
2016/05/23,1374
2016/05/24,309
2016/05/25,-531
2016/05/26,6348
2016/05/27,1577
2016/05/28,8190
2016/05/29,1807
2016/05/30,-490
2016/05/31,405
2016/06/01,-116
2016/06/02,-7776
2016/06/03,-2393
2016/06/04,-8796
2016/06/05,-1588
2016/06/06,-915
2016/06/07,-1073
2016/06/08,-349
2016/06/09,-234
2016/06/10,-62
2016/06/11,-280
2016/06/12,890
2016/06/13,2201
2016/06/14,2080
2016/06/15,789
2016/06/16,1965
2016/06/17,6309
2016/06/18,5718
2016/06/19,1754
2016/06/20,-835
2016/06/21,-459
2016/06/22,1715
2016/06/23,-1013
2016/06/24,-5949
2016/06/25,-5147
2016/06/26,-2482
2016/06/27,-1490
2016/06/28,-953
2016/06/29,-2063
2016/06/30,-899
2016/07/01,-414
2016/07/02,404
2016/07/03,518
2016/07/04,801
2016/07/05,-106
2016/07/06,-163
2016/07/07,590
2016/07/08,475
2016/07/09,35
2016/07/10,-360
2016/07/11,-480
2016/07/12,-653
2016/07/13,-554
2016/07/14,42
2016/07/15,-54
2016/07/16,-923
2016/07/17,-1067
2016/07/18,-478
2016/07/19,9721
2016/07/20,3095
2016/07/21,1538
2016/07/22,2600
2016/07/23,2732
2016/07/24,8131
2016/07/25,4432
2016/07/26,-32
2016/07/27,3071
2016/07/28,2759
2016/07/29,-271
2016/07/30,-810
2016/07/31,-4567
2016/08/01,-1379
2016/08/02,-4777
2016/08/03,-3164
2016/08/04,-2318
2016/08/05,-1550
2016/08/06,-266
2016/08/07,-1273
2016/08/08,-864
2016/08/09,-2325
