Date,activeaddresses14wma
2016/01/01,3410
2016/01/02,3427
2016/01/03,3451
2016/01/04,3485
2016/01/05,3516
2016/01/06,3567
2016/01/07,3644
2016/01/08,3689
2016/01/09,3719
2016/01/10,3775
2016/01/11,3854
2016/01/12,3940
2016/01/13,3977
2016/01/14,3993
2016/01/15,4063
2016/01/16,4057
2016/01/17,4028
2016/01/18,4075
2016/01/19,4084
2016/01/20,4172
2016/01/21,4179
2016/01/22,4207
2016/01/23,4296
2016/01/24,4436
2016/01/25,4615
2016/01/26,4833
2016/01/27,4973
2016/01/28,5166
2016/01/29,5314
2016/01/30,5451
2016/01/31,5588
2016/02/01,5667
2016/02/02,5724
2016/02/03,5786
2016/02/04,5799
2016/02/05,5898
2016/02/06,5853
2016/02/07,5833
2016/02/08,5879
2016/02/09,5968
2016/02/10,6247
2016/02/11,6786
2016/02/12,7080
2016/02/13,7295
2016/02/14,7377
2016/02/15,7486
2016/02/16,7578
2016/02/17,7678
2016/02/18,7726
2016/02/19,7766
2016/02/20,7735
2016/02/21,7822
2016/02/22,7879
2016/02/23,7924
2016/02/24,7942
2016/02/25,8053
2016/02/26,8072
2016/02/27,8109
2016/02/28,8218
2016/02/29,8389
2016/03/01,8657
2016/03/02,9034
2016/03/03,9471
2016/03/04,9846
2016/03/05,10425
2016/03/06,10879
2016/03/07,10981
2016/03/08,11293
2016/03/09,11512
2016/03/10,11842
2016/03/11,12013
2016/03/12,12322
2016/03/13,12552
2016/03/14,12821
2016/03/15,13019
2016/03/16,13150
2016/03/17,13300
2016/03/18,13603
2016/03/19,13671
2016/03/20,13765
2016/03/21,13837
2016/03/22,13873
2016/03/23,14010
2016/03/24,14027
2016/03/25,14075
2016/03/26,14042
2016/03/27,14153
2016/03/28,14275
2016/03/29,14616
2016/03/30,15052
2016/03/31,15178
2016/04/01,15230
2016/04/02,15247
2016/04/03,15314
2016/04/04,15474
2016/04/05,15692
2016/04/06,15745
2016/04/07,15946
2016/04/08,15894
2016/04/09,15999
2016/04/10,16149
2016/04/11,16173
2016/04/12,16267
2016/04/13,16448
2016/04/14,16554
2016/04/15,16569
2016/04/16,16573
2016/04/17,16672
2016/04/18,16760
2016/04/19,16821
2016/04/20,16931
2016/04/21,17003
2016/04/22,17040
2016/04/23,17043
2016/04/24,17128
2016/04/25,17196
2016/04/26,17277
2016/04/27,17355
2016/04/28,17368
2016/04/29,17725
2016/04/30,18858
2016/05/01,19174
2016/05/02,19894
2016/05/03,20132
2016/05/04,20259
2016/05/05,20407
2016/05/06,20507
2016/05/07,20502
2016/05/08,20734
2016/05/09,21014
2016/05/10,21129
2016/05/11,21522
2016/05/12,21886
2016/05/13,22486
2016/05/14,22703
2016/05/15,22794
2016/05/16,22667
2016/05/17,22843
2016/05/18,23388
2016/05/19,23722
2016/05/20,23843
2016/05/21,23806
2016/05/22,23491
2016/05/23,23751
2016/05/24,23801
2016/05/25,23896
2016/05/26,24867
2016/05/27,25376
2016/05/28,27240
2016/05/29,27224
2016/05/30,26959
2016/05/31,26811
2016/06/01,26474
2016/06/02,26116
2016/06/03,25737
2016/06/04,25260
2016/06/05,24811
2016/06/06,24501
2016/06/07,24201
2016/06/08,23976
2016/06/09,23658
2016/06/10,23498
2016/06/11,22872
2016/06/12,23060
2016/06/13,23750
2016/06/14,24426
2016/06/15,24672
2016/06/16,24721
2016/06/17,26178
2016/06/18,27214
2016/06/19,27656
2016/06/20,27819
2016/06/21,27956
2016/06/22,28391
2016/06/23,28186
2016/06/24,27972
2016/06/25,27431
2016/06/26,27344
2016/06/27,26887
2016/06/28,26785
2016/06/29,26536
2016/06/30,26231
2016/07/01,25845
2016/07/02,25612
2016/07/03,25401
2016/07/04,25386
2016/07/05,25366
2016/07/06,25280
2016/07/07,25257
2016/07/08,25323
2016/07/09,25268
2016/07/10,25203
2016/07/11,25130
2016/07/12,25160
2016/07/13,24802
2016/07/14,24929
2016/07/15,24970
2016/07/16,24880
2016/07/17,24350
2016/07/18,24171
2016/07/19,24951
2016/07/20,25767
