Date,sentbyaddress3var
2016/01/01,10502
2016/01/02,5168
2016/01/03,1513
2016/01/04,24.667
2016/01/05,32.667
2016/01/06,491.556
2016/01/07,1570
2016/01/08,1143
2016/01/09,1123
2016/01/10,7203
2016/01/11,6850
2016/01/12,4547
2016/01/13,8545
2016/01/14,14060
2016/01/15,10947
2016/01/16,30015
2016/01/17,53078
2016/01/18,8974
2016/01/19,8972
2016/01/20,43410
2016/01/21,53356
2016/01/22,48330
2016/01/23,21294
2016/01/24,43974
2016/01/25,20984
2016/01/26,9446
2016/01/27,12177
2016/01/28,15622
2016/01/29,926.889
2016/01/30,1690
2016/01/31,2083
2016/02/01,2008
2016/02/02,1333
2016/02/03,472.889
2016/02/04,216.889
2016/02/05,520.222
2016/02/06,1578
2016/02/07,6208
2016/02/08,22710
2016/02/09,18941
2016/02/10,171170
2016/02/11,162594
2016/02/12,2727
2016/02/13,18161
2016/02/14,72535
2016/02/15,31212
2016/02/16,2446
2016/02/17,816.222
2016/02/18,434.889
2016/02/19,904.222
2016/02/20,6829
2016/02/21,173411
2016/02/22,147588
2016/02/23,46475
2016/02/24,3813
2016/02/25,28381
2016/02/26,28129
2016/02/27,15106
2016/02/28,32438
2016/02/29,153488
2016/03/01,144571
2016/03/02,39253
2016/03/03,42286
2016/03/04,25518
2016/03/05,190681
2016/03/06,139398
2016/03/07,280453
2016/03/08,170743
2016/03/09,129662
2016/03/10,52142
2016/03/11,45458
2016/03/12,22172
2016/03/13,3807
2016/03/14,1287
2016/03/15,6787
2016/03/16,41670
2016/03/17,37377
2016/03/18,109867
2016/03/19,143674
2016/03/20,164741
2016/03/21,78780
2016/03/22,69462
2016/03/23,67568
2016/03/24,3642
2016/03/25,16675
2016/03/26,20540
2016/03/27,59581
2016/03/28,89953
2016/03/29,377028
2016/03/30,377028
2016/03/31,330063
2016/04/01,438146
2016/04/02,42002
2016/04/03,16755
2016/04/04,80120
2016/04/05,91473
2016/04/06,368.667
2016/04/07,5241
2016/04/08,13961
2016/04/09,14433
2016/04/10,94140
2016/04/11,68024
2016/04/12,63888
2016/04/13,67394
2016/04/14,31716
2016/04/15,109156
2016/04/16,49888
2016/04/17,64570
2016/04/18,67849
2016/04/19,6158
2016/04/20,3528
2016/04/21,2385
2016/04/22,1987
2016/04/23,5370
2016/04/24,6054
2016/04/25,25841
2016/04/26,21111
2016/04/27,1850
2016/04/28,14394
2016/04/29,1215680
2016/04/30,1683520
2016/05/01,203565
2016/05/02,255669
2016/05/03,186875
2016/05/04,230208
2016/05/05,40762
2016/05/06,1660
2016/05/07,21098
2016/05/08,36395
2016/05/09,102398
2016/05/10,35249
2016/05/11,334322
2016/05/12,347827
2016/05/13,607285
2016/05/14,455945
2016/05/15,1067745
2016/05/16,446707
2016/05/17,67310
2016/05/18,256285
2016/05/19,133788
2016/05/20,55052
2016/05/21,346252
2016/05/22,471028
2016/05/23,766875
2016/05/24,841523
2016/05/25,76085
2016/05/26,10980230
2016/05/27,9198725
2016/05/28,6873017
2016/05/29,9683540
2016/05/30,11817857
2016/05/31,35900
2016/06/01,95318
2016/06/02,271358
2016/06/03,55796
2016/06/04,88161
2016/06/05,93025
2016/06/06,56449
2016/06/07,110003
2016/06/08,18545
2016/06/09,38755
2016/06/10,27217
2016/06/11,136044
2016/06/12,246353
2016/06/13,1508931
2016/06/14,811004
2016/06/15,339962
2016/06/16,291944
2016/06/17,5522353
2016/06/18,3605908
2016/06/19,3108013
2016/06/20,2346598
2016/06/21,106414
2016/06/22,337795
2016/06/23,640910
2016/06/24,1048678
2016/06/25,183369
2016/06/26,117409
2016/06/27,7924
2016/06/28,328649
2016/06/29,218251
2016/06/30,198144
2016/07/01,123622
2016/07/02,11993
2016/07/03,5471
2016/07/04,54149
2016/07/05,83910
2016/07/06,16230
2016/07/07,24380
2016/07/08,474
2016/07/09,17822
2016/07/10,79158
2016/07/11,34628
2016/07/12,33224
2016/07/13,9322
2016/07/14,52721
2016/07/15,58168
2016/07/16,321944
2016/07/17,500136
2016/07/18,157506
2016/07/19,25582074
2016/07/20,18046682
2016/07/21,12129238
2016/07/22,212470
2016/07/23,215768
2016/07/24,4357055
2016/07/25,3936444
2016/07/26,5511192
2016/07/27,5670940
2016/07/28,4569580
2016/07/29,1945518
2016/07/30,2210136
2016/07/31,423809
2016/08/01,421574
2016/08/02,1513014
2016/08/03,1119287
2016/08/04,1267596
2016/08/05,563900
2016/08/06,474462
2016/08/07,12650
2016/08/08,184564
2016/08/09,513950
2016/08/10,215634
2016/08/11,403176
2016/08/12,845765
2016/08/13,1511885
2016/08/14,92909
2016/08/15,105118
2016/08/16,245475
2016/08/17,214561
2016/08/18,230780
2016/08/19,508.222
2016/08/20,22913
2016/08/21,18327
2016/08/22,117887
2016/08/23,559857
2016/08/24,535201
2016/08/25,229643
2016/08/26,205410
2016/08/27,112838
2016/08/28,56828
2016/08/29,122945
2016/08/30,118881
2016/08/31,92022
2016/09/01,496031
2016/09/02,178507
2016/09/03,633056
2016/09/04,377802
2016/09/05,7778
2016/09/06,5219
2016/09/07,11370
2016/09/08,648090
2016/09/09,606684
2016/09/10,774239
2016/09/11,32691
2016/09/12,61111
2016/09/13,6698
2016/09/14,9576
2016/09/15,12588
2016/09/16,152961
2016/09/17,147344
2016/09/18,606411
2016/09/19,614668
2016/09/20,6877449
2016/09/21,6228484
2016/09/22,5114504
2016/09/23,3126522
2016/09/24,125443
2016/09/25,25278
2016/09/26,14748
2016/09/27,7582
2016/09/28,7146
2016/09/29,261554
2016/09/30,347874
2016/10/01,582511
2016/10/02,699509
2016/10/03,594652
2016/10/04,1908250
2016/10/05,908191
2016/10/06,159701
2016/10/07,852572
2016/10/08,521873
2016/10/09,293384
2016/10/10,221294
2016/10/11,369122
2016/10/12,4914816
2016/10/13,5616022
2016/10/14,3215423
2016/10/15,3243320
2016/10/16,457898
2016/10/17,669278
2016/10/18,3122078
2016/10/19,3964074
2016/10/20,4632253
2016/10/21,5005024
2016/10/22,650922
2016/10/23,1090211
2016/10/24,196364
2016/10/25,80223
2016/10/26,6756
2016/10/27,17668
2016/10/28,25093
2016/10/29,104796
2016/10/30,296486
2016/10/31,1064150
2016/11/01,2038643
2016/11/02,1606854
2016/11/03,1548868
2016/11/04,1577440
2016/11/05,1574498
2016/11/06,354236
2016/11/07,506785
2016/11/08,564716
2016/11/09,26043
2016/11/10,406843
2016/11/11,435401
2016/11/12,282308
2016/11/13,221622
2016/11/14,567982
2016/11/15,563972
2016/11/16,96406
2016/11/17,67128
2016/11/18,15288
2016/11/19,70950
2016/11/20,70425
2016/11/21,50603
2016/11/22,43196994
2016/11/23,83008142
2016/11/24,106333889
2016/11/25,108527117
2016/11/26,66841565
2016/11/27,63608387
2016/11/28,523200
2016/11/29,311656
2016/11/30,50443
2016/12/01,29508
2016/12/02,75002
2016/12/03,1140522
2016/12/04,825348
2016/12/05,593153
2016/12/06,806323
2016/12/07,1698934
2016/12/08,2055175
2016/12/09,751355
