Date,sentinusd7stdUSD
2016/01/01,226390
2016/01/02,204690
2016/01/03,137395
2016/01/04,158772
2016/01/05,537185
2016/01/06,526479
2016/01/07,527205
2016/01/08,543863
2016/01/09,547425
2016/01/10,567004
2016/01/11,559267
2016/01/12,658802
2016/01/13,647192
2016/01/14,645010
2016/01/15,776785
2016/01/16,719582
2016/01/17,622818
2016/01/18,1847976
2016/01/19,1899238
2016/01/20,1836601
2016/01/21,1755497
2016/01/22,1755303
2016/01/23,1736786
2016/01/24,2295419
2016/01/25,3006027
2016/01/26,3127528
2016/01/27,2818673
2016/01/28,2334558
2016/01/29,2069513
2016/01/30,1932209
2016/01/31,1824076
2016/02/01,1357507
2016/02/02,1121102
2016/02/03,1013460
2016/02/04,1236433
2016/02/05,1203587
2016/02/06,1188199
2016/02/07,1072617
2016/02/08,2490055
2016/02/09,3512432
2016/02/10,5367102
2016/02/11,6074121
2016/02/12,7554095
2016/02/13,6072648
2016/02/14,5308823
2016/02/15,5484628
2016/02/16,5365239
2016/02/17,5978917
2016/02/18,5771209
2016/02/19,2881073
2016/02/20,2512935
2016/02/21,2917579
2016/02/22,2920661
2016/02/23,4273334
2016/02/24,6779495
2016/02/25,6723232
2016/02/26,13748702
2016/02/27,13718904
2016/02/28,12878757
2016/02/29,12760172
2016/03/01,12761021
2016/03/02,18100694
2016/03/03,17534695
2016/03/04,15867931
2016/03/05,20472812
2016/03/06,18383312
2016/03/07,15196254
2016/03/08,12478400
2016/03/09,12174010
2016/03/10,13576709
2016/03/11,14290454
2016/03/12,8210627
2016/03/13,12443767
2016/03/14,12906008
2016/03/15,12671956
2016/03/16,12162279
2016/03/17,10608339
2016/03/18,8505666
2016/03/19,12223660
2016/03/20,12754603
2016/03/21,12301124
2016/03/22,12832663
2016/03/23,13399804
2016/03/24,11517059
2016/03/25,3580980
2016/03/26,4631697
2016/03/27,5680274
2016/03/28,5571603
2016/03/29,7340870
2016/03/30,8486361
2016/03/31,8479642
2016/04/01,8987240
2016/04/02,8706921
2016/04/03,9945051
2016/04/04,10305337
2016/04/05,8744676
2016/04/06,4836365
2016/04/07,3359557
2016/04/08,3279556
2016/04/09,5751049
2016/04/10,5054314
2016/04/11,4952626
2016/04/12,4966332
2016/04/13,4778651
2016/04/14,4747796
2016/04/15,4938258
2016/04/16,4520851
2016/04/17,3807045
2016/04/18,3717658
2016/04/19,3913280
2016/04/20,3174282
2016/04/21,2706184
2016/04/22,2783960
2016/04/23,3060089
2016/04/24,3218321
2016/04/25,3198790
