Date,difficulty3rsi
2016/01/01,52.481
2016/01/02,12.066
2016/01/03,40.439
2016/01/04,44.013
2016/01/05,39.4
2016/01/06,63.252
2016/01/07,30.493
2016/01/08,48.024
2016/01/09,66.128
2016/01/10,47.75
2016/01/11,83.322
2016/01/12,85.218
2016/01/13,40.154
2016/01/14,59.87
2016/01/15,73.464
2016/01/16,81.068
2016/01/17,63.333
2016/01/18,81.126
2016/01/19,83.726
2016/01/20,64.194
2016/01/21,76.41
2016/01/22,87.093
2016/01/23,90.561
2016/01/24,92.046
2016/01/25,95.093
2016/01/26,97.303
2016/01/27,98.207
2016/01/28,51.917
2016/01/29,73.683
2016/01/30,72.878
2016/01/31,51.405
2016/02/01,68.518
2016/02/02,43.361
2016/02/03,59.951
2016/02/04,75.216
2016/02/05,78.239
2016/02/06,41.012
2016/02/07,58.563
2016/02/08,81.08
2016/02/09,54.397
2016/02/10,73.077
2016/02/11,82.008
2016/02/12,49.531
2016/02/13,70.889
2016/02/14,80.14
2016/02/15,86.313
2016/02/16,70.734
2016/02/17,71.831
2016/02/18,32.922
2016/02/19,60.69
2016/02/20,67.655
2016/02/21,73.84
2016/02/22,86.489
2016/02/23,91.229
2016/02/24,73.613
2016/02/25,67.545
2016/02/26,85.14
2016/02/27,92.102
2016/02/28,93.604
2016/02/29,95.192
2016/03/01,50.044
2016/03/02,72.091
2016/03/03,84.064
2016/03/04,89.87
2016/03/05,92.41
2016/03/06,96.175
2016/03/07,83.456
2016/03/08,87.88
2016/03/09,91.693
2016/03/10,92.934
2016/03/11,96.612
2016/03/12,98.405
2016/03/13,98.863
2016/03/14,92.112
2016/03/15,22.81
2016/03/16,29.379
2016/03/17,39.231
2016/03/18,49.767
2016/03/19,62.771
2016/03/20,79.908
2016/03/21,70.18
2016/03/22,77.955
2016/03/23,38.066
2016/03/24,68.893
2016/03/25,82.447
2016/03/26,86.815
2016/03/27,90.495
2016/03/28,78.32
2016/03/29,87.396
2016/03/30,89.997
2016/03/31,95.167
2016/04/01,86.369
2016/04/02,70.386
2016/04/03,84.723
2016/04/04,91.913
2016/04/05,93.973
2016/04/06,91.048
2016/04/07,40.655
2016/04/08,73.177
2016/04/09,80.642
2016/04/10,83.059
2016/04/11,78.672
2016/04/12,39.049
2016/04/13,68.675
2016/04/14,73.718
2016/04/15,83.662
2016/04/16,88.56
2016/04/17,58.403
2016/04/18,79.292
2016/04/19,83.978
2016/04/20,85.232
2016/04/21,91.126
2016/04/22,46.818
2016/04/23,69.217
2016/04/24,60.274
2016/04/25,76.249
2016/04/26,74.745
2016/04/27,53.563
2016/04/28,76.487
2016/04/29,84.338
2016/04/30,91.414
2016/05/01,94.282
2016/05/02,38.903
2016/05/03,65.127
2016/05/04,65.183
2016/05/05,56.648
2016/05/06,61.942
2016/05/07,62.102
2016/05/08,74.684
2016/05/09,83.69
2016/05/10,92.022
2016/05/11,50.945
2016/05/12,43.198
2016/05/13,82.117
2016/05/14,82.375
2016/05/15,85.129
2016/05/16,87.891
2016/05/17,44.558
2016/05/18,74.38
2016/05/19,86.566
2016/05/20,89.114
2016/05/21,91.788
2016/05/22,67.414
2016/05/23,72.449
2016/05/24,83.355
2016/05/25,78.027
2016/05/26,89.061
2016/05/27,76.27
2016/05/28,88.109
2016/05/29,93.054
2016/05/30,80.624
2016/05/31,83.463
2016/06/01,29.817
2016/06/02,54.686
2016/06/03,79.68
2016/06/04,79.74
2016/06/05,74.511
2016/06/06,80.831
2016/06/07,89.752
2016/06/08,70.781
2016/06/09,90.42
2016/06/10,57.733
2016/06/11,56.666
2016/06/12,67.644
2016/06/13,85.473
2016/06/14,88.186
2016/06/15,88.781
2016/06/16,85.41
2016/06/17,33.798
2016/06/18,11.814
2016/06/19,62.663
2016/06/20,73.308
2016/06/21,56.849
2016/06/22,66.52
2016/06/23,81.606
2016/06/24,68.971
2016/06/25,74.74
2016/06/26,78.785
2016/06/27,87.945
2016/06/28,90.289
2016/06/29,60.377
2016/06/30,61.665
2016/07/01,68.122
2016/07/02,86.541
2016/07/03,92.191
2016/07/04,78.51
2016/07/05,87.353
2016/07/06,47.105
2016/07/07,60.139
2016/07/08,63.512
2016/07/09,29.545
2016/07/10,66.938
2016/07/11,74.706
2016/07/12,79.097
2016/07/13,80.331
2016/07/14,79.35
2016/07/15,34.704
2016/07/16,31.807
2016/07/17,66.802
2016/07/18,70.425
2016/07/19,81.797
2016/07/20,34.615
2016/07/21,56.196
2016/07/22,51.121
2016/07/23,75.232
2016/07/24,76.876
2016/07/25,22.112
2016/07/26,18.318
2016/07/27,4.795
2016/07/28,46.543
2016/07/29,42.983
2016/07/30,39.115
2016/07/31,37.011
2016/08/01,36.412
2016/08/02,11.349
2016/08/03,7.036
2016/08/04,43.561
2016/08/05,63.144
2016/08/06,58.979
2016/08/07,65.491
2016/08/08,77.176
2016/08/09,87.329
2016/08/10,92.643
2016/08/11,94.656
2016/08/12,92.015
2016/08/13,78.68
2016/08/14,81.249
2016/08/15,62.031
2016/08/16,86.86
2016/08/17,82.733
2016/08/18,66.682
2016/08/19,84.232
2016/08/20,90.012
2016/08/21,75.54
2016/08/22,87.397
2016/08/23,92.632
2016/08/24,82.266
2016/08/25,91.817
2016/08/26,96.247
2016/08/27,73.717
2016/08/28,68.459
2016/08/29,52.13
2016/08/30,53.95
2016/08/31,72.367
2016/09/01,86.835
2016/09/02,70.145
2016/09/03,35.02
2016/09/04,15.751
2016/09/05,45.99
2016/09/06,53.01
2016/09/07,60.022
2016/09/08,56.675
2016/09/09,49.052
2016/09/10,78.284
2016/09/11,88.28
2016/09/12,88.541
2016/09/13,91.184
2016/09/14,94.873
2016/09/15,96.341
2016/09/16,71.115
2016/09/17,91.287
2016/09/18,41.371
2016/09/19,12.196
2016/09/20,62.561
2016/09/21,69.565
2016/09/22,43.903
2016/09/23,49.589
2016/09/24,57.061
2016/09/25,63.652
