Date,mediantransactionvalue90momUSD
2016/01/01,0.335
2016/01/02,0.527
2016/01/03,0.075
2016/01/04,0.301
2016/01/05,-0.864
2016/01/06,-0.907
2016/01/07,-1.045
2016/01/08,0.156
2016/01/09,0.195
2016/01/10,0.056
2016/01/11,0.04
2016/01/12,0.563
2016/01/13,-0.849
2016/01/14,0.519
2016/01/15,0.883
2016/01/16,0.824
2016/01/17,0.895
2016/01/18,0.53
2016/01/19,-0.176
2016/01/20,1.374
2016/01/21,0.992
2016/01/22,0.466
2016/01/23,1.078
2016/01/24,1.334
2016/01/25,0.096
2016/01/26,1.145
2016/01/27,-1.37
2016/01/28,0.186
2016/01/29,0.668
2016/01/30,0.612
2016/01/31,-0.142
2016/02/01,0.199
2016/02/02,-0.148
2016/02/03,0.923
2016/02/04,1.696
2016/02/05,2.638
2016/02/06,-0.183
2016/02/07,1.036
2016/02/08,2.037
2016/02/09,3.272
2016/02/10,4.893
2016/02/11,3.868
2016/02/12,5.614
2016/02/13,3.647
2016/02/14,3.713
2016/02/15,4.036
2016/02/16,3.442
2016/02/17,3.031
2016/02/18,2.743
2016/02/19,2.93
2016/02/20,3.248
2016/02/21,3.604
2016/02/22,3.771
2016/02/23,4.667
2016/02/24,4.67
2016/02/25,5.232
2016/02/26,4.186
2016/02/27,5.017
2016/02/28,6.387
2016/02/29,5.463
2016/03/01,6.102
2016/03/02,7.183
2016/03/03,8.764
2016/03/04,8.502
2016/03/05,12.641
2016/03/06,10.174
2016/03/07,9.792
2016/03/08,8.755
2016/03/09,9.841
2016/03/10,12.637
2016/03/11,10.22
2016/03/12,12.797
2016/03/13,15.336
2016/03/14,15.095
2016/03/15,12.764
2016/03/16,13.109
2016/03/17,11.323
2016/03/18,9.845
2016/03/19,9.72
2016/03/20,9.947
2016/03/21,11.4
2016/03/22,11.942
2016/03/23,12.055
2016/03/24,10.422
2016/03/25,9.769
2016/03/26,10.822
2016/03/27,10.326
2016/03/28,10.589
2016/03/29,11.919
2016/03/30,10.882
2016/03/31,10.59
2016/04/01,10.513
2016/04/02,10.498
2016/04/03,10.648
2016/04/04,11.526
2016/04/05,10.716
2016/04/06,10.882
2016/04/07,9.512
2016/04/08,8.896
2016/04/09,8.572
2016/04/10,7.652
2016/04/11,7.189
2016/04/12,7.966
2016/04/13,6.533
2016/04/14,6.741
2016/04/15,6.76
2016/04/16,6.857
2016/04/17,6.254
2016/04/18,8.502
2016/04/19,6.877
2016/04/20,6.636
2016/04/21,6.904
2016/04/22,5.735
2016/04/23,5.369
2016/04/24,5.966
2016/04/25,5.141
2016/04/26,6.666
2016/04/27,5.268
2016/04/28,4.926
2016/04/29,4.671
2016/04/30,5.454
2016/05/01,6.317
2016/05/02,7.296
2016/05/03,6.94
2016/05/04,6.803
2016/05/05,6.892
2016/05/06,9.691
2016/05/07,6.325
2016/05/08,5.643
2016/05/09,5.318
2016/05/10,3.48
2016/05/11,4.304
2016/05/12,2.695
2016/05/13,5.237
2016/05/14,4.709
2016/05/15,4
2016/05/16,5.112
2016/05/17,7.566
2016/05/18,8.545
2016/05/19,9.065
2016/05/20,9.484
2016/05/21,8.433
2016/05/22,8.367
2016/05/23,7.899
2016/05/24,6.821
2016/05/25,5.48
2016/05/26,0.21
2016/05/27,4.628
2016/05/28,-6.343
2016/05/29,-0.205
2016/05/30,4.622
2016/05/31,4.23
2016/06/01,3.509
2016/06/02,3.689
2016/06/03,-0.167
2016/06/04,-2.272
2016/06/05,2.308
2016/06/06,3.406
2016/06/07,-4.135
2016/06/08,0.433
2016/06/09,2.814
2016/06/10,-1.314
2016/06/11,-1.494
2016/06/12,-3.793
2016/06/13,2.81
2016/06/14,2.416
2016/06/15,5.755
2016/06/16,8.398
2016/06/17,-5.474
2016/06/18,-2.589
2016/06/19,-1.692
2016/06/20,-3.638
2016/06/21,-0.294
2016/06/22,2.736
2016/06/23,2.334
2016/06/24,-3.711
2016/06/25,2.984
2016/06/26,-3.525
2016/06/27,1.937
2016/06/28,0.954
2016/06/29,-8.206
2016/06/30,-10.617
2016/07/01,0.308
2016/07/02,0.109
2016/07/03,0.332
2016/07/04,0.816
