Date,difficulty3sma
2016/08/02,53240644067231
2016/08/03,51290768573929
2016/08/04,50173244461222
2016/08/05,51009301121907
2016/08/06,52466490448029
2016/08/07,53295778606335
2016/08/08,53797486032082
2016/08/09,55047571543257
2016/08/10,56808201717754
2016/08/11,58577966123250
2016/08/12,59670178413446
2016/08/13,59941779556346
2016/08/14,59868418952101
2016/08/15,59695913385436
2016/08/16,60326861181559
2016/08/17,60848021272629
2016/08/18,61380125157936
2016/08/19,61677388875322
2016/08/20,62338822344847
2016/08/21,63003073756771
2016/08/22,63665327965726
2016/08/23,64435632827067
2016/08/24,65232233739164
2016/08/25,66196265436530
2016/08/26,67621788620336
2016/08/27,68797485314131
2016/08/28,69284107581579
2016/08/29,68655177454755
2016/08/30,68388469940180
2016/08/31,68475435224399
2016/09/01,69291426803480
2016/09/02,69928244748332
2016/09/03,69745369565913
2016/09/04,68170553899935
2016/09/05,67347623832477
2016/09/06,67230263739822
2016/09/07,68141430040789
2016/09/08,68416646474434
2016/09/09,68453293800068
2016/09/10,68828103768901
2016/09/11,69724982037523
2016/09/12,70710794220746
2016/09/13,71352392003979
2016/09/14,71808546101888
2016/09/15,72438801377954
2016/09/16,72769209475778
2016/09/17,73727411957783
2016/09/18,73430058581630
2016/09/19,70181796912111
2016/09/20,69960787928487
2016/09/21,71862458917025
2016/09/22,74670054079761
2016/09/23,73974086235744
2016/09/24,72734700629002
2016/09/25,74116232967281
2016/09/26,75040721189148
2016/09/27,74144355211496
2016/09/28,76114568815981
2016/09/29,78870500587297
2016/09/30,82804359814746
2016/10/01,81112949245886
2016/10/02,78544345892034
2016/10/03,77956794422399
2016/10/04,81359902514041
2016/10/05,82958233928365
2016/10/06,83711771562345
2016/10/07,78176501545333
2016/10/08,76646780347965
2016/10/09,77023198839850
2016/10/10,82529485610122
2016/10/11,87021143332991
2016/10/12,86756401239001
2016/10/13,85346692130869
2016/10/14,86115065931026
2016/10/15,89881088006542
2016/10/16,94204527947196
2016/10/17,94259946564091
2016/10/18,93418972944188
2016/10/19,92482325316137
2016/10/20,92704692795096
2016/10/21,95779407902781
2016/10/22,99591281411007
2016/10/23,1.0276329059927E+14
2016/10/24,1.0260846447E+14
2016/10/25,1.0290020919582E+14
2016/10/26,1.0371456386470E+14
2016/10/27,1.0470375904337E+14
2016/10/28,1.0372590211693E+14
2016/10/29,97143470404079
2016/10/30,87713828062014
2016/10/31,81023513553766
2016/11/01,77128351947892
2016/11/02,73244741961967
2016/11/03,66528209654232
2016/11/04,61131100901897
2016/11/05,57226433305688
2016/11/06,53937142343147
2016/11/07,54417047757138
2016/11/08,59170174429131
2016/11/09,64788137714016
2016/11/10,66098977116490
2016/11/11,63871481793153
2016/11/12,61192913373927
2016/11/13,61899362426621
2016/11/14,64408532193908
2016/11/15,67456726660480
2016/11/16,68554025831279
2016/11/17,68027673654486
2016/11/18,66970483522127
2016/11/19,68305827599152
2016/11/20,72240778874511
2016/11/21,78244625741287
2016/11/22,81287532494251
2016/11/23,80372190746345
2016/11/24,74926065382144
2016/11/25,69895676205275
2016/11/26,67704988162681
2016/11/27,66842634332238
2016/11/28,67396958673730
2016/11/29,67394667053730
2016/11/30,68648047445853
2016/12/01,69534880907208
2016/12/02,70286608689880
2016/12/03,71942820912944
2016/12/04,73730221514156
2016/12/05,74508676231147
2016/12/06,73493478066237
