Date,size30wma
2016/01/01,1216
2016/01/02,1205
2016/01/03,1194
2016/01/04,1184
2016/01/05,1200
2016/01/06,1225
2016/01/07,1249
2016/01/08,1240
2016/01/09,1240
2016/01/10,1227
2016/01/11,1216
2016/01/12,1206
2016/01/13,1217
2016/01/14,1205
2016/01/15,1192
2016/01/16,1176
2016/01/17,1156
2016/01/18,1146
2016/01/19,1140
2016/01/20,1124
2016/01/21,1108
2016/01/22,1100
2016/01/23,1085
2016/01/24,1076
2016/01/25,1089
2016/01/26,1095
2016/01/27,1124
2016/01/28,1142
2016/01/29,1153
2016/01/30,1156
2016/01/31,1156
2016/02/01,1152
2016/02/02,1147
2016/02/03,1141
2016/02/04,1136
2016/02/05,1134
2016/02/06,1169
2016/02/07,1162
2016/02/08,1156
2016/02/09,1150
2016/02/10,1148
2016/02/11,1158
2016/02/12,1160
2016/02/13,1166
2016/02/14,1167
2016/02/15,1166
2016/02/16,1165
2016/02/17,1172
2016/02/18,1169
2016/02/19,1169
2016/02/20,1161
2016/02/21,1154
2016/02/22,1149
2016/02/23,1145
2016/02/24,1140
2016/02/25,1137
2016/02/26,1145
2016/02/27,1141
2016/02/28,1137
2016/02/29,1139
2016/03/01,1140
2016/03/02,1144
2016/03/03,1151
2016/03/04,1157
2016/03/05,1167
2016/03/06,1180
2016/03/07,1183
2016/03/08,1189
2016/03/09,1196
2016/03/10,1199
2016/03/11,1201
2016/03/12,1214
2016/03/13,1227
2016/03/14,1247
2016/03/15,1255
2016/03/16,1262
2016/03/17,1275
2016/03/18,1286
2016/03/19,1303
2016/03/20,1317
2016/03/21,1332
2016/03/22,1348
2016/03/23,1364
2016/03/24,1401
2016/03/25,1420
2016/03/26,1433
2016/03/27,1427
2016/03/28,1441
2016/03/29,1442
2016/03/30,1455
2016/03/31,1456
2016/04/01,1462
2016/04/02,1450
2016/04/03,1440
2016/04/04,1446
2016/04/05,1453
2016/04/06,1448
2016/04/07,1446
2016/04/08,1454
2016/04/09,1446
2016/04/10,1435
2016/04/11,1424
2016/04/12,1424
2016/04/13,1427
2016/04/14,1424
2016/04/15,1422
2016/04/16,1407
2016/04/17,1438
2016/04/18,1431
2016/04/19,1423
2016/04/20,1417
2016/04/21,1421
2016/04/22,1411
2016/04/23,1400
2016/04/24,1401
2016/04/25,1401
2016/04/26,1397
2016/04/27,1391
2016/04/28,1391
2016/04/29,1393
2016/04/30,1405
2016/05/01,1423
2016/05/02,1428
2016/05/03,1430
2016/05/04,1435
2016/05/05,1439
2016/05/06,1452
