Date,price90emaUSD
2016/01/01,0.917
2016/01/02,0.918
2016/01/03,0.92
2016/01/04,0.921
2016/01/05,0.922
2016/01/06,0.923
2016/01/07,0.925
2016/01/08,0.926
2016/01/09,0.929
2016/01/10,0.933
2016/01/11,0.935
2016/01/12,0.941
2016/01/13,0.945
2016/01/14,0.949
2016/01/15,0.955
2016/01/16,0.962
2016/01/17,0.968
2016/01/18,0.978
2016/01/19,0.986
2016/01/20,0.997
2016/01/21,1.009
2016/01/22,1.02
2016/01/23,1.036
2016/01/24,1.06
2016/01/25,1.087
2016/01/26,1.12
2016/01/27,1.148
2016/01/28,1.178
2016/01/29,1.207
2016/01/30,1.236
2016/01/31,1.261
2016/02/01,1.282
2016/02/02,1.303
2016/02/03,1.328
2016/02/04,1.354
2016/02/05,1.38
2016/02/06,1.405
2016/02/07,1.433
2016/02/08,1.47
2016/02/09,1.515
2016/02/10,1.577
2016/02/11,1.651
2016/02/12,1.745
2016/02/13,1.816
2016/02/14,1.884
2016/02/15,1.962
2016/02/16,2.026
2016/02/17,2.072
2016/02/18,2.115
2016/02/19,2.167
2016/02/20,2.217
2016/02/21,2.266
2016/02/22,2.329
2016/02/23,2.403
2016/02/24,2.478
2016/02/25,2.561
2016/02/26,2.636
2016/02/27,2.715
2016/02/28,2.797
2016/02/29,2.877
2016/03/01,2.962
2016/03/02,3.072
2016/03/03,3.208
2016/03/04,3.341
2016/03/05,3.512
2016/03/06,3.679
2016/03/07,3.825
2016/03/08,3.952
2016/03/09,4.098
2016/03/10,4.263
2016/03/11,4.414
2016/03/12,4.6
2016/03/13,4.814
2016/03/14,5.004
2016/03/15,5.173
2016/03/16,5.35
2016/03/17,5.488
2016/03/18,5.592
2016/03/19,5.701
2016/03/20,5.8
2016/03/21,5.914
2016/03/22,6.039
2016/03/23,6.167
2016/03/24,6.282
2016/03/25,6.381
2016/03/26,6.479
2016/03/27,6.571
2016/03/28,6.673
2016/03/29,6.78
2016/03/30,6.89
2016/03/31,6.997
2016/04/01,7.098
2016/04/02,7.194
2016/04/03,7.289
2016/04/04,7.376
2016/04/05,7.45
2016/04/06,7.519
2016/04/07,7.582
2016/04/08,7.632
2016/04/09,7.675
2016/04/10,7.696
2016/04/11,7.713
2016/04/12,7.717
2016/04/13,7.719
2016/04/14,7.733
2016/04/15,7.746
2016/04/16,7.758
2016/04/17,7.79
2016/04/18,7.818
2016/04/19,7.845
2016/04/20,7.861
2016/04/21,7.874
2016/04/22,7.877
2016/04/23,7.88
2016/04/24,7.886
2016/04/25,7.884
2016/04/26,7.872
2016/04/27,7.866
2016/04/28,7.856
2016/04/29,7.847
2016/04/30,7.856
2016/05/01,7.875
2016/05/02,7.912
2016/05/03,7.95
2016/05/04,7.985
2016/05/05,8.02
2016/05/06,8.056
2016/05/07,8.084
2016/05/08,8.11
2016/05/09,8.139
2016/05/10,8.165
2016/05/11,8.199
2016/05/12,8.241
2016/05/13,8.292
2016/05/14,8.334
2016/05/15,8.374
2016/05/16,8.42
2016/05/17,8.493
2016/05/18,8.591
2016/05/19,8.708
2016/05/20,8.832
2016/05/21,8.937
2016/05/22,9.05
2016/05/23,9.16
2016/05/24,9.244
2016/05/25,9.313
2016/05/26,9.382
2016/05/27,9.424
2016/05/28,9.466
2016/05/29,9.523
2016/05/30,9.588
2016/05/31,9.668
2016/06/01,9.761
2016/06/02,9.85
2016/06/03,9.933
2016/06/04,10.015
2016/06/05,10.096
2016/06/06,10.178
2016/06/07,10.263
2016/06/08,10.355
2016/06/09,10.444
2016/06/10,10.523
2016/06/11,10.595
2016/06/12,10.685
2016/06/13,10.815
2016/06/14,10.976
2016/06/15,11.137
2016/06/16,11.32
2016/06/17,11.452
2016/06/18,11.483
2016/06/19,11.499
2016/06/20,11.503
2016/06/21,11.513
2016/06/22,11.572
2016/06/23,11.603
2016/06/24,11.653
2016/06/25,11.708
2016/06/26,11.757
2016/06/27,11.803
2016/06/28,11.831
2016/06/29,11.838
2016/06/30,11.851
2016/07/01,11.857
2016/07/02,11.86
2016/07/03,11.86
2016/07/04,11.853
2016/07/05,11.822
2016/07/06,11.795
2016/07/07,11.756
2016/07/08,11.727
2016/07/09,11.71
2016/07/10,11.691
2016/07/11,11.666
2016/07/12,11.641
2016/07/13,11.614
2016/07/14,11.602
2016/07/15,11.608
2016/07/16,11.611
2016/07/17,11.604
2016/07/18,11.597
2016/07/19,11.59
2016/07/20,11.601
2016/07/21,11.618
2016/07/22,11.659
2016/07/23,11.72
2016/07/24,11.756
2016/07/25,11.79
2016/07/26,11.813
2016/07/27,11.831
2016/07/28,11.851
2016/07/29,11.869
2016/07/30,11.886
2016/07/31,11.892
2016/08/01,11.885
2016/08/02,11.848
2016/08/03,11.798
2016/08/04,11.774
2016/08/05,11.755
2016/08/06,11.732
2016/08/07,11.714
2016/08/08,11.697
2016/08/09,11.697
2016/08/10,11.707
2016/08/11,11.71
2016/08/12,11.712
2016/08/13,11.711
2016/08/14,11.705
2016/08/15,11.693
2016/08/16,11.681
2016/08/17,11.666
2016/08/18,11.648
2016/08/19,11.628
2016/08/20,11.617
2016/08/21,11.605
2016/08/22,11.596
2016/08/23,11.584
2016/08/24,11.572
2016/08/25,11.564
2016/08/26,11.558
2016/08/27,11.551
2016/08/28,11.539
2016/08/29,11.527
2016/08/30,11.518
2016/08/31,11.514
2016/09/01,11.528
2016/09/02,11.54
2016/09/03,11.548
2016/09/04,11.551
2016/09/05,11.554
2016/09/06,11.554
2016/09/07,11.555
2016/09/08,11.553
2016/09/09,11.552
2016/09/10,11.555
2016/09/11,11.562
2016/09/12,11.567
2016/09/13,11.576
2016/09/14,11.584
2016/09/15,11.594
2016/09/16,11.607
2016/09/17,11.629
2016/09/18,11.655
2016/09/19,11.682
2016/09/20,11.726
2016/09/21,11.771
2016/09/22,11.801
2016/09/23,11.834
2016/09/24,11.86
2016/09/25,11.885
2016/09/26,11.907
2016/09/27,11.932
2016/09/28,11.961
2016/09/29,11.987
2016/09/30,12.013
2016/10/01,12.037
2016/10/02,12.062
2016/10/03,12.088
2016/10/04,12.116
