Date,transactionfees90rsiUSD
2016/10/16,52.035
2016/10/17,51.921
2016/10/18,52.102
2016/10/19,53.321
2016/10/20,50.382
2016/10/21,49.128
2016/10/22,49.142
2016/10/23,49.163
2016/10/24,49.583
2016/10/25,49.466
2016/10/26,49.18
2016/10/27,49.098
2016/10/28,49.333
2016/10/29,49.045
2016/10/30,49.039
2016/10/31,49.042
2016/11/01,49.191
2016/11/02,48.847
2016/11/03,48.922
2016/11/04,48.85
2016/11/05,48.831
2016/11/06,48.881
2016/11/07,48.902
2016/11/08,49.054
2016/11/09,49.271
2016/11/10,49.306
2016/11/11,49.741
2016/11/12,48.933
2016/11/13,48.986
2016/11/14,49.202
2016/11/15,49.081
2016/11/16,49.15
2016/11/17,48.906
2016/11/18,48.96
2016/11/19,48.762
2016/11/20,48.905
2016/11/21,49.026
2016/11/22,48.817
2016/11/23,50.185
2016/11/24,50.809
2016/11/25,49.483
2016/11/26,51.115
2016/11/27,52.64
2016/11/28,52.338
2016/11/29,51.277
2016/11/30,48.994
2016/12/01,48.694
2016/12/02,48.516
2016/12/03,48.422
2016/12/04,48.455
2016/12/05,48.538
2016/12/06,48.425
2016/12/07,48.799
2016/12/08,70.976
2016/12/09,49.343
2016/12/10,49.305
2016/12/11,49.475
2016/12/12,49.383
2016/12/13,49.296
2016/12/14,49.33
2016/12/15,49.31
2016/12/16,49.26
2016/12/17,49.353
2016/12/18,49.31
2016/12/19,49.336
2016/12/20,49.481
2016/12/21,49.564
2016/12/22,49.253
2016/12/23,49.205
2016/12/24,49.211
2016/12/25,49.191
2016/12/26,49.198
2016/12/27,49.348
2016/12/28,49.246
2016/12/29,49.458
2016/12/30,49.595
2016/12/31,49.286
2017/01/01,49.266
2017/01/02,49.317
2017/01/03,49.546
2017/01/04,49.595
2017/01/05,49.503
2017/01/06,49.478
2017/01/07,49.431
2017/01/08,49.55
2017/01/09,49.599
2017/01/10,49.63
2017/01/11,49.546
2017/01/12,49.454
2017/01/13,49.426
2017/01/14,49.403
2017/01/15,49.459
2017/01/16,49.446
2017/01/17,49.656
2017/01/18,49.556
2017/01/19,49.509
2017/01/20,49.563
2017/01/21,49.543
2017/01/22,49.62
2017/01/23,49.621
2017/01/24,49.697
2017/01/25,49.683
2017/01/26,49.626
2017/01/27,49.589
2017/01/28,49.561
2017/01/29,49.529
2017/01/30,49.536
2017/01/31,49.565
2017/02/01,49.778
2017/02/02,49.703
2017/02/03,49.691
2017/02/04,49.627
2017/02/05,49.664
2017/02/06,49.685
2017/02/07,49.952
2017/02/08,49.883
2017/02/09,49.839
2017/02/10,49.893
2017/02/11,49.824
2017/02/12,49.95
2017/02/13,50.349
2017/02/14,50.021
2017/02/15,51.812
2017/02/16,49.926
2017/02/17,49.92
2017/02/18,50.174
2017/02/19,49.848
2017/02/20,49.988
2017/02/21,50.231
2017/02/22,50.401
2017/02/23,50.193
2017/02/24,49.9
2017/02/25,50.116
2017/02/26,49.987
2017/02/27,50.363
2017/02/28,50.493
2017/03/01,50.737
2017/03/02,50.626
2017/03/03,50.667
2017/03/04,50.63
2017/03/05,50.687
2017/03/06,50.645
2017/03/07,50.498
2017/03/08,50.431
2017/03/09,50.495
2017/03/10,50.913
2017/03/11,50.738
2017/03/12,51.052
2017/03/13,52.805
2017/03/14,53.206
2017/03/15,52.454
2017/03/16,53.805
2017/03/17,55.03
2017/03/18,52.608
2017/03/19,52.661
2017/03/20,53.394
2017/03/21,53.723
