Date,transactionvalue7wmaUSD
2016/01/01,26.353
2016/01/02,27.755
2016/01/03,31.586
2016/01/04,28.259
2016/01/05,36.884
2016/01/06,32.438
2016/01/07,27.986
2016/01/08,24.767
2016/01/09,22.64
2016/01/10,19.763
2016/01/11,26.271
2016/01/12,46.197
2016/01/13,44.449
2016/01/14,44.397
2016/01/15,64.444
2016/01/16,67.806
2016/01/17,64.604
2016/01/18,110.836
2016/01/19,119.294
2016/01/20,116.044
2016/01/21,107.673
2016/01/22,105.666
2016/01/23,124.28
2016/01/24,174.019
2016/01/25,205.408
2016/01/26,220.118
2016/01/27,213.73
2016/01/28,199.995
2016/01/29,182.684
2016/01/30,173.8
2016/01/31,168.863
2016/02/01,146.16
2016/02/02,131.125
2016/02/03,122.848
2016/02/04,104.537
2016/02/05,98.352
2016/02/06,74.281
2016/02/07,93.252
2016/02/08,148.177
2016/02/09,205.808
2016/02/10,289.382
2016/02/11,339.315
2016/02/12,444.607
2016/02/13,440.725
2016/02/14,409.906
2016/02/15,366.108
2016/02/16,356.801
2016/02/17,295.764
2016/02/18,275.149
2016/02/19,222.941
2016/02/20,239.914
2016/02/21,209.187
2016/02/22,209.72
2016/02/23,272.754
2016/02/24,368.264
2016/02/25,365.488
2016/02/26,572.497
2016/02/27,636.115
2016/02/28,573.423
2016/02/29,495.953
2016/03/01,463.485
2016/03/02,637.412
2016/03/03,680.563
2016/03/04,655.13
2016/03/05,799.967
2016/03/06,796.054
2016/03/07,780.576
2016/03/08,799.288
2016/03/09,709.135
2016/03/10,624.71
2016/03/11,566.196
2016/03/12,575.999
2016/03/13,678.341
2016/03/14,707.822
2016/03/15,681.341
2016/03/16,658.317
2016/03/17,650.714
2016/03/18,673.967
2016/03/19,557.602
2016/03/20,441.508
2016/03/21,386.673
2016/03/22,333.806
2016/03/23,285.348
2016/03/24,268.492
2016/03/25,229.765
2016/03/26,196.23
2016/03/27,247.671
2016/03/28,251.907
2016/03/29,301.58
2016/03/30,343.594
2016/03/31,349.813
2016/04/01,306.366
2016/04/02,267.329
2016/04/03,211.085
2016/04/04,181.013
2016/04/05,166.963
2016/04/06,163.38
2016/04/07,178.845
2016/04/08,178.577
2016/04/09,235.792
2016/04/10,264.789
2016/04/11,250.192
2016/04/12,252.729
2016/04/13,252.737
2016/04/14,246.265
2016/04/15,218.485
2016/04/16,185.591
2016/04/17,180.532
2016/04/18,175.719
2016/04/19,156.096
2016/04/20,156.934
2016/04/21,143.248
2016/04/22,154.479
2016/04/23,180.082
2016/04/24,159.609
2016/04/25,159.355
2016/04/26,185.774
2016/04/27,185.485
2016/04/28,183.373
2016/04/29,167.423
2016/04/30,245.72
2016/05/01,290.637
2016/05/02,337.782
2016/05/03,354.555
2016/05/04,348.058
2016/05/05,336
2016/05/06,372.119
2016/05/07,374.193
2016/05/08,363.271
2016/05/09,396.01
2016/05/10,421.199
2016/05/11,504.88
2016/05/12,575.33
2016/05/13,895.362
2016/05/14,1048
2016/05/15,925.976
2016/05/16,819.875
2016/05/17,708.163
2016/05/18,631.733
2016/05/19,642.645
2016/05/20,621.507
2016/05/21,537.364
2016/05/22,471.993
2016/05/23,450.272
2016/05/24,462.224
2016/05/25,449.904
2016/05/26,402.868
2016/05/27,447.36
2016/05/28,434.503
2016/05/29,396.608
2016/05/30,365.29
2016/05/31,340.751
2016/06/01,312.872
2016/06/02,270.851
2016/06/03,243.859
2016/06/04,218.986
2016/06/05,200.266
2016/06/06,186.544
2016/06/07,210.672
2016/06/08,351.234
2016/06/09,322.7
2016/06/10,331.087
2016/06/11,306.893
2016/06/12,327.133
2016/06/13,351.002
2016/06/14,387.343
2016/06/15,385.96
2016/06/16,467.173
2016/06/17,638.127
2016/06/18,769.737
2016/06/19,716.834
2016/06/20,716.328
2016/06/21,658.128
2016/06/22,639.63
2016/06/23,600.812
2016/06/24,514.04
2016/06/25,489.702
2016/06/26,416.159
2016/06/27,355.586
2016/06/28,371.472
2016/06/29,345.355
2016/06/30,294.77
2016/07/01,280.653
2016/07/02,239.811
2016/07/03,214.25
2016/07/04,236.812
2016/07/05,410.617
2016/07/06,401.468
2016/07/07,379.957
2016/07/08,336.837
2016/07/09,294.736
2016/07/10,257.656
2016/07/11,228.855
2016/07/12,204.864
2016/07/13,220.137
2016/07/14,227.437
2016/07/15,457.327
2016/07/16,430.816
2016/07/17,404.542
2016/07/18,518.875
2016/07/19,1027
2016/07/20,1670
2016/07/21,1487
2016/07/22,1385
2016/07/23,1292
2016/07/24,1703
2016/07/25,1878
2016/07/26,2479
2016/07/27,2680
2016/07/28,2653
2016/07/29,2429
2016/07/30,2109
2016/07/31,1722
2016/08/01,1524
2016/08/02,1548
2016/08/03,1546
2016/08/04,1376
2016/08/05,1303
2016/08/06,1094
2016/08/07,924.981
2016/08/08,771.784
2016/08/09,709.026
2016/08/10,814.322
2016/08/11,857.166
2016/08/12,809.288
2016/08/13,766.596
2016/08/14,692.266
2016/08/15,601.628
2016/08/16,475.415
2016/08/17,424.532
2016/08/18,362.95
2016/08/19,322.662
2016/08/20,334.848
2016/08/21,479.84
2016/08/22,518
2016/08/23,664.159
2016/08/24,584.29
2016/08/25,504.176
2016/08/26,491.489
2016/08/27,410.636
2016/08/28,333.954
2016/08/29,300.691
2016/08/30,256.302
2016/08/31,258.069
2016/09/01,317.965
2016/09/02,335.727
2016/09/03,344.15
2016/09/04,355.598
2016/09/05,327.68
2016/09/06,303.302
2016/09/07,273.488
2016/09/08,270.976
2016/09/09,235.131
2016/09/10,215.977
2016/09/11,214.564
2016/09/12,220.461
2016/09/13,232.384
2016/09/14,217.137
2016/09/15,196.902
2016/09/16,267.937
2016/09/17,260.471
2016/09/18,330.056
2016/09/19,330.362
2016/09/20,488.742
2016/09/21,703.45
2016/09/22,683.71
2016/09/23,727.887
2016/09/24,668.824
2016/09/25,711.294
2016/09/26,641.784
2016/09/27,538.717
2016/09/28,571.927
2016/09/29,600.65
2016/09/30,533.995
2016/10/01,450.029
2016/10/02,438.202
2016/10/03,366.045
2016/10/04,302.211
2016/10/05,284.65
2016/10/06,282.034
2016/10/07,278.783
2016/10/08,295.417
2016/10/09,401.075
2016/10/10,488.078
2016/10/11,554.042
2016/10/12,693.772
2016/10/13,643.773
2016/10/14,684.652
2016/10/15,623.588
2016/10/16,594.412
2016/10/17,578.097
2016/10/18,594.246
2016/10/19,522.426
2016/10/20,441.629
2016/10/21,348.935
2016/10/22,286.029
2016/10/23,228.635
2016/10/24,185.839
2016/10/25,188.024
2016/10/26,197.663
2016/10/27,211.089
2016/10/28,268.005
2016/10/29,334.613
2016/10/30,428.612
2016/10/31,417.581
2016/11/01,481.329
2016/11/02,644.154
2016/11/03,1148
2016/11/04,1029
2016/11/05,873.844
2016/11/06,704.69
2016/11/07,553.538
2016/11/08,409.844
2016/11/09,371.45
2016/11/10,286.517
2016/11/11,454.455
2016/11/12,441.518
2016/11/13,422.809
2016/11/14,357.044
2016/11/15,319.737
2016/11/16,288.994
2016/11/17,398.593
2016/11/18,352.896
2016/11/19,325.561
2016/11/20,285.357
2016/11/21,251.09
2016/11/22,298.154
2016/11/23,310.106
2016/11/24,279.177
2016/11/25,275.957
2016/11/26,251.384
2016/11/27,224.713
2016/11/28,197.873
2016/11/29,192.464
2016/11/30,201.987
2016/12/01,211.273
2016/12/02,318.868
2016/12/03,483.937
2016/12/04,474.154
2016/12/05,534.306
2016/12/06,640.531
2016/12/07,614.92
2016/12/08,603.04
2016/12/09,573.637
2016/12/10,493.474
2016/12/11,465.305
2016/12/12,389.917
2016/12/13,323.7
2016/12/14,276.355
2016/12/15,283.503
2016/12/16,268.289
2016/12/17,349.295
2016/12/18,384.348
2016/12/19,360.559
2016/12/20,337.943
2016/12/21,333.43
2016/12/22,360.079
2016/12/23,526.524
2016/12/24,519.915
2016/12/25,457.94
2016/12/26,396.289
2016/12/27,353.296
2016/12/28,370.516
2016/12/29,461.445
2016/12/30,492.105
2016/12/31,694.905
2017/01/01,658.016
2017/01/02,665.495
2017/01/03,753.987
2017/01/04,978.062
2017/01/05,1183
2017/01/06,1353
2017/01/07,1306
2017/01/08,1168
2017/01/09,1126
2017/01/10,1068
2017/01/11,1018
2017/01/12,946.094
2017/01/13,808.98
2017/01/14,651.557
2017/01/15,502.235
2017/01/16,377.417
2017/01/17,322.738
2017/01/18,257.684
2017/01/19,231.579
2017/01/20,323.755
2017/01/21,314.174
2017/01/22,301.029
2017/01/23,280.368
2017/01/24,248.758
2017/01/25,235.289
2017/01/26,227.442
2017/01/27,216.932
2017/01/28,197.777
2017/01/29,200.7
2017/01/30,190.587
2017/01/31,219.212
2017/02/01,241.107
