Date,transactionvalue3wmaUSD
2016/10/18,625.145
2016/10/19,493.158
2016/10/20,328.03
2016/10/21,188.308
2016/10/22,156.872
2016/10/23,148.297
2016/10/24,149.65
2016/10/25,207.541
2016/10/26,232.498
2016/10/27,242.76
2016/10/28,327.576
2016/10/29,427.369
2016/10/30,562.709
2016/10/31,454.832
2016/11/01,526.209
2016/11/02,799.572
2016/11/03,1745
2016/11/04,1235
2016/11/05,688.038
2016/11/06,233.84
2016/11/07,180.192
2016/11/08,170.839
2016/11/09,352.617
2016/11/10,341.061
2016/11/11,654.408
2016/11/12,515.849
2016/11/13,407.122
2016/11/14,209.484
2016/11/15,203.995
2016/11/16,228.433
2016/11/17,519.1
2016/11/18,425.441
2016/11/19,315.957
2016/11/20,182.615
2016/11/21,157.497
2016/11/22,312.07
2016/11/23,369.684
2016/11/24,311.506
2016/11/25,256.686
2016/11/26,198.229
2016/11/27,167.217
2016/11/28,147.646
2016/11/29,187.477
2016/11/30,228.004
2016/12/01,241.487
2016/12/02,437.741
2016/12/03,709.475
2016/12/04,574.977
2016/12/05,578.278
2016/12/06,708.621
2016/12/07,627.453
2016/12/08,566.914
2016/12/09,508.775
2016/12/10,403.193
2016/12/11,384.063
2016/12/12,297.837
2016/12/13,247.82
2016/12/14,200.483
2016/12/15,279.751
2016/12/16,279.243
2016/12/17,445.406
2016/12/18,472.915
2016/12/19,370.8
2016/12/20,274.476
2016/12/21,276.828
2016/12/22,374.978
2016/12/23,721.791
2016/12/24,646.072
2016/12/25,426.467
2016/12/26,231.289
2016/12/27,212.197
2016/12/28,348.818
2016/12/29,599.244
2016/12/30,649.164
2016/12/31,951.85
2017/01/01,705.494
2017/01/02,629.266
2017/01/03,747.512
2017/01/04,1233
2017/01/05,1556
2017/01/06,1687
2017/01/07,1343
2017/01/08,903.727
2017/01/09,857.445
2017/01/10,924.814
2017/01/11,1008
2017/01/12,934.026
2017/01/13,690.931
2017/01/14,406.456
2017/01/15,218.014
2017/01/16,166.324
2017/01/17,245.944
2017/01/18,238.068
2017/01/19,238.85
2017/01/20,421.117
2017/01/21,362.733
2017/01/22,292.537
2017/01/23,215.56
2017/01/24,188.298
2017/01/25,196.736
2017/01/26,218.964
2017/01/27,230.388
2017/01/28,186.047
2017/01/29,191.661
2017/01/30,174.852
2017/01/31,243.849
2017/02/01,281.285
2017/02/02,301.963
2017/02/03,355.631
2017/02/04,405.284
2017/02/05,303.628
2017/02/06,295.27
2017/02/07,278.093
2017/02/08,279.692
2017/02/09,289.614
2017/02/10,320.483
2017/02/11,280.167
2017/02/12,284.106
2017/02/13,259.66
2017/02/14,498.104
2017/02/15,770.097
2017/02/16,751.312
2017/02/17,698.311
2017/02/18,630.345
2017/02/19,624.928
2017/02/20,619.333
2017/02/21,718.095
2017/02/22,713.504
2017/02/23,709.434
2017/02/24,961.44
2017/02/25,925.973
2017/02/26,982.082
2017/02/27,1745
2017/02/28,2489
2017/03/01,2973
2017/03/02,3748
2017/03/03,4524
2017/03/04,4186
2017/03/05,3531
2017/03/06,4213
2017/03/07,3832
2017/03/08,3748
2017/03/09,3739
2017/03/10,3823
2017/03/11,4350
2017/03/12,6281
2017/03/13,6629
2017/03/14,4881
2017/03/15,3472
2017/03/16,7251
2017/03/17,7815
2017/03/18,9357
2017/03/19,5782
2017/03/20,4300
2017/03/21,4940
2017/03/22,5819
2017/03/23,6045
2017/03/24,7146
2017/03/25,7400
2017/03/26,6864
2017/03/27,6183
2017/03/28,6232
2017/03/29,6877
2017/03/30,8306
2017/03/31,7975
2017/04/01,6971
2017/04/02,7448
2017/04/03,7710
2017/04/04,6128
2017/04/05,5911
2017/04/06,6862
2017/04/07,4937
2017/04/08,4219
2017/04/09,3779
2017/04/10,4495
2017/04/11,4776
2017/04/12,4654
2017/04/13,3976
2017/04/14,3975
2017/04/15,3117
2017/04/16,2085
2017/04/17,1591
2017/04/18,3271
2017/04/19,4803
2017/04/20,5900
2017/04/21,5407
2017/04/22,4930
2017/04/23,4540
2017/04/24,4914
2017/04/25,4634
2017/04/26,5539
2017/04/27,7075
2017/04/28,8422
2017/04/29,9806
2017/04/30,11220
2017/05/01,14463
2017/05/02,14820
2017/05/03,16533
2017/05/04,16811
2017/05/05,18537
2017/05/06,16828
2017/05/07,16867
2017/05/08,15554
2017/05/09,14988
2017/05/10,14646
2017/05/11,15806
2017/05/12,15547
2017/05/13,13450
2017/05/14,11696
2017/05/15,11710
2017/05/16,14186
2017/05/17,11925
2017/05/18,8829
2017/05/19,8760
2017/05/20,9115
2017/05/21,10512
2017/05/22,17488
2017/05/23,17064
2017/05/24,16541
2017/05/25,15288
2017/05/26,16360
2017/05/27,14321
2017/05/28,12217
2017/05/29,11382
2017/05/30,12077
2017/05/31,18388
2017/06/01,19587
2017/06/02,19591
2017/06/03,19037
2017/06/04,18724
2017/06/05,20372
2017/06/06,23400
2017/06/07,23583
2017/06/08,22400
2017/06/09,20689
2017/06/10,17974
2017/06/11,17121
2017/06/12,24766
2017/06/13,28523
2017/06/14,25202
2017/06/15,24440
2017/06/16,24753
2017/06/17,20451
2017/06/18,16332
2017/06/19,14131
2017/06/20,15432
2017/06/21,12305
2017/06/22,10526
2017/06/23,10685
2017/06/24,12863
2017/06/25,9448
2017/06/26,8510
2017/06/27,9417
2017/06/28,10778
2017/06/29,12067
2017/06/30,11927
2017/07/01,11033
2017/07/02,9075
2017/07/03,15590
2017/07/04,18735
2017/07/05,13797
2017/07/06,9847
2017/07/07,7912
2017/07/08,7681
2017/07/09,5591
2017/07/10,6446
2017/07/11,7599
2017/07/12,8818
2017/07/13,13210
2017/07/14,17220
2017/07/15,19234
2017/07/16,17817
2017/07/17,16507
2017/07/18,17771
2017/07/19,18743
2017/07/20,18576
2017/07/21,19214
2017/07/22,12181
2017/07/23,8048
2017/07/24,11814
2017/07/25,17035
2017/07/26,18204
2017/07/27,18474
2017/07/28,18915
2017/07/29,20129
2017/07/30,17066
2017/07/31,11476
2017/08/01,9303
2017/08/02,8597
2017/08/03,8005
2017/08/04,7191
2017/08/05,7593
2017/08/06,8156
2017/08/07,8854
2017/08/08,9329
2017/08/09,10683
2017/08/10,15882
2017/08/11,28498
2017/08/12,29349
2017/08/13,28585
2017/08/14,22135
2017/08/15,17157
2017/08/16,12927
2017/08/17,11282
2017/08/18,10707
2017/08/19,9871
2017/08/20,9568
2017/08/21,9753
2017/08/22,9821
2017/08/23,10477
2017/08/24,10730
2017/08/25,10321
2017/08/26,7933
2017/08/27,13713
2017/08/28,21022
2017/08/29,21860
2017/08/30,27780
2017/08/31,22800
2017/09/01,18969
2017/09/02,15403
2017/09/03,13689
2017/09/04,12387
2017/09/05,11299
2017/09/06,10952
2017/09/07,9656
2017/09/08,9209
2017/09/09,12247
2017/09/10,14414
2017/09/11,13808
2017/09/12,12281
2017/09/13,9457
2017/09/14,9309
2017/09/15,9302
2017/09/16,8268
2017/09/17,9063
2017/09/18,11915
2017/09/19,12876
2017/09/20,10838
2017/09/21,8937
2017/09/22,8150
2017/09/23,7988
2017/09/24,7298
2017/09/25,7460
2017/09/26,7801
2017/09/27,8361
2017/09/28,8688
2017/09/29,8070
2017/09/30,7176
2017/10/01,5761
2017/10/02,6103
2017/10/03,13142
2017/10/04,14971
2017/10/05,12470
2017/10/06,9695
2017/10/07,8365
2017/10/08,8570
2017/10/09,9030
2017/10/10,9373
2017/10/11,9029
2017/10/12,9011
2017/10/13,10453
2017/10/14,10654
2017/10/15,10068
2017/10/16,7894
2017/10/17,7163
2017/10/18,8123
2017/10/19,8205
2017/10/20,7338
2017/10/21,6768
2017/10/22,6443
2017/10/23,7116
2017/10/24,7515
2017/10/25,7144
2017/10/26,6561
2017/10/27,3152
2017/10/28,1031
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,3982
2017/11/02,6845
2017/11/03,7924
2017/11/04,7105
2017/11/05,6217
2017/11/06,5758
2017/11/07,5328
2017/11/08,6157
2017/11/09,9480
2017/11/10,9963
2017/11/11,10035
2017/11/12,10905
2017/11/13,9693
2017/11/14,8457
2017/11/15,9001
2017/11/16,9818
2017/11/17,10177
2017/11/18,9714
2017/11/19,9617
2017/11/20,10494
2017/11/21,11134
2017/11/22,11299
2017/11/23,11615
2017/11/24,11498
2017/11/25,12483
2017/11/26,12976
2017/11/27,14361
2017/11/28,16272
2017/11/29,18323
2017/11/30,18066
2017/12/01,16561
2017/12/02,16194
2017/12/03,15207
2017/12/04,14336
2017/12/05,10202
2017/12/06,8411
2017/12/07,7258
2017/12/08,6329
2017/12/09,5179
2017/12/10,4366
2017/12/11,3917
2017/12/12,6074
2017/12/13,7294
2017/12/14,8565
2017/12/15,8090
2017/12/16,7219
2017/12/17,6681
2017/12/18,6508
2017/12/19,7509
2017/12/20,9182
2017/12/21,9926
2017/12/22,9531
2017/12/23,8405
2017/12/24,7245
2017/12/25,6408
2017/12/26,7129
2017/12/27,7872
2017/12/28,8844
2017/12/29,9507
2017/12/30,9948
2017/12/31,8482
2018/01/01,7396
