Date,transactionvalue7stdUSD
2016/01/01,26.597
2016/01/02,25.456
2016/01/03,20.649
2016/01/04,22.55
2016/01/05,32.262
2016/01/06,29.897
2016/01/07,32.214
2016/01/08,32.257
2016/01/09,32.805
2016/01/10,31.729
2016/01/11,35.736
2016/01/12,63.847
2016/01/13,62.319
2016/01/14,60.192
2016/01/15,78.851
2016/01/16,73.986
2016/01/17,65.757
2016/01/18,142.985
2016/01/19,144.75
2016/01/20,134.492
2016/01/21,126.354
2016/01/22,126.17
2016/01/23,130.834
2016/01/24,174.132
2016/01/25,186.632
2016/01/26,187.292
2016/01/27,171.675
2016/01/28,149.698
2016/01/29,138.912
2016/01/30,140.18
2016/01/31,102.395
2016/02/01,78.242
2016/02/02,64.088
2016/02/03,66.014
2016/02/04,83.072
2016/02/05,84.029
2016/02/06,93.476
2016/02/07,85.174
2016/02/08,176.042
2016/02/09,235.917
2016/02/10,325.039
2016/02/11,322.89
2016/02/12,400.964
2016/02/13,300.687
2016/02/14,263.333
2016/02/15,284.475
2016/02/16,283.827
2016/02/17,316.539
2016/02/18,316.31
2016/02/19,162.164
2016/02/20,157.464
2016/02/21,176.95
2016/02/22,176.841
2016/02/23,236.514
2016/02/24,342.269
2016/02/25,340.929
2016/02/26,634.234
2016/02/27,644.292
2016/02/28,601.806
2016/02/29,602.699
2016/03/01,608.754
2016/03/02,782.611
2016/03/03,744.866
2016/03/04,642.346
2016/03/05,761.081
2016/03/06,689.833
2016/03/07,568.613
2016/03/08,478.56
2016/03/09,423.157
2016/03/10,481.141
2016/03/11,504.675
2016/03/12,299.261
2016/03/13,416.34
2016/03/14,424.524
2016/03/15,399.694
2016/03/16,390.852
2016/03/17,345.29
2016/03/18,301.813
2016/03/19,444.022
2016/03/20,430.292
2016/03/21,398.765
2016/03/22,411.527
2016/03/23,416.161
2016/03/24,366.829
2016/03/25,99.094
2016/03/26,135.709
2016/03/27,192.346
2016/03/28,188.133
2016/03/29,233.941
2016/03/30,254.786
2016/03/31,255.23
2016/04/01,265.321
2016/04/02,245.533
2016/04/03,270.958
2016/04/04,283.664
2016/04/05,234.859
2016/04/06,142.414
2016/04/07,91.301
2016/04/08,88.595
2016/04/09,180.646
2016/04/10,168.575
2016/04/11,159.876
2016/04/12,154.818
2016/04/13,149.126
2016/04/14,149.804
2016/04/15,156.844
2016/04/16,128.16
2016/04/17,94.659
2016/04/18,94.848
2016/04/19,96.218
2016/04/20,76.062
2016/04/21,62.678
2016/04/22,69.791
2016/04/23,92.954
2016/04/24,107.17
2016/04/25,106.487
2016/04/26,122.09
2016/04/27,122.091
2016/04/28,109.238
2016/04/29,117.72
2016/04/30,248.685
2016/05/01,254.887
2016/05/02,271.32
2016/05/03,273.615
2016/05/04,254.254
2016/05/05,227.53
2016/05/06,164.182
2016/05/07,142.761
2016/05/08,145.14
2016/05/09,165.573
2016/05/10,178.935
2016/05/11,270.21
2016/05/12,286.84
2016/05/13,935.812
2016/05/14,981.394
2016/05/15,974.964
2016/05/16,992.159
2016/05/17,1012
2016/05/18,1034
2016/05/19,1034
2016/05/20,639.402
2016/05/21,366.758
2016/05/22,399.19
2016/05/23,401.019
2016/05/24,392.946
2016/05/25,394.376
2016/05/26,300.788
2016/05/27,242.079
2016/05/28,233.438
2016/05/29,224.726
2016/05/30,241.552
2016/05/31,223.129
2016/06/01,221.904
2016/06/02,251.616
2016/06/03,111.765
2016/06/04,102.349
2016/06/05,111.943
2016/06/06,101.861
2016/06/07,101.474
2016/06/08,410.027
2016/06/09,411.15
2016/06/10,407.986
2016/06/11,403.218
2016/06/12,390.41
2016/06/13,371.593
2016/06/14,380.26
2016/06/15,228.287
2016/06/16,273.874
2016/06/17,535.604
2016/06/18,570.405
2016/06/19,557.193
2016/06/20,525.934
2016/06/21,538.491
2016/06/22,492.195
2016/06/23,503.97
2016/06/24,427.958
2016/06/25,195.935
2016/06/26,284.533
2016/06/27,285.439
2016/06/28,287.667
2016/06/29,248.113
2016/06/30,233.445
2016/07/01,235.265
2016/07/02,205.52
2016/07/03,216.07
2016/07/04,223.903
2016/07/05,530.924
2016/07/06,531.322
2016/07/07,520.635
2016/07/08,532.521
2016/07/09,528.848
2016/07/10,523.482
2016/07/11,529.613
2016/07/12,88.295
2016/07/13,77.669
2016/07/14,76.543
2016/07/15,642.484
2016/07/16,631.412
2016/07/17,622.028
2016/07/18,681.07
2016/07/19,1540
2016/07/20,2289
2016/07/21,2235
2016/07/22,2252
2016/07/23,2141
2016/07/24,2217
2016/07/25,2139
2016/07/26,2723
2016/07/27,2639
2016/07/28,2297
2016/07/29,2109
2016/07/30,1992
2016/07/31,2205
2016/08/01,2260
2016/08/02,1312
2016/08/03,818.971
2016/08/04,831.958
2016/08/05,852.694
2016/08/06,1036
2016/08/07,1127
2016/08/08,1184
2016/08/09,795.823
2016/08/10,553.894
2016/08/11,566.245
2016/08/12,535.325
2016/08/13,510.527
2016/08/14,532.185
2016/08/15,577.575
2016/08/16,670.648
2016/08/17,433.028
2016/08/18,268.994
2016/08/19,236.064
2016/08/20,180.084
2016/08/21,446.926
2016/08/22,457.714
2016/08/23,567.021
2016/08/24,606.597
2016/08/25,623.118
2016/08/26,588.917
2016/08/27,627.311
2016/08/28,559.362
2016/08/29,551.922
2016/08/30,175.266
2016/08/31,173.883
2016/09/01,231.422
2016/09/02,204.301
2016/09/03,195.967
2016/09/04,179.742
2016/09/05,194.458
2016/09/06,186.088
2016/09/07,201.212
2016/09/08,131.591
2016/09/09,141.442
2016/09/10,135.747
2016/09/11,92.47
2016/09/12,93.959
2016/09/13,99.828
2016/09/14,108.413
2016/09/15,93.111
2016/09/16,210.714
2016/09/17,206.308
2016/09/18,281.913
2016/09/19,279.049
2016/09/20,520.372
2016/09/21,752.637
2016/09/22,682.502
2016/09/23,684.983
2016/09/24,629.377
2016/09/25,627.929
2016/09/26,581.806
2016/09/27,616.874
2016/09/28,396.175
2016/09/29,393.551
2016/09/30,403.916
2016/10/01,462.126
2016/10/02,379.329
2016/10/03,430.697
2016/10/04,463.23
2016/10/05,349.024
2016/10/06,203.318
2016/10/07,199.094
2016/10/08,194
2016/10/09,343.828
2016/10/10,388.784
2016/10/11,371.022
2016/10/12,512.923
2016/10/13,499.559
2016/10/14,436.266
2016/10/15,411.016
2016/10/16,415.339
2016/10/17,415.913
2016/10/18,417.276
2016/10/19,291.964
2016/10/20,360.453
2016/10/21,376.908
2016/10/22,416.169
2016/10/23,417.077
2016/10/24,373.381
2016/10/25,142.601
2016/10/26,96.685
2016/10/27,103.504
2016/10/28,177.462
2016/10/29,244.819
2016/10/30,331.143
2016/10/31,291.662
2016/11/01,324.068
2016/11/02,519.144
2016/11/03,1448
2016/11/04,1451
2016/11/05,1496
2016/11/06,1569
2016/11/07,1596
2016/11/08,1646
2016/11/09,1616
2016/11/10,258.37
2016/11/11,539.826
2016/11/12,535.096
2016/11/13,514.584
2016/11/14,526.174
2016/11/15,515.645
2016/11/16,506.362
2016/11/17,583.737
2016/11/18,396.787
2016/11/19,404.248
2016/11/20,419.909
2016/11/21,414.478
2016/11/22,430.141
2016/11/23,428.07
2016/11/24,227.005
2016/11/25,226.739
2016/11/26,235.325
2016/11/27,235.281
2016/11/28,236.116
2016/11/29,148.311
2016/11/30,88.616
2016/12/01,91.933
2016/12/02,317.784
2016/12/03,545.824
2016/12/04,517.967
2016/12/05,497.007
2016/12/06,533.222
2016/12/07,485.102
2016/12/08,400.535
2016/12/09,408.727
2016/12/10,372.547
2016/12/11,352.786
2016/12/12,396.393
2016/12/13,248.346
2016/12/14,270.071
2016/12/15,220.133
2016/12/16,152.597
2016/12/17,274.303
2016/12/18,286.508
2016/12/19,285.506
2016/12/20,278.572
2016/12/21,252.769
2016/12/22,263.769
2016/12/23,515.61
2016/12/24,505.744
2016/12/25,534.461
2016/12/26,547.998
2016/12/27,547.977
2016/12/28,543.706
2016/12/29,601.23
2016/12/30,428.066
2016/12/31,713.309
2017/01/01,676.721
2017/01/02,599.214
2017/01/03,551.643
2017/01/04,789.524
2017/01/05,967.829
2017/01/06,1003
2017/01/07,1009
2017/01/08,931.697
2017/01/09,825.54
2017/01/10,822.594
2017/01/11,762.904
2017/01/12,620.836
2017/01/13,417.017
2017/01/14,583.239
2017/01/15,717.6
2017/01/16,735.373
2017/01/17,650.139
2017/01/18,471.286
2017/01/19,212.439
2017/01/20,305.735
2017/01/21,303.905
2017/01/22,286.934
2017/01/23,279.822
