Date,confirmationtime30trx
2016/01/01,-0.008
2016/01/02,-0.007
2016/01/03,-0.006
2016/01/04,-0.006
2016/01/05,-0.007
2016/01/06,-0.007
2016/01/07,-0.007
2016/01/08,-0.008
2016/01/09,-0.009
2016/01/10,-0.009
2016/01/11,-0.01
2016/01/12,-0.01
2016/01/13,-0.01
2016/01/14,-0.01
2016/01/15,-0.01
2016/01/16,-0.01
2016/01/17,-0.01
2016/01/18,-0.01
2016/01/19,-0.009
2016/01/20,-0.009
2016/01/21,-0.008
2016/01/22,-0.007
2016/01/23,-0.005
2016/01/24,-0.004
2016/01/25,-0.003
2016/01/26,-0.002
2016/01/27,-0.001
2016/01/28,0
2016/01/29,0.001
2016/01/30,0.001
2016/01/31,0.003
2016/02/01,0.005
2016/02/02,0.006
2016/02/03,0.007
2016/02/04,0.007
2016/02/05,0.007
2016/02/06,0.007
2016/02/07,0.007
2016/02/08,0.007
2016/02/09,0.006
2016/02/10,0.006
2016/02/11,0.006
2016/02/12,0.006
2016/02/13,0.006
2016/02/14,0.006
2016/02/15,0.006
2016/02/16,0.006
2016/02/17,0.007
2016/02/18,0.008
2016/02/19,0.009
2016/02/20,0.009
2016/02/21,0.009
2016/02/22,0.009
2016/02/23,0.009
2016/02/24,0.009
2016/02/25,0.008
2016/02/26,0.007
2016/02/27,0.007
2016/02/28,0.006
2016/02/29,0.007
2016/03/01,0.008
2016/03/02,0.008
2016/03/03,0.008
2016/03/04,0.008
2016/03/05,0.007
2016/03/06,0.007
2016/03/07,0.007
2016/03/08,0.007
2016/03/09,0.007
2016/03/10,0.007
2016/03/11,0.006
2016/03/12,0.005
2016/03/13,0.003
2016/03/14,0.002
2016/03/15,-0.004
2016/03/16,-0.013
2016/03/17,-0.025
2016/03/18,-0.039
2016/03/19,-0.054
2016/03/20,-0.07
2016/03/21,-0.087
2016/03/22,-0.105
2016/03/23,-0.122
2016/03/24,-0.139
2016/03/25,-0.156
2016/03/26,-0.173
2016/03/27,-0.189
2016/03/28,-0.204
2016/03/29,-0.218
2016/03/30,-0.231
2016/03/31,-0.244
2016/04/01,-0.255
2016/04/02,-0.265
2016/04/03,-0.274
2016/04/04,-0.283
2016/04/05,-0.29
2016/04/06,-0.297
2016/04/07,-0.302
2016/04/08,-0.307
2016/04/09,-0.31
2016/04/10,-0.313
2016/04/11,-0.315
2016/04/12,-0.316
2016/04/13,-0.316
2016/04/14,-0.316
2016/04/15,-0.315
2016/04/16,-0.314
2016/04/17,-0.312
2016/04/18,-0.31
2016/04/19,-0.307
2016/04/20,-0.304
2016/04/21,-0.3
2016/04/22,-0.296
2016/04/23,-0.292
2016/04/24,-0.287
2016/04/25,-0.283
2016/04/26,-0.278
2016/04/27,-0.272
2016/04/28,-0.267
2016/04/29,-0.262
2016/04/30,-0.256
2016/05/01,-0.25
2016/05/02,-0.245
2016/05/03,-0.239
2016/05/04,-0.233
2016/05/05,-0.227
2016/05/06,-0.221
2016/05/07,-0.215
