Date,transactionvalue7momUSD
2016/01/01,33.86
2016/01/02,15.63
2016/01/03,36.195
2016/01/04,-14.779
2016/01/05,39.991
2016/01/06,6.055
2016/01/07,-20.315
2016/01/08,-22.348
2016/01/09,-8.338
2016/01/10,-24.484
2016/01/11,33.024
2016/01/12,45.717
2016/01/13,12.12
2016/01/14,19.798
2016/01/15,100.992
2016/01/16,47.499
2016/01/17,32.227
2016/01/18,200.519
2016/01/19,19.682
2016/01/20,55.827
2016/01/21,34.801
2016/01/22,-17.997
2016/01/23,114.233
2016/01/24,274.519
2016/01/25,37.998
2016/01/26,99.16
2016/01/27,72.951
2016/01/28,66.497
2016/01/29,31.269
2016/01/30,-10.477
2016/01/31,-137.002
2016/02/01,-193.455
2016/02/02,-129.129
2016/02/03,-50.319
2016/02/04,-78.676
2016/02/05,-36.614
2016/02/06,-151.557
2016/02/07,-15.331
2016/02/08,216.931
2016/02/09,255.702
2016/02/10,387.425
2016/02/11,355.528
2016/02/12,590.495
2016/02/13,314.93
2016/02/14,101.647
2016/02/15,-77.369
2016/02/16,7.729
2016/02/17,-338.388
2016/02/18,-145.825
2016/02/19,-565.256
2016/02/20,-16.941
2016/02/21,-147.404
2016/02/22,-6.027
2016/02/23,116.205
2016/02/24,468.525
2016/02/25,28.968
2016/02/26,1019
2016/02/27,395.544
2016/02/28,140.041
2016/02/29,-3.056
2016/03/01,-72.624
2016/03/02,596.073
2016/03/03,484.334
2016/03/04,-564.086
2016/03/05,464.336
2016/03/06,384.403
2016/03/07,432.165
2016/03/08,451.09
2016/03/09,-735.13
2016/03/10,-379.288
2016/03/11,-124.684
2016/03/12,-469.719
2016/03/13,361.994
2016/03/14,113.612
2016/03/15,-292.501
2016/03/16,50.553
2016/03/17,201.571
2016/03/18,304.331
2016/03/19,-466.124
2016/03/20,-834.682
2016/03/21,-469.158
2016/03/22,-320.69
2016/03/23,-320.902
2016/03/24,-309.25
2016/03/25,-593.133
2016/03/26,-142.099
2016/03/27,243.009
2016/03/28,-36.888
2016/03/29,198.735
2016/03/30,224.67
2016/03/31,33.019
2016/04/01,-29.262
2016/04/02,48.159
