Date,hashrate7var
2016/06/04,6.8725841254827E+21
2016/06/05,7.0634440986036E+21
2016/06/06,9.5835645240824E+21
2016/06/07,1.0439882165653E+22
2016/06/08,6.1602494677515E+21
2016/06/09,8.0809712381806E+21
2016/06/10,7.9818968031321E+21
2016/06/11,8.5202778272912E+21
2016/06/12,5.5783894468069E+21
2016/06/13,9.2299273783384E+21
2016/06/14,1.2140372230827E+22
2016/06/15,1.1405081010374E+22
2016/06/16,1.243687517902E+22
2016/06/17,8.9712041835017E+21
2016/06/18,5.7467320267736E+21
2016/06/19,3.3567717311961E+21
2016/06/20,3.0653605663416E+21
2016/06/21,3.0160030138942E+21
2016/06/22,4.1109231371512E+21
2016/06/23,6.0906026026825E+21
2016/06/24,8.4409919515091E+21
2016/06/25,7.4629531248673E+21
2016/06/26,1.1300253688019E+22
2016/06/27,1.451510003118E+22
2016/06/28,1.0595477685581E+22
2016/06/29,7.8311740201995E+21
2016/06/30,6.9465175697573E+21
2016/07/01,6.6456357074984E+21
2016/07/02,3.2036271511746E+21
2016/07/03,5.1331786792818E+21
2016/07/04,6.5016267779636E+21
2016/07/05,7.6574010998933E+21
2016/07/06,5.1881272534094E+21
2016/07/07,1.8286227293622E+21
2016/07/08,1.0329659630995E+21
2016/07/09,1.0365659473234E+20
2016/07/10,3.8250425198066E+20
2016/07/11,1.7961676250859E+21
2016/07/12,2.5998353292184E+21
2016/07/13,4.4076177799242E+21
2016/07/14,3.5783089992465E+21
2016/07/15,2.6676024559522E+21
2016/07/16,1.6825900325921E+21
2016/07/17,1.1138855969215E+21
2016/07/18,2.7812768637649E+21
2016/07/19,2.9549663544538E+21
2016/07/20,2.9582730422459E+21
2016/07/21,5.2591859885263E+21
2016/07/22,4.634684588362E+21
2016/07/23,5.8484081731755E+21
2016/07/24,5.1293718568267E+21
2016/07/25,8.0132283646676E+21
2016/07/26,2.2183196727946E+22
2016/07/27,4.8912769174554E+22
2016/07/28,4.1815455614904E+22
2016/07/29,4.3135265349386E+22
2016/07/30,2.7200421199502E+22
2016/07/31,1.2536378057449E+22
2016/08/01,6.1561259466251E+21
2016/08/02,2.1318001628402E+22
2016/08/03,4.4077688748781E+22
2016/08/04,3.444374815266E+22
2016/08/05,3.006595482302E+22
2016/08/06,2.747148432951E+22
2016/08/07,2.4254548151728E+22
2016/08/08,2.9368315639701E+22
2016/08/09,4.3673115174822E+22
2016/08/10,3.4599809184795E+22
2016/08/11,4.646894327101E+22
2016/08/12,5.0998043829226E+22
2016/08/13,3.1840843419608E+22
2016/08/14,1.7059809872153E+22
2016/08/15,3.4871110833675E+21
2016/08/16,2.7949211390207E+21
2016/08/17,2.8447152974573E+21
2016/08/18,6.6189811477094E+21
2016/08/19,7.4485918145688E+21
2016/08/20,1.0692985489673E+22
2016/08/21,1.2265468577094E+22
2016/08/22,1.0956339055418E+22
2016/08/23,1.4557110124532E+22
2016/08/24,1.2183633998127E+22
2016/08/25,1.522479358223E+22
2016/08/26,1.8541143120803E+22
2016/08/27,2.0883051834565E+22
2016/08/28,1.7061983238773E+22
2016/08/29,1.0979363999536E+22
2016/08/30,8.1121501923942E+21
2016/08/31,4.0678122595409E+21
2016/09/01,3.5981692331849E+21
2016/09/02,6.1216465345596E+21
2016/09/03,8.2179781851803E+21
2016/09/04,1.621627891478E+22
2016/09/05,1.6155627305841E+22
2016/09/06,1.6809629683571E+22
2016/09/07,1.6447357779739E+22
2016/09/08,1.3833360930029E+22
2016/09/09,6.6462905142782E+21
2016/09/10,8.0291972498738E+21
2016/09/11,1.0725273444093E+22
2016/09/12,1.4810649549573E+22
2016/09/13,1.218464020829E+22
2016/09/14,2.0000687783129E+22
2016/09/15,1.8566274422964E+22
2016/09/16,1.2025550878674E+22
2016/09/17,1.1616793643902E+22
2016/09/18,3.7825674636392E+22
2016/09/19,4.8237153909003E+22
2016/09/20,6.1485597121498E+22
2016/09/21,8.727898952771E+22
2016/09/22,8.8528321075852E+22
2016/09/23,1.1571992394579E+23
2016/09/24,1.3689104969656E+23
2016/09/25,1.1613796031805E+23
2016/09/26,5.2992176059214E+22
2016/09/27,6.0849682645773E+22
2016/09/28,7.2346597167967E+22
2016/09/29,2.922437725268E+22
2016/09/30,2.5905519272376E+22
2016/10/01,2.8760839679273E+22
2016/10/02,4.7492320262656E+22
2016/10/03,2.1123314945568E+22
2016/10/04,2.2023295412407E+22
2016/10/05,1.8452943551834E+22
2016/10/06,1.9729070009499E+22
2016/10/07,7.4242894255611E+21
2016/10/08,7.7110145050882E+21
2016/10/09,1.4783047245151E+22
2016/10/10,1.8525275276746E+22
2016/10/11,2.7274976794467E+22
2016/10/12,2.4761715034679E+22
2016/10/13,2.9350228116231E+22
2016/10/14,2.8726247251487E+22
2016/10/15,4.1110501494948E+22
2016/10/16,6.7238436748331E+22
2016/10/17,5.9946423774043E+22
2016/10/18,6.3424513959267E+22
2016/10/19,2.8693513094727E+22
2016/10/20,2.5084697144962E+22
2016/10/21,3.8408347370479E+22
2016/10/22,4.6407271210103E+22
2016/10/23,4.6637909757982E+22
2016/10/24,2.2795099966584E+22
2016/10/25,1.9313381415038E+22
2016/10/26,1.0746589198077E+22
2016/10/27,9.2465981106702E+21
2016/10/28,2.055336151634E+22
2016/10/29,4.0088529840555E+23
2016/10/30,7.3620823047689E+23
2016/10/31,7.9727794781173E+23
2016/11/01,9.7701975817694E+23
2016/11/02,1.0304229539527E+24
2016/11/03,8.3001492568941E+23
2016/11/04,5.048218632015E+23
2016/11/05,5.9134630090257E+23
2016/11/06,5.8237438829203E+23
2016/11/07,2.0989240784445E+23
2016/11/08,1.7983710031351E+23
2016/11/09,2.1143405907557E+23
2016/11/10,2.133489922196E+23
2016/11/11,1.9812737221613E+23
2016/11/12,1.4114781365902E+23
2016/11/13,5.7193952001192E+22
2016/11/14,6.7446249138345E+22
2016/11/15,7.0009565769781E+22
2016/11/16,7.2674786149911E+22
2016/11/17,6.2942582618636E+22
2016/11/18,4.3278262672838E+22
2016/11/19,3.6325536187691E+22
2016/11/20,1.1951694417449E+23
2016/11/21,2.4870363866449E+23
2016/11/22,2.6361580985093E+23
2016/11/23,2.3146718146268E+23
2016/11/24,1.4906064585113E+23
2016/11/25,1.3413759481448E+23
2016/11/26,1.4497581662521E+23
2016/11/27,1.481135997184E+23
2016/11/28,7.0126313417755E+22
2016/11/29,3.9781939008096E+22
2016/11/30,1.0486779457019E+22
2016/12/01,1.0979564868778E+22
2016/12/02,1.0516685850459E+22
2016/12/03,1.8386020971818E+22
