Date,sentinusd7emaUSD
2016/01/01,268726
2016/01/02,264152
2016/01/03,289024
2016/01/04,254230
2016/01/05,443329
2016/01/06,396284
2016/01/07,384309
2016/01/08,336854
2016/01/09,308627
2016/01/10,269640
2016/01/11,335237
2016/01/12,542606
2016/01/13,526476
2016/01/14,489616
2016/01/15,660509
2016/01/16,672641
2016/01/17,619061
2016/01/18,1269479
2016/01/19,1377894
2016/01/20,1253288
2016/01/21,1128833
2016/01/22,1195617
2016/01/23,1394829
2016/01/24,2074890
2016/01/25,2786132
2016/01/26,3022764
2016/01/27,2997462
2016/01/28,2821785
2016/01/29,2657684
2016/01/30,2617254
2016/01/31,2616485
2016/02/01,2295697
2016/02/02,2068122
2016/02/03,1927648
2016/02/04,1654838
2016/02/05,1605053
2016/02/06,1350577
2016/02/07,1616329
2016/02/08,2356039
2016/02/09,3135023
2016/02/10,4463670
2016/02/11,5565341
2016/02/12,7279503
2016/02/13,7071585
2016/02/14,6429364
2016/02/15,5823528
2016/02/16,5948692
2016/02/17,5233931
2016/02/18,5061966
2016/02/19,4352061
2016/02/20,4587278
2016/02/21,3968798
2016/02/22,4010870
2016/02/23,5210182
2016/02/24,6951405
2016/02/25,6661031
2016/02/26,11000944
2016/02/27,11630372
2016/02/28,9978516
2016/02/29,8625876
2016/03/01,8668735
2016/03/02,13682999
2016/03/03,15112959
2016/03/04,14832436
2016/03/05,19099911
2016/03/06,18805291
2016/03/07,17923591
2016/03/08,18595401
2016/03/09,16918119
2016/03/10,15181894
2016/03/11,13995848
2016/03/12,15424784
2016/03/13,18669879
2016/03/14,19495180
2016/03/15,18738216
2016/03/16,17741734
2016/03/17,18365206
2016/03/18,19785773
2016/03/19,16932276
2016/03/20,14120444
2016/03/21,13036792
2016/03/22,11766233
2016/03/23,10522671
2016/03/24,10609824
2016/03/25,9451543
2016/03/26,7992112
2016/03/27,9127989
2016/03/28,9065401
2016/03/29,10534688
2016/03/30,11930210
2016/03/31,11586916
2016/04/01,9800711
2016/04/02,8427773
2016/04/03,6948304
2016/04/04,6449434
2016/04/05,6683248
2016/04/06,6571205
2016/04/07,6807757
2016/04/08,6463666
2016/04/09,7987377
2016/04/10,8535344
2016/04/11,7723563
2016/04/12,7938538
2016/04/13,8169876
2016/04/14,8103870
2016/04/15,7309133
2016/04/16,6379028
2016/04/17,6690806
2016/04/18,6464712
2016/04/19,5771558
2016/04/20,5776764
2016/04/21,5333854
2016/04/22,5507541
2016/04/23,6159644
2016/04/24,5386978
2016/04/25,5429073
2016/04/26,6199593
2016/04/27,6135079
2016/04/28,6045477
2016/04/29,5668024
2016/04/30,9842336
2016/05/01,11226098
2016/05/02,13012627
2016/05/03,13154406
2016/05/04,12489216
2016/05/05,12004962
2016/05/06,13958797
2016/05/07,14013463
2016/05/08,13815279
2016/05/09,15145581
2016/05/10,16181307
2016/05/11,19527980
2016/05/12,22916189
2016/05/13,38663626
2016/05/14,44069607
2016/05/15,36842666
2016/05/16,31546247
2016/05/17,27537333
2016/05/18,26558570
2016/05/19,29183468
2016/05/20,29997187
2016/05/21,25894987
2016/05/22,21782468
2016/05/23,20737538
2016/05/24,21283558
2016/05/25,21285178
2016/05/26,19949936
2016/05/27,22355831
2016/05/28,23040038
2016/05/29,20310568
2016/05/30,18382802
2016/05/31,17173217
2016/06/01,15614540
2016/06/02,13436678
2016/06/03,12213340
2016/06/04,10744906
2016/06/05,9620034
2016/06/06,8876552
2016/06/07,10169220
2016/06/08,15411068
2016/06/09,13219165
2016/06/10,13059034
2016/06/11,11612821
2016/06/12,12745396
2016/06/13,14457493
2016/06/14,17265457
2016/06/15,17154073
2016/06/16,20077553
2016/06/17,33277474
2016/06/18,41505186
2016/06/19,36652206
2016/06/20,35147906
2016/06/21,31704588
2016/06/22,31096209
2016/06/23,29097881
2016/06/24,25713273
2016/06/25,23738309
2016/06/26,19970219
2016/06/27,17238833
2016/06/28,18030536
2016/06/29,17373534
2016/06/30,15730462
2016/07/01,14404802
2016/07/02,12191034
2016/07/03,10667191
2016/07/04,11375802
2016/07/05,17943343
2016/07/06,16263234
2016/07/07,14672729
2016/07/08,12803597
2016/07/09,11223092
2016/07/10,10219877
2016/07/11,9792521
2016/07/12,9620154
2016/07/13,9672459
2016/07/14,9824133
2016/07/15,18979612
2016/07/16,16531828
2016/07/17,14551816
2016/07/18,19012762
2016/07/19,41724803
2016/07/20,73732375
2016/07/21,60749419
2016/07/22,55796276
2016/07/23,51326573
2016/07/24,81341776
2016/07/25,93671400
2016/07/26,136959088
2016/07/27,142111001
2016/07/28,130886886
2016/07/29,115095341
2016/07/30,98224160
2016/07/31,84679934
2016/08/01,79261410
2016/08/02,85339936
2016/08/03,84996256
2016/08/04,73605973
2016/08/05,66670875
2016/08/06,54849483
2016/08/07,46858948
2016/08/08,40969785
2016/08/09,39968770
2016/08/10,44653671
2016/08/11,45017570
2016/08/12,40540584
2016/08/13,36228829
2016/08/14,31783230
2016/08/15,27837032
2016/08/16,23477914
2016/08/17,22453310
2016/08/18,20062319
2016/08/19,17802010
2016/08/20,17647996
2016/08/21,23080450
2016/08/22,23566845
2016/08/23,30077054
2016/08/24,25322396
2016/08/25,21575454
2016/08/26,21715134
2016/08/27,18989737
2016/08/28,16533061
2016/08/29,15667704
2016/08/30,14134525
2016/08/31,13698378
2016/09/01,16300774
2016/09/02,17517676
2016/09/03,16860086
2016/09/04,16973272
2016/09/05,15107794
2016/09/06,14128427
2016/09/07,13149656
2016/09/08,14203799
2016/09/09,12657908
2016/09/10,11446321
2016/09/11,11095515
2016/09/12,11058955
2016/09/13,11164607
2016/09/14,10620029
2016/09/15,9816980
2016/09/16,14290177
2016/09/17,13239754
2016/09/18,14932739
2016/09/19,14169984
2016/09/20,23236888
2016/09/21,31382031
2016/09/22,29727728
2016/09/23,29102325
2016/09/24,26187223
2016/09/25,27716922
2016/09/26,25469271
2016/09/27,22796941
2016/09/28,25364328
2016/09/29,25955323
2016/09/30,22471199
2016/10/01,19555167
2016/10/02,20592938
2016/10/03,17466046
2016/10/04,15446013
2016/10/05,15019035
2016/10/06,14263299
2016/10/07,13666722
2016/10/08,13474266
2016/10/09,17993761
2016/10/10,21132488
2016/10/11,22710310
2016/10/12,24798685
2016/10/13,21640799
2016/10/14,24088113
2016/10/15,21504052
2016/10/16,20900323
2016/10/17,21132081
2016/10/18,24760815
2016/10/19,21819938
2016/10/20,18558844
2016/10/21,15788230
2016/10/22,13353363
2016/10/23,11312028
2016/10/24,10429807
2016/10/25,11005502
2016/10/26,10933500
2016/10/27,10840826
2016/10/28,12462122
2016/10/29,14319668
2016/10/30,17196041
2016/10/31,16357143
2016/11/01,19979753
2016/11/02,26704619
2016/11/03,47149465
2016/11/04,38644225
2016/11/05,31371015
2016/11/06,24941557
2016/11/07,20450115
2016/11/08,17166648
2016/11/09,18268385
2016/11/10,16397132
2016/11/11,22076006
2016/11/12,19697858
2016/11/13,17960690
2016/11/14,14807815
2016/11/15,13705581
2016/11/16,13022950
2016/11/17,17774304
2016/11/18,15946685
2016/11/19,14027841
2016/11/20,12050216
2016/11/21,10618925
2016/11/22,14355041
2016/11/23,16745001
2016/11/24,14549219
2016/11/25,14474476
2016/11/26,12496933
2016/11/27,10988329
2016/11/28,9992170
2016/11/29,10198661
2016/11/30,10141012
2016/12/01,9802291
2016/12/02,13940307
2016/12/03,19948046
2016/12/04,18200915
2016/12/05,20231511
2016/12/06,25856651
2016/12/07,24121559
2016/12/08,23398824
2016/12/09,22822988
2016/12/10,20040659
2016/12/11,19008282
2016/12/12,16471562
2016/12/13,14673156
2016/12/14,13206832
2016/12/15,14124644
2016/12/16,13366238
2016/12/17,15946420
2016/12/18,16185767
2016/12/19,14805150
2016/12/20,13750247
2016/12/21,14327783
2016/12/22,17082522
2016/12/23,24263812
2016/12/24,22455598
2016/12/25,18747257
2016/12/26,15558720
2016/12/27,14204735
2016/12/28,15862592
2016/12/29,21188996
2016/12/30,22641548
2016/12/31,29693368
2017/01/01,26013529
2017/01/02,25354678
2017/01/03,30178123
2017/01/04,43159175
2017/01/05,53546223
2017/01/06,58719248
2017/01/07,54798746
2017/01/08,47345708
2017/01/09,47011941
2017/01/10,47190344
2017/01/11,46972297
2017/01/12,46042816
2017/01/13,40510460
2017/01/14,32635209
2017/01/15,25899602
2017/01/16,21356687
2017/01/17,19901630
2017/01/18,17147086
2017/01/19,15424683
2017/01/20,18659987
2017/01/21,16527885
2017/01/22,15034671
2017/01/23,13634810
2017/01/24,12317067
2017/01/25,11719564
2017/01/26,11595796
2017/01/27,11375541
2017/01/28,10104441
2017/01/29,9852542
2017/01/30,9211338
2017/01/31,10283418
