Date,mediantransactionvalue14varUSD
2016/01/01,0.277
2016/01/02,0.283
2016/01/03,0.306
2016/01/04,0.322
2016/01/05,0.322
2016/01/06,0.322
2016/01/07,0.34
2016/01/08,0.343
2016/01/09,0.349
2016/01/10,0.319
2016/01/11,0.328
2016/01/12,0.354
2016/01/13,0.354
2016/01/14,0.354
2016/01/15,0.373
2016/01/16,0.392
2016/01/17,0.412
2016/01/18,0.428
2016/01/19,0.36
2016/01/20,0.368
2016/01/21,0.297
2016/01/22,0.294
2016/01/23,0.355
2016/01/24,0.461
2016/01/25,0.481
2016/01/26,0.553
2016/01/27,0.395
2016/01/28,0.397
2016/01/29,0.427
2016/01/30,0.467
2016/01/31,0.486
2016/02/01,0.461
2016/02/02,0.291
2016/02/03,0.308
2016/02/04,0.314
2016/02/05,0.261
2016/02/06,0.68
2016/02/07,0.711
2016/02/08,0.829
2016/02/09,1.022
2016/02/10,1.473
2016/02/11,1.858
2016/02/12,3.08
2016/02/13,3.34
2016/02/14,3.533
2016/02/15,3.689
2016/02/16,3.55
2016/02/17,3.374
2016/02/18,3.163
2016/02/19,2.894
2016/02/20,1.149
2016/02/21,0.847
2016/02/22,0.666
2016/02/23,0.603
2016/02/24,0.641
2016/02/25,0.753
2016/02/26,0.543
2016/02/27,0.639
2016/02/28,0.834
2016/02/29,0.97
2016/03/01,1.185
2016/03/02,1.44
2016/03/03,2.148
2016/03/04,2.535
2016/03/05,4.925
2016/03/06,5.381
2016/03/07,5.43
2016/03/08,5.181
2016/03/09,4.958
2016/03/10,5.837
2016/03/11,5.008
2016/03/12,5.23
2016/03/13,5.574
2016/03/14,5.076
2016/03/15,3.944
2016/03/16,3.3
2016/03/17,2.878
2016/03/18,2.556
2016/03/19,2.823
2016/03/20,3.122
2016/03/21,3.126
2016/03/22,2.803
2016/03/23,2.673
2016/03/24,2.667
2016/03/25,2.854
2016/03/26,2.703
2016/03/27,2.043
2016/03/28,1.311
2016/03/29,0.998
2016/03/30,0.39
2016/03/31,0.334
2016/04/01,0.34
2016/04/02,0.3
2016/04/03,0.222
2016/04/04,0.219
2016/04/05,0.267
2016/04/06,0.257
2016/04/07,0.306
2016/04/08,0.408
2016/04/09,0.544
2016/04/10,0.931
2016/04/11,1.304
2016/04/12,1.777
2016/04/13,2.096
2016/04/14,2.041
2016/04/15,1.956
2016/04/16,1.744
2016/04/17,1.51
2016/04/18,1.123
2016/04/19,0.929
2016/04/20,0.661
2016/04/21,0.431
2016/04/22,0.315
2016/04/23,0.196
2016/04/24,0.184
2016/04/25,0.194
2016/04/26,0.24
2016/04/27,0.243
2016/04/28,0.279
2016/04/29,0.311
2016/04/30,0.306
2016/05/01,0.317
2016/05/02,0.401
2016/05/03,0.506
2016/05/04,0.611
2016/05/05,0.712
2016/05/06,0.8
2016/05/07,0.834
2016/05/08,0.848
2016/05/09,0.821
2016/05/10,0.681
2016/05/11,0.587
2016/05/12,0.447
2016/05/13,0.326
2016/05/14,0.233
2016/05/15,0.176
2016/05/16,0.213
2016/05/17,0.476
2016/05/18,1.089
2016/05/19,1.945
2016/05/20,2.849
2016/05/21,3.116
2016/05/22,3.33
2016/05/23,3.437
2016/05/24,3.033
2016/05/25,2.564
2016/05/26,4.599
2016/05/27,4.515
2016/05/28,12.622
2016/05/29,13.839
2016/05/30,13.883
2016/05/31,14.083
2016/06/01,14.293
2016/06/02,14.235
2016/06/03,13.933
2016/06/04,13.773
2016/06/05,13.629
2016/06/06,13.429
2016/06/07,14.047
2016/06/08,14.822
2016/06/09,14.057
2016/06/10,14.288
2016/06/11,6.012
2016/06/12,3.953
2016/06/13,4.906
2016/06/14,5.898
2016/06/15,7.555
2016/06/16,9.857
2016/06/17,15.057
2016/06/18,16.193
2016/06/19,17.032
2016/06/20,18.428
2016/06/21,16.232
2016/06/22,16.179
2016/06/23,16.026
2016/06/24,18.182
2016/06/25,18.255
2016/06/26,19.551
2016/06/27,18.332
2016/06/28,16.619
2016/06/29,16.821
2016/06/30,15.967
2016/07/01,14.999
2016/07/02,14.948
2016/07/03,15.108
2016/07/04,14.859
2016/07/05,14.711
2016/07/06,13.657
2016/07/07,13.054
2016/07/08,12.688
2016/07/09,11.471
2016/07/10,11.248
2016/07/11,10.172
2016/07/12,9.353
2016/07/13,6.907
2016/07/14,2.029
2016/07/15,1.976
2016/07/16,2.479
2016/07/17,2.357
2016/07/18,2.315
2016/07/19,2.482
2016/07/20,6.05
2016/07/21,6.034
2016/07/22,6.879
2016/07/23,7.74
2016/07/24,8.516
2016/07/25,9.155
2016/07/26,9.56
2016/07/27,9.778
2016/07/28,8.601
2016/07/29,8.578
2016/07/30,7.254
2016/07/31,7.274
2016/08/01,7.269
2016/08/02,7.372
2016/08/03,5.918
2016/08/04,5.724
2016/08/05,5.502
2016/08/06,5.201
2016/08/07,4.812
2016/08/08,4.413
2016/08/09,4.122
2016/08/10,3.897
2016/08/11,3.658
2016/08/12,4.42
2016/08/13,4.737
2016/08/14,4.547
2016/08/15,4.324
2016/08/16,6.002
2016/08/17,4.953
2016/08/18,5.913
2016/08/19,5.92
2016/08/20,5.642
2016/08/21,5.236
2016/08/22,4.816
2016/08/23,4.149
2016/08/24,3.75
2016/08/25,3.965
2016/08/26,4.333
2016/08/27,4.5
2016/08/28,3.545
2016/08/29,3.05
2016/08/30,3.038
2016/08/31,3.287
2016/09/01,5.658
2016/09/02,6.696
2016/09/03,6.812
2016/09/04,6.626
2016/09/05,7.983
2016/09/06,8.244
2016/09/07,9.19
2016/09/08,9.7
2016/09/09,10.342
2016/09/10,10.62
2016/09/11,11.943
2016/09/12,11.531
2016/09/13,13.146
2016/09/14,14.243
2016/09/15,12.853
2016/09/16,12.708
2016/09/17,12.265
2016/09/18,13.396
2016/09/19,15.2
2016/09/20,18.263
2016/09/21,19.252
2016/09/22,19.689
2016/09/23,19.314
2016/09/24,20.609
2016/09/25,21.244
2016/09/26,21.981
2016/09/27,22.454
2016/09/28,19.732
2016/09/29,15.605
2016/09/30,10.677
2016/10/01,11.709
2016/10/02,11.639
2016/10/03,11.695
2016/10/04,20.629
2016/10/05,20.018
2016/10/06,15.867
2016/10/07,15.667
2016/10/08,15.476
2016/10/09,15.255
2016/10/10,15.016
2016/10/11,14.732
2016/10/12,14.24
2016/10/13,18.987
2016/10/14,18.367
2016/10/15,17.456
2016/10/16,17.027
2016/10/17,16.506
2016/10/18,9.809
2016/10/19,10.017
2016/10/20,8.961
2016/10/21,12.379
2016/10/22,12.326
2016/10/23,12.235
2016/10/24,14.278
2016/10/25,13.958
2016/10/26,14.273
2016/10/27,9.132
2016/10/28,8.996
2016/10/29,8.678
2016/10/30,8.39
2016/10/31,8.203
2016/11/01,9.006
2016/11/02,9.005
2016/11/03,8.633
2016/11/04,5.954
2016/11/05,5.692
2016/11/06,5.438
2016/11/07,3.128
2016/11/08,2.824
2016/11/09,2.731
2016/11/10,2.644
2016/11/11,2.566
2016/11/12,2.547
2016/11/13,2.527
2016/11/14,2.442
2016/11/15,1.01
2016/11/16,0.156
2016/11/17,0.166
2016/11/18,0.183
2016/11/19,0.182
2016/11/20,0.171
2016/11/21,0.154
2016/11/22,4.36
2016/11/23,9.361
2016/11/24,9.159
2016/11/25,13.71
2016/11/26,13.347
2016/11/27,14.154
2016/11/28,14.331
2016/11/29,13.93
2016/11/30,12.855
2016/12/01,12.149
2016/12/02,11.418
2016/12/03,10.666
2016/12/04,9.595
2016/12/05,8.583
2016/12/06,7.875
2016/12/07,6.119
2016/12/08,5.706
2016/12/09,3.132
2016/12/10,3.276
2016/12/11,2.439
2016/12/12,1.59
2016/12/13,1.415
2016/12/14,2.278
2016/12/15,2.704
2016/12/16,3.011
2016/12/17,2.975
2016/12/18,3.05
2016/12/19,3.584
2016/12/20,3.702
2016/12/21,4.152
2016/12/22,4.998
2016/12/23,4.634
2016/12/24,4.307
2016/12/25,3.999
2016/12/26,3.624
2016/12/27,3.576
2016/12/28,3.296
2016/12/29,3.611
2016/12/30,3.619
2016/12/31,3.727
2017/01/01,3.858
2017/01/02,3.907
2017/01/03,3.855
2017/01/04,4.382
2017/01/05,3.218
2017/01/06,3.702
2017/01/07,4.035
2017/01/08,4.355
2017/01/09,4.731
2017/01/10,4.254
2017/01/11,3.498
2017/01/12,4.474
2017/01/13,5.308
2017/01/14,5.343
2017/01/15,6.163
2017/01/16,6.317
2017/01/17,6.147
2017/01/18,6.065
2017/01/19,5.989
2017/01/20,6.126
2017/01/21,6.388
2017/01/22,6.715
2017/01/23,6.274
2017/01/24,7.316
2017/01/25,7.131
2017/01/26,6.977
2017/01/27,5.967
2017/01/28,6.036
2017/01/29,5.86
2017/01/30,5.684
2017/01/31,6.384
2017/02/01,5.863
2017/02/02,6.04
2017/02/03,6.153
2017/02/04,6.425
2017/02/05,6.392
2017/02/06,6.704
2017/02/07,6.051
2017/02/08,6.025
2017/02/09,5.542
2017/02/10,5.236
2017/02/11,4.719
2017/02/12,5.047
2017/02/13,5.02
2017/02/14,4.689
2017/02/15,4.733
2017/02/16,5.677
2017/02/17,5.838
2017/02/18,6.539
2017/02/19,7.018
2017/02/20,6.956
2017/02/21,7.474
2017/02/22,6.931
2017/02/23,7.93
2017/02/24,7.815
2017/02/25,7.551
2017/02/26,8.596
2017/02/27,8.688
2017/02/28,9.731
2017/03/01,11.282
2017/03/02,14.218
2017/03/03,18.403
2017/03/04,21.703
2017/03/05,23.839
2017/03/06,24.409
2017/03/07,18.413
2017/03/08,14.077
2017/03/09,16.183
2017/03/10,15.703
2017/03/11,11.757
2017/03/12,13.244
2017/03/13,19.412
2017/03/14,25.997
2017/03/15,33.533
2017/03/16,60.884
2017/03/17,101.016
2017/03/18,115.717
2017/03/19,126.314
2017/03/20,141.211
2017/03/21,122.81
2017/03/22,118.184
2017/03/23,83.436
2017/03/24,76.407
2017/03/25,72.422
2017/03/26,60.795
2017/03/27,92.162
2017/03/28,94.398
2017/03/29,105.243
2017/03/30,104.433
