Date,fee_to_reward90rsiUSD
2016/01/01,50.181
2016/01/02,50.386
2016/01/03,50.375
2016/01/04,50.521
2016/01/05,53.067
2016/01/06,53.515
2016/01/07,53.524
2016/01/08,50.65
2016/01/09,51.535
2016/01/10,50.683
2016/01/11,50.655
2016/01/12,50.743
2016/01/13,52.943
2016/01/14,50.658
2016/01/15,50.43
2016/01/16,50.411
2016/01/17,50.025
2016/01/18,50.946
2016/01/19,51.292
2016/01/20,50.135
2016/01/21,50.245
2016/01/22,50.945
2016/01/23,50.049
2016/01/24,50.388
2016/01/25,51.574
2016/01/26,51.298
2016/01/27,52.563
2016/01/28,51.48
2016/01/29,51.249
2016/01/30,51.079
2016/01/31,51.033
2016/02/01,50.854
2016/02/02,50.721
2016/02/03,50.509
2016/02/04,50.871
2016/02/05,51.21
2016/02/06,56.401
2016/02/07,51.45
2016/02/08,50.819
2016/02/09,51.53
2016/02/10,52.054
2016/02/11,51.311
2016/02/12,50.596
2016/02/13,50.737
2016/02/14,50.301
2016/02/15,50.479
2016/02/16,50.607
2016/02/17,51.071
2016/02/18,50.377
2016/02/19,50.761
2016/02/20,50.198
2016/02/21,50.254
2016/02/22,50.503
2016/02/23,53.877
2016/02/24,51.455
2016/02/25,50.351
2016/02/26,51.338
2016/02/27,50.197
2016/02/28,50.22
2016/02/29,50.5
2016/03/01,50.455
2016/03/02,50.687
2016/03/03,50.561
2016/03/04,50.495
2016/03/05,50.459
2016/03/06,50.746
2016/03/07,50.274
2016/03/08,50.359
2016/03/09,50.054
2016/03/10,49.695
2016/03/11,49.645
2016/03/12,49.935
2016/03/13,49.961
2016/03/14,50.138
2016/03/15,49.695
2016/03/16,49.676
2016/03/17,50.024
2016/03/18,49.86
2016/03/19,50.645
2016/03/20,50.255
2016/03/21,50.103
2016/03/22,49.766
2016/03/23,50.116
2016/03/24,50.511
2016/03/25,50.476
2016/03/26,50.189
2016/03/27,49.397
2016/03/28,49.788
2016/03/29,49.653
2016/03/30,50.236
2016/03/31,49.716
2016/04/01,49.649
2016/04/02,49.353
2016/04/03,49.325
2016/04/04,49.69
2016/04/05,49.906
2016/04/06,49.549
2016/04/07,49.539
2016/04/08,49.716
2016/04/09,49.47
2016/04/10,49.406
2016/04/11,49.393
2016/04/12,49.628
2016/04/13,50.186
2016/04/14,50.113
2016/04/15,49.629
2016/04/16,49.286
2016/04/17,50.009
2016/04/18,49.45
2016/04/19,49.411
2016/04/20,49.675
2016/04/21,50.074
2016/04/22,49.496
2016/04/23,49.428
2016/04/24,49.613
2016/04/25,49.665
2016/04/26,49.577
2016/04/27,49.478
2016/04/28,49.621
2016/04/29,49.675
2016/04/30,50.207
2016/05/01,50.562
2016/05/02,49.907
2016/05/03,49.874
2016/05/04,49.925
2016/05/05,50.144
2016/05/06,50.411
2016/05/07,49.706
2016/05/08,49.999
2016/05/09,49.838
2016/05/10,49.932
2016/05/11,50.224
2016/05/12,50.655
2016/05/13,50.904
2016/05/14,50.423
2016/05/15,50.143
2016/05/16,49.91
2016/05/17,49.923
2016/05/18,50.37
2016/05/19,50.282
2016/05/20,50.597
2016/05/21,50.461
2016/05/22,49.943
2016/05/23,50.007
2016/05/24,49.936
2016/05/25,50.203
2016/05/26,50.437
2016/05/27,50.589
2016/05/28,53.018
2016/05/29,50.595
2016/05/30,50.113
2016/05/31,50.1
2016/06/01,50.063
2016/06/02,49.688
2016/06/03,49.637
2016/06/04,49.584
2016/06/05,49.581
2016/06/06,49.681
2016/06/07,52.58
2016/06/08,49.854
2016/06/09,49.894
2016/06/10,49.963
2016/06/11,49.774
2016/06/12,49.912
2016/06/13,50.447
2016/06/14,50.555
2016/06/15,50.014
2016/06/16,50.736
2016/06/17,60.244
2016/06/18,61.728
2016/06/19,50.786
2016/06/20,50.785
2016/06/21,51.705
2016/06/22,50.659
2016/06/23,49.831
2016/06/24,50.153
2016/06/25,49.671
2016/06/26,49.605
2016/06/27,49.628
2016/06/28,49.833
2016/06/29,50.991
2016/06/30,52.363
2016/07/01,50.357
2016/07/02,49.472
2016/07/03,49.752
2016/07/04,49.574
2016/07/05,49.749
2016/07/06,49.694
2016/07/07,49.575
2016/07/08,50.155
2016/07/09,50.536
2016/07/10,49.62
2016/07/11,49.657
2016/07/12,49.861
2016/07/13,49.48
2016/07/14,49.852
2016/07/15,49.693
2016/07/16,49.436
2016/07/17,49.25
2016/07/18,49.513
2016/07/19,49.712
2016/07/20,51.88
2016/07/21,49.896
2016/07/22,50.101
2016/07/23,49.862
2016/07/24,50.112
2016/07/25,50.181
2016/07/26,50.549
2016/07/27,50.062
2016/07/28,51.228
2016/07/29,50.442
2016/07/30,49.728
2016/07/31,49.719
2016/08/01,49.754
2016/08/02,49.937
2016/08/03,49.872
2016/08/04,49.787
2016/08/05,49.67
2016/08/06,49.534
2016/08/07,49.585
2016/08/08,50.882
2016/08/09,49.752
2016/08/10,49.873
2016/08/11,49.809
2016/08/12,49.706
2016/08/13,49.467
2016/08/14,49.424
2016/08/15,49.563
2016/08/16,49.784
2016/08/17,49.654
2016/08/18,49.987
2016/08/19,49.722
2016/08/20,49.532
2016/08/21,49.633
2016/08/22,49.708
