Date,size90wma
2016/11/15,1831
2016/11/16,1824
2016/11/17,1816
2016/11/18,1810
2016/11/19,1800
2016/11/20,1792
2016/11/21,1786
2016/11/22,1784
2016/11/23,1787
2016/11/24,1778
2016/11/25,1777
2016/11/26,1770
2016/11/27,1768
2016/11/28,1766
2016/11/29,1763
2016/11/30,1772
2016/12/01,1762
2016/12/02,1754
2016/12/03,1745
2016/12/04,1736
2016/12/05,1729
2016/12/06,1725
2016/12/07,1718
2016/12/08,1709
2016/12/09,1703
2016/12/10,1694
2016/12/11,1692
2016/12/12,1684
2016/12/13,1679
2016/12/14,1679
2016/12/15,1674
2016/12/16,1668
2016/12/17,1660
2016/12/18,1650
2016/12/19,1646
2016/12/20,1640
2016/12/21,1639
2016/12/22,1638
2016/12/23,1632
2016/12/24,1623
2016/12/25,1612
2016/12/26,1601
2016/12/27,1596
2016/12/28,1590
2016/12/29,1587
2016/12/30,1584
2016/12/31,1578
2017/01/01,1569
2017/01/02,1562
2017/01/03,1558
2017/01/04,1557
2017/01/05,1555
2017/01/06,1551
2017/01/07,1548
2017/01/08,1546
2017/01/09,1547
2017/01/10,1551
2017/01/11,1552
2017/01/12,1556
2017/01/13,1560
2017/01/14,1559
2017/01/15,1558
2017/01/16,1558
2017/01/17,1561
2017/01/18,1561
2017/01/19,1562
2017/01/20,1563
2017/01/21,1562
2017/01/22,1564
2017/01/23,1565
2017/01/24,1570
2017/01/25,1572
2017/01/26,1574
2017/01/27,1577
2017/01/28,1578
2017/01/29,1578
2017/01/30,1578
2017/01/31,1578
2017/02/01,1579
2017/02/02,1579
2017/02/03,1580
2017/02/04,1579
2017/02/05,1581
2017/02/06,1581
2017/02/07,1587
2017/02/08,1591
2017/02/09,1592
2017/02/10,1596
2017/02/11,1596
2017/02/12,1596
2017/02/13,1601
2017/02/14,1608
2017/02/15,1613
2017/02/16,1615
2017/02/17,1616
2017/02/18,1620
2017/02/19,1621
2017/02/20,1623
2017/02/21,1631
2017/02/22,1635
2017/02/23,1637
2017/02/24,1640
2017/02/25,1644
2017/02/26,1646
2017/02/27,1650
2017/02/28,1658
2017/03/01,1671
2017/03/02,1684
2017/03/03,1694
2017/03/04,1699
2017/03/05,1703
2017/03/06,1707
2017/03/07,1714
2017/03/08,1717
2017/03/09,1734
2017/03/10,1745
2017/03/11,1753
2017/03/12,1761
2017/03/13,1778
2017/03/14,1794
2017/03/15,1811
2017/03/16,1841
2017/03/17,1866
2017/03/18,1883
2017/03/19,1897
2017/03/20,1909
2017/03/21,1925
2017/03/22,1938
2017/03/23,1954
2017/03/24,1971
2017/03/25,1984
2017/03/26,1996
2017/03/27,2020
2017/03/28,2035
2017/03/29,2054
2017/03/30,2076
2017/03/31,2099
2017/04/01,2110
