Date,sentinusd30varUSD
2016/01/01,61871519823
2016/01/02,61566460961
2016/01/03,61048024778
2016/01/04,60760670975
2016/01/05,77124647509
2016/01/06,77154331757
2016/01/07,76166466180
2016/01/08,76166892036
2016/01/09,75790064686
2016/01/10,76643312094
2016/01/11,77405147992
2016/01/12,100418043987
2016/01/13,100891784633
2016/01/14,99698058429
2016/01/15,80919251653
2016/01/16,85159699124
2016/01/17,84969338691
2016/01/18,347743380550
2016/01/19,394646290777
2016/01/20,395890895442
2016/01/21,393985291696
2016/01/22,410314374830
2016/01/23,464321668053
2016/01/24,834107722767
2016/01/25,1363249232261
2016/01/26,1581181415761
2016/01/27,1672456433023
2016/01/28,1683583686603
2016/01/29,1673620172223
2016/01/30,1689255404874
2016/01/31,1700742527351
2016/02/01,1653009781463
2016/02/02,1611211964091
2016/02/03,1547938444852
2016/02/04,1555185353021
2016/02/05,1498426755075
2016/02/06,1480586371467
2016/02/07,1432432814932
2016/02/08,1624037124324
2016/02/09,1947491515959
2016/02/10,3198466067821
2016/02/11,4552767493015
2016/02/12,7531840329981
2016/02/13,7695501820915
2016/02/14,7622782425850
2016/02/15,7420903984437
2016/02/16,7406255135261
2016/02/17,7409480753049
2016/02/18,7325162451946
2016/02/19,7138203133651
2016/02/20,6922504476590
2016/02/21,6823496678170
2016/02/22,6708006777729
2016/02/23,7482388833577
2016/02/24,9592122166780
2016/02/25,9649785221219
2016/02/26,21949640587834
2016/02/27,23925948104959
2016/02/28,23562840513909
2016/02/29,23279613653475
2016/03/01,23273762351721
2016/03/02,39252754514939
2016/03/03,43285966055901
2016/03/04,43455601627156
2016/03/05,60228712745149
2016/03/06,60915657311133
2016/03/07,59300361292285
2016/03/08,60976949421791
2016/03/09,59843915255432
2016/03/10,58934781373938
2016/03/11,58747011831932
2016/03/12,61071941898594
2016/03/13,70547108015704
2016/03/14,72785653728404
2016/03/15,71174827477625
2016/03/16,68664600068054
2016/03/17,68651550397763
2016/03/18,68223217284929
2016/03/19,66226383482039
2016/03/20,63812714786311
2016/03/21,61715166987512
2016/03/22,57945441454424
2016/03/23,56283197687068
2016/03/24,55582406157359
2016/03/25,57974943394079
2016/03/26,59429203719686
2016/03/27,56535267089205
2016/03/28,57473256431594
2016/03/29,54606488717533
2016/03/30,51270273917565
2016/03/31,50657866797705
2016/04/01,47319705419585
2016/04/02,49342057416253
2016/04/03,53300987082922
2016/04/04,43158398690572
2016/04/05,42810279552838
2016/04/06,43458005997476
2016/04/07,41186801181246
