Date,difficulty30rsi
2016/01/01,57.079
2016/01/02,52.307
2016/01/03,53.949
2016/01/04,54.164
2016/01/05,53.826
2016/01/06,55.027
2016/01/07,52.458
2016/01/08,53.434
2016/01/09,54.791
2016/01/10,53.601
2016/01/11,58.386
2016/01/12,58.936
2016/01/13,54.069
2016/01/14,56.377
2016/01/15,58.608
2016/01/16,60.269
2016/01/17,58.682
2016/01/18,61.682
2016/01/19,62.303
2016/01/20,60.801
2016/01/21,62.196
2016/01/22,64.321
2016/01/23,65.408
2016/01/24,65.906
2016/01/25,67.192
2016/01/26,68.921
2016/01/27,70.136
2016/01/28,65.443
2016/01/29,68.031
2016/01/30,67.946
2016/01/31,65.762
2016/02/01,67.107
2016/02/02,64.24
2016/02/03,65.391
2016/02/04,66.934
2016/02/05,67.3
2016/02/06,63.678
2016/02/07,64.84
2016/02/08,67.69
2016/02/09,64.438
2016/02/10,66.76
2016/02/11,68.48
2016/02/12,63.968
2016/02/13,66.766
2016/02/14,68.616
2016/02/15,70.237
2016/02/16,68.507
2016/02/17,68.622
2016/02/18,63.575
2016/02/19,65.835
2016/02/20,66.579
2016/02/21,67.236
2016/02/22,69.274
2016/02/23,70.679
2016/02/24,69.19
2016/02/25,68.726
2016/02/26,70.676
2016/02/27,72.593
2016/02/28,73.199
2016/02/29,73.889
2016/03/01,69.405
2016/03/02,71.399
2016/03/03,73.432
2016/03/04,75.065
2016/03/05,75.999
2016/03/06,78.21
2016/03/07,76.713
2016/03/08,77.532
2016/03/09,78.43
2016/03/10,78.757
2016/03/11,80.256
2016/03/12,82.134
2016/03/13,82.985
2016/03/14,82.295
2016/03/15,65.583
2016/03/16,66.169
2016/03/17,66.909
2016/03/18,67.643
2016/03/19,68.61
2016/03/20,70.606
2016/03/21,69.686
2016/03/22,70.455
2016/03/23,65.824
2016/03/24,68.582
2016/03/25,71.08
2016/03/26,72.237
2016/03/27,73.38
2016/03/28,72.237
2016/03/29,73.746
2016/03/30,74.343
2016/03/31,76.272
2016/04/01,75.501
2016/04/02,74.229
2016/04/03,75.663
2016/04/04,77.265
2016/04/05,77.991
2016/04/06,77.775
2016/04/07,72.278
2016/04/08,74.953
2016/04/09,76.073
2016/04/10,76.445
2016/04/11,76.081
2016/04/12,71.557
2016/04/13,73.591
2016/04/14,74.095
2016/04/15,75.323
2016/04/16,76.204
2016/04/17,73.105
2016/04/18,75.168
2016/04/19,75.91
2016/04/20,76.095
2016/04/21,77.123
2016/04/22,72.057
2016/04/23,73.831
2016/04/24,72.709
2016/04/25,74.121
2016/04/26,73.989
2016/04/27,72.21
2016/04/28,73.709
2016/04/29,74.667
2016/04/30,76.146
2016/05/01,77.166
2016/05/02,68.548
2016/05/03,71.371
2016/05/04,71.378
2016/05/05,70.323
2016/05/06,70.641
2016/05/07,70.648
2016/05/08,71.247
2016/05/09,71.904
2016/05/10,73.147
2016/05/11,69.786
2016/05/12,68.909
2016/05/13,72.341
2016/05/14,72.386
2016/05/15,72.777
2016/05/16,73.16
2016/05/17,69.624
2016/05/18,71.84
2016/05/19,74.043
2016/05/20,74.714
2016/05/21,75.465
2016/05/22,73.256
2016/05/23,73.622
2016/05/24,74.639
2016/05/25,74.298
2016/05/26,75.514
2016/05/27,74.7
2016/05/28,75.94
2016/05/29,77.047
2016/05/30,76.151
2016/05/31,76.394
2016/06/01,70.32
2016/06/02,71.648
2016/06/03,74.39
2016/06/04,74.399
2016/06/05,73.965
2016/06/06,74.481
2016/06/07,75.65
2016/06/08,74.298
2016/06/09,77.042
2016/06/10,72.543
2016/06/11,72.391
2016/06/12,73.104
2016/06/13,75.24
2016/06/14,75.792
2016/06/15,75.898
2016/06/16,75.72
2016/06/17,71.093
2016/06/18,62.928
2016/06/19,68.202
2016/06/20,70.222
2016/06/21,67.23
2016/06/22,68.424
2016/06/23,71.083
2016/06/24,69.443
2016/06/25,70.144
2016/06/26,70.62
2016/06/27,72.078
2016/06/28,72.602
2016/06/29,70.284
2016/06/30,70.35
2016/07/01,70.631
2016/07/02,72.113
2016/07/03,73.278
2016/07/04,72.412
2016/07/05,73.432
2016/07/06,69.74
2016/07/07,70.467
2016/07/08,70.649
2016/07/09,66.785
2016/07/10,69.239
2016/07/11,70.12
2016/07/12,70.638
2016/07/13,70.765
2016/07/14,70.721
2016/07/15,67.665
2016/07/16,67.34
2016/07/17,68.651
2016/07/18,68.857
2016/07/19,69.643
2016/07/20,65.593
2016/07/21,66.733
2016/07/22,66.277
2016/07/23,67.905
2016/07/24,68.059
2016/07/25,60.61
2016/07/26,59.309
2016/07/27,47.698
2016/07/28,54.234
2016/07/29,53.365
2016/07/30,52.614
2016/07/31,52.293
2016/08/01,52.226
2016/08/02,46.594
2016/08/03,43.7
2016/08/04,47.528
2016/08/05,50.657
2016/08/06,50.236
2016/08/07,51.038
2016/08/08,52.732
2016/08/09,55.258
2016/08/10,57.785
2016/08/11,59.211
2016/08/12,59.067
2016/08/13,58.469
2016/08/14,58.741
2016/08/15,58.067
2016/08/16,60.562
2016/08/17,60.373
2016/08/18,59.722
2016/08/19,61.37
2016/08/20,62.532
2016/08/21,61.861
2016/08/22,63.443
2016/08/23,64.915
2016/08/24,64.373
2016/08/25,66.391
2016/08/26,69.043
2016/08/27,66.985
2016/08/28,66.537
2016/08/29,65.214
2016/08/30,65.293
2016/08/31,66.218
2016/09/01,67.844
2016/09/02,66.836
2016/09/03,63.444
2016/09/04,58.446
2016/09/05,60.623
2016/09/06,61.206
2016/09/07,61.734
2016/09/08,61.505
2016/09/09,61.071
2016/09/10,62.879
2016/09/11,64.567
2016/09/12,64.622
2016/09/13,65.123
2016/09/14,66.156
2016/09/15,66.805
2016/09/16,65.727
2016/09/17,68.798
2016/09/18,62.162
2016/09/19,48.15
2016/09/20,60.009
2016/09/21,62.39
2016/09/22,55.298
2016/09/23,56.344
2016/09/24,57.522
2016/09/25,58.467
2016/09/26,58.44
2016/09/27,54.401
2016/09/28,61.347
2016/09/29,62.737
2016/09/30,62.352
2016/10/01,55.918
2016/10/02,55.664
2016/10/03,59.213
2016/10/04,62.017
2016/10/05,57.315
2016/10/06,59.015
2016/10/07,49.604
2016/10/08,53.109
2016/10/09,57.361
2016/10/10,58.026
2016/10/11,59.47
2016/10/12,56.084
2016/10/13,54.938
2016/10/14,59.246
2016/10/15,60.623
2016/10/16,60.449
2016/10/17,58.611
2016/10/18,58.943
2016/10/19,58.583
2016/10/20,58.795
2016/10/21,62.738
2016/10/22,63.375
2016/10/23,62.397
2016/10/24,61.955
2016/10/25,63.192
2016/10/26,63.239
2016/10/27,63.147
2016/10/28,60.998
2016/10/29,50.782
2016/10/30,46.593
2016/10/31,49.239
2016/11/01,45.571
2016/11/02,42.195
2016/11/03,41.028
2016/11/04,39.492
2016/11/05,38.085
2016/11/06,37.631
2016/11/07,41.33
2016/11/08,45.498
2016/11/09,46.064
2016/11/10,43.794
2016/11/11,43.077
2016/11/12,43.033
2016/11/13,45.097
2016/11/14,46.746
2016/11/15,47.454
2016/11/16,46.739
2016/11/17,46.131
2016/11/18,46.09
2016/11/19,48.868
2016/11/20,51.843
2016/11/21,54.467
2016/11/22,52.825
2016/11/23,50.273
2016/11/24,47.068
2016/11/25,46.202
2016/11/26,47.624
2016/11/27,46.169
2016/11/28,47.185
2016/11/29,47.836
2016/11/30,47.97
2016/12/01,48.482
2016/12/02,48.965
2016/12/03,50.468
2016/12/04,51.175
2016/12/05,50.096
2016/12/06,48.864
2016/12/07,50.154
2016/12/08,51.569
2016/12/09,53.042
2016/12/10,53.891
2016/12/11,54.859
2016/12/12,53.631
2016/12/13,54.322
2016/12/14,53.984
2016/12/15,54.443
2016/12/16,55.308
2016/12/17,55.524
2016/12/18,57.261
2016/12/19,57.864
2016/12/20,58.711
2016/12/21,58.411
2016/12/22,57.221
2016/12/23,52.678
2016/12/24,49.352
2016/12/25,50.477
2016/12/26,52.73
2016/12/27,51.711
2016/12/28,50.772
2016/12/29,50.139
2016/12/30,50.462
2016/12/31,51.81
2017/01/01,50.996
2017/01/02,51.462
2017/01/03,51.429
2017/01/04,55.806
2017/01/05,57.433
2017/01/06,58.426
2017/01/07,59.333
2017/01/08,59.944
2017/01/09,61.51
2017/01/10,62.229
2017/01/11,62.431
2017/01/12,62.916
2017/01/13,63.675
2017/01/14,64.311
2017/01/15,64.926
2017/01/16,65.198
2017/01/17,64.863
2017/01/18,63.001
2017/01/19,65.943
2017/01/20,65.599
2017/01/21,66.431
2017/01/22,66.682
2017/01/23,67.942
2017/01/24,66.555
2017/01/25,66.633
2017/01/26,67.576
2017/01/27,68.175
2017/01/28,66.828
2017/01/29,65.714
2017/01/30,65.898
2017/01/31,67.025
2017/02/01,65.533
2017/02/02,67.033
2017/02/03,65.063
2017/02/04,65.295
2017/02/05,68.72
2017/02/06,69.33
2017/02/07,69.431
2017/02/08,69.917
2017/02/09,70.427
2017/02/10,72.272
2017/02/11,72.437
2017/02/12,73.362
2017/02/13,73.918
2017/02/14,75.156
2017/02/15,74.581
2017/02/16,74.79
2017/02/17,76.422
2017/02/18,77.229
2017/02/19,78.207
2017/02/20,78.001
2017/02/21,79.357
2017/02/22,79.475
2017/02/23,78.244
2017/02/24,78.46
2017/02/25,79.642
2017/02/26,81.408
2017/02/27,82.58
2017/02/28,83.767
2017/03/01,80.86
2017/03/02,80.91
2017/03/03,83.312
2017/03/04,81.159
2017/03/05,82.753
2017/03/06,83.417
2017/03/07,82.825
2017/03/08,84.074
2017/03/09,84.898
2017/03/10,83.631
2017/03/11,84.198
2017/03/12,84.838
2017/03/13,85.425
2017/03/14,84.893
2017/03/15,85.892
2017/03/16,86.269
2017/03/17,87.649
2017/03/18,88.475
2017/03/19,80.64
2017/03/20,82.655
2017/03/21,82.704
2017/03/22,83.143
2017/03/23,84.966
2017/03/24,84.988
2017/03/25,85.026
2017/03/26,86.732
