Date,price90momUSD
2016/01/01,0.267
2016/01/02,0.291
2016/01/03,0.32
2016/01/04,0.35
2016/01/05,0.343
2016/01/06,0.372
2016/01/07,0.339
2016/01/08,0.352
2016/01/09,0.435
2016/01/10,0.45
2016/01/11,0.443
2016/01/12,0.607
2016/01/13,0.591
2016/01/14,0.592
2016/01/15,0.702
2016/01/16,0.708
2016/01/17,0.735
2016/01/18,0.932
2016/01/19,0.929
2016/01/20,1.01
2016/01/21,0.979
2016/01/22,0.972
2016/01/23,1.12
2016/01/24,1.503
2016/01/25,1.485
2016/01/26,1.704
2016/01/27,1.331
2016/01/28,1.353
2016/01/29,1.545
2016/01/30,1.569
2016/01/31,1.329
2016/02/01,1.228
2016/02/02,1.304
2016/02/03,1.495
2016/02/04,1.637
2016/02/05,1.615
2016/02/06,1.554
2016/02/07,1.662
2016/02/08,2.121
2016/02/09,2.645
2016/02/10,3.511
2016/02/11,4.056
2016/02/12,5.016
2016/02/13,4.088
2016/02/14,3.984
2016/02/15,4.519
2016/02/16,3.887
2016/02/17,3.12
2016/02/18,3.109
2016/02/19,3.55
2016/02/20,3.47
2016/02/21,3.474
2016/02/22,4.207
2016/02/23,4.803
2016/02/24,4.946
2016/02/25,5.396
2016/02/26,5.087
2016/02/27,5.335
2016/02/28,5.574
2016/02/29,5.549
2016/03/01,5.903
2016/03/02,7.169
2016/03/03,8.427
2016/03/04,8.412
2016/03/05,10.284
2016/03/06,10.299
2016/03/07,9.534
2016/03/08,8.806
2016/03/09,9.752
2016/03/10,10.778
2016/03/11,10.132
2016/03/12,11.936
2016/03/13,13.336
2016/03/14,12.444
2016/03/15,11.705
2016/03/16,12.267
2016/03/17,10.67
2016/03/18,9.296
2016/03/19,9.647
2016/03/20,9.324
2016/03/21,10.073
2016/03/22,10.725
2016/03/23,10.977
2016/03/24,10.519
2016/03/25,9.919
2016/03/26,9.987
2016/03/27,9.827
2016/03/28,10.336
2016/03/29,10.657
2016/03/30,10.844
2016/03/31,10.795
2016/04/01,10.643
2016/04/02,10.476
2016/04/03,10.519
2016/04/04,10.299
2016/04/05,9.741
2016/04/06,9.593
2016/04/07,9.391
2016/04/08,8.814
2016/04/09,8.525
2016/04/10,7.567
2016/04/11,7.304
2016/04/12,6.742
2016/04/13,6.649
2016/04/14,7.135
2016/04/15,7.08
2016/04/16,7.043
2016/04/17,7.825
2016/04/18,7.689
2016/04/19,7.57
2016/04/20,7.059
2016/04/21,6.942
2016/04/22,6.251
2016/04/23,5.86
2016/04/24,5.878
2016/04/25,5.21
2016/04/26,4.913
2016/04/27,5.111
2016/04/28,4.912
2016/04/29,4.937
2016/04/30,5.872
2016/05/01,6.488
2016/05/02,7.338
2016/05/03,7.201
2016/05/04,7.006
2016/05/05,7.027
2016/05/06,7.171
2016/05/07,6.625
2016/05/08,6.18
2016/05/09,5.936
2016/05/10,4.964
2016/05/11,4.747
2016/05/12,4.219
2016/05/13,5.577
2016/05/14,5.295
2016/05/15,4.666
2016/05/16,5.626
2016/05/17,7.623
2016/05/18,8.942
2016/05/19,9.424
2016/05/20,9.895
2016/05/21,9.188
2016/05/22,8.906
2016/05/23,8.376
2016/05/24,7.19
2016/05/25,6.127
2016/05/26,6.447
2016/05/27,5.087
2016/05/28,4.894
2016/05/29,5.638
2016/05/30,5.695
2016/05/31,5.281
2016/06/01,4.637
2016/06/02,4.56
2016/06/03,2.497
2016/06/04,2.518
2016/06/05,3.394
2016/06/06,4.24
2016/06/07,3.462
2016/06/08,2.835
2016/06/09,3.275
2016/06/10,1.145
2016/06/11,-0.525
2016/06/12,1.218
2016/06/13,3.883
2016/06/14,4.926
2016/06/15,6.717
2016/06/16,9.255
2016/06/17,6.755
2016/06/18,2.637
2016/06/19,1.198
2016/06/20,0.111
2016/06/21,0.112
2016/06/22,2.793
2016/06/23,2.219
2016/06/24,3.014
2016/06/25,3.483
2016/06/26,2.727
2016/06/27,2.301
2016/06/28,1.288
2016/06/29,0.393
2016/06/30,0.823
2016/07/01,0.671
2016/07/02,0.498
2016/07/03,0.584
2016/07/04,0.821
2016/07/05,-0.13
2016/07/06,0.188
2016/07/07,0.166
2016/07/08,0.82
2016/07/09,2.324
2016/07/10,2.374
2016/07/11,2.681
2016/07/12,2.723
2016/07/13,2.054
2016/07/14,2.732
2016/07/15,3.61
2016/07/16,2.505
2016/07/17,2.206
2016/07/18,2.289
2016/07/19,2.68
2016/07/20,3.622
2016/07/21,4.399
2016/07/22,5.465
2016/07/23,6.239
2016/07/24,5.576
2016/07/25,6
2016/07/26,5.23
2016/07/27,5.213
2016/07/28,5.264
2016/07/29,4.421
2016/07/30,3.934
2016/07/31,2.579
2016/08/01,1.946
2016/08/02,0.652
2016/08/03,0.036
2016/08/04,1.025
2016/08/05,1.613
2016/08/06,1.411
2016/08/07,1.473
2016/08/08,1.626
2016/08/09,1.982
2016/08/10,2.046
2016/08/11,1.277
2016/08/12,1.611
2016/08/13,1.531
2016/08/14,0.959
2016/08/15,-0.553
2016/08/16,-1.839
2016/08/17,-2.945
2016/08/18,-3.465
2016/08/19,-2.874
2016/08/20,-2.96
2016/08/21,-2.974
2016/08/22,-1.805
2016/08/23,-1.337
