Date,transactionvalue3trxUSD
2016/10/02,-8.128
2016/10/03,-11.862
2016/10/04,-14.641
2016/10/05,-9.568
2016/10/06,-3.964
2016/10/07,-2.604
2016/10/08,0.709
2016/10/09,18.174
2016/10/10,20.991
2016/10/11,16.224
2016/10/12,20.304
2016/10/13,4.458
2016/10/14,3.068
2016/10/15,-3.253
2016/10/16,-4.076
2016/10/17,-2.786
2016/10/18,0.985
2016/10/19,-4.366
2016/10/20,-10.995
2016/10/21,-16.351
2016/10/22,-18.095
2016/10/23,-17.983
2016/10/24,-16.26
2016/10/25,-7.184
2016/10/26,-1.165
2016/10/27,1.506
2016/10/28,12.332
2016/10/29,19.397
2016/10/30,24.306
2016/10/31,8.584
2016/11/01,9.981
2016/11/02,23.08
2016/11/03,57.824
2016/11/04,14.848
2016/11/05,-5.159
2016/11/06,-15.382
2016/11/07,-20.401
2016/11/08,-22.132
2016/11/09,-12.428
2016/11/10,-9.412
2016/11/11,13.902
2016/11/12,5.033
2016/11/13,-3.031
2016/11/14,-11.657
2016/11/15,-13.033
2016/11/16,-10.374
2016/11/17,14.329
2016/11/18,5.099
2016/11/19,-3.833
2016/11/20,-10.511
2016/11/21,-13.464
2016/11/22,1.153
2016/11/23,6.848
2016/11/24,0.455
2016/11/25,-2.744
2016/11/26,-7.398
2016/11/27,-10.355
2016/11/28,-11.101
2016/11/29,-5.267
2016/11/30,1.336
2016/12/01,3.389
2016/12/02,26.577
2016/12/03,42.921
2016/12/04,15.051
2016/12/05,10.272
2016/12/06,14.537
2016/12/07,4.542
2016/12/08,0.165
2016/12/09,-2.074
2016/12/10,-7.561
2016/12/11,-7.745
2016/12/12,-10.792
2016/12/13,-12.933
2016/12/14,-13.918
2016/12/15,-6.452
2016/12/16,-4.338
2016/12/17,11.223
2016/12/18,12.036
2016/12/19,1.106
2016/12/20,-5.031
2016/12/21,-4.666
2016/12/22,2.342
2016/12/23,27.291
2016/12/24,13.643
2016/12/25,-2.087
2016/12/26,-10.885
2016/12/27,-12.895
2016/12/28,-4.014
2016/12/29,14.504
2016/12/30,14.222
2016/12/31,26.603
2017/01/01,7.5
2017/01/02,0.903
2017/01/03,5.982
2017/01/04,20.438
2017/01/05,23.354
2017/01/06,18.394
2017/01/07,5.429
2017/01/08,-5.379
2017/01/09,-6.391
2017/01/10,-5.022
2017/01/11,-2.946
2017/01/12,-3.429
2017/01/13,-8.465
2017/01/14,-14.879
2017/01/15,-19.886
2017/01/16,-21.887
2017/01/17,-17.535
2017/01/18,-15.425
2017/01/19,-12.142
2017/01/20,7.297
2017/01/21,2.453
2017/01/22,-3.392
2017/01/23,-6.964
2017/01/24,-9.705
2017/01/25,-8.151
2017/01/26,-4.393
2017/01/27,-1.995
2017/01/28,-5.625
2017/01/29,-3.641
2017/01/30,-4.496
2017/01/31,4.392
2017/02/01,8.833
2017/02/02,8.543
2017/02/03,12.326
2017/02/04,13.205
2017/02/05,0.716
2017/02/06,-0.612
2017/02/07,-1.841
2017/02/08,-2.858
2017/02/09,-1.158
2017/02/10,1.778
2017/02/11,-1.87
2017/02/12,-1.134
2017/02/13,-2.591
2017/02/14,18.232
2017/02/15,33.477
2017/02/16,18.753
2017/02/17,10.34
2017/02/18,4.598
2017/02/19,1.708
2017/02/20,0.424
2017/02/21,3.776
2017/02/22,2.685
2017/02/23,1.688
2017/02/24,10.856
2017/02/25,6.642
2017/02/26,6.103
2017/02/27,27.582
2017/02/28,34.204
2017/03/01,28.215
2017/03/02,28.263
2017/03/03,25.395
2017/03/04,12.583
2017/03/05,3.372
2017/03/06,6.828
2017/03/07,1.672
2017/03/08,-0.323
2017/03/09,0.234
2017/03/10,0.055
2017/03/11,3.435
2017/03/12,15.156
2017/03/13,12.604
2017/03/14,0.126
2017/03/15,-6.677
2017/03/16,13.334
2017/03/17,11.65
2017/03/18,13.866
2017/03/19,-1.615
2017/03/20,-8.485
2017/03/21,-4.571
2017/03/22,-1.621
2017/03/23,-0.312
2017/03/24,5.588
2017/03/25,5.654
2017/03/26,2.002
2017/03/27,-0.783
2017/03/28,-0.813
2017/03/29,1.434
2017/03/30,6.463
2017/03/31,3.873
2017/04/01,-0.572
2017/04/02,1.345
2017/04/03,1.594
2017/04/04,-4.546
2017/04/05,-4.441
2017/04/06,-0.008
2017/04/07,-7.548
2017/04/08,-9.309
2017/04/09,-9.056
2017/04/10,-5.396
2017/04/11,-2.191
2017/04/12,-1.775
2017/04/13,-4.347
2017/04/14,-3.375
2017/04/15,-7.544
2017/04/16,-13.289
2017/04/17,-15.191
2017/04/18,-0.06
2017/04/19,13.765
2017/04/20,18.502
2017/04/21,10.726
2017/04/22,4.853
2017/04/23,1.198
2017/04/24,1.887
2017/04/25,-0.405
2017/04/26,4.029
2017/04/27,11.234
2017/04/28,13.976
2017/04/29,15.484
2017/04/30,15.674
2017/05/01,20.135
2017/05/02,14.076
2017/05/03,12.893
2017/05/04,9.62
2017/05/05,9.081
2017/05/06,3.636
2017/05/07,2.117
2017/05/08,-0.467
2017/05/09,-1.997
2017/05/10,-2.178
2017/05/11,-0.103
2017/05/12,-0.404
2017/05/13,-3.645
2017/05/14,-5.754
2017/05/15,-4.868
2017/05/16,0.415
2017/05/17,-3.531
2017/05/18,-8.76
2017/05/19,-7.091
2017/05/20,-5.58
2017/05/21,-1.488
2017/05/22,16.836
2017/05/23,11.366
2017/05/24,6.811
2017/05/25,3.84
2017/05/26,3.539
2017/05/27,-1.038
2017/05/28,-4.795
2017/05/29,-5.463
2017/05/30,-3.722
2017/05/31,8.933
2017/06/01,9.33
2017/06/02,6.733
2017/06/03,4.951
2017/06/04,2.701
2017/06/05,3.859
2017/06/06,6.835
2017/06/07,5.095
2017/06/08,2.33
2017/06/09,-0.186
2017/06/10,-3.768
2017/06/11,-4.546
2017/06/12,5.828
2017/06/13,9.104
2017/06/14,2.96
2017/06/15,2.046
2017/06/16,1.791
2017/06/17,-3.866
2017/06/18,-7.782
2017/06/19,-9.206
2017/06/20,-6.881
2017/06/21,-9.818
2017/06/22,-10.991
2017/06/23,-8.407
2017/06/24,-3.085
2017/06/25,-8.293
2017/06/26,-8.6
2017/06/27,-4.222
2017/06/28,-0.723
2017/06/29,3.2
2017/06/30,2.957
2017/07/01,0.338
2017/07/02,-4.065
2017/07/03,11.603
2017/07/04,15.327
2017/07/05,0.928
2017/07/06,-5.821
2017/07/07,-8.934
2017/07/08,-10.089
2017/07/09,-13.784
2017/07/10,-9.973
2017/07/11,-4.13
2017/07/12,0.812
2017/07/13,15.797
2017/07/14,22.689
2017/07/15,19.164
2017/07/16,10.467
2017/07/17,4.855
2017/07/18,4.962
2017/07/19,4.456
2017/07/20,2.615
2017/07/21,2.884
2017/07/22,-7.622
2017/07/23,-13.506
2017/07/24,-5.578
2017/07/25,4.263
2017/07/26,5.713
2017/07/27,6.078
