Date,transactions14wma
2016/01/01,13831
2016/01/02,13199
2016/01/03,12581
2016/01/04,11998
2016/01/05,12367
2016/01/06,12865
2016/01/07,14084
2016/01/08,13734
2016/01/09,13488
2016/01/10,13034
2016/01/11,12767
2016/01/12,12510
2016/01/13,13165
2016/01/14,12924
2016/01/15,12576
2016/01/16,12317
2016/01/17,11922
2016/01/18,11944
2016/01/19,12001
2016/01/20,11712
2016/01/21,11502
2016/01/22,11814
2016/01/23,11722
2016/01/24,11874
2016/01/25,12579
2016/01/26,13143
2016/01/27,13951
2016/01/28,14485
2016/01/29,14911
2016/01/30,15044
2016/01/31,15072
2016/02/01,15064
2016/02/02,15055
2016/02/03,15035
2016/02/04,14994
2016/02/05,15035
2016/02/06,17219
2016/02/07,16921
2016/02/08,16670
2016/02/09,16548
2016/02/10,16652
2016/02/11,17345
2016/02/12,17549
2016/02/13,17899
2016/02/14,17844
2016/02/15,17837
2016/02/16,17854
2016/02/17,18166
2016/02/18,18020
2016/02/19,18042
2016/02/20,17807
2016/02/21,17766
2016/02/22,17841
2016/02/23,17922
2016/02/24,18116
2016/02/25,18282
2016/02/26,18675
2016/02/27,18761
2016/02/28,18862
2016/02/29,19112
2016/03/01,19521
2016/03/02,20128
2016/03/03,20871
2016/03/04,21465
2016/03/05,22381
2016/03/06,23270
2016/03/07,23473
2016/03/08,23740
2016/03/09,24013
2016/03/10,24272
2016/03/11,24256
2016/03/12,24855
2016/03/13,25401
2016/03/14,25915
2016/03/15,26450
2016/03/16,26690
2016/03/17,27682
2016/03/18,28365
2016/03/19,29369
2016/03/20,29990
2016/03/21,30574
2016/03/22,31120
2016/03/23,31436
2016/03/24,32370
2016/03/25,33165
2016/03/26,33814
2016/03/27,33490
2016/03/28,33634
2016/03/29,33769
2016/03/30,34241
2016/03/31,34024
2016/04/01,33961
2016/04/02,33355
2016/04/03,32832
2016/04/04,33045
2016/04/05,33804
2016/04/06,33557
2016/04/07,33282
2016/04/08,33338
2016/04/09,33142
2016/04/10,33033
2016/04/11,32648
2016/04/12,32873
2016/04/13,33275
2016/04/14,33515
2016/04/15,33754
2016/04/16,33380
2016/04/17,34292
2016/04/18,34211
2016/04/19,34025
2016/04/20,33943
2016/04/21,34419
2016/04/22,34110
2016/04/23,33846
2016/04/24,33876
2016/04/25,34073
2016/04/26,33842
2016/04/27,33800
2016/04/28,33844
2016/04/29,34292
2016/04/30,35841
2016/05/01,36420
2016/05/02,37294
2016/05/03,37566
2016/05/04,37743
2016/05/05,38040
2016/05/06,38665
2016/05/07,38477
2016/05/08,38811
2016/05/09,38887
2016/05/10,39217
2016/05/11,39486
2016/05/12,40248
2016/05/13,41274
2016/05/14,41934
2016/05/15,42238
2016/05/16,41756
2016/05/17,41699
2016/05/18,42382
2016/05/19,42783
2016/05/20,43215
2016/05/21,43402
2016/05/22,42886
2016/05/23,43035
2016/05/24,43016
2016/05/25,43445
2016/05/26,44449
2016/05/27,45108
2016/05/28,48574
2016/05/29,48574
2016/05/30,48151
2016/05/31,47871
2016/06/01,47263
2016/06/02,46351
2016/06/03,45508
2016/06/04,44454
2016/06/05,43458
2016/06/06,42612
2016/06/07,42771
2016/06/08,42138
2016/06/09,41485
2016/06/10,40978
2016/06/11,40123
2016/06/12,40342
2016/06/13,41074
2016/06/14,42327
2016/06/15,42579
2016/06/16,42841
2016/06/17,46155
2016/06/18,48752
2016/06/19,49502
2016/06/20,49605
2016/06/21,49658
2016/06/22,49871
2016/06/23,49112
2016/06/24,48790
2016/06/25,47266
2016/06/26,46401
2016/06/27,45286
2016/06/28,44689
2016/06/29,45069
2016/06/30,47259
2016/07/01,46072
2016/07/02,45026
2016/07/03,44274
2016/07/04,43655
2016/07/05,43014
2016/07/06,42267
2016/07/07,41959
2016/07/08,41942
2016/07/09,41672
2016/07/10,41227
2016/07/11,40699
2016/07/12,40479
2016/07/13,39605
2016/07/14,39808
2016/07/15,39986
2016/07/16,39748
2016/07/17,38968
2016/07/18,38948
2016/07/19,39600
2016/07/20,41065
2016/07/21,41642
2016/07/22,42653
2016/07/23,43148
2016/07/24,45360
2016/07/25,46945
2016/07/26,49318
2016/07/27,50303
2016/07/28,50527
2016/07/29,50521
2016/07/30,49759
2016/07/31,49857
2016/08/01,49445
2016/08/02,49377
2016/08/03,49321
2016/08/04,48913
2016/08/05,48015
2016/08/06,46936
2016/08/07,46087
2016/08/08,45387
2016/08/09,45343
2016/08/10,45338
2016/08/11,45649
2016/08/12,45460
2016/08/13,44857
2016/08/14,44194
2016/08/15,43839
2016/08/16,44406
2016/08/17,44429
2016/08/18,44887
2016/08/19,44688
2016/08/20,44275
2016/08/21,44026
2016/08/22,44009
2016/08/23,44537
2016/08/24,44838
2016/08/25,45540
2016/08/26,45882
2016/08/27,46283
2016/08/28,45907
2016/08/29,45900
2016/08/30,46058
2016/08/31,46083
2016/09/01,46319
2016/09/02,47613
2016/09/03,47373
2016/09/04,47545
2016/09/05,46935
2016/09/06,47198
2016/09/07,47401
2016/09/08,48556
2016/09/09,49379
2016/09/10,48667
2016/09/11,48065
2016/09/12,47694
2016/09/13,46988
2016/09/14,47827
2016/09/15,48424
2016/09/16,49627
2016/09/17,49391
2016/09/18,47935
2016/09/19,46926
2016/09/20,47745
2016/09/21,47248
2016/09/22,47871
2016/09/23,46201
2016/09/24,45802
2016/09/25,44771
2016/09/26,44424
2016/09/27,44533
2016/09/28,44065
2016/09/29,43386
2016/09/30,42212
2016/10/01,43543
2016/10/02,44552
2016/10/03,44978
