Date,fee_to_reward30trxUSD
2016/01/01,2.932
2016/01/02,2.842
2016/01/03,2.725
2016/01/04,2.59
2016/01/05,2.493
2016/01/06,2.431
2016/01/07,2.396
2016/01/08,2.333
2016/01/09,2.265
2016/01/10,2.18
2016/01/11,2.082
2016/01/12,1.976
2016/01/13,1.902
2016/01/14,1.817
2016/01/15,1.721
2016/01/16,1.617
2016/01/17,1.502
2016/01/18,1.395
2016/01/19,1.3
2016/01/20,1.198
2016/01/21,1.095
2016/01/22,1
2016/01/23,0.902
2016/01/24,0.807
2016/01/25,0.731
2016/01/26,0.669
2016/01/27,0.636
2016/01/28,0.613
2016/01/29,0.593
2016/01/30,0.575
2016/01/31,0.557
2016/02/01,0.537
2016/02/02,0.514
2016/02/03,0.486
2016/02/04,0.458
2016/02/05,0.436
2016/02/06,0.494
2016/02/07,0.549
2016/02/08,0.589
2016/02/09,0.629
2016/02/10,0.676
2016/02/11,0.716
2016/02/12,0.739
2016/02/13,0.751
2016/02/14,0.747
2016/02/15,0.732
2016/02/16,0.712
2016/02/17,0.692
2016/02/18,0.664
2016/02/19,0.636
2016/02/20,0.599
2016/02/21,0.556
2016/02/22,0.513
2016/02/23,0.518
2016/02/24,0.529
2016/02/25,0.528
2016/02/26,0.532
2016/02/27,0.524
2016/02/28,0.506
2016/02/29,0.484
2016/03/01,0.459
2016/03/02,0.435
2016/03/03,0.409
2016/03/04,0.382
2016/03/05,0.354
2016/03/06,0.329
2016/03/07,0.3
2016/03/08,0.27
2016/03/09,0.234
2016/03/10,0.191
2016/03/11,0.141
2016/03/12,0.09
2016/03/13,0.038
2016/03/14,-0.011
2016/03/15,-0.063
2016/03/16,-0.117
2016/03/17,-0.168
2016/03/18,-0.217
2016/03/19,-0.256
2016/03/20,-0.289
2016/03/21,-0.32
2016/03/22,-0.353
2016/03/23,-0.382
2016/03/24,-0.404
2016/03/25,-0.419
2016/03/26,-0.431
2016/03/27,-0.452
2016/03/28,-0.473
2016/03/29,-0.497
2016/03/30,-0.516
2016/03/31,-0.536
2016/04/01,-0.559
2016/04/02,-0.586
2016/04/03,-0.617
2016/04/04,-0.647
2016/04/05,-0.673
2016/04/06,-0.699
2016/04/07,-0.726
2016/04/08,-0.75
2016/04/09,-0.775
2016/04/10,-0.802
2016/04/11,-0.829
2016/04/12,-0.853
2016/04/13,-0.868
2016/04/14,-0.876
2016/04/15,-0.884
2016/04/16,-0.895
2016/04/17,-0.9
2016/04/18,-0.907
2016/04/19,-0.916
2016/04/20,-0.923
2016/04/21,-0.923
2016/04/22,-0.924
2016/04/23,-0.927
2016/04/24,-0.929
2016/04/25,-0.93
2016/04/26,-0.93
2016/04/27,-0.931
2016/04/28,-0.93
2016/04/29,-0.928
2016/04/30,-0.916
2016/05/01,-0.893
2016/05/02,-0.868
2016/05/03,-0.842
2016/05/04,-0.814
2016/05/05,-0.783
2016/05/06,-0.744
2016/05/07,-0.71
2016/05/08,-0.675
2016/05/09,-0.642
2016/05/10,-0.609
2016/05/11,-0.574
2016/05/12,-0.53
2016/05/13,-0.476
2016/05/14,-0.42
2016/05/15,-0.368
2016/05/16,-0.322
2016/05/17,-0.281
2016/05/18,-0.239
2016/05/19,-0.198
2016/05/20,-0.153
2016/05/21,-0.109
2016/05/22,-0.071
2016/05/23,-0.038
2016/05/24,-0.012
2016/05/25,0.014
2016/05/26,0.04
2016/05/27,0.069
2016/05/28,0.132
2016/05/29,0.191
2016/05/30,0.239
2016/05/31,0.278
2016/06/01,0.308
2016/06/02,0.325
2016/06/03,0.331
2016/06/04,0.327
2016/06/05,0.315
2016/06/06,0.297
2016/06/07,0.313
2016/06/08,0.32
2016/06/09,0.321
2016/06/10,0.318
2016/06/11,0.308
2016/06/12,0.296
2016/06/13,0.287
2016/06/14,0.284
2016/06/15,0.278
2016/06/16,0.279
2016/06/17,0.433
2016/06/18,0.738
2016/06/19,0.992
2016/06/20,1.198
2016/06/21,1.378
2016/06/22,1.515
2016/06/23,1.6
2016/06/24,1.647
2016/06/25,1.656
2016/06/26,1.632
2016/06/27,1.584
2016/06/28,1.521
2016/06/29,1.464
2016/06/30,1.436
2016/07/01,1.399
2016/07/02,1.34
2016/07/03,1.269
2016/07/04,1.187
2016/07/05,1.1
2016/07/06,1.01
2016/07/07,0.915
2016/07/08,0.826
2016/07/09,0.75
2016/07/10,0.67
2016/07/11,0.589
2016/07/12,0.51
2016/07/13,0.43
2016/07/14,0.354
2016/07/15,0.28
2016/07/16,0.205
2016/07/17,0.127
2016/07/18,0.051
2016/07/19,-0.019
2016/07/20,-0.056
2016/07/21,-0.091
2016/07/22,-0.121
2016/07/23,-0.15
2016/07/24,-0.175
2016/07/25,-0.195
2016/07/26,-0.206
2016/07/27,-0.215
2016/07/28,-0.207
2016/07/29,-0.195
2016/07/30,-0.191
2016/07/31,-0.192
2016/08/01,-0.197
2016/08/02,-0.204
2016/08/03,-0.212
2016/08/04,-0.222
2016/08/05,-0.236
2016/08/06,-0.254
2016/08/07,-0.274
2016/08/08,-0.28
