Date,difficulty30sma
2016/01/01,8322065591015
2016/01/02,8340703948081
2016/01/03,8356683330795
2016/01/04,8362363980171
2016/01/05,8377488883334
2016/01/06,8403303612536
2016/01/07,8425374370332
2016/01/08,8457115330689
2016/01/09,8479116858993
2016/01/10,8488331639197
2016/01/11,8514434691906
2016/01/12,8528357509695
2016/01/13,8525283665593
2016/01/14,8524176459267
2016/01/15,8538633867591
2016/01/16,8554242675204
2016/01/17,8563856538121
2016/01/18,8588367756677
2016/01/19,8621657360670
2016/01/20,8651693015438
2016/01/21,8680302682524
2016/01/22,8725805981152
2016/01/23,8775472533074
2016/01/24,8828380668716
2016/01/25,8890863200290
2016/01/26,8958262805243
2016/01/27,9034536754710
2016/01/28,9095979889630
2016/01/29,9176167119479
2016/01/30,9253947355007
2016/01/31,9325564636667
2016/02/01,9417898986044
2016/02/02,9496623811306
2016/02/03,9580724721113
2016/02/04,9674322062360
2016/02/05,9766103159790
2016/02/06,9854659891203
2016/02/07,9946259032442
2016/02/08,10049827720648
2016/02/09,10146779709581
2016/02/10,10241151182033
2016/02/11,10344612119621
2016/02/12,10446923940511
2016/02/13,10558993764986
2016/02/14,10675684267630
2016/02/15,10798097862274
2016/02/16,10919038142648
2016/02/17,11027970439280
2016/02/18,11116086121204
2016/02/19,11224003121657
2016/02/20,11331191973821
2016/02/21,11433255798945
2016/02/22,11545689048437
2016/02/23,11667366158356
2016/02/24,11777144633864
2016/02/25,11875913437155
2016/02/26,11983556673080
2016/02/27,12120763499546
2016/02/28,12249233311311
2016/02/29,12384582779143
2016/03/01,12509833126844
2016/03/02,12645580193279
2016/03/03,12809733185290
2016/03/04,12985859430522
2016/03/05,13164503219798
2016/03/06,13370042386425
2016/03/07,13579957696472
2016/03/08,13794675541592
2016/03/09,14005572642080
2016/03/10,14230938558848
2016/03/11,14465028300257
2016/03/12,14720399689845
2016/03/13,15006951205121
2016/03/14,15272554521132
2016/03/15,15441735401893
2016/03/16,15605169755065
2016/03/17,15783254209598
2016/03/18,15969202904672
2016/03/19,16184855993292
2016/03/20,16410588972785
2016/03/21,16625733586406
2016/03/22,16846025282253
2016/03/23,17023841534094
2016/03/24,17224425129355
2016/03/25,17466029152654
2016/03/26,17727375481966
2016/03/27,17991628486168
2016/03/28,18231731080126
2016/03/29,18490947600618
2016/03/30,18753811254663
2016/03/31,19068341802974
2016/04/01,19360317646199
2016/04/02,19624347168734
2016/04/03,19896172228963
2016/04/04,20188597565597
2016/04/05,20467381230359
2016/04/06,20750810335874
2016/04/07,20989090453084
2016/04/08,21264860865248
2016/04/09,21559433314912
2016/04/10,21839493531862
2016/04/11,22084737984449
2016/04/12,22282933244914
2016/04/13,22522189277728
2016/04/14,22854621321252
2016/04/15,23205579280433
2016/04/16,23566984912720
2016/04/17,23897686582064
2016/04/18,24260091326676
2016/04/19,24613627441609
2016/04/20,24976544473437
2016/04/21,25353346863599
2016/04/22,25719157642955
2016/04/23,26088092770116
2016/04/24,26412507251470
2016/04/25,26749503088332
2016/04/26,27066716108892
2016/04/27,27377221507192
2016/04/28,27694230564153
2016/04/29,28022179422481
2016/04/30,28349500803771
2016/05/01,28707342063590
2016/05/02,28999384201495
2016/05/03,29328246953735
2016/05/04,29625594723631
2016/05/05,29897815288468
2016/05/06,30178262019714
2016/05/07,30493096125422
2016/05/08,30770546693913
2016/05/09,31038518553813
2016/05/10,31325824667382
2016/05/11,31586740707830
2016/05/12,31870510155314
2016/05/13,32189558956447
2016/05/14,32499585835070
2016/05/15,32793198006748
2016/05/16,33076387558029
2016/05/17,33351111218724
2016/05/18,33630348434494
2016/05/19,33946611868445
2016/05/20,34276336305774
2016/05/21,34602428741176
2016/05/22,34946384296755
2016/05/23,35261821248440
2016/05/24,35611842511089
2016/05/25,35928234920007
2016/05/26,36276798338708
2016/05/27,36632100356880
2016/05/28,36988090030919
2016/05/29,37353343566019
2016/05/30,37676124821950
2016/05/31,37979515508602
2016/06/01,38303499456660
2016/06/02,38594880641805
2016/06/03,38955739335254
2016/06/04,39326639371499
2016/06/05,39686653606047
2016/06/06,40059744298240
2016/06/07,40451212517023
2016/06/08,40816812936287
2016/06/09,41231973150057
2016/06/10,41632720799186
2016/06/11,42039676576274
2016/06/12,42391448483075
2016/06/13,42801452692315
2016/06/14,43218965000115
2016/06/15,43630870681136
2016/06/16,44071596891921
2016/06/17,44420717834496
2016/06/18,44626295675634
2016/06/19,44939349170323
2016/06/20,45289890166188
2016/06/21,45621211941944
2016/06/22,45976935970572
2016/06/23,46388668795335
2016/06/24,46781203440041
2016/06/25,47164381738541
2016/06/26,47569390427575
