Date,size30roc
2016/01/01,7.981
2016/01/02,22.531
2016/01/03,18.843
2016/01/04,17.471
2016/01/05,59.199
2016/01/06,100.395
2016/01/07,100.991
2016/01/08,38.633
2016/01/09,47.461
2016/01/10,18.021
2016/01/11,15.474
2016/01/12,29.505
2016/01/13,-18.769
2016/01/14,-42.11
2016/01/15,-17.222
2016/01/16,-8.137
2016/01/17,-16.127
2016/01/18,4.704
2016/01/19,0.3
2016/01/20,-18.15
2016/01/21,-53.865
2016/01/22,-33.452
2016/01/23,-29.899
2016/01/24,-4.692
2016/01/25,24.316
2016/01/26,-22.025
2016/01/27,26.415
2016/01/28,18.712
2016/01/29,-16.395
2016/01/30,11.514
2016/01/31,28.351
2016/02/01,13.333
2016/02/02,12.799
2016/02/03,7.976
2016/02/04,-22.149
2016/02/05,-28.061
2016/02/06,8.252
2016/02/07,-4.982
2016/02/08,-14.538
2016/02/09,-1.089
2016/02/10,4.565
2016/02/11,16.986
2016/02/12,-17.756
2016/02/13,15.086
2016/02/14,13.291
2016/02/15,16.481
2016/02/16,27.224
2016/02/17,19.732
2016/02/18,0.248
2016/02/19,20.618
2016/02/20,10.889
2016/02/21,2.275
2016/02/22,20.373
2016/02/23,12.508
2016/02/24,-16.936
2016/02/25,-9.309
2016/02/26,-17.704
2016/02/27,-22.628
2016/02/28,-16.544
2016/02/29,-0.313
2016/03/01,1.861
2016/03/02,10.911
2016/03/03,15.889
2016/03/04,17.89
2016/03/05,20.958
2016/03/06,22.292
2016/03/07,-27.41
2016/03/08,21.067
2016/03/09,23.792
2016/03/10,18.327
2016/03/11,9.456
2016/03/12,8.203
2016/03/13,18.928
2016/03/14,22.848
2016/03/15,15.594
2016/03/16,16.827
2016/03/17,26.003
2016/03/18,10.899
2016/03/19,34.662
2016/03/20,25.001
2016/03/21,43.152
2016/03/22,44.132
2016/03/23,40.284
2016/03/24,66.664
2016/03/25,46.213
2016/03/26,38.044
2016/03/27,-2.181
2016/03/28,42.27
2016/03/29,27.336
2016/03/30,33.784
2016/03/31,21.52
2016/04/01,24.53
2016/04/02,-1.078
2016/04/03,-0.354
2016/04/04,14.273
2016/04/05,11.858
2016/04/06,9.776
2016/04/07,13.065
2016/04/08,20.431
2016/04/09,7.879
2016/04/10,5.774
2016/04/11,-8.865
2016/04/12,4.264
2016/04/13,-1.598
2016/04/14,6.67
2016/04/15,7.277
2016/04/16,-14.49
2016/04/17,36.656
2016/04/18,-9.577
2016/04/19,-8.9
2016/04/20,-9.251
2016/04/21,-0.679
2016/04/22,-15.608
2016/04/23,-31.769
2016/04/24,-11.61
2016/04/25,-9.044
2016/04/26,6.639
2016/04/27,-16.194
2016/04/28,1.329
2016/04/29,-9.492
2016/04/30,13.001
2016/05/01,12.588
2016/05/02,19.857
2016/05/03,16.196
2016/05/04,-0.27
2016/05/05,-2.735
2016/05/06,21.581
2016/05/07,-2.106
2016/05/08,-0.691
2016/05/09,10.76
2016/05/10,15.634
2016/05/11,23.512
2016/05/12,15.703
2016/05/13,13.328
2016/05/14,19.727
2016/05/15,9.026
2016/05/16,22.721
2016/05/17,-20.984
2016/05/18,25.011
2016/05/19,19.669
2016/05/20,23.391
2016/05/21,11.202
2016/05/22,15.739
2016/05/23,23.468
2016/05/24,6.65
2016/05/25,19.386
2016/05/26,28.917
2016/05/27,31.42
2016/05/28,73.015
2016/05/29,17.719
2016/05/30,-2.819
2016/05/31,-5.165
2016/06/01,5.535
2016/06/02,0.479
2016/06/03,-4.63
2016/06/04,-5.181
2016/06/05,-14.102
2016/06/06,3.695
2016/06/07,10.609
2016/06/08,-1.551
2016/06/09,-0.316
2016/06/10,-7.778
2016/06/11,-17.736
2016/06/12,-12.643
2016/06/13,-4.969
2016/06/14,11.281
2016/06/15,2.114
2016/06/16,5.867
2016/06/17,26.59
2016/06/18,29.668
2016/06/19,-3.164
2016/06/20,2.16
2016/06/21,9.01
2016/06/22,2.928
2016/06/23,-0.979
2016/06/24,-1.924
2016/06/25,-18.388
