Date,difficulty14sma
2016/01/01,8564814739564
2016/01/02,8524018515764
2016/01/03,8507765272450
2016/01/04,8495001987444
2016/01/05,8463977277367
2016/01/06,8456175553047
2016/01/07,8430575424246
2016/01/08,8413173476722
2016/01/09,8411542129523
2016/01/10,8393541335991
2016/01/11,8414705532083
2016/01/12,8435027512604
2016/01/13,8435466310749
2016/01/14,8449226417858
2016/01/15,8481279039773
2016/01/16,8556628403335
2016/01/17,8610601321988
2016/01/18,8690586303482
2016/01/19,8778641767477
2016/01/20,8849443447505
2016/01/21,8948614161307
2016/01/22,9062515230167
2016/01/23,9178637048007
2016/01/24,9306960665367
2016/01/25,9414241425314
2016/01/26,9537155502875
2016/01/27,9704043644714
2016/01/28,9826430687250
2016/01/29,9961215310157
2016/01/30,10080766686009
2016/01/31,10197046379305
2016/02/01,10301585435836
2016/02/02,10382693380957
2016/02/03,10485784213892
2016/02/04,10594018805586
2016/02/05,10685383792988
2016/02/06,10743119763094
2016/02/07,10808627113279
2016/02/08,10895037530290
2016/02/09,10940363273858
2016/02/10,11000307876346
2016/02/11,11110668005440
2016/02/12,11158516641532
2016/02/13,11245754439242
2016/02/14,11374392534695
2016/02/15,11514197423828
2016/02/16,11658632032005
2016/02/17,11791827128125
2016/02/18,11868136179285
2016/02/19,11973514794363
2016/02/20,12112611481201
2016/02/21,12248936872673
2016/02/22,12384054178983
2016/02/23,12565360198456
2016/02/24,12705655964952
2016/02/25,12818515469020
2016/02/26,12996828071648
2016/02/27,13173080118450
2016/02/28,13333106118046
2016/02/29,13480377222157
2016/03/01,13605892774010
2016/03/02,13767892051547
2016/03/03,14011937089714
2016/03/04,14261190590031
2016/03/05,14522542904109
2016/03/06,14835640766159
2016/03/07,15102266866027
2016/03/08,15367147220214
2016/03/09,15670240405039
2016/03/10,15986845677486
2016/03/11,16317747077440
2016/03/12,16681316984651
2016/03/13,17067912128266
2016/03/14,17434265314932
2016/03/15,17657040266944
2016/03/16,17856175056228
2016/03/17,18030462798380
2016/03/18,18184706001303
2016/03/19,18340320693916
2016/03/20,18488971765134
2016/03/21,18639274102487
2016/03/22,18787543459803
2016/03/23,18851773233299
2016/03/24,18979974278114
2016/03/25,19136372077231
2016/03/26,19262035023566
2016/03/27,19392565102463
2016/03/28,19514172744864
2016/03/29,19867132258169
2016/03/30,20227466149867
2016/03/31,20645366188387
2016/04/01,21034566497677
2016/04/02,21382275322803
2016/04/03,21730297567555
2016/04/04,22157251430946
2016/04/05,22595689226386
2016/04/06,23088628584126
2016/04/07,23434287199634
2016/04/08,23810594074882
2016/04/09,24198398176657
2016/04/10,24563172175358
2016/04/11,24937760351058
2016/04/12,25193595651758
2016/04/13,25509361078642
2016/04/14,25770496377539
2016/04/15,26096021415300
2016/04/16,26478972249778
2016/04/17,26759379615091
2016/04/18,27064950181943
2016/04/19,27373785074955
2016/04/20,27694418682981
2016/04/21,28139521482335
2016/04/22,28396694899813
2016/04/23,28684244539265
2016/04/24,28935687190675
2016/04/25,29257960246173
2016/04/26,29643528382416
2016/04/27,29917813236574
2016/04/28,30237723492957
2016/04/29,30548752168540
2016/04/30,30893614526352
2016/05/01,31340971100948
2016/05/02,31537902911701
2016/05/03,31833053664967
2016/05/04,32119501967074
2016/05/05,32333835851105
2016/05/06,32643852248611
2016/05/07,32873580103861
2016/05/08,33149250022976
2016/05/09,33389145602687
2016/05/10,33689833372122
2016/05/11,33958158638139
2016/05/12,34142766204247
2016/05/13,34439460079999
2016/05/14,34663535730323
2016/05/15,34851427007781
2016/05/16,35215408013781
2016/05/17,35379803040068
2016/05/18,35646565276651
2016/05/19,36049777746335
2016/05/20,36476006438822
2016/05/21,36945234230380
2016/05/22,37344918334474
2016/05/23,37734178884892
2016/05/24,38120011141475
2016/05/25,38561162129410
2016/05/26,39085574489689
2016/05/27,39437544808931
2016/05/28,39855946769777
2016/05/29,40320492652692
