Date,transactionvalue14smaUSD
2016/01/01,17.233
2016/01/02,17.591
2016/01/03,19.028
2016/01/04,18.902
2016/01/05,22.566
2016/01/06,23.237
2016/01/07,23.786
2016/01/08,24.608
2016/01/09,25.129
2016/01/10,25.966
2016/01/11,27.269
2016/01/12,33.391
2016/01/13,34.689
2016/01/14,34.652
2016/01/15,40.269
2016/01/16,43.067
2016/01/17,43.62
2016/01/18,60.301
2016/01/19,64.973
2016/01/20,69.826
2016/01/21,73.726
2016/01/22,79.654
2016/01/23,91.207
2016/01/24,113.117
2016/01/25,130.154
2016/01/26,138.643
2016/01/27,147.841
2016/01/28,155.077
2016/01/29,156.025
2016/01/30,163.436
2016/01/31,173.259
2016/02/01,162.154
2016/02/02,160.014
2016/02/03,161.63
2016/02/04,160.76
2016/02/05,160.379
2016/02/06,148.805
2016/02/07,137.924
2016/02/08,139.601
2016/02/09,148.642
2016/02/10,172.721
2016/02/11,192.496
2016/02/12,232.059
2016/02/13,243.728
2016/02/14,249.894
2016/02/15,259.862
2016/02/16,278.679
2016/02/17,282.182
2016/02/18,297.16
2016/02/19,298.963
2016/02/20,320.248
2016/02/21,316.98
2016/02/22,311.023
2016/02/23,319.875
2016/02/24,329.171
2016/02/25,320.824
2016/02/26,353.266
2016/02/27,380.309
2016/02/28,379.783
2016/02/29,379.134
2016/03/01,382.247
2016/03/02,458.29
2016/03/03,494.955
2016/03/04,527.481
2016/03/05,588.901
2016/03/06,626.361
2016/03/07,657.011
2016/03/08,684.045
2016/03/09,674.112
2016/03/10,681.615
2016/03/11,632.418
2016/03/12,632.033
2016/03/13,685.347
2016/03/14,724.331
2016/03/15,735.659
2016/03/16,686.761
2016/03/17,674.067
2016/03/18,686.899
2016/03/19,620.053
2016/03/20,586.289
2016/03/21,560.893
2016/03/22,517.094
2016/03/23,497.783
2016/03/24,490.092
2016/03/25,469.463
2016/03/26,426.018
2016/03/27,383.756
2016/03/28,347.61
2016/03/29,338.899
2016/03/30,332.025
2016/03/31,312.294
2016/04/01,267.838
2016/04/02,261.128
2016/04/03,254.672
2016/04/04,243.307
2016/04/05,239.497
2016/04/06,238.118
2016/04/07,233.937
2016/04/08,233.731
2016/04/09,254.787
2016/04/10,247.469
2016/04/11,241.059
2016/04/12,227.271
2016/04/13,213.523
2016/04/14,206.383
2016/04/15,206.923
2016/04/16,204.849
2016/04/17,212.339
2016/04/18,214.537
2016/04/19,209.156
2016/04/20,207.831
2016/04/21,198.689
2016/04/22,200.875
2016/04/23,190.98
2016/04/24,174.864
2016/04/25,173.608
2016/04/26,174.585
2016/04/27,169.561
2016/04/28,165.34
2016/04/29,163.955
2016/04/30,190.45
2016/05/01,204.653
2016/05/02,223.754
2016/05/03,241.317
2016/05/04,248.754
2016/05/05,260.532
2016/05/06,281.242
2016/05/07,291.275
2016/05/08,308.407
2016/05/09,332.656
2016/05/10,347.862
2016/05/11,387.074
2016/05/12,427.566
2016/05/13,547.423
2016/05/14,606.655
2016/05/15,604.046
2016/05/16,602.495
2016/05/17,604.334
2016/05/18,620.992
2016/05/19,660.972
2016/05/20,677.956
2016/05/21,671.97
2016/05/22,665.744
2016/05/23,658.998
2016/05/24,663.288
2016/05/25,644.281
2016/05/26,614.041
2016/05/27,528.611
2016/05/28,460.025
2016/05/29,453.75
2016/05/30,444.832
2016/05/31,439.143
2016/06/01,420.995
2016/06/02,373.973
2016/06/03,338.005
2016/06/04,327.71
2016/06/05,322.136
2016/06/06,305.62
2016/06/07,289.211
2016/06/08,311.473
2016/06/09,301.113
2016/06/10,280.389
2016/06/11,268.919
2016/06/12,277.13
2016/06/13,286.468
2016/06/14,301.126
2016/06/15,310.399
2016/06/16,345.455
2016/06/17,408.346
2016/06/18,471.335
2016/06/19,490.485
2016/06/20,524.74
2016/06/21,535.257
2016/06/22,523.259
2016/06/23,550.729
2016/06/24,552.865
2016/06/25,573.47
2016/06/26,561.265
2016/06/27,547.25
2016/06/28,544.622
2016/06/29,538.893
2016/06/30,503.47
2016/07/01,443.841
2016/07/02,378.994
2016/07/03,359.024
2016/07/04,336.723
2016/07/05,372.935
2016/07/06,351.079
2016/07/07,329.194
2016/07/08,316.769
2016/07/09,293.541
2016/07/10,291.752
2016/07/11,291.219
2016/07/12,273.325
2016/07/13,270.92
2016/07/14,276.008
2016/07/15,338.126
2016/07/16,345.272
2016/07/17,352.458
2016/07/18,387.35
2016/07/19,496.479
2016/07/20,714.812
2016/07/21,732.016
2016/07/22,780.266
2016/07/23,828.987
2016/07/24,1026
2016/07/25,1181
2016/07/26,1472
2016/07/27,1665
2016/07/28,1791
2016/07/29,1813
2016/07/30,1876
2016/07/31,1923
2016/08/01,1961
2016/08/02,1935
2016/08/03,1816
2016/08/04,1842
2016/08/05,1857
2016/08/06,1831
2016/08/07,1658
2016/08/08,1527
2016/08/09,1275
2016/08/10,1154
2016/08/11,1079
2016/08/12,1020
2016/08/13,979.893
2016/08/14,947.825
2016/08/15,876.957
2016/08/16,741.276
2016/08/17,650.905
2016/08/18,609.928
2016/08/19,552.443
2016/08/20,548.777
2016/08/21,576.833
2016/08/22,578.508
2016/08/23,595.562
2016/08/24,521.842
2016/08/25,468.273
2016/08/26,458.091
2016/08/27,433.709
2016/08/28,416.599
2016/08/29,410.101
2016/08/30,409.422
2016/08/31,397.873
2016/09/01,414.871
2016/09/02,423.828
2016/09/03,417.858
2016/09/04,377.439
2016/09/05,352.964
2016/09/06,296.077
2016/09/07,294.187
2016/09/08,301.547
2016/09/09,278.741
2016/09/10,275.642
2016/09/11,276.831
2016/09/12,273.647
2016/09/13,278.405
2016/09/14,271.019
2016/09/15,244.815
2016/09/16,251.932
2016/09/17,243.562
2016/09/18,255.589
2016/09/19,260.619
2016/09/20,310.974
2016/09/21,385.491
2016/09/22,396.921
2016/09/23,441.515
2016/09/24,457.195
2016/09/25,500.252
2016/09/26,513.659
2016/09/27,516.953
2016/09/28,560.224
2016/09/29,599.174
2016/09/30,588.727
2016/10/01,587.9
2016/10/02,583.312
2016/10/03,574.473
2016/10/04,519.672
2016/10/05,453.697
2016/10/06,443.372
2016/10/07,407.563
2016/10/08,403.311
2016/10/09,394.995
2016/10/10,412.81
2016/10/11,438.01
2016/10/12,456.778
2016/10/13,434.726
2016/10/14,464.215
2016/10/15,478.852
2016/10/16,484.687
2016/10/17,513.455
2016/10/18,550.684
2016/10/19,551.279
2016/10/20,542.441
2016/10/21,532.274
2016/10/22,519.271
2016/10/23,478.458
2016/10/24,440.484
2016/10/25,411.836
2016/10/26,354.832
2016/10/27,344.89
