Date,activeaddresses7roc
2016/01/01,7.878
2016/01/02,3.183
2016/01/03,9.177
2016/01/04,3.384
2016/01/05,5.692
2016/01/06,15.971
2016/01/07,9.786
2016/01/08,12.831
2016/01/09,9.169
2016/01/10,13.057
2016/01/11,16.612
2016/01/12,19.437
2016/01/13,6.26
2016/01/14,-2.364
2016/01/15,13.409
2016/01/16,1.648
2016/01/17,-7.162
2016/01/18,1.357
2016/01/19,-6.409
2016/01/20,15.758
2016/01/21,5.095
2016/01/22,-1.296
2016/01/23,24.17
2016/01/24,40.87
2016/01/25,30.625
2016/01/26,48.129
2016/01/27,18.384
2016/01/28,46.268
2016/01/29,36.167
2016/01/30,22.948
2016/01/31,15.217
2016/02/01,2.633
2016/02/02,-5.019
2016/02/03,5.875
2016/02/04,-7.678
2016/02/05,7.833
2016/02/06,-8.262
2016/02/07,-6.678
2016/02/08,6.576
2016/02/09,13.993
2016/02/10,35.595
2016/02/11,80.256
2016/02/12,34.813
2016/02/13,50.505
2016/02/14,29.662
2016/02/15,23.534
2016/02/16,16.667
2016/02/17,-2.121
2016/02/18,-25.131
2016/02/19,-10.59
2016/02/20,-11.638
2016/02/21,12.097
2016/02/22,7.374
2016/02/23,7.999
2016/02/24,4.372
2016/02/25,17.079
2016/02/26,5.636
2016/02/27,13.447
2016/02/28,6.196
2016/02/29,13.492
2016/03/01,23.055
2016/03/02,36.346
2016/03/03,33.348
2016/03/04,44.012
2016/03/05,64.612
2016/03/06,48.596
2016/03/07,15.064
2016/03/08,22.649
2016/03/09,8.16
2016/03/10,11.218
2016/03/11,5.27
2016/03/12,0.925
2016/03/13,3.166
2016/03/14,31.108
2016/03/15,11.17
2016/03/16,12.787
2016/03/17,5.749
2016/03/18,23.846
2016/03/19,0.675
2016/03/20,3.813
2016/03/21,-1.522
2016/03/22,-0.519
2016/03/23,7.556
2016/03/24,-0.1
2016/03/25,-6.707
2016/03/26,0.073
2016/03/27,6.428
2016/03/28,8.457
2016/03/29,21.259
2016/03/30,20.467
2016/03/31,12.003
2016/04/01,6.711
2016/04/02,8.45
2016/04/03,3.546
2016/04/04,7.591
2016/04/05,0.215
2016/04/06,-10.83
2016/04/07,8.448
2016/04/08,0.422
2016/04/09,10.65
2016/04/10,10.827
2016/04/11,0.495
2016/04/12,0.471
2016/04/13,11.262
2016/04/14,0.095
2016/04/15,7.273
2016/04/16,-0.825
2016/04/17,0.822
2016/04/18,5.956
2016/04/19,1.461
2016/04/20,-0.206
2016/04/21,2.214
2016/04/22,4.528
2016/04/23,3.675
2016/04/24,2.558
2016/04/25,1.779
2016/04/26,3.641
2016/04/27,1.551
2016/04/28,-0.202
2016/04/29,16.368
2016/04/30,53.064
2016/05/01,16.515
2016/05/02,35.797
2016/05/03,16.519
2016/05/04,13.031
2016/05/05,18.025
2016/05/06,1.907
2016/05/07,-24.12
2016/05/08,5.656
2016/05/09,-6.149
2016/05/10,3.839
2016/05/11,18.55
2016/05/12,17.631
2016/05/13,29.526
2016/05/14,20.955
2016/05/15,4.878
2016/05/16,-4.826
2016/05/17,8.943
2016/05/18,10.583
2016/05/19,4.907
2016/05/20,-8.903
2016/05/21,-3.51
2016/05/22,-7.062
2016/05/23,19.62
2016/05/24,3.012
2016/05/25,-6.542
2016/05/26,24.004
2016/05/27,18.183
2016/05/28,67.772
2016/05/29,20.757
2016/05/30,-6.172
2016/05/31,3.581
2016/06/01,-3.968
2016/06/02,-25.505
2016/06/03,-18.752
2016/06/04,-42.553
2016/06/05,-12.554
2016/06/06,-1.745
2016/06/07,-6.192
2016/06/08,1.187
2016/06/09,-0.529
2016/06/10,3.429
2016/06/11,-10.096
2016/06/12,10.729
2016/06/13,21.232
2016/06/14,22.498
2016/06/15,7.468
2016/06/16,5.22
2016/06/17,47.283
2016/06/18,64.042
2016/06/19,17.27
