Date,transactions30std
2016/01/01,10105
2016/01/02,10007
2016/01/03,9898
2016/01/04,9772
2016/01/05,9871
2016/01/06,9879
2016/01/07,10268
2016/01/08,10071
2016/01/09,9878
2016/01/10,9763
2016/01/11,9631
2016/01/12,9435
2016/01/13,9533
2016/01/14,9130
2016/01/15,9149
2016/01/16,9104
2016/01/17,9066
2016/01/18,8960
2016/01/19,8876
2016/01/20,8918
2016/01/21,8474
2016/01/22,7659
2016/01/23,7672
2016/01/24,7591
2016/01/25,7724
2016/01/26,7104
2016/01/27,7430
2016/01/28,7536
2016/01/29,6930
2016/01/30,6891
2016/01/31,6667
2016/02/01,6501
2016/02/02,6324
2016/02/03,6143
2016/02/04,6066
2016/02/05,5963
2016/02/06,8243
2016/02/07,8169
2016/02/08,8131
2016/02/09,8022
2016/02/10,7984
2016/02/11,8242
2016/02/12,8264
2016/02/13,8263
2016/02/14,8041
2016/02/15,7871
2016/02/16,7592
2016/02/17,7653
2016/02/18,7594
2016/02/19,7341
2016/02/20,7026
2016/02/21,6949
2016/02/22,6629
2016/02/23,6459
2016/02/24,6514
2016/02/25,6555
2016/02/26,6672
2016/02/27,6689
2016/02/28,6697
2016/02/29,6674
2016/03/01,6680
2016/03/02,6803
2016/03/03,7010
2016/03/04,7083
2016/03/05,7428
2016/03/06,7812
2016/03/07,6674
2016/03/08,6554
2016/03/09,6458
2016/03/10,6406
2016/03/11,6336
2016/03/12,6828
2016/03/13,7198
2016/03/14,7602
2016/03/15,7840
2016/03/16,7865
2016/03/17,8604
2016/03/18,9096
2016/03/19,9662
2016/03/20,9903
2016/03/21,9891
2016/03/22,9851
2016/03/23,9722
2016/03/24,10094
2016/03/25,10395
2016/03/26,10545
2016/03/27,10283
2016/03/28,9913
2016/03/29,9461
2016/03/30,9307
2016/03/31,8899
2016/04/01,8667
2016/04/02,8445
2016/04/03,8149
2016/04/04,8198
2016/04/05,8647
2016/04/06,8142
2016/04/07,7673
2016/04/08,7239
2016/04/09,6729
2016/04/10,5814
2016/04/11,5616
2016/04/12,5403
2016/04/13,5274
2016/04/14,5109
2016/04/15,4682
2016/04/16,4808
2016/04/17,5346
2016/04/18,5331
2016/04/19,5326
2016/04/20,5316
2016/04/21,5452
2016/04/22,5457
2016/04/23,5375
2016/04/24,5253
2016/04/25,5175
2016/04/26,5019
2016/04/27,5020
2016/04/28,5025
2016/04/29,5076
2016/04/30,6654
2016/05/01,6929
2016/05/02,7172
2016/05/03,6992
2016/05/04,7049
2016/05/05,7014
2016/05/06,7264
2016/05/07,7149
2016/05/08,7308
2016/05/09,7238
2016/05/10,7298
2016/05/11,7139
2016/05/12,7715
2016/05/13,8629
2016/05/14,9088
2016/05/15,9232
2016/05/16,8812
2016/05/17,8816
2016/05/18,9076
2016/05/19,9039
2016/05/20,9017
2016/05/21,9103
2016/05/22,8621
2016/05/23,8200
2016/05/24,7920
2016/05/25,7959
2016/05/26,8159
2016/05/27,8072
2016/05/28,12530
2016/05/29,12369
2016/05/30,12342
2016/05/31,12263
2016/06/01,12255
2016/06/02,12156
2016/06/03,12026
2016/06/04,12076
2016/06/05,12226
2016/06/06,12014
2016/06/07,11968
2016/06/08,11875
2016/06/09,11909
2016/06/10,11935
2016/06/11,12187
2016/06/12,12096
2016/06/13,12108
2016/06/14,12354
2016/06/15,12133
2016/06/16,12061
2016/06/17,14519
2016/06/18,15947
2016/06/19,16078
2016/06/20,16072
2016/06/21,15884
2016/06/22,15893
2016/06/23,15924
2016/06/24,15925
2016/06/25,16147
2016/06/26,16153
2016/06/27,13360
2016/06/28,13352
2016/06/29,13500
2016/06/30,15216
2016/07/01,15288
2016/07/02,15308
2016/07/03,15311
2016/07/04,15201
