Date,activeaddresses30rsi
2016/01/01,54.45
2016/01/02,55.037
2016/01/03,55.665
2016/01/04,56.56
2016/01/05,56.463
2016/01/06,58.102
2016/01/07,60.107
2016/01/08,57.8
2016/01/09,57.107
2016/01/10,59.041
2016/01/11,61.086
2016/01/12,61.857
2016/01/13,58.116
2016/01/14,56.803
2016/01/15,60.473
2016/01/16,54.77
2016/01/17,53.359
2016/01/18,58.076
2016/01/19,55.656
2016/01/20,60.079
2016/01/21,55.101
2016/01/22,56.288
2016/01/23,59.374
2016/01/24,61.978
2016/01/25,63.996
2016/01/26,65.935
2016/01/27,61.823
2016/01/28,64.31
2016/01/29,62.789
2016/01/30,62.888
2016/01/31,63.631
2016/02/01,61.32
2016/02/02,60.848
2016/02/03,61.709
2016/02/04,59.285
2016/02/05,63.217
2016/02/06,56.204
2016/02/07,57.424
2016/02/08,59.983
2016/02/09,61.675
2016/02/10,67.344
2016/02/11,73.31
2016/02/12,64.44
2016/02/13,62.404
2016/02/14,58.468
2016/02/15,59.395
2016/02/16,59.405
2016/02/17,60.04
2016/02/18,58.808
2016/02/19,59.116
2016/02/20,56.905
2016/02/21,60.372
2016/02/22,60.199
2016/02/23,60.37
2016/02/24,59.977
2016/02/25,62.355
2016/02/26,58.397
2016/02/27,58.723
2016/02/28,60.603
2016/02/29,62.417
2016/03/01,64.936
2016/03/02,67.577
2016/03/03,69.242
2016/03/04,68.361
2016/03/05,72.321
2016/03/06,69.848
2016/03/07,60.093
2016/03/08,64.055
2016/03/09,62.597
2016/03/10,64.914
2016/03/11,61.772
2016/03/12,64.463
2016/03/13,63.726
2016/03/14,64.966
2016/03/15,64.263
2016/03/16,63.377
2016/03/17,64.057
2016/03/18,66.612
2016/03/19,61.355
2016/03/20,61.785
2016/03/21,61.472
2016/03/22,61.283
2016/03/23,63.138
2016/03/24,60.618
2016/03/25,61.255
2016/03/26,59.595
2016/03/27,62.041
2016/03/28,62.435
2016/03/29,65.851
2016/03/30,67.502
2016/03/31,60.764
2016/04/01,59.466
2016/04/02,58.659
2016/04/03,59.626
2016/04/04,61.254
2016/04/05,62.44
2016/04/06,59.252
2016/04/07,61.597
2016/04/08,56.786
2016/04/09,59.236
2016/04/10,60.231
2016/04/11,58.076
2016/04/12,59.232
2016/04/13,60.482
2016/04/14,58.885
2016/04/15,57.259
2016/04/16,57.279
2016/04/17,58.936
2016/04/18,59.019
2016/04/19,58.662
2016/04/20,59.484
2016/04/21,58.981
2016/04/22,58.253
2016/04/23,57.836
2016/04/24,59.348
2016/04/25,59.038
2016/04/26,59.507
2016/04/27,59.592
2016/04/28,57.916
2016/04/29,63.797
2016/04/30,72.928
2016/05/01,59.109
2016/05/02,63.418
2016/05/03,57.396
2016/05/04,56.379
2016/05/05,56.839
2016/05/06,56.594
2016/05/07,55.541
2016/05/08,58.341
2016/05/09,59.21
2016/05/10,57.499
2016/05/11,60.601
2016/05/12,60.866
2016/05/13,63.575
2016/05/14,59.031
2016/05/15,57.13
2016/05/16,54.646
2016/05/17,57.356
2016/05/18,60.761
2016/05/19,58.901
2016/05/20,56.888
2016/05/21,55.454
2016/05/22,52.683
2016/05/23,57.72
2016/05/24,55.767
2016/05/25,56.357
2016/05/26,62.822
2016/05/27,58.808
2016/05/28,66.527
2016/05/29,53.416
2016/05/30,52.061
2016/05/31,52.852
2016/06/01,51.766
2016/06/02,51.473
2016/06/03,51.222
2016/06/04,50.525
2016/06/05,50.659
2016/06/06,51.638
2016/06/07,51.582
2016/06/08,52.048
2016/06/09,51.297
2016/06/10,51.885
2016/06/11,48.155
2016/06/12,52.566
2016/06/13,55.588
2016/06/14,55.764
2016/06/15,52.889
2016/06/16,51.652
2016/06/17,59.492
2016/06/18,57.411
2016/06/19,54.247
2016/06/20,52.933
2016/06/21,52.995
2016/06/22,54.825
2016/06/23,51.249
2016/06/24,51.339
2016/06/25,49.511
2016/06/26,52.279
2016/06/27,50.248
2016/06/28,52.01
2016/06/29,51.042
2016/06/30,50.703
2016/07/01,50.259
2016/07/02,50.593
2016/07/03,50.264
2016/07/04,51.255
2016/07/05,51.119
2016/07/06,50.542
2016/07/07,50.656
2016/07/08,51.25
2016/07/09,50.363
2016/07/10,50.388
2016/07/11,50.173
2016/07/12,50.993
2016/07/13,47.876
2016/07/14,51.374
2016/07/15,50.762
2016/07/16,49.806
2016/07/17,46.518
2016/07/18,48.992
2016/07/19,55.291
2016/07/20,55.781
2016/07/21,53.349
2016/07/22,55.573
2016/07/23,53.016
2016/07/24,58.556
2016/07/25,55.735
2016/07/26,60.903
2016/07/27,57.87
2016/07/28,54.521
2016/07/29,52.023
2016/07/30,50.193
2016/07/31,51.363
2016/08/01,51.499
2016/08/02,50.81
2016/08/03,51.745
2016/08/04,51.546
2016/08/05,49.971
2016/08/06,49.051
2016/08/07,49.477
2016/08/08,49.924
2016/08/09,52.193
2016/08/10,50.378
2016/08/11,52.469
2016/08/12,49.333
2016/08/13,48.666
2016/08/14,48.994
2016/08/15,49.716
2016/08/16,51.977
2016/08/17,49.617
2016/08/18,49.362
2016/08/19,49.724
2016/08/20,49.605
2016/08/21,49.796
2016/08/22,49.208
2016/08/23,51.55
2016/08/24,49.596
2016/08/25,51.597
2016/08/26,49.962
2016/08/27,50.241
2016/08/28,49.938
2016/08/29,51.15
2016/08/30,50.075
2016/08/31,52.102
2016/09/01,52.502
2016/09/02,51.906
2016/09/03,49.853
2016/09/04,49.675
2016/09/05,49.721
2016/09/06,50.414
2016/09/07,48.642
2016/09/08,52.998
2016/09/09,49.843
2016/09/10,49.312
2016/09/11,50.246
2016/09/12,50.766
2016/09/13,50.076
2016/09/14,50.107
2016/09/15,50.825
2016/09/16,51.763
2016/09/17,51.112
2016/09/18,48.21
2016/09/19,49.511
2016/09/20,57.749
2016/09/21,50.734
2016/09/22,46.418
2016/09/23,47.553
2016/09/24,47.852
2016/09/25,47.37
2016/09/26,47.142
2016/09/27,47.057
2016/09/28,48.238
2016/09/29,48.211
2016/09/30,47.666
2016/10/01,49.047
2016/10/02,50.644
2016/10/03,48.338
2016/10/04,43.544
2016/10/05,44.728
2016/10/06,44.663
2016/10/07,49.791
2016/10/08,48.354
2016/10/09,51.1
2016/10/10,52.003
2016/10/11,47.942
2016/10/12,40.914
2016/10/13,38.59
2016/10/14,47.364
2016/10/15,44.09
2016/10/16,46.647
2016/10/17,48.762
2016/10/18,52.301
2016/10/19,46.476
2016/10/20,51.865
2016/10/21,54.924
2016/10/22,49.868
2016/10/23,49.275
2016/10/24,50.204
2016/10/25,50.055
2016/10/26,50.169
2016/10/27,50.058
2016/10/28,50.112
2016/10/29,48.928
2016/10/30,47.541
2016/10/31,51.728
2016/11/01,50.88
2016/11/02,51.093
2016/11/03,50.081
2016/11/04,45.756
2016/11/05,48.72
2016/11/06,47.238
2016/11/07,49.768
2016/11/08,49.06
2016/11/09,49.466
2016/11/10,48.037
2016/11/11,49.624
2016/11/12,48.755
