Date,mining_profitability30roc
2016/01/01,4.199
2016/01/02,10.776
2016/01/03,12.451
2016/01/04,12.174
2016/01/05,7.479
2016/01/06,9.048
2016/01/07,14.738
2016/01/08,10.829
2016/01/09,19.808
2016/01/10,22.533
2016/01/11,-0.099
2016/01/12,15.723
2016/01/13,15.604
2016/01/14,12.978
2016/01/15,17.979
2016/01/16,22.255
2016/01/17,28.286
2016/01/18,44.221
2016/01/19,34.05
2016/01/20,46.52
2016/01/21,54.441
2016/01/22,49.689
2016/01/23,71.076
2016/01/24,106.414
2016/01/25,118.347
2016/01/26,147.252
2016/01/27,122.457
2016/01/28,141.509
2016/01/29,117.407
2016/01/30,108.698
2016/01/31,99.518
2016/02/01,72.721
2016/02/02,79.191
2016/02/03,93.172
2016/02/04,95.908
2016/02/05,96.758
2016/02/06,93.119
2016/02/07,106.131
2016/02/08,115.306
2016/02/09,140.758
2016/02/10,213.931
2016/02/11,210.865
2016/02/12,284.059
2016/02/13,216.139
2016/02/14,183.663
2016/02/15,214.775
2016/02/16,181.959
2016/02/17,113.638
2016/02/18,129.903
2016/02/19,128.274
2016/02/20,117.669
2016/02/21,122.528
2016/02/22,121.078
2016/02/23,95.646
2016/02/24,91.861
2016/02/25,89.831
2016/02/26,91.582
2016/02/27,79.22
2016/02/28,89.856
2016/02/29,85.147
2016/03/01,109.306
2016/03/02,161.923
2016/03/03,182.726
2016/03/04,156.43
2016/03/05,196.393
2016/03/06,183.538
2016/03/07,159.496
2016/03/08,125.262
2016/03/09,119.854
2016/03/10,108.138
2016/03/11,59.138
2016/03/12,59.982
2016/03/13,39.172
2016/03/14,62.737
2016/03/15,84.117
2016/03/16,74.568
2016/03/17,66.509
2016/03/18,72.442
2016/03/19,69.613
2016/03/20,47.594
2016/03/21,63.571
2016/03/22,72.601
2016/03/23,63.78
2016/03/24,38.369
2016/03/25,20.303
2016/03/26,8.574
2016/03/27,13.557
2016/03/28,19.821
2016/03/29,16.903
2016/03/30,19.473
2016/03/31,5.059
2016/04/01,-8.745
2016/04/02,-18.306
2016/04/03,-18.162
2016/04/04,-34.395
2016/04/05,-35.241
2016/04/06,-31.873
2016/04/07,-23.697
2016/04/08,-36.538
2016/04/09,-45.005
2016/04/10,-46.908
2016/04/11,-52.439
2016/04/12,-57.69
2016/04/13,-57.569
2016/04/14,-57.903
2016/04/15,-60.52
2016/04/16,-55.304
2016/04/17,-41.135
2016/04/18,-45.7
2016/04/19,-42.875
2016/04/20,-50.066
2016/04/21,-53.78
2016/04/22,-57.4
2016/04/23,-54.887
2016/04/24,-48.357
2016/04/25,-51.1
2016/04/26,-52.228
2016/04/27,-52.556
2016/04/28,-54.922
2016/04/29,-55.786
2016/04/30,-50.295
2016/05/01,-48.136
2016/05/02,-39.131
2016/05/03,-40.351
2016/05/04,-37.378
2016/05/05,-32.465
2016/05/06,-31.24
2016/05/07,-35.269
2016/05/08,-28.703
2016/05/09,-24.446
2016/05/10,-17.939
2016/05/11,-11.783
2016/05/12,-3.275
2016/05/13,-0.01
2016/05/14,-9.546
2016/05/15,-7.081
2016/05/16,-2.025
2016/05/17,-2.094
2016/05/18,12.069
2016/05/19,17.979
2016/05/20,26.584
2016/05/21,22.88
2016/05/22,31.378
2016/05/23,35.063
2016/05/24,19.047
2016/05/25,22.894
2016/05/26,28.251
2016/05/27,11.414
2016/05/28,15.118
2016/05/29,21.854
2016/05/30,17.632
2016/05/31,20.881
2016/06/01,12.214
2016/06/02,15.246
2016/06/03,9.114
2016/06/04,8.241
2016/06/05,8.495
2016/06/06,12.658
2016/06/07,13.701
2016/06/08,17.396
2016/06/09,15.312
2016/06/10,8.877
2016/06/11,1.535
2016/06/12,9.14
2016/06/13,23.433
2016/06/14,34.723
2016/06/15,32.102
2016/06/16,22.913
2016/06/17,3.848
2016/06/18,-21.133
2016/06/19,-31.132
2016/06/20,-31.587
2016/06/21,-31.685
2016/06/22,-19.918
2016/06/23,-22.808
2016/06/24,-12.908
2016/06/25,-10.339
2016/06/26,-4.516
2016/06/27,-5.359
2016/06/28,-15.192
2016/06/29,-22.776
2016/06/30,-25.735
2016/07/01,-33.611
2016/07/02,-34.343
2016/07/03,-32.147
2016/07/04,-33.625
2016/07/05,-41.522
2016/07/06,-39.411
2016/07/07,-42.759
2016/07/08,-42.92
2016/07/09,-35.193
2016/07/10,-38.147
2016/07/11,-39.704
2016/07/12,-43.219
2016/07/13,-48.426
2016/07/14,-49.5
2016/07/15,-45.15
2016/07/16,-48.878
2016/07/17,-46.667
2016/07/18,-31.985
2016/07/19,-24.437
2016/07/20,-10.491
2016/07/21,-13.476
2016/07/22,-18.749
2016/07/23,-2.509
2016/07/24,-16.271
2016/07/25,-13.393
2016/07/26,-13.353
2016/07/27,-1.931
2016/07/28,-2.457
2016/07/29,4.003
2016/07/30,2.417
2016/07/31,1.689
2016/08/01,0.633
2016/08/02,-2.198
2016/08/03,-1.711
2016/08/04,17.28
2016/08/05,10.862
2016/08/06,16.139
2016/08/07,13.12
2016/08/08,3.376
2016/08/09,10.662
2016/08/10,16.352
2016/08/11,12.08
2016/08/12,12.737
2016/08/13,5.954
2016/08/14,-5.345
2016/08/15,-6.258
2016/08/16,-4.132
2016/08/17,-5.538
2016/08/18,-4.687
2016/08/19,-15.976
2016/08/20,-15.821
2016/08/21,-22.548
2016/08/22,-26.867
2016/08/23,-23.497
2016/08/24,-26.686
2016/08/25,-25.72
2016/08/26,-34.346
2016/08/27,-28.99
2016/08/28,-30.22
2016/08/29,-30.525
2016/08/30,-26.966
2016/08/31,-22.895
2016/09/01,-14.269
2016/09/02,-12.986
2016/09/03,-17.157
2016/09/04,-13.619
2016/09/05,-14.52
2016/09/06,-16.583
2016/09/07,-15.499
2016/09/08,-18.671
2016/09/09,-18.346
2016/09/10,-15.144
2016/09/11,-15.167
2016/09/12,-15.557
2016/09/13,-12.54
2016/09/14,-12.592
2016/09/15,-9.576
2016/09/16,-5.95
2016/09/17,-5.906
2016/09/18,2.299
2016/09/19,15.285
2016/09/20,3.738
2016/09/21,1.177
2016/09/22,7.269
2016/09/23,6.559
2016/09/24,2.574
2016/09/25,4.697
2016/09/26,2.553
2016/09/27,9.131
2016/09/28,0.577
2016/09/29,-4.194
2016/09/30,-4.1
2016/10/01,-3.894
2016/10/02,-2.446
2016/10/03,-7.962
2016/10/04,-14.118
2016/10/05,-9.672
2016/10/06,-11.855
2016/10/07,0.347
2016/10/08,-7.006
2016/10/09,-16.766
2016/10/10,-19.844
2016/10/11,-21.289
2016/10/12,-16.976
2016/10/13,-16.04
2016/10/14,-22.177
2016/10/15,-24.995
2016/10/16,-26.572
2016/10/17,-23.858
2016/10/18,-25.014
2016/10/19,-35.71
2016/10/20,-29.403
2016/10/21,-33.228
2016/10/22,-35.954
2016/10/23,-35.04
2016/10/24,-31.552
2016/10/25,-35.163
2016/10/26,-34.352
2016/10/27,-37.985
2016/10/28,-31.88
2016/10/29,-20.057
2016/10/30,-12.09
2016/10/31,-17.994
2016/11/01,-13.383
2016/11/02,4.784
2016/11/03,15.848
2016/11/04,22.353
2016/11/05,38.56
2016/11/06,24.76
2016/11/07,18.733
2016/11/08,13.927
2016/11/09,14.93
2016/11/10,28.258
2016/11/11,24.666
2016/11/12,18.384
2016/11/13,21.474
2016/11/14,19.042
2016/11/15,16.68
2016/11/16,17.187
2016/11/17,12.851
2016/11/18,11.938
2016/11/19,3.761
2016/11/20,3.778
2016/11/21,-2.224
2016/11/22,4.08
2016/11/23,9.341
2016/11/24,24.483
2016/11/25,27.141
2016/11/26,22.42
2016/11/27,22.098
2016/11/28,1.457
2016/11/29,-15.606
2016/11/30,-11.16
2016/12/01,-17.824
2016/12/02,-33.724
2016/12/03,-40.101
2016/12/04,-47.127
2016/12/05,-52.831
2016/12/06,-54.906
2016/12/07,-43.195
2016/12/08,-29.469
2016/12/09,-31.957
2016/12/10,-39.442
2016/12/11,-42.515
2016/12/12,-38.377
2016/12/13,-34.674
2016/12/14,-30.516
2016/12/15,-33.232
2016/12/16,-37.84
2016/12/17,-39.7
2016/12/18,-38.705
2016/12/19,-34.963
2016/12/20,-31.137
2016/12/21,-24.164
2016/12/22,-29.444
2016/12/23,-30.334
2016/12/24,-31.202
2016/12/25,-34.538
2016/12/26,-34.459
2016/12/27,-34.346
2016/12/28,-28.82
2016/12/29,-11.979
2016/12/30,-13.839
2016/12/31,-17.536
2017/01/01,-7.368
2017/01/02,-4.144
2017/01/03,7.988
2017/01/04,21.755
2017/01/05,21.49
2017/01/06,3.616
2017/01/07,-7.801
2017/01/08,0.392
2017/01/09,4.757
2017/01/10,6.934
2017/01/11,-1.509
2017/01/12,-6.559
2017/01/13,-7.211
2017/01/14,-2.61
2017/01/15,1.007
2017/01/16,2.342
2017/01/17,7.896
2017/01/18,14.967
2017/01/19,13.53
2017/01/20,14.429
2017/01/21,15.062
2017/01/22,11.211
2017/01/23,2.371
2017/01/24,5.804
2017/01/25,8.972
2017/01/26,6.005
2017/01/27,2.77
2017/01/28,-8.88
2017/01/29,-9.49
2017/01/30,-4.509
2017/01/31,-9.229
2017/02/01,-6.166
2017/02/02,-14.511
2017/02/03,-20.08
2017/02/04,-14.458
2017/02/05,-12.982
2017/02/06,-10.004
2017/02/07,-10.03
2017/02/08,-12.133
2017/02/09,-12.986
2017/02/10,-12.568
2017/02/11,-4.725
2017/02/12,-5.462
2017/02/13,-5.999
2017/02/14,0.585
2017/02/15,7.301
2017/02/16,2.096
2017/02/17,-4.153
2017/02/18,-1.158
2017/02/19,-5.293
2017/02/20,-6.033
2017/02/21,-9.255
2017/02/22,-6.312
2017/02/23,-5.236
2017/02/24,-2.208
2017/02/25,-0.689
2017/02/26,0.299
2017/02/27,3.667
2017/02/28,7.778
2017/03/01,10.585
2017/03/02,26.463
2017/03/03,29.408
2017/03/04,30.92
2017/03/05,20.445
2017/03/06,17.753
2017/03/07,21.703
2017/03/08,11.832
2017/03/09,4.702
2017/03/10,11.842
2017/03/11,23.262
2017/03/12,41.681
2017/03/13,66.381
2017/03/14,76.311
2017/03/15,85.845
2017/03/16,129.667
2017/03/17,140.106
2017/03/18,101.178
2017/03/19,116.687
2017/03/20,131.155
2017/03/21,131.655
2017/03/22,120.45
2017/03/23,119.516
2017/03/24,142.454
2017/03/25,162.094
2017/03/26,145.484
2017/03/27,134.439
2017/03/28,134.15
2017/03/29,130.734
2017/03/30,119.699
2017/03/31,101.046
2017/04/01,77.856
2017/04/02,67.362
2017/04/03,65.522
2017/04/04,57.44
2017/04/05,59.483
2017/04/06,54.568
2017/04/07,64.11
2017/04/08,77.521
2017/04/09,64.675
2017/04/10,50.249
2017/04/11,34.223
2017/04/12,12.677
2017/04/13,21.051
2017/04/14,7.873
2017/04/15,-18.69
2017/04/16,-25.016
2017/04/17,-11.096
2017/04/18,-15.352
2017/04/19,-19.566
2017/04/20,-19.673
2017/04/21,-16.712
2017/04/22,-16.231
2017/04/23,-25.058
2017/04/24,-28.939
2017/04/25,-26.269
2017/04/26,-22.761
2017/04/27,-15.426
2017/04/28,-9.954
2017/04/29,-7.93
2017/04/30,4.147
2017/05/01,11.842
2017/05/02,11.181
2017/05/03,12.784
2017/05/04,40.03
2017/05/05,41.303
2017/05/06,46.056
2017/05/07,52.203
2017/05/08,42.025
2017/05/09,32.371
2017/05/10,40.993
2017/05/11,40.534
2017/05/12,37.02
2017/05/13,18.964
2017/05/14,23.183
2017/05/15,23.026
2017/05/16,19.022
2017/05/17,20.99
2017/05/18,27.511
2017/05/19,47.951
2017/05/20,64.462
2017/05/21,73.447
2017/05/22,113.939
2017/05/23,123.541
2017/05/24,140.61
2017/05/25,152.696
2017/05/26,130.821
2017/05/27,70.94
2017/05/28,77.162
2017/05/29,76.769
2017/05/30,85.804
2017/05/31,87.981
2017/06/01,74.788
2017/06/02,71.225
2017/06/03,52.131
2017/06/04,52.209
2017/06/05,58.318
2017/06/06,59.945
2017/06/07,64.773
2017/06/08,74.891
2017/06/09,74.685
2017/06/10,91.719
2017/06/11,115.143
2017/06/12,142.219
2017/06/13,155.279
2017/06/14,142.362
2017/06/15,112.035
2017/06/16,124.115
2017/06/17,110.805
2017/06/18,82.55
2017/06/19,62.606
2017/06/20,46.794
2017/06/21,10.719
2017/06/22,3.307
2017/06/23,-8.033
2017/06/24,-13.83
2017/06/25,-14.798
2017/06/26,-8.269
2017/06/27,-25.935
2017/06/28,-14.351
2017/06/29,-20.724
2017/06/30,-31.589
2017/07/01,-32.158
2017/07/02,-31.26
2017/07/03,-28.043
2017/07/04,-32.64
2017/07/05,-37.068
2017/07/06,-38.649
2017/07/07,-40.395
2017/07/08,-42.54
2017/07/09,-45.252
2017/07/10,-58.041
2017/07/11,-67.456
