Date,median_transaction_fee14rocUSD
2016/01/01,-14.258
2016/01/02,5.921
2016/01/03,-11.299
2016/01/04,-10.56
2016/01/05,42.663
2016/01/06,-9.572
2016/01/07,170.423
2016/01/08,13.345
2016/01/09,25.663
2016/01/10,-66.295
2016/01/11,2.625
2016/01/12,14.764
2016/01/13,12.14
2016/01/14,19.425
2016/01/15,29.318
2016/01/16,28.495
2016/01/17,25.989
2016/01/18,75.297
2016/01/19,-43.327
2016/01/20,-47.09
2016/01/21,-45.966
2016/01/22,83.97
2016/01/23,36.633
2016/01/24,97.726
2016/01/25,142.03
2016/01/26,143.7
2016/01/27,-8.84
2016/01/28,159.003
2016/01/29,107.276
2016/01/30,103.11
2016/01/31,93.209
2016/02/01,30.398
2016/02/02,35.813
2016/02/03,65.702
2016/02/04,66.113
2016/02/05,38.533
2016/02/06,309.392
2016/02/07,25.785
2016/02/08,21.679
2016/02/09,21.885
2016/02/10,51.386
2016/02/11,67.196
2016/02/12,129.687
2016/02/13,97.93
2016/02/14,105.136
2016/02/15,146.063
2016/02/16,117.481
2016/02/17,82.106
2016/02/18,59.127
2016/02/19,78.126
2016/02/20,-37.734
2016/02/21,64.388
2016/02/22,65.607
2016/02/23,74.613
2016/02/24,33.223
2016/02/25,27.108
2016/02/26,1.347
2016/02/27,24.688
2016/02/28,31.618
2016/02/29,17.401
2016/03/01,38.695
2016/03/02,80.529
2016/03/03,129.196
2016/03/04,105.833
2016/03/05,150.884
2016/03/06,150.773
2016/03/07,100.879
2016/03/08,57.393
2016/03/09,81.811
2016/03/10,-25.842
2016/03/11,-25.862
2016/03/12,-17.027
2016/03/13,-11.088
2016/03/14,-16.156
2016/03/15,-24.677
2016/03/16,-33.686
2016/03/17,-49.804
2016/03/18,-55.897
2016/03/19,-61.908
2016/03/20,-63.168
2016/03/21,-57.498
2016/03/22,-51.649
2016/03/23,-55.154
2016/03/24,-2.064
2016/03/25,-2.841
2016/03/26,-11.841
2016/03/27,-25.426
2016/03/28,-16.846
2016/03/29,-9.054
2016/03/30,-10.837
2016/03/31,1.308
2016/04/01,13.722
2016/04/02,7.992
2016/04/03,12.333
2016/04/04,2.714
2016/04/05,-3.036
2016/04/06,-10.635
2016/04/07,-8.873
2016/04/08,-8.405
2016/04/09,-15.558
2016/04/10,-19.298
2016/04/11,-24.217
2016/04/12,-31.887
2016/04/13,-33.734
2016/04/14,-28.746
2016/04/15,-28.32
2016/04/16,-27.736
2016/04/17,-19.542
2016/04/18,-19.63
2016/04/19,-19.693
2016/04/20,-18.916
2016/04/21,-18.5
2016/04/22,-19.073
2016/04/23,-16.71
2016/04/24,-5.15
2016/04/25,-8.1
2016/04/26,-7.073
2016/04/27,-2.795
2016/04/28,-11.407
2016/04/29,-10.368
2016/04/30,-0.241
2016/05/01,-5.789
2016/05/02,5.666
2016/05/03,6.562
2016/05/04,11.139
2016/05/05,12.886
2016/05/06,21.107
2016/05/07,16.464
2016/05/08,13.539
2016/05/09,20.992
2016/05/10,27.502
2016/05/11,27.408
2016/05/12,36.487
2016/05/13,41.682
2016/05/14,23.41
2016/05/15,16.343
2016/05/16,9.577
2016/05/17,21.722
2016/05/18,36.005
2016/05/19,45.757
2016/05/20,48.1
2016/05/21,46.118
2016/05/22,51.309
2016/05/23,49.085
2016/05/24,39.412
2016/05/25,28.071
2016/05/26,22.778
2016/05/27,7.018
2016/05/28,30.046
2016/05/29,18.982
2016/05/30,18.6
2016/05/31,13.168
2016/06/01,6.982
2016/06/02,-0.745
2016/06/03,-4.872
2016/06/04,0.066
2016/06/05,-2.311
2016/06/06,-1.551
2016/06/07,11.916
2016/06/08,16.665
2016/06/09,15.587
2016/06/10,24.254
2016/06/11,4.123
2016/06/12,21.706
2016/06/13,33.322
2016/06/14,36.913
2016/06/15,31.961
2016/06/16,40.847
2016/06/17,47.024
2016/06/18,11.241
2016/06/19,-11.291
2016/06/20,-15.034
2016/06/21,-10.376
2016/06/22,-1.948
2016/06/23,-9.537
2016/06/24,-1.428
2016/06/25,2.646
2016/06/26,-5.167
2016/06/27,-16.468
2016/06/28,-27.933
2016/06/29,-30.284
2016/06/30,-11.743
2016/07/01,-39.513
2016/07/02,-20.91
2016/07/03,-2.601
2016/07/04,-1.892
2016/07/05,-19.817
2016/07/06,-25.49
2016/07/07,-22.762
2016/07/08,-24.708
2016/07/09,-22.735
2016/07/10,-22.01
2016/07/11,-23.853
2016/07/12,-19.677
2016/07/13,-18.336
2016/07/14,-35.652
2016/07/15,-1.966
2016/07/16,-1.992
2016/07/17,-4.984
2016/07/18,-1.835
2016/07/19,7.726
2016/07/20,23.484
2016/07/21,23.388
2016/07/22,29.14
2016/07/23,31.718
2016/07/24,23.646
2016/07/25,26.183
2016/07/26,22.056
2016/07/27,24.914
2016/07/28,23.068
2016/07/29,6.653
2016/07/30,7.609
2016/07/31,7.874
2016/08/01,2.208
2016/08/02,-9.519
2016/08/03,-22.724
