Date,median_transaction_fee7trxUSD
2016/01/01,-0.495
2016/01/02,-1.397
2016/01/03,-2.177
2016/01/04,-2.789
2016/01/05,-1.216
2016/01/06,1.009
2016/01/07,3.149
2016/01/08,2.89
2016/01/09,1.988
2016/01/10,0.782
2016/01/11,-0.393
2016/01/12,-1.266
2016/01/13,0.043
2016/01/14,0.135
2016/01/15,-0.211
2016/01/16,-0.685
2016/01/17,-1.141
2016/01/18,-1.049
2016/01/19,-0.77
2016/01/20,-0.622
2016/01/21,-0.483
2016/01/22,-0.061
2016/01/23,0.336
2016/01/24,1.056
2016/01/25,2.178
2016/01/26,3.515
2016/01/27,4.596
2016/01/28,5.304
2016/01/29,5.265
2016/01/30,4.809
2016/01/31,4.093
2016/02/01,3.219
2016/02/02,2.401
2016/02/03,1.84
2016/02/04,1.518
2016/02/05,1.309
2016/02/06,4.276
2016/02/07,4.853
2016/02/08,4.567
2016/02/09,4.165
2016/02/10,4.208
2016/02/11,4.621
2016/02/12,5.478
2016/02/13,5.709
2016/02/14,5.489
2016/02/15,5.286
2016/02/16,4.754
2016/02/17,3.936
2016/02/18,2.947
2016/02/19,2.197
2016/02/20,1.608
2016/02/21,1.15
2016/02/22,1.054
2016/02/23,1.441
2016/02/24,1.828
2016/02/25,2.269
2016/02/26,2.51
2016/02/27,2.656
2016/02/28,2.756
2016/02/29,2.758
2016/03/01,2.767
2016/03/02,3.084
2016/03/03,3.752
2016/03/04,4.336
2016/03/05,5.162
2016/03/06,5.759
2016/03/07,5.812
2016/03/08,5.362
2016/03/09,4.918
2016/03/10,3.264
2016/03/11,1.391
2016/03/12,-0.145
2016/03/13,-1.219
2016/03/14,-2.009
2016/03/15,-2.612
2016/03/16,-2.984
2016/03/17,-3.308
2016/03/18,-3.659
2016/03/19,-3.908
2016/03/20,-4.077
2016/03/21,-4.073
2016/03/22,-3.876
2016/03/23,-3.538
2016/03/24,-3.181
2016/03/25,-2.89
2016/03/26,-2.563
2016/03/27,-2.312
2016/03/28,-2.039
2016/03/29,-1.719
2016/03/30,-1.367
2016/03/31,-1.039
2016/04/01,-0.773
2016/04/02,-0.583
2016/04/03,-0.441
2016/04/04,-0.365
2016/04/05,-0.326
2016/04/06,-0.393
2016/04/07,-0.517
2016/04/08,-0.709
2016/04/09,-0.928
2016/04/10,-1.251
2016/04/11,-1.577
2016/04/12,-1.927
2016/04/13,-2.225
2016/04/14,-2.351
2016/04/15,-2.361
2016/04/16,-2.294
2016/04/17,-2.016
2016/04/18,-1.682
2016/04/19,-1.349
2016/04/20,-1.123
2016/04/21,-0.981
2016/04/22,-0.963
2016/04/23,-0.987
2016/04/24,-0.982
2016/04/25,-1.017
2016/04/26,-1.137
2016/04/27,-1.21
2016/04/28,-1.267
2016/04/29,-1.285
2016/04/30,-1.115
2016/05/01,-0.785
2016/05/02,-0.257
2016/05/03,0.288
2016/05/04,0.73
2016/05/05,1.043
2016/05/06,1.256
2016/05/07,1.303
2016/05/08,1.245
2016/05/09,1.16
2016/05/10,1.04
2016/05/11,0.971
2016/05/12,0.996
2016/05/13,1.114
2016/05/14,1.166
2016/05/15,1.152
2016/05/16,1.154
2016/05/17,1.346
2016/05/18,1.761
2016/05/19,2.311
2016/05/20,2.83
2016/05/21,3.071
2016/05/22,3.16
2016/05/23,3.112
2016/05/24,2.812
2016/05/25,2.339
2016/05/26,1.846
2016/05/27,1.252
2016/05/28,0.947
2016/05/29,0.639
2016/05/30,0.418
2016/05/31,0.364
2016/06/01,0.459
2016/06/02,0.586
2016/06/03,0.673
2016/06/04,0.716
2016/06/05,0.735
2016/06/06,0.741
2016/06/07,0.816
2016/06/08,0.882
2016/06/09,0.907
2016/06/10,0.858
2016/06/11,0.744
2016/06/12,0.71
2016/06/13,0.923
2016/06/14,1.363
2016/06/15,1.812
2016/06/16,2.275
2016/06/17,2.677
2016/06/18,2.413
2016/06/19,1.591
2016/06/20,0.626
2016/06/21,-0.126
2016/06/22,-0.562
2016/06/23,-0.914
2016/06/24,-1.08
2016/06/25,-1.093
2016/06/26,-1.049
2016/06/27,-0.976
2016/06/28,-0.969
2016/06/29,-1.013
2016/06/30,-0.58
2016/07/01,-0.546
2016/07/02,-0.697
2016/07/03,-0.91
2016/07/04,-1.142
2016/07/05,-1.456
2016/07/06,-1.73
2016/07/07,-1.989
2016/07/08,-2.136
2016/07/09,-2.124
2016/07/10,-2.024
2016/07/11,-1.909
2016/07/12,-1.783
2016/07/13,-1.656
2016/07/14,-1.44
2016/07/15,-1.082
2016/07/16,-0.716
2016/07/17,-0.458
2016/07/18,-0.271
2016/07/19,-0.148
2016/07/20,0.179
2016/07/21,0.446
2016/07/22,0.785
2016/07/23,1.214
2016/07/24,1.448
2016/07/25,1.523
2016/07/26,1.43
2016/07/27,1.287
2016/07/28,1.2
