Date,transactions7ema
2016/01/01,12833
2016/01/02,11915
2016/01/03,11251
2016/01/04,10807
2016/01/05,12213
2016/01/06,13428
2016/01/07,15590
2016/01/08,14422
2016/01/09,13765
2016/01/10,12904
2016/01/11,12401
2016/01/12,12016
2016/01/13,13428
2016/01/14,12735
2016/01/15,12020
2016/01/16,11681
2016/01/17,11197
2016/01/18,11627
2016/01/19,12075
2016/01/20,11709
2016/01/21,11465
2016/01/22,12061
2016/01/23,11802
2016/01/24,12051
2016/01/25,13318
2016/01/26,14117
2016/01/27,15274
2016/01/28,15647
2016/01/29,15834
2016/01/30,15541
2016/01/31,15197
2016/02/01,14948
2016/02/02,14783
2016/02/03,14656
2016/02/04,14585
2016/02/05,14751
2016/02/06,18918
2016/02/07,17754
2016/02/08,16995
2016/02/09,16626
2016/02/10,16755
2016/02/11,17926
2016/02/12,17972
2016/02/13,18311
2016/02/14,17889
2016/02/15,17706
2016/02/16,17667
2016/02/17,18248
2016/02/18,17928
2016/02/19,18049
2016/02/20,17715
2016/02/21,17566
2016/02/22,17722
2016/02/23,17912
2016/02/24,18319
2016/02/25,18615
2016/02/26,19228
2016/02/27,19166
2016/02/28,19141
2016/02/29,19445
2016/03/01,20028
2016/03/02,20912
2016/03/03,21893
2016/03/04,22491
2016/03/05,23647
2016/03/06,24651
2016/03/07,24306
2016/03/08,24256
2016/03/09,24331
2016/03/10,24452
2016/03/11,24120
2016/03/12,25062
2016/03/13,25828
2016/03/14,26503
2016/03/15,27195
2016/03/16,27296
2016/03/17,28854
2016/03/18,29596
2016/03/19,30892
2016/03/20,31281
2016/03/21,31588
2016/03/22,31914
2016/03/23,31882
2016/03/24,33148
2016/03/25,34052
2016/03/26,34700
2016/03/27,33519
2016/03/28,33542
2016/03/29,33635
2016/03/30,34418
2016/03/31,33878
2016/04/01,33739
2016/04/02,32644
2016/04/03,31880
2016/04/04,32637
2016/04/05,34271
2016/04/06,33722
2016/04/07,33265
2016/04/08,33451
2016/04/09,33069
2016/04/10,32861
2016/04/11,32228
2016/04/12,32839
2016/04/13,33642
2016/04/14,33927
2016/04/15,34185
2016/04/16,33259
2016/04/17,34995
2016/04/18,34625
2016/04/19,34124
2016/04/20,33829
2016/04/21,34667
2016/04/22,33920
2016/04/23,33401
2016/04/24,33562
2016/04/25,34029
2016/04/26,33667
2016/04/27,33712
2016/04/28,33870
2016/04/29,34735
2016/04/30,37494
2016/05/01,38015
2016/05/02,38948
2016/05/03,38666
2016/05/04,38371
2016/05/05,38455
2016/05/06,39159
2016/05/07,38335
2016/05/08,38767
2016/05/09,38715
2016/05/10,39208
2016/05/11,39608
2016/05/12,40957
2016/05/13,42652
2016/05/14,43426
2016/05/15,43337
2016/05/16,41859
2016/05/17,41472
2016/05/18,42612
2016/05/19,43090
2016/05/20,43612
2016/05/21,43614
2016/05/22,42434
2016/05/23,42777
2016/05/24,42811
2016/05/25,43719
2016/05/26,45576
2016/05/27,46433
2016/05/28,52362
2016/05/29,50744
2016/05/30,48790
2016/05/31,47689
2016/06/01,46322
2016/06/02,44658
2016/06/03,43452
2016/06/04,42058
2016/06/05,41017
2016/06/06,40502
2016/06/07,41912
2016/06/08,41542
2016/06/09,41120
2016/06/10,40876
2016/06/11,39883
2016/06/12,40557
2016/06/13,41964
2016/06/14,44057
2016/06/15,43855
2016/06/16,43740
2016/06/17,49444
2016/06/18,52854
2016/06/19,52399
2016/06/20,51079
2016/06/21,50140
2016/06/22,49759
2016/06/23,47796
2016/06/24,47180
2016/06/25,44556
2016/06/26,43820
2016/06/27,42781
2016/06/28,42858
2016/06/29,44618
2016/06/30,49451
2016/07/01,47110
2016/07/02,45147
2016/07/03,43799
2016/07/04,42837
2016/07/05,41945
2016/07/06,40934
2016/07/07,40809
2016/07/08,41233
2016/07/09,41027
2016/07/10,40610
2016/07/11,40103
2016/07/12,40280
2016/07/13,39145
2016/07/14,40061
2016/07/15,40323
2016/07/16,39758
2016/07/17,38297
2016/07/18,38522
2016/07/19,39938
2016/07/20,42611
2016/07/21,43179
2016/07/22,44499
2016/07/23,44625
2016/07/24,48023
2016/07/25,49731
2016/07/26,52781
2016/07/27,52844
2016/07/28,51772
2016/07/29,50640
2016/07/30,48483
2016/07/31,48549
2016/08/01,47906
2016/08/02,48190
2016/08/03,48511
2016/08/04,48074
2016/08/05,46858
2016/08/06,45515
2016/08/07,44875
2016/08/08,44403
2016/08/09,45066
2016/08/10,45372
2016/08/11,46072
2016/08/12,45654
2016/08/13,44512
2016/08/14,43529
2016/08/15,43222
2016/08/16,44654
2016/08/17,44707
2016/08/18,45480
2016/08/19,44847
2016/08/20,43965
2016/08/21,43609
2016/08/22,43769
2016/08/23,44935
2016/08/24,45406
2016/08/25,46522
2016/08/26,46714
2016/08/27,47020
2016/08/28,45917
2016/08/29,45815
2016/08/30,46106
2016/08/31,46041
2016/09/01,46404
2016/09/02,48656
2016/09/03,47690
2016/09/04,47799
2016/09/05,46516
2016/09/06,47163
2016/09/07,47547
2016/09/08,49653
2016/09/09,50719
2016/09/10,48758
2016/09/11,47405
2016/09/12,46834
2016/09/13,45774
2016/09/14,47795
2016/09/15,49002
2016/09/16,51134
2016/09/17,50071
2016/09/18,47027
2016/09/19,45396
2016/09/20,47564
2016/09/21,46810
2016/09/22,48272
2016/09/23,45009
2016/09/24,44611
2016/09/25,43137
2016/09/26,43231
2016/09/27,44127
2016/09/28,43795
2016/09/29,42950
2016/09/30,41172
2016/10/01,44148
2016/10/02,45887
2016/10/03,46333
