Date,sentinusd30trxUSD
2016/01/01,-0.998
2016/01/02,-0.999
2016/01/03,-0.991
2016/01/04,-0.99
2016/01/05,-0.935
2016/01/06,-0.887
2016/01/07,-0.84
2016/01/08,-0.803
2016/01/09,-0.775
2016/01/10,-0.758
2016/01/11,-0.724
2016/01/12,-0.627
2016/01/13,-0.529
2016/01/14,-0.441
2016/01/15,-0.3
2016/01/16,-0.153
2016/01/17,-0.021
2016/01/18,0.306
2016/01/19,0.672
2016/01/20,0.997
2016/01/21,1.272
2016/01/22,1.549
2016/01/23,1.861
2016/01/24,2.342
2016/01/25,2.991
2016/01/26,3.654
2016/01/27,4.24
2016/01/28,4.698
2016/01/29,5.029
2016/01/30,5.27
2016/01/31,5.436
2016/02/01,5.469
2016/02/02,5.408
2016/02/03,5.285
2016/02/04,5.089
2016/02/05,4.873
2016/02/06,4.612
2016/02/07,4.394
2016/02/08,4.287
2016/02/09,4.288
2016/02/10,4.459
2016/02/11,4.748
2016/02/12,5.208
2016/02/13,5.578
2016/02/14,5.805
2016/02/15,5.902
2016/02/16,5.957
2016/02/17,5.896
2016/02/18,5.787
2016/02/19,5.594
2016/02/20,5.407
2016/02/21,5.166
2016/02/22,4.929
2016/02/23,4.776
2016/02/24,4.735
2016/02/25,4.668
2016/02/26,4.848
2016/02/27,5.035
2016/02/28,5.098
2016/02/29,5.06
2016/03/01,5.002
2016/03/02,5.157
2016/03/03,5.337
2016/03/04,5.461
2016/03/05,5.712
2016/03/06,5.892
2016/03/07,5.984
2016/03/08,6.047
2016/03/09,6.011
2016/03/10,5.887
2016/03/11,5.707
2016/03/12,5.553
2016/03/13,5.468
2016/03/14,5.387
2016/03/15,5.274
2016/03/16,5.129
2016/03/17,4.989
2016/03/18,4.871
2016/03/19,4.694
2016/03/20,4.467
2016/03/21,4.227
2016/03/22,3.973
2016/03/23,3.711
2016/03/24,3.462
2016/03/25,3.21
2016/03/26,2.95
2016/03/27,2.72
2016/03/28,2.504
2016/03/29,2.319
2016/03/30,2.166
2016/03/31,2.02
2016/04/01,1.862
2016/04/02,1.698
2016/04/03,1.525
2016/04/04,1.356
2016/04/05,1.197
2016/04/06,1.046
2016/04/07,0.907
2016/04/08,0.771
2016/04/09,0.661
2016/04/10,0.564
2016/04/11,0.467
2016/04/12,0.379
2016/04/13,0.3
2016/04/14,0.226
2016/04/15,0.15
2016/04/16,0.069
2016/04/17,-0.004
2016/04/18,-0.075
2016/04/19,-0.15
2016/04/20,-0.221
