Date,sentbyaddress3mom
2016/01/01,-21
2016/01/02,150
2016/01/03,-94
2016/01/04,93
2016/01/05,12
2016/01/06,59
2016/01/07,99
2016/01/08,15
2016/01/09,7
2016/01/10,114
2016/01/11,227
2016/01/12,314
2016/01/13,-70
2016/01/14,-146
2016/01/15,-30
2016/01/16,-227
2016/01/17,-294
2016/01/18,-303
2016/01/19,2
2016/01/20,603
2016/01/21,-120
2016/01/22,52
2016/01/23,-158
2016/01/24,567
2016/01/25,627
2016/01/26,472
2016/01/27,-32
2016/01/28,-136
2016/01/29,-329
2016/01/30,-88
2016/01/31,10
2016/02/01,42
2016/02/02,19
2016/02/03,-73
2016/02/04,-72
2016/02/05,35
2016/02/06,-78
2016/02/07,151
2016/02/08,272
2016/02/09,530
2016/02/10,1123
2016/02/11,1072
2016/02/12,825
2016/02/13,-194
2016/02/14,-737
2016/02/15,-539
2016/02/16,-322
2016/02/17,45
2016/02/18,-39
2016/02/19,-96
2016/02/20,-172
2016/02/21,740
2016/02/22,381
2016/02/23,461
2016/02/24,-580
2016/02/25,249
2016/02/26,6
2016/02/27,182
2016/02/28,124
2016/02/29,1022
2016/03/01,1254
2016/03/02,1087
2016/03/03,803
2016/03/04,524
2016/03/05,1264
2016/03/06,543
2016/03/07,-356
2016/03/08,-386
2016/03/09,-424
2016/03/10,969
2016/03/11,-188
2016/03/12,177
2016/03/13,-426
2016/03/14,-140
2016/03/15,-250
2016/03/16,-483
2016/03/17,-30
2016/03/18,495
2016/03/19,-110
2016/03/20,-443
2016/03/21,-269
2016/03/22,58
2016/03/23,20
2016/03/24,-645
2016/03/25,-223
2016/03/26,-497
2016/03/27,233
2016/03/28,497
2016/03/29,1931
2016/03/30,1441
2016/03/31,84
2016/04/01,-1418
2016/04/02,-1765
2016/04/03,-541
2016/04/04,327
2016/04/05,623
2016/04/06,624
2016/04/07,-126
2016/04/08,-327
2016/04/09,5
2016/04/10,588
2016/04/11,129
2016/04/12,99
2016/04/13,16
2016/04/14,247
2016/04/15,-440
2016/04/16,-898
2016/04/17,66
2016/04/18,434
2016/04/19,391
2016/04/20,-68
2016/04/21,-62
2016/04/22,179
2016/04/23,-118
2016/04/24,79
2016/04/25,212
2016/04/26,495
2016/04/27,302
2016/04/28,-169
2016/04/29,2171
2016/04/30,2752
2016/05/01,1876
2016/05/02,468
2016/05/03,-772
2016/05/04,-130
2016/05/05,-1086
2016/05/06,-372
2016/05/07,-222
2016/05/08,154
2016/05/09,467
2016/05/10,902
2016/05/11,1606
2016/05/12,1447
2016/05/13,2890
2016/05/14,483
2016/05/15,-966
2016/05/16,-2767
2016/05/17,-892
2016/05/18,1004
2016/05/19,1502
2016/05/20,299
2016/05/21,-1170
2016/05/22,-2255
2016/05/23,446
2016/05/24,868
2016/05/25,1462
2016/05/26,6476
2016/05/27,1567
2016/05/28,7551
2016/05/29,-6796
2016/05/30,-1621
2016/05/31,-6917
2016/06/01,-461
2016/06/02,-810
2016/06/03,-1231
2016/06/04,-1129
2016/06/05,-608
2016/06/06,-143
2016/06/07,806
2016/06/08,778
2016/06/09,-129
2016/06/10,-220
2016/06/11,-1060
2016/06/12,516
2016/06/13,2120
2016/06/14,3166
2016/06/15,677
2016/06/16,-365
2016/06/17,4009
2016/06/18,3869
2016/06/19,305
2016/06/20,-5024
2016/06/21,-3011
2016/06/22,638
2016/06/23,-543
2016/06/24,-1481
2016/06/25,-2993
2016/06/26,-1164
2016/06/27,-565
2016/06/28,1183
2016/06/29,1057
2016/06/30,48
2016/07/01,-942
2016/07/02,-526
2016/07/03,253
2016/07/04,650
2016/07/05,673
2016/07/06,376
2016/07/07,-163
2016/07/08,-361
2016/07/09,-328
2016/07/10,-697
2016/07/11,-305
2016/07/12,-15
2016/07/13,182
2016/07/14,359
2016/07/15,238
2016/07/16,-697
2016/07/17,-1806
2016/07/18,-729
2016/07/19,10629
2016/07/20,4344
2016/07/21,2375
2016/07/22,-6883
2016/07/23,-1060
2016/07/24,4787
2016/07/25,1103
2016/07/26,7865
2016/07/27,-716
2016/07/28,702
2016/07/29,-7122
2016/07/30,-4941
2016/07/31,-2539
2016/08/01,-5
2016/08/02,3898
2016/08/03,687
2016/08/04,-237
2016/08/05,-3895
2016/08/06,-2043
2016/08/07,-1494
2016/08/08,681
2016/08/09,1839
2016/08/10,697
2016/08/11,1346
2016/08/12,-1744
2016/08/13,-1365
2016/08/14,-2274
2016/08/15,67
2016/08/16,1721
2016/08/17,123
2016/08/18,-71
2016/08/19,-1008
2016/08/20,284
2016/08/21,67
2016/08/22,-524
2016/08/23,965
2016/08/24,268
2016/08/25,1881
2016/08/26,-727
2016/08/27,573
2016/08/28,-1068
2016/08/29,588
2016/08/30,-254
2016/08/31,1051
2016/09/01,1208
2016/09/02,974
2016/09/03,-937
2016/09/04,-2139
