Date,mediantransactionvalue90varUSD
2016/04/02,21.143
2016/04/03,21.161
2016/04/04,20.944
2016/04/05,20.617
2016/04/06,20.276
2016/04/07,20.039
2016/04/08,19.738
2016/04/09,19.433
2016/04/10,19.058
2016/04/11,18.701
2016/04/12,18.092
2016/04/13,17.66
2016/04/14,17.289
2016/04/15,16.888
2016/04/16,16.478
2016/04/17,16.04
2016/04/18,15.49
2016/04/19,15.15
2016/04/20,14.762
2016/04/21,14.287
2016/04/22,13.919
2016/04/23,13.587
2016/04/24,13.187
2016/04/25,12.837
2016/04/26,12.198
2016/04/27,11.801
2016/04/28,11.42
2016/04/29,11.065
2016/04/30,10.687
2016/05/01,10.252
2016/05/02,9.807
2016/05/03,9.411
2016/05/04,8.997
2016/05/05,8.557
2016/05/06,7.633
2016/05/07,7.222
2016/05/08,6.875
2016/05/09,6.577
2016/05/10,6.443
2016/05/11,6.264
2016/05/12,6.227
2016/05/13,6.078
2016/05/14,5.918
2016/05/15,5.788
2016/05/16,5.6
2016/05/17,5.323
2016/05/18,5.138
2016/05/19,5.043
2016/05/20,4.981
2016/05/21,4.842
2016/05/22,4.783
2016/05/23,4.791
2016/05/24,4.701
2016/05/25,4.603
2016/05/26,4.584
2016/05/27,4.442
2016/05/28,5.326
2016/05/29,5.341
2016/05/30,5.301
2016/05/31,5.349
2016/06/01,5.468
2016/06/02,5.578
2016/06/03,5.566
2016/06/04,5.56
2016/06/05,5.659
2016/06/06,5.769
2016/06/07,5.899
2016/06/08,5.933
2016/06/09,6.077
2016/06/10,5.982
2016/06/11,5.852
2016/06/12,5.636
2016/06/13,5.92
2016/06/14,6.191
2016/06/15,6.796
2016/06/16,7.643
2016/06/17,7.99
2016/06/18,8.079
2016/06/19,8.086
2016/06/20,8.133
2016/06/21,8.124
2016/06/22,8.253
2016/06/23,8.311
2016/06/24,8.455
2016/06/25,8.585
2016/06/26,8.664
2016/06/27,8.758
2016/06/28,8.798
2016/06/29,9.28
2016/06/30,10.229
2016/07/01,10.239
2016/07/02,10.242
2016/07/03,10.251
2016/07/04,10.262
2016/07/05,10.261
2016/07/06,10.261
2016/07/07,10.26
2016/07/08,10.315
2016/07/09,10.286
2016/07/10,10.249
2016/07/11,10.174
2016/07/12,10.091
2016/07/13,10.04
2016/07/14,10.156
2016/07/15,10.122
2016/07/16,10.172
2016/07/17,10.154
2016/07/18,10.134
2016/07/19,10.1
2016/07/20,10.753
2016/07/21,10.693
2016/07/22,10.705
2016/07/23,10.723
2016/07/24,10.71
2016/07/25,10.648
2016/07/26,10.583
2016/07/27,10.476
2016/07/28,10.369
2016/07/29,10.28
2016/07/30,10.22
2016/07/31,10.208
2016/08/01,10.188
2016/08/02,10.168
2016/08/03,10.722
2016/08/04,10.701
2016/08/05,10.669
2016/08/06,10.634
2016/08/07,10.603
2016/08/08,10.568
2016/08/09,10.545
2016/08/10,10.534
2016/08/11,10.566
2016/08/12,10.755
2016/08/13,10.892
2016/08/14,10.889
2016/08/15,10.912
2016/08/16,11.335
2016/08/17,11.569
2016/08/18,11.78
2016/08/19,11.871
2016/08/20,11.824
2016/08/21,11.761
2016/08/22,11.838
2016/08/23,12.076
2016/08/24,12.266
2016/08/25,12.725
2016/08/26,12.161
2016/08/27,12.407
2016/08/28,12.363
2016/08/29,12.749
2016/08/30,12.943
2016/08/31,12.848
2016/09/01,12.753
2016/09/02,13.379
2016/09/03,13.247
2016/09/04,13.291
2016/09/05,13.218
2016/09/06,13.328
2016/09/07,13.703
2016/09/08,14.09
2016/09/09,14.408
2016/09/10,14.38
2016/09/11,13.867
2016/09/12,13.255
2016/09/13,12.413
2016/09/14,11.628
2016/09/15,11.928
2016/09/16,12.325
2016/09/17,12.376
2016/09/18,12.389
2016/09/19,12.465
2016/09/20,12.409
2016/09/21,12.49
2016/09/22,12.966
2016/09/23,12.877
2016/09/24,13.064
2016/09/25,12.99
2016/09/26,12.971
2016/09/27,12.888
2016/09/28,12.418
2016/09/29,12.512
2016/09/30,12.615
2016/10/01,12.689
2016/10/02,12.809
2016/10/03,12.981
2016/10/04,13.86
2016/10/05,13.859
2016/10/06,13.918
2016/10/07,14.035
2016/10/08,14.115
2016/10/09,14.21
2016/10/10,14.289
2016/10/11,14.36
2016/10/12,14.302
2016/10/13,14.897
2016/10/14,14.951
2016/10/15,15.01
2016/10/16,15.054
2016/10/17,15.072
2016/10/18,14.653
2016/10/19,14.749
2016/10/20,14.638
2016/10/21,14.784
2016/10/22,14.659
2016/10/23,14.544
2016/10/24,14.605
2016/10/25,14.457
2016/10/26,14.366
2016/10/27,14.39
2016/10/28,14.378
2016/10/29,14.291
2016/10/30,14.242
2016/10/31,14.277
2016/11/01,14.124
2016/11/02,14.118
2016/11/03,14.116
2016/11/04,14.131
2016/11/05,14.138
2016/11/06,14.141
2016/11/07,14.097
2016/11/08,14.093
2016/11/09,14.126
2016/11/10,14.126
2016/11/11,14.135
2016/11/12,14.077
2016/11/13,14.088
2016/11/14,13.902
2016/11/15,13.788
2016/11/16,13.653
2016/11/17,13.611
2016/11/18,13.606
2016/11/19,13.595
2016/11/20,13.545
2016/11/21,13.406
2016/11/22,13.757
2016/11/23,14.264
2016/11/24,14.021
2016/11/25,14.714
2016/11/26,14.736
2016/11/27,14.801
2016/11/28,14.915
2016/11/29,15.171
2016/11/30,15.2
2016/12/01,14.747
2016/12/02,14.756
2016/12/03,14.634
2016/12/04,14.666
2016/12/05,14.452
2016/12/06,14
2016/12/07,13.56
2016/12/08,13.084
2016/12/09,13.084
2016/12/10,13.009
2016/12/11,12.986
2016/12/12,12.901
2016/12/13,12.7
2016/12/14,12.59
2016/12/15,12.401
2016/12/16,12.559
2016/12/17,12.573
2016/12/18,12.423
2016/12/19,12.458
2016/12/20,12.334
2016/12/21,12.148
2016/12/22,12.478
2016/12/23,12.292
2016/12/24,12.085
2016/12/25,11.895
2016/12/26,11.681
2016/12/27,11.55
2016/12/28,11.412
2016/12/29,11.126
2016/12/30,11.184
2016/12/31,10.905
2017/01/01,10.612
2017/01/02,9.879
2017/01/03,9.903
2017/01/04,9.933
2017/01/05,9.764
2017/01/06,9.614
2017/01/07,9.448
2017/01/08,9.331
2017/01/09,9.225
2017/01/10,9.228
2017/01/11,8.743
2017/01/12,8.701
2017/01/13,8.753
2017/01/14,8.575
2017/01/15,8.493
2017/01/16,8.526
2017/01/17,8.345
2017/01/18,8.201
2017/01/19,8.038
2017/01/20,7.915
2017/01/21,7.814
2017/01/22,7.736
2017/01/23,7.741
2017/01/24,7.781
2017/01/25,7.695
2017/01/26,7.61
2017/01/27,7.543
2017/01/28,7.492
2017/01/29,7.372
2017/01/30,7.377
2017/01/31,7.481
2017/02/01,7.363
2017/02/02,7.334
2017/02/03,7.308
2017/02/04,7.326
2017/02/05,7.235
2017/02/06,7.166
2017/02/07,7.118
2017/02/08,7.046
2017/02/09,6.958
2017/02/10,6.868
2017/02/11,6.778
2017/02/12,6.82
2017/02/13,6.756
2017/02/14,6.655
2017/02/15,6.687
2017/02/16,6.962
2017/02/17,7.077
2017/02/18,7.353
2017/02/19,7.492
2017/02/20,7.212
2017/02/21,6.831
2017/02/22,6.784
2017/02/23,6.508
2017/02/24,6.688
2017/02/25,6.485
2017/02/26,6.71
2017/02/27,7.101
2017/02/28,7.721
2017/03/01,8.425
2017/03/02,9.548
2017/03/03,11.048
2017/03/04,12.391
2017/03/05,13.578
2017/03/06,14.876
2017/03/07,14.877
2017/03/08,15.824
2017/03/09,15.825
2017/03/10,16.795
2017/03/11,18.094
2017/03/12,20.031
2017/03/13,23.352
2017/03/14,26.873
2017/03/15,31.166
2017/03/16,40.987
2017/03/17,55.05
2017/03/18,63.776
2017/03/19,71.931
2017/03/20,82.616
2017/03/21,90.436
2017/03/22,98.239
2017/03/23,99.604
2017/03/24,111.338
2017/03/25,125.985
2017/03/26,128.048
2017/03/27,127.092
2017/03/28,127.735
2017/03/29,127.972
2017/03/30,130.288
2017/03/31,135.781
2017/04/01,136.267
2017/04/02,148.529
