Date,transactions30mom
2016/01/01,1731
2016/01/02,2193
2016/01/03,2360
2016/01/04,2690
2016/01/05,7327
2016/01/06,9933
2016/01/07,15378
2016/01/08,3918
2016/01/09,4349
2016/01/10,2215
2016/01/11,2688
2016/01/12,3436
2016/01/13,2115
2016/01/14,-10445
2016/01/15,-429
2016/01/16,1052
2016/01/17,715
2016/01/18,3602
2016/01/19,3541
2016/01/20,-1453
2016/01/21,-10293
2016/01/22,-8892
2016/01/23,-2469
2016/01/24,3277
2016/01/25,6395
2016/01/26,-5356
2016/01/27,6379
2016/01/28,5407
2016/01/29,-5372
2016/01/30,4360
2016/01/31,5933
2016/02/01,5035
2016/02/02,5033
2016/02/03,4800
2016/02/04,-2059
2016/02/05,-1825
2016/02/06,9343
2016/02/07,3345
2016/02/08,2926
2016/02/09,5197
2016/02/10,6248
2016/02/11,10578
2016/02/12,444
2016/02/13,8674
2016/02/14,6749
2016/02/15,6495
2016/02/16,7802
2016/02/17,7074
2016/02/18,3549
2016/02/19,7802
2016/02/20,5980
2016/02/21,3271
2016/02/22,7165
2016/02/23,5684
2016/02/24,2419
2016/02/25,2992
2016/02/26,2321
2016/02/27,2216
2016/02/28,2668
2016/02/29,5697
2016/03/01,7612
2016/03/02,9363
2016/03/03,10546
2016/03/04,10013
2016/03/05,12744
2016/03/06,12412
2016/03/07,-8147
2016/03/08,9841
2016/03/09,9838
2016/03/10,9297
2016/03/11,5983
2016/03/12,6447
2016/03/13,10018
2016/03/14,9201
2016/03/15,12649
2016/03/16,10437
2016/03/17,15982
2016/03/18,11831
2016/03/19,17810
2016/03/20,14035
2016/03/21,15797
2016/03/22,15771
2016/03/23,13596
2016/03/24,18465
2016/03/25,17222
2016/03/26,17143
2016/03/27,8906
2016/03/28,14632
2016/03/29,14852
2016/03/30,16409
2016/03/31,10481
2016/04/01,9758
2016/04/02,4521
2016/04/03,5301
2016/04/04,7792
2016/04/05,11512
2016/04/06,8807
2016/04/07,7788
2016/04/08,9453
2016/04/09,7109
2016/04/10,9113
2016/04/11,2440
2016/04/12,6546
2016/04/13,7523
2016/04/14,5508
2016/04/15,7363
2016/04/16,-3048
2016/04/17,8382
2016/04/18,-1266
2016/04/19,175
2016/04/20,433
2016/04/21,4291
2016/04/22,-108
2016/04/23,-5102
2016/04/24,-2716
2016/04/25,-1216
2016/04/26,2608
2016/04/27,234
2016/04/28,428
2016/04/29,565
2016/04/30,13510
2016/05/01,6258
2016/05/02,12390
2016/05/03,8233
2016/05/04,2577
2016/05/05,-466
2016/05/06,9193
2016/05/07,3971
2016/05/08,6053
2016/05/09,6637
2016/05/10,8447
2016/05/11,10484
2016/05/12,10329
2016/05/13,11688
2016/05/14,10964
2016/05/15,8114
2016/05/16,6941
2016/05/17,106
2016/05/18,12520
2016/05/19,11901
2016/05/20,12233
2016/05/21,6440
2016/05/22,7217
2016/05/23,11961
2016/05/24,8865
2016/05/25,11013
2016/05/26,18565
2016/05/27,15159
2016/05/28,35805
2016/05/29,8558
2016/05/30,-2842
2016/05/31,4808
2016/06/01,473
2016/06/02,1845
2016/06/03,2350
2016/06/04,-832
2016/06/05,-3375
2016/06/06,3093
2016/06/07,6078
2016/06/08,1873
2016/06/09,-830
2016/06/10,-666
2016/06/11,-8101
2016/06/12,-5158
2016/06/13,440
2016/06/14,7262
2016/06/15,5827
2016/06/16,3083
2016/06/17,20525
2016/06/18,18560
2016/06/19,5858
2016/06/20,3497
2016/06/21,8428
2016/06/22,4809
2016/06/23,-1003
2016/06/24,-1112
2016/06/25,-14463
2016/06/26,-7393
2016/06/27,-30485
2016/06/28,-2801
2016/06/29,6970
2016/06/30,19566
2016/07/01,-2136
2016/07/02,-409
2016/07/03,-77
2016/07/04,2075
2016/07/05,1374
2016/07/06,-1057
2016/07/07,-5708
2016/07/08,2073
2016/07/09,556
2016/07/10,-787
2016/07/11,1681
2016/07/12,-1770
2016/07/13,-10445
2016/07/14,-7526
2016/07/15,-2141
2016/07/16,-5330
2016/07/17,-32644
2016/07/18,-23885
2016/07/19,-6851
2016/07/20,3513
2016/07/21,-2441
2016/07/22,-157
2016/07/23,3098
2016/07/24,12884
2016/07/25,18172
2016/07/26,20317
2016/07/27,13372
2016/07/28,5466
2016/07/29,-2654
2016/07/30,-21941
2016/07/31,8664
2016/08/01,6721
2016/08/02,9284
2016/08/03,9525
2016/08/04,7491
2016/08/05,5312
2016/08/06,1054
2016/08/07,449
2016/08/08,2574
2016/08/09,7699
2016/08/10,7708
2016/08/11,7360
2016/08/12,8660
2016/08/13,-1721
2016/08/14,-533
2016/08/15,4240
2016/08/16,15035
2016/08/17,5669
2016/08/18,3615
2016/08/19,-7683
2016/08/20,-3564
2016/08/21,-5915
2016/08/22,-756
2016/08/23,-9785
2016/08/24,-8035
2016/08/25,-12062
2016/08/26,-5743
2016/08/27,-617
2016/08/28,-4636
2016/08/29,3499
2016/08/30,-1770
2016/08/31,-132
2016/09/01,-1550
2016/09/02,5938
2016/09/03,-1969
2016/09/04,4916
2016/09/05,1180
2016/09/06,6147
2016/09/07,5717
2016/09/08,8913
2016/09/09,7628
2016/09/10,-5296
2016/09/11,-1055
2016/09/12,4035
2016/09/13,2014
2016/09/14,11557
2016/09/15,3673
2016/09/16,12665
2016/09/17,-917
2016/09/18,-5055
2016/09/19,-813
2016/09/20,11524
2016/09/21,299
2016/09/22,4227
2016/09/23,-11602
2016/09/24,-6450
2016/09/25,-8579
2016/09/26,-4424
2016/09/27,4210
2016/09/28,-2713
2016/09/29,-6563
2016/09/30,-10010
2016/10/01,5585
2016/10/02,-4308
2016/10/03,2880
2016/10/04,8534
2016/10/05,-948
2016/10/06,-12276
2016/10/07,-4993
2016/10/08,-18280
2016/10/09,-9978
2016/10/10,2065
2016/10/11,-2292
2016/10/12,-15121
2016/10/13,-10347
2016/10/14,-11853
2016/10/15,-18960
2016/10/16,-22542
2016/10/17,-8746
2016/10/18,14005
2016/10/19,-2008
2016/10/20,-10629
2016/10/21,13231
2016/10/22,-14885
2016/10/23,145
2016/10/24,9129
2016/10/25,8897
2016/10/26,1644
2016/10/27,-2464
2016/10/28,-1275
2016/10/29,-405
2016/10/30,3599
2016/10/31,-8045
2016/11/01,-2080
2016/11/02,-4153
2016/11/03,-14316
2016/11/04,-9147
2016/11/05,864
2016/11/06,-9317
2016/11/07,4251
2016/11/08,-2371
2016/11/09,-4423
2016/11/10,-889
2016/11/11,11068
2016/11/12,8638
2016/11/13,1667
2016/11/14,10214
2016/11/15,10340
2016/11/16,3548
2016/11/17,-11160
2016/11/18,5288
2016/11/19,-4149
2016/11/20,-15655
2016/11/21,4963
2016/11/22,18221
2016/11/23,11742
2016/11/24,-10749
2016/11/25,12917
2016/11/26,-3549
2016/11/27,2927
2016/11/28,8377
2016/11/29,7601
2016/11/30,-5853
2016/12/01,-11904
2016/12/02,-1877
2016/12/03,-989
2016/12/04,7071
2016/12/05,3923
2016/12/06,13809
2016/12/07,-184
2016/12/08,-1982
2016/12/09,927
2016/12/10,400
2016/12/11,-1906
2016/12/12,-2141
2016/12/13,991
2016/12/14,3418
2016/12/15,772
2016/12/16,2269
2016/12/17,-1296
2016/12/18,-7145
2016/12/19,6310
2016/12/20,2116
2016/12/21,8058
2016/12/22,1588
2016/12/23,-19898
2016/12/24,896
2016/12/25,-21474
2016/12/26,-6239
2016/12/27,-2079
2016/12/28,-5002
2016/12/29,-490
2016/12/30,5383
2016/12/31,4099
2017/01/01,-2912
2017/01/02,-1705
2017/01/03,6240
2017/01/04,9060
2017/01/05,1396
2017/01/06,2047
2017/01/07,4035
2017/01/08,1283
2017/01/09,5624
2017/01/10,9015
2017/01/11,6480
2017/01/12,5925
2017/01/13,3539
2017/01/14,-4058
2017/01/15,-2205
2017/01/16,5933
2017/01/17,10031
2017/01/18,-605
2017/01/19,-613
2017/01/20,-5018
2017/01/21,-11871
2017/01/22,3041
2017/01/23,8319
2017/01/24,13813
2017/01/25,11691
2017/01/26,4486
2017/01/27,3294
2017/01/28,-1357
2017/01/29,-2052
2017/01/30,4149
2017/01/31,4919
2017/02/01,4889
2017/02/02,-2174
2017/02/03,-7895
2017/02/04,-4186
2017/02/05,2738
2017/02/06,3684
2017/02/07,9139
2017/02/08,4901
2017/02/09,-306
2017/02/10,7001
2017/02/11,-4029
2017/02/12,-5514
2017/02/13,13946
2017/02/14,16550
2017/02/15,9945
2017/02/16,3003
2017/02/17,4412
2017/02/18,5770
2017/02/19,2452
2017/02/20,6850
2017/02/21,11002
2017/02/22,4296
2017/02/23,-2813
2017/02/24,7825
2017/02/25,6389
2017/02/26,5036
2017/02/27,7453
2017/02/28,17768
2017/03/01,14405
2017/03/02,27130
2017/03/03,19753
2017/03/04,15047
2017/03/05,14253
2017/03/06,11610
2017/03/07,16047
2017/03/08,8080
2017/03/09,12400
2017/03/10,14037
2017/03/11,16930
2017/03/12,14424
2017/03/13,35158
2017/03/14,31836
2017/03/15,25215
2017/03/16,51652
2017/03/17,51315
2017/03/18,40246
2017/03/19,35193
2017/03/20,30866
