Date,sentinusd3emaUSD
2016/01/01,312388
2016/01/02,281408
2016/01/03,322524
2016/01/04,236186
2016/01/05,623407
2016/01/06,439276
2016/01/07,393831
2016/01/08,294160
2016/01/09,259052
2016/01/10,205866
2016/01/11,368946
2016/01/12,766830
2016/01/13,622458
2016/01/14,500747
2016/01/15,836967
2016/01/16,773003
2016/01/17,615661
2016/01/18,1918197
2016/01/19,1810669
2016/01/20,1345069
2016/01/21,1050268
2016/01/22,1223120
2016/01/23,1607792
2016/01/24,2861433
2016/01/25,3890645
2016/01/26,3811652
2016/01/27,3366605
2016/01/28,2830680
2016/01/29,2498029
2016/01/30,2496996
2016/01/31,2555587
2016/02/01,1944460
2016/02/02,1664930
2016/02/03,1585577
2016/02/04,1210993
2016/02/05,1333345
2016/02/06,960247
2016/02/07,1686917
2016/02/08,3131042
2016/02/09,4301509
2016/02/10,6375561
2016/02/11,7622957
2016/02/12,10022473
2016/02/13,8235152
2016/02/14,6368926
2016/02/15,5187472
2016/02/16,5755829
2016/02/17,4422738
2016/02/18,4484404
2016/02/19,3353375
2016/02/20,4323153
2016/02/21,3218256
2016/02/22,3677670
2016/02/23,6242894
2016/02/24,9208984
2016/02/25,7499446
2016/02/26,15760065
2016/02/27,14639361
2016/02/28,9831153
2016/02/29,7199556
2016/03/01,7998433
2016/03/02,18362113
2016/03/03,18882476
2016/03/04,16436671
2016/03/05,24169503
2016/03/06,21045467
2016/03/07,18161980
2016/03/08,19386406
2016/03/09,15636339
2016/03/10,12804779
2016/03/11,11621244
2016/03/12,15666418
2016/03/13,22035792
2016/03/14,22003437
2016/03/15,19235380
2016/03/16,16993835
2016/03/17,18614728
2016/03/18,21331102
2016/03/19,14851443
2016/03/20,10268196
2016/03/21,10027015
2016/03/22,8990786
2016/03/23,7891386
2016/03/24,9381334
2016/03/25,7679017
2016/03/26,5646419
2016/03/27,9091019
2016/03/28,8984328
2016/03/29,11963438
2016/03/30,14040107
2016/03/31,12298571
2016/04/01,8370333
2016/04/02,6339647
2016/04/03,4424771
2016/04/04,4688798
2016/04/05,6036744
2016/04/06,6135910
2016/04/07,6826661
2016/04/08,6129028
2016/04/09,9343769
2016/04/10,9761507
2016/04/11,7524863
2016/04/12,8054163
2016/04/13,8459027
2016/04/14,8182439
2016/04/15,6553680
2016/04/16,5071197
2016/04/17,6348668
2016/04/18,6067550
2016/04/19,4879823
2016/04/20,5336103
